"Measure","Time","Time_Type","Ethnicity","Ethnicity_Type","Mode_of_Transport","Value","Value_Type","Weighted_Sample_Trips","Unweighted_Sample_Trips","Weighted_Sample_Individuals","Unweighted_Sample_Individuals","Notes"
"Average trips per year by mode of transport","2005/09","5-year rolling average","Asian / Asian British","ONS 2011 5+1","All modes","870","Trips per person per year","80873","68229","4844","4383",""
"Average trips per year by mode of transport","2005/09","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Bicycle","6","Trips per person per year","512","407","4844","4383",""
"Average trips per year by mode of transport","2005/09","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Bus in London","52","Trips per person per year","4805","3912","4844","4383",""
"Average trips per year by mode of transport","2005/09","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Car / van driver","264","Trips per person per year","24506","20943","4844","4383",""
"Average trips per year by mode of transport","2005/09","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Car / van passenger","195","Trips per person per year","18126","16167","4844","4383",""
"Average trips per year by mode of transport","2005/09","5-year rolling average","Asian / Asian British","ONS 2011 5+1","London Underground","24","Trips per person per year","2184","1607","4844","4383",""
"Average trips per year by mode of transport","2005/09","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Motorcycle ","?","Trips per person per year","?","?","?","?","Suppresed"
"Average trips per year by mode of transport","2005/09","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Non-local bus","?","Trips per person per year","?","?","?","?","Suppresed"
"Average trips per year by mode of transport","2005/09","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Other local bus","33","Trips per person per year","3091","2452","4844","4383",""
"Average trips per year by mode of transport","2005/09","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Other private transport","5","Trips per person per year","473","344","4844","4383",""
"Average trips per year by mode of transport","2005/09","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Other public transport","?","Trips per person per year","?","?","?","?","Suppresed"
"Average trips per year by mode of transport","2005/09","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Surface Rail","19","Trips per person per year","1810","1448","4844","4383",""
"Average trips per year by mode of transport","2005/09","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Taxi / minicab","6","Trips per person per year","603","521","4844","4383",""
"Average trips per year by mode of transport","2005/09","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Walk","262","Trips per person per year","24314","20104","4844","4383",""
"Average trips per year by mode of transport","2005/09","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","All modes","836","Trips per person per year","34030","29753","2122","1990",""
"Average trips per year by mode of transport","2005/09","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Bicycle","?","Trips per person per year","?","?","?","?","Suppresed"
"Average trips per year by mode of transport","2005/09","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Bus in London","151","Trips per person per year","6164","5557","2122","1990",""
"Average trips per year by mode of transport","2005/09","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Car / van driver","221","Trips per person per year","9003","7846","2122","1990",""
"Average trips per year by mode of transport","2005/09","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Car / van passenger","120","Trips per person per year","4886","4451","2122","1990",""
"Average trips per year by mode of transport","2005/09","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","London Underground","25","Trips per person per year","1024","872","2122","1990",""
"Average trips per year by mode of transport","2005/09","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Motorcycle ","?","Trips per person per year","?","?","?","?","Suppresed"
"Average trips per year by mode of transport","2005/09","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Non-local bus","?","Trips per person per year","?","?","?","?","Suppresed"
"Average trips per year by mode of transport","2005/09","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Other local bus","55","Trips per person per year","2237","1890","2122","1990",""
"Average trips per year by mode of transport","2005/09","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Other private transport","?","Trips per person per year","?","?","?","?","Suppresed"
"Average trips per year by mode of transport","2005/09","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Other public transport","?","Trips per person per year","?","?","?","?","Suppresed"
"Average trips per year by mode of transport","2005/09","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Surface Rail","30","Trips per person per year","1232","1037","2122","1990",""
"Average trips per year by mode of transport","2005/09","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Taxi / minicab","?","Trips per person per year","?","?","?","?","Suppresed"
"Average trips per year by mode of transport","2005/09","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Walk","206","Trips per person per year","8369","7142","2122","1990",""
"Average trips per year by mode of transport","2005/09","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","All modes","943","Trips per person per year","24146","21226","1336","1256",""
"Average trips per year by mode of transport","2005/09","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Bicycle","15","Trips per person per year","379","303","1336","1256",""
"Average trips per year by mode of transport","2005/09","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Bus in London","65","Trips per person per year","1664","1426","1336","1256",""
"Average trips per year by mode of transport","2005/09","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Car / van driver","184","Trips per person per year","4710","3969","1336","1256",""
"Average trips per year by mode of transport","2005/09","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Car / van passenger","262","Trips per person per year","6700","6306","1336","1256",""
"Average trips per year by mode of transport","2005/09","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","London Underground","17","Trips per person per year","438","357","1336","1256",""
"Average trips per year by mode of transport","2005/09","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Motorcycle ","?","Trips per person per year","?","?","?","?","Suppresed"
"Average trips per year by mode of transport","2005/09","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Non-local bus","?","Trips per person per year","?","?","?","?","Suppresed"
"Average trips per year by mode of transport","2005/09","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Other local bus","60","Trips per person per year","1543","1332","1336","1256",""
"Average trips per year by mode of transport","2005/09","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Other private transport","?","Trips per person per year","?","?","?","?","Suppresed"
"Average trips per year by mode of transport","2005/09","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Other public transport","?","Trips per person per year","?","?","?","?","Suppresed"
"Average trips per year by mode of transport","2005/09","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Surface Rail","20","Trips per person per year","520","438","1336","1256",""
"Average trips per year by mode of transport","2005/09","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Taxi / minicab","?","Trips per person per year","?","?","?","?","Suppresed"
"Average trips per year by mode of transport","2005/09","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Walk","299","Trips per person per year","7647","6624","1336","1256",""
"Average trips per year by mode of transport","2005/09","5-year rolling average","Other ethnic group","ONS 2011 5+1","All modes","863","Trips per person per year","16617","13664","1004","888",""
"Average trips per year by mode of transport","2005/09","5-year rolling average","Other ethnic group","ONS 2011 5+1","Bicycle","?","Trips per person per year","?","?","?","?","Suppresed"
"Average trips per year by mode of transport","2005/09","5-year rolling average","Other ethnic group","ONS 2011 5+1","Bus in London","89","Trips per person per year","1714","1409","1004","888",""
"Average trips per year by mode of transport","2005/09","5-year rolling average","Other ethnic group","ONS 2011 5+1","Car / van driver","197","Trips per person per year","3798","3270","1004","888",""
"Average trips per year by mode of transport","2005/09","5-year rolling average","Other ethnic group","ONS 2011 5+1","Car / van passenger","136","Trips per person per year","2610","2423","1004","888",""
"Average trips per year by mode of transport","2005/09","5-year rolling average","Other ethnic group","ONS 2011 5+1","London Underground","50","Trips per person per year","964","706","1004","888",""
"Average trips per year by mode of transport","2005/09","5-year rolling average","Other ethnic group","ONS 2011 5+1","Motorcycle ","?","Trips per person per year","?","?","?","?","Suppresed"
"Average trips per year by mode of transport","2005/09","5-year rolling average","Other ethnic group","ONS 2011 5+1","Non-local bus","?","Trips per person per year","?","?","?","?","Suppresed"
"Average trips per year by mode of transport","2005/09","5-year rolling average","Other ethnic group","ONS 2011 5+1","Other local bus","42","Trips per person per year","805","644","1004","888",""
"Average trips per year by mode of transport","2005/09","5-year rolling average","Other ethnic group","ONS 2011 5+1","Other private transport","?","Trips per person per year","?","?","?","?","Suppresed"
"Average trips per year by mode of transport","2005/09","5-year rolling average","Other ethnic group","ONS 2011 5+1","Other public transport","?","Trips per person per year","?","?","?","?","Suppresed"
"Average trips per year by mode of transport","2005/09","5-year rolling average","Other ethnic group","ONS 2011 5+1","Surface Rail","28","Trips per person per year","535","421","1004","888",""
"Average trips per year by mode of transport","2005/09","5-year rolling average","Other ethnic group","ONS 2011 5+1","Taxi / minicab","?","Trips per person per year","?","?","?","?","Suppresed"
"Average trips per year by mode of transport","2005/09","5-year rolling average","Other ethnic group","ONS 2011 5+1","Walk","284","Trips per person per year","5465","4218","1004","888",""
"Average trips per year by mode of transport","2005/09","5-year rolling average","White","ONS 2011 5+1","All modes","1048","Trips per person per year","1528302","1416697","76000","75534",""
"Average trips per year by mode of transport","2005/09","5-year rolling average","White","ONS 2011 5+1","Bicycle","17","Trips per person per year","24830","22595","76000","75534",""
"Average trips per year by mode of transport","2005/09","5-year rolling average","White","ONS 2011 5+1","Bus in London","13","Trips per person per year","18225","15266","76000","75534",""
"Average trips per year by mode of transport","2005/09","5-year rolling average","White","ONS 2011 5+1","Car / van driver","438","Trips per person per year","638125","596354","76000","75534",""
"Average trips per year by mode of transport","2005/09","5-year rolling average","White","ONS 2011 5+1","Car / van passenger","230","Trips per person per year","335517","321341","76000","75534",""
"Average trips per year by mode of transport","2005/09","5-year rolling average","White","ONS 2011 5+1","London Underground","8","Trips per person per year","11324","8621","76000","75534",""
"Average trips per year by mode of transport","2005/09","5-year rolling average","White","ONS 2011 5+1","Motorcycle ","4","Trips per person per year","5578","4821","76000","75534",""
"Average trips per year by mode of transport","2005/09","5-year rolling average","White","ONS 2011 5+1","Non-local bus","1","Trips per person per year","1084","1057","76000","75534",""
"Average trips per year by mode of transport","2005/09","5-year rolling average","White","ONS 2011 5+1","Other local bus","45","Trips per person per year","65103","60374","76000","75534",""
"Average trips per year by mode of transport","2005/09","5-year rolling average","White","ONS 2011 5+1","Other private transport","8","Trips per person per year","12353","12052","76000","75534",""
"Average trips per year by mode of transport","2005/09","5-year rolling average","White","ONS 2011 5+1","Other public transport","3","Trips per person per year","3681","3292","76000","75534",""
"Average trips per year by mode of transport","2005/09","5-year rolling average","White","ONS 2011 5+1","Surface Rail","16","Trips per person per year","24030","21185","76000","75534",""
"Average trips per year by mode of transport","2005/09","5-year rolling average","White","ONS 2011 5+1","Taxi / minicab","11","Trips per person per year","15730","14134","76000","75534",""
"Average trips per year by mode of transport","2005/09","5-year rolling average","White","ONS 2011 5+1","Walk","256","Trips per person per year","372720","335605","76000","75534",""
"Average trips per year by mode of transport","2006/10","5-year rolling average","All ethnic groups","ONS 2011 5+1","All modes","1012","Trips per person per year","1642071","1519022","84634","83718",""
"Average trips per year by mode of transport","2006/10","5-year rolling average","All ethnic groups","ONS 2011 5+1","Bicycle","16","Trips per person per year","26204","23651","84634","83718",""
"Average trips per year by mode of transport","2006/10","5-year rolling average","All ethnic groups","ONS 2011 5+1","Bus in London","21","Trips per person per year","34126","29714","84634","83718",""
"Average trips per year by mode of transport","2006/10","5-year rolling average","All ethnic groups","ONS 2011 5+1","Car / van driver","409","Trips per person per year","664126","621114","84634","83718",""
"Average trips per year by mode of transport","2006/10","5-year rolling average","All ethnic groups","ONS 2011 5+1","Car / van passenger","220","Trips per person per year","357837","343471","84634","83718",""
"Average trips per year by mode of transport","2006/10","5-year rolling average","All ethnic groups","ONS 2011 5+1","London Underground","10","Trips per person per year","16019","12617","84634","83718",""
"Average trips per year by mode of transport","2006/10","5-year rolling average","All ethnic groups","ONS 2011 5+1","Motorcycle ","3","Trips per person per year","5391","4649","84634","83718",""
"Average trips per year by mode of transport","2006/10","5-year rolling average","All ethnic groups","ONS 2011 5+1","Non-local bus","1","Trips per person per year","1128","1083","84634","83718",""
"Average trips per year by mode of transport","2006/10","5-year rolling average","All ethnic groups","ONS 2011 5+1","Other local bus","44","Trips per person per year","71996","65894","84634","83718",""
"Average trips per year by mode of transport","2006/10","5-year rolling average","All ethnic groups","ONS 2011 5+1","Other private transport","8","Trips per person per year","12721","12462","84634","83718",""
"Average trips per year by mode of transport","2006/10","5-year rolling average","All ethnic groups","ONS 2011 5+1","Other public transport","2","Trips per person per year","4034","3552","84634","83718",""
"Average trips per year by mode of transport","2006/10","5-year rolling average","All ethnic groups","ONS 2011 5+1","Surface Rail","18","Trips per person per year","29001","25526","84634","83718",""
"Average trips per year by mode of transport","2006/10","5-year rolling average","All ethnic groups","ONS 2011 5+1","Taxi / minicab","10","Trips per person per year","16394","14738","84634","83718",""
"Average trips per year by mode of transport","2006/10","5-year rolling average","All ethnic groups","ONS 2011 5+1","Walk","248","Trips per person per year","403094","360551","84634","83718",""
"Average trips per year by mode of transport","2006/10","5-year rolling average","Asian / Asian British","ONS 2011 5+1","All modes","859","Trips per person per year","83400","70880","5060","4625",""
"Average trips per year by mode of transport","2006/10","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Bicycle","6","Trips per person per year","542","448","5060","4625",""
"Average trips per year by mode of transport","2006/10","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Bus in London","55","Trips per person per year","5375","4567","5060","4625",""
"Average trips per year by mode of transport","2006/10","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Car / van driver","263","Trips per person per year","25565","21894","5060","4625",""
"Average trips per year by mode of transport","2006/10","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Car / van passenger","191","Trips per person per year","18583","16692","5060","4625",""
"Average trips per year by mode of transport","2006/10","5-year rolling average","Asian / Asian British","ONS 2011 5+1","London Underground","23","Trips per person per year","2272","1741","5060","4625",""
"Average trips per year by mode of transport","2006/10","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Motorcycle ","?","Trips per person per year","?","?","?","?","Suppresed"
"Average trips per year by mode of transport","2006/10","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Non-local bus","?","Trips per person per year","?","?","?","?","Suppresed"
"Average trips per year by mode of transport","2006/10","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Other local bus","33","Trips per person per year","3204","2524","5060","4625",""
"Average trips per year by mode of transport","2006/10","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Other private transport","5","Trips per person per year","534","412","5060","4625",""
"Average trips per year by mode of transport","2006/10","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Other public transport","?","Trips per person per year","?","?","?","?","Suppresed"
"Average trips per year by mode of transport","2006/10","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Surface Rail","22","Trips per person per year","2170","1772","5060","4625",""
"Average trips per year by mode of transport","2006/10","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Taxi / minicab","7","Trips per person per year","639","551","5060","4625",""
"Average trips per year by mode of transport","2006/10","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Walk","249","Trips per person per year","24155","20001","5060","4625",""
"Average trips per year by mode of transport","2006/10","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","All modes","828","Trips per person per year","36249","32256","2283","2167",""
"Average trips per year by mode of transport","2006/10","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Bicycle","?","Trips per person per year","?","?","?","?","Suppresed"
"Average trips per year by mode of transport","2006/10","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Bus in London","162","Trips per person per year","7109","6465","2283","2167",""
"Average trips per year by mode of transport","2006/10","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Car / van driver","206","Trips per person per year","9029","7965","2283","2167",""
"Average trips per year by mode of transport","2006/10","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Car / van passenger","121","Trips per person per year","5278","4877","2283","2167",""
"Average trips per year by mode of transport","2006/10","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","London Underground","27","Trips per person per year","1185","1010","2283","2167",""
"Average trips per year by mode of transport","2006/10","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Motorcycle ","?","Trips per person per year","?","?","?","?","Suppresed"
"Average trips per year by mode of transport","2006/10","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Non-local bus","?","Trips per person per year","?","?","?","?","Suppresed"
"Average trips per year by mode of transport","2006/10","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Other local bus","49","Trips per person per year","2157","1890","2283","2167",""
"Average trips per year by mode of transport","2006/10","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Other private transport","?","Trips per person per year","?","?","?","?","Suppresed"
"Average trips per year by mode of transport","2006/10","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Other public transport","?","Trips per person per year","?","?","?","?","Suppresed"
"Average trips per year by mode of transport","2006/10","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Surface Rail","30","Trips per person per year","1303","1141","2283","2167",""
"Average trips per year by mode of transport","2006/10","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Taxi / minicab","8","Trips per person per year","366","309","2283","2167",""
"Average trips per year by mode of transport","2006/10","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Walk","206","Trips per person per year","9018","7907","2283","2167",""
"Average trips per year by mode of transport","2006/10","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","All modes","930","Trips per person per year","24656","21740","1382","1307",""
"Average trips per year by mode of transport","2006/10","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Bicycle","?","Trips per person per year","?","?","?","?","Suppresed"
"Average trips per year by mode of transport","2006/10","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Bus in London","66","Trips per person per year","1737","1530","1382","1307",""
"Average trips per year by mode of transport","2006/10","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Car / van driver","179","Trips per person per year","4740","3996","1382","1307",""
"Average trips per year by mode of transport","2006/10","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Car / van passenger","252","Trips per person per year","6688","6375","1382","1307",""
"Average trips per year by mode of transport","2006/10","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","London Underground","16","Trips per person per year","415","338","1382","1307",""
"Average trips per year by mode of transport","2006/10","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Motorcycle ","?","Trips per person per year","?","?","?","?","Suppresed"
"Average trips per year by mode of transport","2006/10","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Non-local bus","?","Trips per person per year","?","?","?","?","Suppresed"
"Average trips per year by mode of transport","2006/10","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Other local bus","57","Trips per person per year","1504","1261","1382","1307",""
"Average trips per year by mode of transport","2006/10","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Other private transport","?","Trips per person per year","?","?","?","?","Suppresed"
"Average trips per year by mode of transport","2006/10","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Other public transport","?","Trips per person per year","?","?","?","?","Suppresed"
"Average trips per year by mode of transport","2006/10","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Surface Rail","23","Trips per person per year","611","512","1382","1307",""
"Average trips per year by mode of transport","2006/10","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Taxi / minicab","?","Trips per person per year","?","?","?","?","Suppresed"
"Average trips per year by mode of transport","2006/10","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Walk","302","Trips per person per year","8004","6907","1382","1307",""
"Average trips per year by mode of transport","2006/10","5-year rolling average","Other ethnic group","ONS 2011 5+1","All modes","865","Trips per person per year","16465","13781","993","895",""
"Average trips per year by mode of transport","2006/10","5-year rolling average","Other ethnic group","ONS 2011 5+1","Bicycle","21","Trips per person per year","394","303","993","895",""
"Average trips per year by mode of transport","2006/10","5-year rolling average","Other ethnic group","ONS 2011 5+1","Bus in London","91","Trips per person per year","1740","1395","993","895",""
"Average trips per year by mode of transport","2006/10","5-year rolling average","Other ethnic group","ONS 2011 5+1","Car / van driver","212","Trips per person per year","4030","3550","993","895",""
"Average trips per year by mode of transport","2006/10","5-year rolling average","Other ethnic group","ONS 2011 5+1","Car / van passenger","136","Trips per person per year","2596","2452","993","895",""
"Average trips per year by mode of transport","2006/10","5-year rolling average","Other ethnic group","ONS 2011 5+1","London Underground","46","Trips per person per year","872","650","993","895",""
"Average trips per year by mode of transport","2006/10","5-year rolling average","Other ethnic group","ONS 2011 5+1","Motorcycle ","?","Trips per person per year","?","?","?","?","Suppresed"
"Average trips per year by mode of transport","2006/10","5-year rolling average","Other ethnic group","ONS 2011 5+1","Non-local bus","?","Trips per person per year","?","?","?","?","Suppresed"
"Average trips per year by mode of transport","2006/10","5-year rolling average","Other ethnic group","ONS 2011 5+1","Other local bus","39","Trips per person per year","746","595","993","895",""
"Average trips per year by mode of transport","2006/10","5-year rolling average","Other ethnic group","ONS 2011 5+1","Other private transport","?","Trips per person per year","?","?","?","?","Suppresed"
"Average trips per year by mode of transport","2006/10","5-year rolling average","Other ethnic group","ONS 2011 5+1","Other public transport","?","Trips per person per year","?","?","?","?","Suppresed"
"Average trips per year by mode of transport","2006/10","5-year rolling average","Other ethnic group","ONS 2011 5+1","Surface Rail","25","Trips per person per year","473","379","993","895",""
"Average trips per year by mode of transport","2006/10","5-year rolling average","Other ethnic group","ONS 2011 5+1","Taxi / minicab","?","Trips per person per year","?","?","?","?","Suppresed"
"Average trips per year by mode of transport","2006/10","5-year rolling average","Other ethnic group","ONS 2011 5+1","Walk","277","Trips per person per year","5283","4186","993","895",""
"Average trips per year by mode of transport","2006/10","5-year rolling average","White","ONS 2011 5+1","All modes","1031","Trips per person per year","1479878","1378987","74843","74649",""
"Average trips per year by mode of transport","2006/10","5-year rolling average","White","ONS 2011 5+1","Bicycle","17","Trips per person per year","24574","22352","74843","74649",""
"Average trips per year by mode of transport","2006/10","5-year rolling average","White","ONS 2011 5+1","Bus in London","13","Trips per person per year","18160","15750","74843","74649",""
"Average trips per year by mode of transport","2006/10","5-year rolling average","White","ONS 2011 5+1","Car / van driver","432","Trips per person per year","620239","583183","74843","74649",""
"Average trips per year by mode of transport","2006/10","5-year rolling average","White","ONS 2011 5+1","Car / van passenger","226","Trips per person per year","324362","312744","74843","74649",""
"Average trips per year by mode of transport","2006/10","5-year rolling average","White","ONS 2011 5+1","London Underground","8","Trips per person per year","11260","8868","74843","74649",""
"Average trips per year by mode of transport","2006/10","5-year rolling average","White","ONS 2011 5+1","Motorcycle ","4","Trips per person per year","5219","4516","74843","74649",""
"Average trips per year by mode of transport","2006/10","5-year rolling average","White","ONS 2011 5+1","Non-local bus","1","Trips per person per year","975","954","74843","74649",""
"Average trips per year by mode of transport","2006/10","5-year rolling average","White","ONS 2011 5+1","Other local bus","45","Trips per person per year","64364","59602","74843","74649",""
"Average trips per year by mode of transport","2006/10","5-year rolling average","White","ONS 2011 5+1","Other private transport","8","Trips per person per year","11748","11642","74843","74649",""
"Average trips per year by mode of transport","2006/10","5-year rolling average","White","ONS 2011 5+1","Other public transport","2","Trips per person per year","3427","3061","74843","74649",""
"Average trips per year by mode of transport","2006/10","5-year rolling average","White","ONS 2011 5+1","Surface Rail","17","Trips per person per year","24402","21678","74843","74649",""
"Average trips per year by mode of transport","2006/10","5-year rolling average","White","ONS 2011 5+1","Taxi / minicab","10","Trips per person per year","14865","13427","74843","74649",""
"Average trips per year by mode of transport","2006/10","5-year rolling average","White","ONS 2011 5+1","Walk","248","Trips per person per year","356284","321210","74843","74649",""
"Average trips per year by mode of transport","2007/11","5-year rolling average","All ethnic groups","ONS 2011 5+1","All modes","993","Trips per person per year","1588306","1475712","83421","82800",""
"Average trips per year by mode of transport","2007/11","5-year rolling average","All ethnic groups","ONS 2011 5+1","Bicycle","16","Trips per person per year","25470","23005","83421","82800",""
"Average trips per year by mode of transport","2007/11","5-year rolling average","All ethnic groups","ONS 2011 5+1","Bus in London","22","Trips per person per year","34478","30203","83421","82800",""
"Average trips per year by mode of transport","2007/11","5-year rolling average","All ethnic groups","ONS 2011 5+1","Car / van driver","401","Trips per person per year","642110","603984","83421","82800",""
"Average trips per year by mode of transport","2007/11","5-year rolling average","All ethnic groups","ONS 2011 5+1","Car / van passenger","217","Trips per person per year","347221","335146","83421","82800",""
"Average trips per year by mode of transport","2007/11","5-year rolling average","All ethnic groups","ONS 2011 5+1","London Underground","10","Trips per person per year","15603","12447","83421","82800",""
"Average trips per year by mode of transport","2007/11","5-year rolling average","All ethnic groups","ONS 2011 5+1","Motorcycle ","3","Trips per person per year","5411","4658","83421","82800",""
"Average trips per year by mode of transport","2007/11","5-year rolling average","All ethnic groups","ONS 2011 5+1","Non-local bus","1","Trips per person per year","1080","1021","83421","82800",""
"Average trips per year by mode of transport","2007/11","5-year rolling average","All ethnic groups","ONS 2011 5+1","Other local bus","44","Trips per person per year","69639","64128","83421","82800",""
"Average trips per year by mode of transport","2007/11","5-year rolling average","All ethnic groups","ONS 2011 5+1","Other private transport","8","Trips per person per year","12259","12141","83421","82800",""
"Average trips per year by mode of transport","2007/11","5-year rolling average","All ethnic groups","ONS 2011 5+1","Other public transport","2","Trips per person per year","3655","3304","83421","82800",""
"Average trips per year by mode of transport","2007/11","5-year rolling average","All ethnic groups","ONS 2011 5+1","Surface Rail","18","Trips per person per year","28757","25409","83421","82800",""
"Average trips per year by mode of transport","2007/11","5-year rolling average","All ethnic groups","ONS 2011 5+1","Taxi / minicab","10","Trips per person per year","16077","14605","83421","82800",""
"Average trips per year by mode of transport","2007/11","5-year rolling average","All ethnic groups","ONS 2011 5+1","Walk","242","Trips per person per year","386545","345661","83421","82800",""
"Average trips per year by mode of transport","2007/11","5-year rolling average","Asian / Asian British","ONS 2011 5+1","All modes","836","Trips per person per year","82554","69981","5151","4717",""
"Average trips per year by mode of transport","2007/11","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Bicycle","6","Trips per person per year","552","444","5151","4717",""
"Average trips per year by mode of transport","2007/11","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Bus in London","57","Trips per person per year","5583","4685","5151","4717",""
"Average trips per year by mode of transport","2007/11","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Car / van driver","254","Trips per person per year","25109","21431","5151","4717",""
"Average trips per year by mode of transport","2007/11","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Car / van passenger","181","Trips per person per year","17923","16116","5151","4717",""
"Average trips per year by mode of transport","2007/11","5-year rolling average","Asian / Asian British","ONS 2011 5+1","London Underground","21","Trips per person per year","2088","1618","5151","4717",""
"Average trips per year by mode of transport","2007/11","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Motorcycle ","?","Trips per person per year","?","?","?","?","Suppresed"
"Average trips per year by mode of transport","2007/11","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Non-local bus","?","Trips per person per year","?","?","?","?","Suppresed"
"Average trips per year by mode of transport","2007/11","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Other local bus","35","Trips per person per year","3462","2734","5151","4717",""
"Average trips per year by mode of transport","2007/11","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Other private transport","5","Trips per person per year","498","391","5151","4717",""
