"Measure","Time","Time_type","Ethnicity","Ethnicity_type","Geography","Age_group","NS-SEC","Income_band","Region","Value","Numerator","Denominator","Sample_size"
"Percentage of households privately renting their home","2015-16 and 2016-17","Two years","White British","White British and Other","England","All","All","£1000 and above","All","11","515","4562","4753"
"Percentage of households privately renting their home","2015-16 and 2016-17","Two years","White British","White British and Other","England","All","All","All Income","All","16","2991","18695","21845"
"Percentage of households privately renting their home","2015-16 and 2016-17","Two years","Other than White British","White British and Other","England","All","All","Up to £99","All","39","20","51","56"
"Percentage of households privately renting their home","2015-16 and 2016-17","Two years","Other than White British","White British and Other","England","All","All","£100 to £199","All","34","103","305","371"
"Percentage of households privately renting their home","2015-16 and 2016-17","Two years","Other than White British","White British and Other","England","All","All","£200 to £299","All","33","140","425","502"
"Percentage of households privately renting their home","2015-16 and 2016-17","Two years","Other than White British","White British and Other","England","All","All","£300 to £399","All","40","193","481","550"
"Percentage of households privately renting their home","2015-16 and 2016-17","Two years","Other than White British","White British and Other","England","All","All","£400 to £499","All","41","155","378","447"
"Percentage of households privately renting their home","2015-16 and 2016-17","Two years","Other than White British","White British and Other","England","All","All","£500 to £599","All","48","184","386","435"
"Percentage of households privately renting their home","2015-16 and 2016-17","Two years","Other than White British","White British and Other","England","All","All","£600 to £699","All","43","150","354","383"
"Percentage of households privately renting their home","2015-16 and 2016-17","Two years","Other than White British","White British and Other","England","All","All","£700 to £799","All","46","123","269","274"
"Percentage of households privately renting their home","2015-16 and 2016-17","Two years","Other than White British","White British and Other","England","All","All","£800 to £899","All","43","106","245","234"
"Percentage of households privately renting their home","2015-16 and 2016-17","Two years","Other than White British","White British and Other","England","All","All","£900 to £999","All","28","52","186","180"
"Percentage of households privately renting their home","2015-16 and 2016-17","Two years","Other than White British","White British and Other","England","All","All","£1000 and above","All","36","355","975","943"
"Percentage of households privately renting their home","2015-16 and 2016-17","Two years","Other than White British","White British and Other","England","All","All","All Income","All","39","1581","4056","4375"
"Percentage of households privately renting their home","2015-16 and 2016-17","Two years","All","White British and Other","England","All","All","Up to £99","All","33","80","247","298"
"Percentage of households privately renting their home","2015-16 and 2016-17","Two years","All","White British and Other","England","All","All","£100 to £199","All","20","357","1829","2430"
"Percentage of households privately renting their home","2015-16 and 2016-17","Two years","All","White British and Other","England","All","All","£200 to £299","All","21","510","2446","3200"
"Percentage of households privately renting their home","2015-16 and 2016-17","Two years","All","White British and Other","England","All","All","£300 to £399","All","22","572","2635","3200"
"Percentage of households privately renting their home","2015-16 and 2016-17","Two years","All","White British and Other","England","All","All","£400 to £499","All","24","520","2146","2586"
"Percentage of households privately renting their home","2015-16 and 2016-17","Two years","All","White British and Other","England","All","All","£500 to £599","All","24","489","2005","2301"
"Percentage of households privately renting their home","2015-16 and 2016-17","Two years","All","White British and Other","England","All","All","£600 to £699","All","21","403","1913","2167"
"Percentage of households privately renting their home","2015-16 and 2016-17","Two years","All","White British and Other","England","All","All","£700 to £799","All","20","318","1558","1727"
"Percentage of households privately renting their home","2015-16 and 2016-17","Two years","All","White British and Other","England","All","All","£800 to £899","All","20","266","1358","1434"
"Percentage of households privately renting their home","2015-16 and 2016-17","Two years","All","White British and Other","England","All","All","£900 to £999","All","17","187","1077","1181"
"Percentage of households privately renting their home","2015-16 and 2016-17","Two years","All","White British and Other","England","All","All","£1000 and above","All","16","870","5536","5696"
"Percentage of households privately renting their home","2015-16 and 2016-17","Two years","All","White British and Other","England","All","All","All Income","All","20","4572","22751","26220"
