"Measure","Income bracket","Time","Ethnicity of household reference person","Ethnicity_type","Geography","Value","Denominator"
"Average weekly household income by ethnic group of the head of the household","GBP 1,400 or more, but less than GBP 1,600 ","2009/10-2011/12","Asian/ Asian British","ONS 5+2","K02000001","3","2,622"
"Average weekly household income by ethnic group of the head of the household","GBP 1,600 or more, but less than GBP 1,800 ","2009/10-2011/12","Asian/ Asian British","ONS 5+2","K02000001","2","2,622"
"Average weekly household income by ethnic group of the head of the household","GBP 1,800 or more, but less than GBP 2,000 ","2009/10-2011/12","Asian/ Asian British","ONS 5+2","K02000001","2","2,622"
"Average weekly household income by ethnic group of the head of the household","GBP 2,000 or more ","2009/10-2011/12","Asian/ Asian British","ONS 5+2","K02000001","5","2,622"
"Average weekly household income by ethnic group of the head of the household","GBP 200 or more, but less than GBP 400 ","2009/10-2011/12","Asian/ Asian British","ONS 5+2","K02000001","21","2,622"
"Average weekly household income by ethnic group of the head of the household","GBP 400 or more, but less than GBP 600 ","2009/10-2011/12","Asian/ Asian British","ONS 5+2","K02000001","21","2,622"
"Average weekly household income by ethnic group of the head of the household","GBP 600 or more, but less than GBP 800 ","2009/10-2011/12","Asian/ Asian British","ONS 5+2","K02000001","14","2,622"
"Average weekly household income by ethnic group of the head of the household","GBP 800 or more, but less than GBP 1,000 ","2009/10-2011/12","Asian/ Asian British","ONS 5+2","K02000001","11","2,622"
"Average weekly household income by ethnic group of the head of the household","Less than GBP 200  ","2009/10-2011/12","Asian/ Asian British","ONS 5+2","K02000001","9","2,622"
"Average weekly household income by ethnic group of the head of the household","GBP 1,000 or more, but less than GBP 1,200 ","2009/10-2011/12","Bangladeshi","ONS 5+2","K02000001","4","221"
"Average weekly household income by ethnic group of the head of the household","GBP 1,200 or more, but less than GBP 1,400 ","2009/10-2011/12","Bangladeshi","ONS 5+2","K02000001","2","221"
"Average weekly household income by ethnic group of the head of the household","GBP 1,400 or more, but less than GBP 1,600 ","2009/10-2011/12","Bangladeshi","ONS 5+2","K02000001","2","221"
"Average weekly household income by ethnic group of the head of the household","GBP 1,600 or more, but less than GBP 1,800 ","2009/10-2011/12","Bangladeshi","ONS 5+2","K02000001","~","221"
"Average weekly household income by ethnic group of the head of the household","GBP 1,800 or more, but less than GBP 2,000 ","2009/10-2011/12","Bangladeshi","ONS 5+3","K02000002","~","221"
"Average weekly household income by ethnic group of the head of the household","GBP 2,000 or more ","2009/10-2011/12","Bangladeshi","ONS 5+2","K02000001","2","221"
"Average weekly household income by ethnic group of the head of the household","GBP 200 or more, but less than GBP 400 ","2009/10-2011/12","Bangladeshi","ONS 5+2","K02000001","24","221"
"Average weekly household income by ethnic group of the head of the household","GBP 400 or more, but less than GBP 600 ","2009/10-2011/12","Bangladeshi","ONS 5+2","K02000001","29","221"
"Average weekly household income by ethnic group of the head of the household","GBP 600 or more, but less than GBP 800 ","2009/10-2011/12","Bangladeshi","ONS 5+2","K02000001","15","221"
"Average weekly household income by ethnic group of the head of the household","GBP 800 or more, but less than GBP 1,000 ","2009/10-2011/12","Bangladeshi","ONS 5+2","K02000001","8","221"
"Average weekly household income by ethnic group of the head of the household","Less than GBP 200  ","2009/10-2011/12","Bangladeshi","ONS 5+2","K02000001","13","221"
"Average weekly household income by ethnic group of the head of the household","GBP 1,000 or more, but less than GBP 1,200 ","2009/10-2011/12","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","5","1,457"
"Average weekly household income by ethnic group of the head of the household","GBP 1,200 or more, but less than GBP 1,400 ","2009/10-2011/12","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","5","1,457"
"Average weekly household income by ethnic group of the head of the household","GBP 1,400 or more, but less than GBP 1,600 ","2009/10-2011/12","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","2","1,457"
"Average weekly household income by ethnic group of the head of the household","GBP 1,600 or more, but less than GBP 1,800 ","2009/10-2011/12","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","1","1,457"
"Average weekly household income by ethnic group of the head of the household","GBP 1,800 or more, but less than GBP 2,000 ","2009/10-2011/12","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","1","1,457"
"Average weekly household income by ethnic group of the head of the household","GBP 2,000 or more ","2009/10-2011/12","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","2","1,457"
"Average weekly household income by ethnic group of the head of the household","GBP 200 or more, but less than GBP 400 ","2009/10-2011/12","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","30","1,457"
"Average weekly household income by ethnic group of the head of the household","GBP 400 or more, but less than GBP 600 ","2009/10-2011/12","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","20","1,457"
"Average weekly household income by ethnic group of the head of the household","GBP 600 or more, but less than GBP 800 ","2009/10-2011/12","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","14","1,457"
"Average weekly household income by ethnic group of the head of the household","GBP 800 or more, but less than GBP 1,000 ","2009/10-2011/12","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","9","1,457"
"Average weekly household income by ethnic group of the head of the household","Less than GBP 200  ","2009/10-2011/12","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","12","1,457"
"Average weekly household income by ethnic group of the head of the household","GBP 1,000 or more, but less than GBP 1,200 ","2009/10-2011/12","Chinese","ONS 5+2","K02000001","5","236"
"Average weekly household income by ethnic group of the head of the household","GBP 1,200 or more, but less than GBP 1,400 ","2009/10-2011/12","Chinese","ONS 5+2","K02000001","4","236"
"Average weekly household income by ethnic group of the head of the household","GBP 1,400 or more, but less than GBP 1,600 ","2009/10-2011/12","Chinese","ONS 5+2","K02000001","6","236"
"Average weekly household income by ethnic group of the head of the household","GBP 1,600 or more, but less than GBP 1,800 ","2009/10-2011/12","Chinese","ONS 5+2","K02000001","3","236"
"Average weekly household income by ethnic group of the head of the household","GBP 1,800 or more, but less than GBP 2,000 ","2009/10-2011/12","Chinese","ONS 5+2","K02000001","2","236"
"Average weekly household income by ethnic group of the head of the household","GBP 2,000 or more ","2009/10-2011/12","Chinese","ONS 5+2","K02000001","3","236"
"Average weekly household income by ethnic group of the head of the household","GBP 200 or more, but less than GBP 400 ","2009/10-2011/12","Chinese","ONS 5+2","K02000001","15","236"
"Average weekly household income by ethnic group of the head of the household","GBP 400 or more, but less than GBP 600 ","2009/10-2011/12","Chinese","ONS 5+2","K02000001","19","236"
"Average weekly household income by ethnic group of the head of the household","GBP 600 or more, but less than GBP 800 ","2009/10-2011/12","Chinese","ONS 5+2","K02000001","14","236"
"Average weekly household income by ethnic group of the head of the household","GBP 800 or more, but less than GBP 1,000 ","2009/10-2011/12","Chinese","ONS 5+2","K02000001","10","236"
"Average weekly household income by ethnic group of the head of the household","Less than GBP 200  ","2009/10-2011/12","Chinese","ONS 5+2","K02000001","18","236"
"Average weekly household income by ethnic group of the head of the household","GBP 1,000 or more, but less than GBP 1,200 ","2009/10-2011/12","Indian","ONS 5+2","K02000001","9","1,127"
"Average weekly household income by ethnic group of the head of the household","GBP 1,200 or more, but less than GBP 1,400 ","2009/10-2011/12","Indian","ONS 5+2","K02000001","6","1,127"
"Average weekly household income by ethnic group of the head of the household","GBP 1,400 or more, but less than GBP 1,600 ","2009/10-2011/12","Indian","ONS 5+2","K02000001","4","1,127"
"Average weekly household income by ethnic group of the head of the household","GBP 1,600 or more, but less than GBP 1,800 ","2009/10-2011/12","Indian","ONS 5+2","K02000001","3","1,127"
"Average weekly household income by ethnic group of the head of the household","GBP 1,800 or more, but less than GBP 2,000 ","2009/10-2011/12","Indian","ONS 5+2","K02000001","3","1,127"
"Average weekly household income by ethnic group of the head of the household","GBP 2,000 or more ","2009/10-2011/12","Indian","ONS 5+2","K02000001","7","1,127"
"Average weekly household income by ethnic group of the head of the household","GBP 200 or more, but less than GBP 400 ","2009/10-2011/12","Indian","ONS 5+2","K02000001","19","1,127"
"Average weekly household income by ethnic group of the head of the household","GBP 400 or more, but less than GBP 600 ","2009/10-2011/12","Indian","ONS 5+2","K02000001","16","1,127"
"Average weekly household income by ethnic group of the head of the household","GBP 600 or more, but less than GBP 800 ","2009/10-2011/12","Indian","ONS 5+2","K02000001","15","1,127"
"Average weekly household income by ethnic group of the head of the household","GBP 800 or more, but less than GBP 1,000 ","2009/10-2011/12","Indian","ONS 5+2","K02000001","11","1,127"
"Average weekly household income by ethnic group of the head of the household","Less than GBP 200  ","2009/10-2011/12","Indian","ONS 5+2","K02000001","7","1,127"
"Average weekly household income by ethnic group of the head of the household","GBP 1,000 or more, but less than GBP 1,200 ","2009/10-2011/12","Mixed/ Multiple ethnic groups","ONS 5+2","K02000001","6","531"
"Average weekly household income by ethnic group of the head of the household","GBP 1,200 or more, but less than GBP 1,400 ","2009/10-2011/12","Mixed/ Multiple ethnic groups","ONS 5+2","K02000001","4","531"
"Average weekly household income by ethnic group of the head of the household","GBP 1,400 or more, but less than GBP 1,600 ","2009/10-2011/12","Mixed/ Multiple ethnic groups","ONS 5+2","K02000001","3","531"
"Average weekly household income by ethnic group of the head of the household","GBP 1,600 or more, but less than GBP 1,800 ","2009/10-2011/12","Mixed/ Multiple ethnic groups","ONS 5+2","K02000001","2","531"
"Average weekly household income by ethnic group of the head of the household","GBP 1,800 or more, but less than GBP 2,000 ","2009/10-2011/12","Mixed/ Multiple ethnic groups","ONS 5+2","K02000001","1","531"
"Average weekly household income by ethnic group of the head of the household","GBP 2,000 or more ","2009/10-2011/12","Mixed/ Multiple ethnic groups","ONS 5+2","K02000001","3","531"
"Average weekly household income by ethnic group of the head of the household","GBP 200 or more, but less than GBP 400 ","2009/10-2011/12","Mixed/ Multiple ethnic groups","ONS 5+2","K02000001","27","531"
"Average weekly household income by ethnic group of the head of the household","GBP 400 or more, but less than GBP 600 ","2009/10-2011/12","Mixed/ Multiple ethnic groups","ONS 5+2","K02000001","19","531"
"Average weekly household income by ethnic group of the head of the household","GBP 600 or more, but less than GBP 800 ","2009/10-2011/12","Mixed/ Multiple ethnic groups","ONS 5+2","K02000001","16","531"
"Average weekly household income by ethnic group of the head of the household","GBP 800 or more, but less than GBP 1,000 ","2009/10-2011/12","Mixed/ Multiple ethnic groups","ONS 5+2","K02000001","9","531"
"Average weekly household income by ethnic group of the head of the household","Less than GBP 200  ","2009/10-2011/12","Mixed/ Multiple ethnic groups","ONS 5+2","K02000001","10","531"
"Average weekly household income by ethnic group of the head of the household","GBP 1,000 or more, but less than GBP 1,200 ","2009/10-2011/12","Other ethnic group","ONS 5+2","K02000001","6","597"
"Average weekly household income by ethnic group of the head of the household","GBP 1,200 or more, but less than GBP 1,400 ","2009/10-2011/12","Other ethnic group","ONS 5+2","K02000001","4","597"
"Average weekly household income by ethnic group of the head of the household","GBP 1,400 or more, but less than GBP 1,600 ","2009/10-2011/12","Other ethnic group","ONS 5+2","K02000001","2","597"
"Average weekly household income by ethnic group of the head of the household","GBP 1,600 or more, but less than GBP 1,800 ","2009/10-2011/12","Other ethnic group","ONS 5+2","K02000001","1","597"
"Average weekly household income by ethnic group of the head of the household","GBP 1,800 or more, but less than GBP 2,000 ","2009/10-2011/12","Other ethnic group","ONS 5+2","K02000001","2","597"
"Average weekly household income by ethnic group of the head of the household","GBP 2,000 or more ","2009/10-2011/12","Other ethnic group","ONS 5+2","K02000001","4","597"
"Average weekly household income by ethnic group of the head of the household","GBP 200 or more, but less than GBP 400 ","2009/10-2011/12","Other ethnic group","ONS 5+2","K02000001","23","597"
"Average weekly household income by ethnic group of the head of the household","GBP 400 or more, but less than GBP 600 ","2009/10-2011/12","Other ethnic group","ONS 5+2","K02000001","21","597"
"Average weekly household income by ethnic group of the head of the household","GBP 600 or more, but less than GBP 800 ","2009/10-2011/12","Other ethnic group","ONS 5+2","K02000001","12","597"
"Average weekly household income by ethnic group of the head of the household","GBP 800 or more, but less than GBP 1,000 ","2009/10-2011/12","Other ethnic group","ONS 5+2","K02000001","10","597"
"Average weekly household income by ethnic group of the head of the household","Less than GBP 200  ","2009/10-2011/12","Other ethnic group","ONS 5+2","K02000001","15","597"
"Average weekly household income by ethnic group of the head of the household","GBP 1,000 or more, but less than GBP 1,200 ","2009/10-2011/12","Pakistani","ONS 5+2","K02000001","4","618"
"Average weekly household income by ethnic group of the head of the household","GBP 1,200 or more, but less than GBP 1,400 ","2009/10-2011/12","Pakistani","ONS 5+2","K02000001","3","618"
"Average weekly household income by ethnic group of the head of the household","GBP 1,400 or more, but less than GBP 1,600 ","2009/10-2011/12","Pakistani","ONS 5+2","K02000001","2","618"
"Average weekly household income by ethnic group of the head of the household","GBP 1,600 or more, but less than GBP 1,800 ","2009/10-2011/12","Pakistani","ONS 5+2","K02000001","1","618"
"Average weekly household income by ethnic group of the head of the household","GBP 1,800 or more, but less than GBP 2,000 ","2009/10-2011/12","Pakistani","ONS 5+2","K02000001","~","618"
"Average weekly household income by ethnic group of the head of the household","GBP 2,000 or more ","2009/10-2011/12","Pakistani","ONS 5+2","K02000001","4","618"
"Average weekly household income by ethnic group of the head of the household","GBP 200 or more, but less than GBP 400 ","2009/10-2011/12","Pakistani","ONS 5+2","K02000001","28","618"
"Average weekly household income by ethnic group of the head of the household","GBP 400 or more, but less than GBP 600 ","2009/10-2011/12","Pakistani","ONS 5+2","K02000001","28","618"
"Average weekly household income by ethnic group of the head of the household","GBP 600 or more, but less than GBP 800 ","2009/10-2011/12","Pakistani","ONS 5+2","K02000001","12","618"
"Average weekly household income by ethnic group of the head of the household","GBP 800 or more, but less than GBP 1,000 ","2009/10-2011/12","Pakistani","ONS 5+2","K02000001","10","618"
"Average weekly household income by ethnic group of the head of the household","Less than GBP 200  ","2009/10-2011/12","Pakistani","ONS 5+2","K02000001","9","618"
"Average weekly household income by ethnic group of the head of the household","GBP 1,000 or more, but less than GBP 1,200 ","2009/10-2011/12","White","ONS 5+2","K02000001","7","66,117"
"Average weekly household income by ethnic group of the head of the household","GBP 1,200 or more, but less than GBP 1,400 ","2009/10-2011/12","White","ONS 5+2","K02000001","4","66,117"
"Average weekly household income by ethnic group of the head of the household","GBP 1,400 or more, but less than GBP 1,600 ","2009/10-2011/12","White","ONS 5+2","K02000001","3","66,117"
"Average weekly household income by ethnic group of the head of the household","GBP 1,600 or more, but less than GBP 1,800 ","2009/10-2011/12","White","ONS 5+2","K02000001","2","66,117"
"Average weekly household income by ethnic group of the head of the household","GBP 1,800 or more, but less than GBP 2,000 ","2009/10-2011/12","White","ONS 5+2","K02000001","1","66,117"
"Average weekly household income by ethnic group of the head of the household","GBP 2,000 or more ","2009/10-2011/12","White","ONS 5+2","K02000001","4","66,117"
"Average weekly household income by ethnic group of the head of the household","GBP 200 or more, but less than GBP 400 ","2009/10-2011/12","White","ONS 5+2","K02000001","27","66,117"
"Average weekly household income by ethnic group of the head of the household","GBP 400 or more, but less than GBP 600 ","2009/10-2011/12","White","ONS 5+2","K02000001","19","66,117"
"Average weekly household income by ethnic group of the head of the household","GBP 600 or more, but less than GBP 800 ","2009/10-2011/12","White","ONS 5+2","K02000001","14","66,117"
"Average weekly household income by ethnic group of the head of the household","GBP 800 or more, but less than GBP 1,000 ","2009/10-2011/12","White","ONS 5+2","K02000001","10","66,117"
"Average weekly household income by ethnic group of the head of the household","Less than GBP 200  ","2009/10-2011/12","White","ONS 5+2","K02000001","9","66,117"
"Average weekly household income by ethnic group of the head of the household","GBP 1,000 or more, but less than GBP 1,200 ","2009/10-2011/12","White British","ONS 5+2","K02000001","7","63,385"
"Average weekly household income by ethnic group of the head of the household","GBP 1,200 or more, but less than GBP 1,400 ","2009/10-2011/12","White British","ONS 5+2","K02000001","4","63,385"
"Average weekly household income by ethnic group of the head of the household","GBP 1,400 or more, but less than GBP 1,600 ","2009/10-2011/12","White British","ONS 5+2","K02000001","3","63,385"
"Average weekly household income by ethnic group of the head of the household","GBP 1,600 or more, but less than GBP 1,800 ","2009/10-2011/12","White British","ONS 5+2","K02000001","2","63,385"
"Average weekly household income by ethnic group of the head of the household","GBP 1,800 or more, but less than GBP 2,000 ","2009/10-2011/12","White British","ONS 5+2","K02000001","1","63,385"
"Average weekly household income by ethnic group of the head of the household","GBP 2,000 or more ","2009/10-2011/12","White British","ONS 5+2","K02000001","4","63,385"
"Average weekly household income by ethnic group of the head of the household","GBP 200 or more, but less than GBP 400 ","2009/10-2011/12","White British","ONS 5+2","K02000001","27","63,385"
"Average weekly household income by ethnic group of the head of the household","GBP 400 or more, but less than GBP 600 ","2009/10-2011/12","White British","ONS 5+2","K02000001","19","63,385"
"Average weekly household income by ethnic group of the head of the household","GBP 600 or more, but less than GBP 800 ","2009/10-2011/12","White British","ONS 5+2","K02000001","14","63,385"
"Average weekly household income by ethnic group of the head of the household","GBP 800 or more, but less than GBP 1,000 ","2009/10-2011/12","White British","ONS 5+2","K02000001","10","63,385"
"Average weekly household income by ethnic group of the head of the household","Less than GBP 200  ","2009/10-2011/12","White British","ONS 5+2","K02000001","9","63,385"
"Average weekly household income by ethnic group of the head of the household","GBP 1,000 or more, but less than GBP 1,200 ","2009/10-2011/12","White non-British","ONS 5+2","K02000001","7","2,732"
"Average weekly household income by ethnic group of the head of the household","GBP 1,200 or more, but less than GBP 1,400 ","2009/10-2011/12","White non-British","ONS 5+2","K02000001","5","2,732"
"Average weekly household income by ethnic group of the head of the household","GBP 1,400 or more, but less than GBP 1,600 ","2009/10-2011/12","White non-British","ONS 5+2","K02000001","4","2,732"
"Average weekly household income by ethnic group of the head of the household","GBP 1,600 or more, but less than GBP 1,800 ","2009/10-2011/12","White non-British","ONS 5+2","K02000001","2","2,732"
"Average weekly household income by ethnic group of the head of the household","GBP 1,800 or more, but less than GBP 2,000 ","2009/10-2011/12","White non-British","ONS 5+2","K02000001","2","2,732"
"Average weekly household income by ethnic group of the head of the household","GBP 2,000 or more ","2009/10-2011/12","White non-British","ONS 5+2","K02000001","7","2,732"
"Average weekly household income by ethnic group of the head of the household","GBP 200 or more, but less than GBP 400 ","2009/10-2011/12","White non-British","ONS 5+2","K02000001","22","2,732"
"Average weekly household income by ethnic group of the head of the household","GBP 400 or more, but less than GBP 600 ","2009/10-2011/12","White non-British","ONS 5+2","K02000001","19","2,732"
"Average weekly household income by ethnic group of the head of the household","GBP 600 or more, but less than GBP 800 ","2009/10-2011/12","White non-British","ONS 5+2","K02000001","13","2,732"
"Average weekly household income by ethnic group of the head of the household","GBP 800 or more, but less than GBP 1,000 ","2009/10-2011/12","White non-British","ONS 5+2","K02000001","11","2,732"
"Average weekly household income by ethnic group of the head of the household","Less than GBP 200  ","2009/10-2011/12","White non-British","ONS 5+2","K02000001","9","2,732"
"Average weekly household income by ethnic group of the head of the household","GBP 1,000 or more, but less than GBP 1,200 ","2010/11-2012/13","All","ONS 5+2","K02000001","7","66,320"
"Average weekly household income by ethnic group of the head of the household","GBP 1,200 or more, but less than GBP 1,400 ","2010/11-2012/13","All","ONS 5+2","K02000001","4","66,320"
"Average weekly household income by ethnic group of the head of the household","GBP 1,400 or more, but less than GBP 1,600 ","2010/11-2012/13","All","ONS 5+2","K02000001","3","66,320"
"Average weekly household income by ethnic group of the head of the household","GBP 1,600 or more, but less than GBP 1,800 ","2010/11-2012/13","All","ONS 5+2","K02000001","2","66,320"
"Average weekly household income by ethnic group of the head of the household","GBP 1,800 or more, but less than GBP 2,000 ","2010/11-2012/13","All","ONS 5+2","K02000001","1","66,320"
"Average weekly household income by ethnic group of the head of the household","GBP 2,000 or more ","2010/11-2012/13","All","ONS 5+2","K02000001","4","66,320"
"Average weekly household income by ethnic group of the head of the household","GBP 200 or more, but less than GBP 400 ","2010/11-2012/13","All","ONS 5+2","K02000001","26","66,320"
"Average weekly household income by ethnic group of the head of the household","GBP 400 or more, but less than GBP 600 ","2010/11-2012/13","All","ONS 5+2","K02000001","19","66,320"
"Average weekly household income by ethnic group of the head of the household","GBP 600 or more, but less than GBP 800 ","2010/11-2012/13","All","ONS 5+2","K02000001","14","66,320"
"Average weekly household income by ethnic group of the head of the household","GBP 800 or more, but less than GBP 1,000 ","2010/11-2012/13","All","ONS 5+2","K02000001","10","66,320"
"Average weekly household income by ethnic group of the head of the household","Less than GBP 200  ","2010/11-2012/13","All","ONS 5+2","K02000001","9","66,320"
"Average weekly household income by ethnic group of the head of the household","GBP 1,000 or more, but less than GBP 1,200 ","2010/11-2012/13","Any other Asian background","ONS 5+2","K02000001","7","396"
"Average weekly household income by ethnic group of the head of the household","GBP 1,200 or more, but less than GBP 1,400 ","2010/11-2012/13","Any other Asian background","ONS 5+2","K02000001","6","396"
"Average weekly household income by ethnic group of the head of the household","GBP 1,400 or more, but less than GBP 1,600 ","2010/11-2012/13","Any other Asian background","ONS 5+2","K02000001","4","396"
"Average weekly household income by ethnic group of the head of the household","GBP 1,600 or more, but less than GBP 1,800 ","2010/11-2012/13","Any other Asian background","ONS 5+2","K02000001","1","396"
"Average weekly household income by ethnic group of the head of the household","GBP 1,800 or more, but less than GBP 2,000 ","2010/11-2012/13","Any other Asian background","ONS 5+2","K02000001","1","396"
"Average weekly household income by ethnic group of the head of the household","GBP 2,000 or more ","2010/11-2012/13","Any other Asian background","ONS 5+2","K02000001","5","396"
"Average weekly household income by ethnic group of the head of the household","GBP 200 or more, but less than GBP 400 ","2010/11-2012/13","Any other Asian background","ONS 5+2","K02000001","20","396"
"Average weekly household income by ethnic group of the head of the household","GBP 400 or more, but less than GBP 600 ","2010/11-2012/13","Any other Asian background","ONS 5+2","K02000001","17","396"
"Average weekly household income by ethnic group of the head of the household","GBP 600 or more, but less than GBP 800 ","2010/11-2012/13","Any other Asian background","ONS 5+2","K02000001","17","396"
"Average weekly household income by ethnic group of the head of the household","GBP 800 or more, but less than GBP 1,000 ","2010/11-2012/13","Any other Asian background","ONS 5+2","K02000001","9","396"
"Average weekly household income by ethnic group of the head of the household","Less than GBP 200  ","2010/11-2012/13","Any other Asian background","ONS 5+2","K02000001","13","396"
"Average weekly household income by ethnic group of the head of the household","GBP 1,000 or more, but less than GBP 1,200 ","2010/11-2012/13","Asian/ Asian British","ONS 5+2","K02000001","7","2,454"
"Average weekly household income by ethnic group of the head of the household","GBP 1,200 or more, but less than GBP 1,400 ","2010/11-2012/13","Asian/ Asian British","ONS 5+2","K02000001","6","2,454"
"Average weekly household income by ethnic group of the head of the household","GBP 1,400 or more, but less than GBP 1,600 ","2010/11-2012/13","Asian/ Asian British","ONS 5+2","K02000001","3","2,454"
"Average weekly household income by ethnic group of the head of the household","GBP 1,600 or more, but less than GBP 1,800 ","2010/11-2012/13","Asian/ Asian British","ONS 5+2","K02000001","2","2,454"
"Average weekly household income by ethnic group of the head of the household","GBP 1,800 or more, but less than GBP 2,000 ","2010/11-2012/13","Asian/ Asian British","ONS 5+2","K02000001","2","2,454"
"Average weekly household income by ethnic group of the head of the household","GBP 2,000 or more ","2010/11-2012/13","Asian/ Asian British","ONS 5+2","K02000001","5","2,454"
"Average weekly household income by ethnic group of the head of the household","GBP 200 or more, but less than GBP 400 ","2010/11-2012/13","Asian/ Asian British","ONS 5+2","K02000001","20","2,454"
"Average weekly household income by ethnic group of the head of the household","GBP 400 or more, but less than GBP 600 ","2010/11-2012/13","Asian/ Asian British","ONS 5+2","K02000001","22","2,454"
"Average weekly household income by ethnic group of the head of the household","GBP 600 or more, but less than GBP 800 ","2010/11-2012/13","Asian/ Asian British","ONS 5+2","K02000001","16","2,454"
"Average weekly household income by ethnic group of the head of the household","GBP 800 or more, but less than GBP 1,000 ","2010/11-2012/13","Asian/ Asian British","ONS 5+2","K02000001","9","2,454"
"Average weekly household income by ethnic group of the head of the household","Less than GBP 200  ","2010/11-2012/13","Asian/ Asian British","ONS 5+2","K02000001","9","2,454"
"Average weekly household income by ethnic group of the head of the household","GBP 1,000 or more, but less than GBP 1,200 ","2010/11-2012/13","Bangladeshi","ONS 5+2","K02000001","4","228"
"Average weekly household income by ethnic group of the head of the household","GBP 1,200 or more, but less than GBP 1,400 ","2010/11-2012/13","Bangladeshi","ONS 5+2","K02000001","3","228"
