"Ethnicity","Local authority","%"
"Black","Bexley","87"
"Black","Birmingham","77"
"Black","Blackburn with Darwen","67"
"Black","Blackpool","64"
"Black","Bolton","70"
"Black","Bournemouth, Christchurch and Poole","81"
"Black","Bracknell Forest","100"
"Black","Bradford","74"
"Black","Brent","78"
"Black","Brighton and Hove","86"
"Black","Bristol, City of","74"
"Black","Bromley","79"
"Black","Buckinghamshire","86"
"Black","Bury","71"
"Black","Calderdale","71"
"Black","Cambridgeshire","81"
"Black","Camden","82"
"Black","Central Bedfordshire","80"
"Black","Cheshire East","67"
"Black","Cheshire West and Chester","62"
"Black","City of London","!"
"Black","Cornwall","57"
"Black","County Durham","100"
"Black","Coventry","80"
"Black","Croydon","85"
"Black","Cumbria","83"
"Black","Darlington","91"
"Black","Derby","83"
"Black","Derbyshire","86"
"Black","Devon","85"
"Black","Doncaster","70"
"Black","Dorset","75"
"Black","Dudley","81"
"Black","Ealing","78"
"Black","East Riding of Yorkshire","100"
"Black","East Sussex","78"
"Black","Enfield","77"
"Black","Essex","82"
"Black","Gateshead","84"
"Black","Gloucestershire","76"
"Black","Greenwich","87"
"Black","Hackney","84"
"Black","Halton","100"
"Black","Hammersmith and Fulham","79"
"Black","Hampshire","89"
"Black","Haringey","82"
"Black","Harrow","80"
"Black","Hartlepool","83"
"Black","Havering","86"
"Black","Herefordshire, County of","85"
"Black","Hertfordshire","79"
"Black","Hillingdon","81"
"Black","Hounslow","79"
"Black","Isle of Wight","75"
"Black","Isles of Scilly","!"
"Black","Islington","78"
"Black","Kensington and Chelsea","84"
"Black","Kent","89"
"Black","Kingston upon Hull, City of","75"
"Black","Kingston upon Thames","83"
"Black","Kirklees","82"
"Black","Knowsley","86"
"Black","Lambeth","80"
"Black","Lancashire","83"
"Black","Leeds","75"
"Black","Leicester","80"
"Black","Leicestershire","76"
"Black","Lewisham","79"
"Black","Lincolnshire","77"
"Black","Liverpool","75"
"Black","Luton","74"
"Black","Manchester","79"
"Black","Medway","88"
"Black","Merton","81"
"Black","Middlesbrough","73"
"Black","Milton Keynes","83"
"Black","Newcastle upon Tyne","81"
"Black","Newham","81"
"Black","Norfolk","72"
"Black","North East Lincolnshire","50"
"Black","North Lincolnshire","71"
"Black","North Somerset","75"
"Black","North Tyneside","91"
"Black","North Yorkshire","67"
"Black","Northamptonshire","81"
"Black","Northumberland","60"
"Black","Nottingham","79"
"Black","Nottinghamshire","78"
"Black","Oldham","74"
"Black","Oxfordshire","84"
"Black","Peterborough","73"
"Black","Plymouth","81"
"Black","Portsmouth","71"
"Black","Reading","78"
"Black","Redbridge","80"
"Black","Redcar and Cleveland","100"
"Black","Richmond upon Thames","87"
"Black","Rochdale","79"
"Black","Rotherham","76"
"Black","Rutland","83"
"Black","Salford","78"
"Black","Sandwell","79"
"Black","Sefton","62"
"Black","Sheffield","78"
"Black","Shropshire","100"
"Black","Slough","81"
"Black","Solihull","79"
"Black","Somerset","83"
"Black","South Gloucestershire","79"
"Black","South Tyneside","79"
"Black","Southampton","84"
"Black","Southend-on-Sea","90"
"Black","Southwark","82"
"Black","St. Helens","73"
"Black","Staffordshire","81"
"Black","Stockport","79"
"Black","Stockton-on-Tees","81"
"Black","Stoke-on-Trent","72"
"Black","Suffolk","78"
"Black","Sunderland","81"
"Black","Surrey","85"
"Black","Sutton","84"
"Black","Swindon","90"
"Black","Tameside","59"
"Black","Telford and Wrekin","74"
"Black","Thurrock","85"
"Black","Torbay","50"
"Black","Tower Hamlets","81"
"Black","Trafford","85"
"Black","Wakefield","84"
"Black","Walsall","76"
"Black","Waltham Forest","81"
"Black","Wandsworth","80"
"Black","Warrington","80"
"Black","Warwickshire","86"
"Black","West Berkshire","79"
"Black","West Sussex","72"
"Black","Westminster","83"
"Black","Wigan","82"
"Black","Wiltshire","78"
"Black","Windsor and Maidenhead","78"
"Black","Wirral","70"
"Black","Wokingham","81"
"Black","Wolverhampton","74"
"Black","Worcestershire","73"
"Black","York","82"
"Chinese","Barking and Dagenham","94"
"Chinese","Barnet","88"
"Chinese","Barnsley","N/A"
"Chinese","Bath and North East Somerset","89"
"Chinese","Bedford","100"
"Chinese","Bexley","90"
"Chinese","Birmingham","91"
"Chinese","Blackburn with Darwen","100"
"Chinese","Blackpool","80"
"Chinese","Bolton","81"
"Chinese","Bournemouth, Christchurch and Poole","96"
"Chinese","Bracknell Forest","100"
"Chinese","Bradford","78"
"Chinese","Brent","93"
"Chinese","Brighton and Hove","83"
"Chinese","Bristol, City of","94"
"Chinese","Bromley","96"
"Chinese","Buckinghamshire","92"
"Chinese","Bury","93"
"Chinese","Calderdale","70"
"Chinese","Cambridgeshire","82"
"Chinese","Camden","83"
"Chinese","Central Bedfordshire","90"
"Chinese","Cheshire East","78"
"Chinese","Cheshire West and Chester","86"
"Chinese","City of London","!"
"Chinese","Cornwall","73"
"Chinese","County Durham","87"
"Chinese","Coventry","96"
"Chinese","Croydon","86"
"Chinese","Cumbria","71"
"Chinese","Darlington","100"
"Chinese","Derby","89"
"Chinese","Derbyshire","79"
"Chinese","Devon","88"
"Chinese","Doncaster","87"
"Chinese","Dorset","100"
"Chinese","Dudley","93"
"Chinese","Ealing","87"
"Chinese","East Riding of Yorkshire","100"
"Chinese","East Sussex","84"
"Chinese","Enfield","95"
"Chinese","Essex","87"
"Chinese","Gateshead","80"
"Chinese","Gloucestershire","92"
"Chinese","Greenwich","93"
"Chinese","Hackney","88"
"Chinese","Halton","N/A"
"Chinese","Hammersmith and Fulham","86"
"Chinese","Hampshire","89"
"Chinese","Haringey","89"
