"Measure","Ethnicity","Ethnicity_type","Time","Time_type","Grade","Geography","Geography_type","Value","Value_type","Headcount"
"Median gross annual salary of civil servants (in pounds)","Chinese","Asian, Black, Chinese, Mixed, White, Other","2015","Year","Grades 6 & 7","UK and overseas","UK and overseas","54,000","£","100"
"Median gross annual salary of civil servants (in pounds)","Chinese","Asian, Black, Chinese, Mixed, White, Other","2015","Year","Senior Civil Service","UK and overseas","UK and overseas","87,600","£","10"
"Median gross annual salary of civil servants (in pounds)","Chinese","Asian, Black, Chinese, Mixed, White, Other","2015","Year","Unknown grade","UK and overseas","UK and overseas","31,700","£","10"
"Median gross annual salary of civil servants (in pounds)","Mixed","Asian, Black, Chinese, Mixed, White, Other","2015","Year","Administrative officers and assistants","UK and overseas","UK and overseas","19,300","£","1,560"
"Median gross annual salary of civil servants (in pounds)","Mixed","Asian, Black, Chinese, Mixed, White, Other","2015","Year","Executive officer","UK and overseas","UK and overseas","25,300","£","1,140"
"Median gross annual salary of civil servants (in pounds)","Mixed","Asian, Black, Chinese, Mixed, White, Other","2015","Year","Senior and higher executive officer","UK and overseas","UK and overseas","33,900","£","1,110"
"Median gross annual salary of civil servants (in pounds)","Mixed","Asian, Black, Chinese, Mixed, White, Other","2015","Year","Grades 6 & 7","UK and overseas","UK and overseas","54,500","£","490"
"Median gross annual salary of civil servants (in pounds)","Mixed","Asian, Black, Chinese, Mixed, White, Other","2015","Year","Senior Civil Service","UK and overseas","UK and overseas","76,400","£","40"
"Median gross annual salary of civil servants (in pounds)","Mixed","Asian, Black, Chinese, Mixed, White, Other","2015","Year","Unknown grade","UK and overseas","UK and overseas","31,100","£","70"
"Median gross annual salary of civil servants (in pounds)","White","Asian, Black, Chinese, Mixed, White, Other","2015","Year","Administrative officers and assistants","UK and overseas","UK and overseas","19,300","£","117,410"
"Median gross annual salary of civil servants (in pounds)","White","Asian, Black, Chinese, Mixed, White, Other","2015","Year","Executive officer","UK and overseas","UK and overseas","25,000","£","80,330"
"Median gross annual salary of civil servants (in pounds)","White","Asian, Black, Chinese, Mixed, White, Other","2015","Year","Senior and higher executive officer","UK and overseas","UK and overseas","33,100","£","73,430"
"Median gross annual salary of civil servants (in pounds)","White","Asian, Black, Chinese, Mixed, White, Other","2015","Year","Grades 6 & 7","UK and overseas","UK and overseas","54,000","£","28,120"
"Median gross annual salary of civil servants (in pounds)","White","Asian, Black, Chinese, Mixed, White, Other","2015","Year","Senior Civil Service","UK and overseas","UK and overseas","80,700","£","3,480"
"Median gross annual salary of civil servants (in pounds)","White","Asian, Black, Chinese, Mixed, White, Other","2015","Year","Unknown grade","UK and overseas","UK and overseas","29,300","£","2,790"
"Median gross annual salary of civil servants (in pounds)","Other","Asian, Black, Chinese, Mixed, White, Other","2015","Year","Administrative officers and assistants","UK and overseas","UK and overseas","19,600","£","570"
"Median gross annual salary of civil servants (in pounds)","Other","Asian, Black, Chinese, Mixed, White, Other","2015","Year","Executive officer","UK and overseas","UK and overseas","25,300","£","630"
"Median gross annual salary of civil servants (in pounds)","Other","Asian, Black, Chinese, Mixed, White, Other","2015","Year","Senior and higher executive officer","UK and overseas","UK and overseas","34,400","£","500"
"Median gross annual salary of civil servants (in pounds)","Other","Asian, Black, Chinese, Mixed, White, Other","2015","Year","Grades 6 & 7","UK and overseas","UK and overseas","55,600","£","290"
"Median gross annual salary of civil servants (in pounds)","Other","Asian, Black, Chinese, Mixed, White, Other","2015","Year","Senior Civil Service","UK and overseas","UK and overseas","91,100","£","40"
"Median gross annual salary of civil servants (in pounds)","Other","Asian, Black, Chinese, Mixed, White, Other","2015","Year","Unknown grade","UK and overseas","UK and overseas","!","£","!"
"Median gross annual salary of civil servants (in pounds)","Unknown","Asian, Black, Chinese, Mixed, White, Other","2015","Year","Administrative officers and assistants","UK and overseas","UK and overseas","18,800","£","36,640"
"Median gross annual salary of civil servants (in pounds)","Unknown","Asian, Black, Chinese, Mixed, White, Other","2015","Year","Executive officer","UK and overseas","UK and overseas","25,000","£","20,600"
"Median gross annual salary of civil servants (in pounds)","Unknown","Asian, Black, Chinese, Mixed, White, Other","2015","Year","Senior and higher executive officer","UK and overseas","UK and overseas","33,300","£","20,540"
"Median gross annual salary of civil servants (in pounds)","Unknown","Asian, Black, Chinese, Mixed, White, Other","2015","Year","Grades 6 & 7","UK and overseas","UK and overseas","54,100","£","9,010"
"Median gross annual salary of civil servants (in pounds)","Unknown","Asian, Black, Chinese, Mixed, White, Other","2015","Year","Senior Civil Service","UK and overseas","UK and overseas","82,200","£","1,210"
"Median gross annual salary of civil servants (in pounds)","Unknown","Asian, Black, Chinese, Mixed, White, Other","2015","Year","Unknown grade","UK and overseas","UK and overseas","29,600","£","9,630"
"Median gross annual salary of civil servants (in pounds)","All","Asian, Black, Chinese, Mixed, White, Other","2016","Year","Administrative officers and assistants","UK and overseas","UK and overseas","19,500","£","153,830"
"Median gross annual salary of civil servants (in pounds)","All","Asian, Black, Chinese, Mixed, White, Other","2016","Year","Executive officer","UK and overseas","UK and overseas","25,200","£","109,620"
"Median gross annual salary of civil servants (in pounds)","All","Asian, Black, Chinese, Mixed, White, Other","2016","Year","Grades 6 & 7","UK and overseas","UK and overseas","54,500","£","39,500"
