"","All","","Asian","","Black","","Chinese","","Mixed","","White",""
"Herefordshire","80","71","77","57","N/A","?","N/A","?","89","77","81","72"
"Hertfordshire","78","66","73","64","73","55","76","79","79","64","80","67"
"Hillingdon","80","68","85","72","80","67","75","100","83","74","78","65"
"Hounslow","78","67","84","69","72","66","75","88","80","73","76","65"
"Isle of Wight","76","64","?","33","?","?","?","?","100","61","76","64"
"Isles of Scilly","73","85","N/A","N/A","N/A","N/A","N/A","N/A","N/A","?","73","92"
"Islington","76","61","80","52","68","54","80","71","82","69","78","61"
"Kensington and Chelsea","76","61","60","60","71","53","100","N/A","84","67","81","69"
"Kent","80","67","88","67","83","64","93","62","84","69","80","68"
"Kingston Upon Hull City of","71","56","76","71","74","53","?","N/A","75","58","72","57"
"Kingston upon Thames","83","68","80","61","89","63","84","83","84","64","83","73"
"Kirklees","76","62","72","58","66","57","?","67","72","63","79","65"
"Knowsley","74","58","100","82","50","33","?","N/A","64","58","75","58"
"Lambeth","76","65","59","61","73","58","100","60","78","60","82","72"
"Lancashire","74","60","64","49","69","57","64","75","77","62","76","62"
"Leeds","73","59","69","54","64","54","100","71","73","58","75","61"
"Leicester","72","60","79","64","66","57","62","67","74","61","69","57"
"Leicestershire","78","64","81","62","88","49","91","72","78","62","78","65"
"Lewisham","82","70","83","67","78","63","87","71","83","71","86","78"
"Lincolnshire","76","62","80","67","75","60","?","?","72","66","77","62"
"Liverpool","71","57","70","52","68","52","84","47","73","51","72","59"
"Luton","75","60","76","60","80","66","?","?","75","63","74","59"
"Manchester","72","57","71","58","74","60","58","60","75","59","74","58"
"Medway","78","67","69","71","81","64","?","?","77","76","79","67"
"Merton","81","69","80","65","77","68","92","83","89","67","82","72"
"Middlesbrough","67","56","63","61","76","70","60","40","56","59","70","55"
"Milton Keynes","80","66","84","76","75","57","100","71","86","67","79","66"
"Newcastle upon Tyne","76","64","71","62","70","51","81","92","76","73","78","65"
"Newham","81","68","82","71","82","62","80","89","87","71","83","65"
"Norfolk","79","65","71","62","90","63","100","79","82","75","79","65"
"North East Lincolnshire","78","63","100","20","?","?","?","?","82","66","78","63"
"North Lincolnshire","77","64","75","65","?","44","?","?","71","67","78","65"
"North Somerset","80","69","78","44","80","75","?","?","77","70","80","69"
"North Tyneside","77","66","89","55","80","50","40","88","74","68","77","66"
"North Yorkshire","79","65","63","48","71","72","?","33","83","69","79","66"
"Northamptonshire","76","63","75","67","84","61","88","60","75","59","77","64"
"Northumberland","82","67","82","50","?","?","?","?","70","69","82","68"
"Nottingham","73","57","74","59","79","60","90","63","72","61","73","56"
"Nottinghamshire","77","63","68","58","65","69","74","52","79","57","78","64"
"Oldham","74","58","68","52","82","55","50","60","78","55","78","63"
"Oxfordshire","80","66","74","59","78","49","75","82","81","63","81","68"
"Peterborough","72","58","69","53","73","55","90","57","87","59","72","59"
"Plymouth","74","62","78","63","94","67","?","40","73","66","74","63"
"Portsmouth","75","63","70","50","73","64","88","78","78","67","77","63"
"Reading","74","60","81","61","68","53","90","80","81","64","73","64"
"Redbridge","81","69","85","72","77","64","83","85","84","74","76","65"
"Redcar and Cleveland","75","64","?","86","N/A","?","N/A","?","68","82","76","64"
"Richmond upon Thames","85","76","84","72","77","47","93","86","85","76","88","77"
"Rochdale","71","57","67","56","65","53","67","86","81","46","73","61"
"Rotherham","77","61","75","57","92","40","82","80","74","59","77","63"
"Rutland","81","75","?","?","?","?","N/A","N/A","67","100","82","75"
"Salford","74","58","71","62","75","49","100","?","78","55","77","62"
"Sandwell","72","58","73","63","74","57","100","59","75","60","73","57"
"Sefton","75","61","64","36","80","25","86","40","69","77","76","61"
"Sheffield","76","63","76","60","74","63","75","81","76","59","79","65"
"Shropshire","80","65","71","50","?","?","?","?","91","81","80","65"
"Slough","80","66","85","70","85","63","N/A","?","79","69","74","63"
"Solihull","76","65","83","66","58","39","80","70","74","53","76","67"
"Somerset","78","64","86","55","86","44","?","67","72","66","79","65"
"South Gloucestershire","82","70","78","72","95","50","100","67","83","62","83","71"
"South Tyneside","81","65","75","54","67","17","?","?","71","67","81","66"
"Southampton","79","62","77","63","91","59","89","75","85","63","79","63"
"Southend-on-Sea","79","68","74","56","77","59","100","80","77","74","80","69"
"Southwark","80","67","88","57","79","61","71","83","83","74","85","72"
"St. Helens","76","61","40","56","57","75","?","?","67","71","77","61"
"Staffordshire","80","67","76","61","73","59","79","71","78","69","81","67"
"Stockport","75","64","71","55","64","40","82","42","70","56","76","66"
"Stockton-on-Tees","80","67","75","54","92","61","?","?","73","71","81","68"
"Stoke-on-Trent","73","58","71","52","71","58","79","20","70","57","75","61"
"Suffolk","78","61","82","47","77","46","?","?","78","61","79","62"
"Sunderland","80","65","77","55","83","46","?","67","66","66","81","65"
"Surrey","84","72","82","67","81","60","97","83","86","75","85","72"
"Sutton","79","65","78","73","75","58","81","82","79","62","80","64"
"Swindon","76","64","80","66","87","57","83","67","81","61","75","65"
"Tameside","75","56","66","47","66","31","67","67","75","57","77","59"
"Telford and Wrekin","76","63","63","57","85","55","?","?","83","71","76","64"
"Thurrock","79","65","82","58","84","69","57","?","79","75","79","65"
"Torbay","77","63","63","20","?","?","?","?","78","82","78","64"
"Tower Hamlets","77","61","77","60","81","64","86","61","78","60","78","60"
"Trafford","81","68","77","59","69","52","85","72","76","62","84","72"
"Wakefield","78","62","69","53","69","46","71","?","84","59","79","63"
"Walsall","74","57","74","58","77","50","89","?","75","55","75","58"
"Waltham Forest","80","71","79","69","78","64","100","56","84","77","83","75"
"Wandsworth","82","70","83","63","71","62","100","57","78","67","86","77"
"Warrington","79","67","69","65","62","67","88","50","75","67","80","67"
"Warwickshire","79","64","81","66","74","50","100","88","80","63","79","64"
"West Berkshire","80","69","94","67","67","64","?","?","80","71","80","69"
"West Sussex","78","64","70","59","65","57","55","53","80","67","79","65"
"Westminster","77","63","80","74","86","55","89","80","79","58","80","72"
"Wigan","74","60","59","44","69","47","78","?","75","61","74","60"
"Wiltshire","78","65","87","57","70","63","80","?","77","58","79","66"
"Windsor and Maidenhead","78","70","74","63","83","88","?","N/A","84","63","79","74"
"Wirral","74","61","60","58","?","?","40","73","84","65","75","61"
"Wokingham","81","71","84","73","79","76","86","88","84","72","82","70"
"Wolverhampton","73","61","74","62","73","56","80","70","75","66","73","61"
"Worcestershire","77","65","73","59","71","50","80","80","75","70","78","66"
"York","79","69","54","56","83","86","?","83","72","64","81","70"
