"Ethnicity","Local authority","Score","Pupils"
"Black","Staffordshire","0.41","38"
"Black","Stockport","0.22","26"
"Black","Stockton-on-Tees","1.23","14"
"Black","Stoke-on-Trent","0.25","48"
"Black","Suffolk","0.41","38"
"Black","Sunderland","0.34","14"
"Black","Surrey","0.08","164"
"Black","Sutton","0.29","206"
"Black","Swindon","0.11","32"
"Black","Tameside","0.15","29"
"Black","Telford and Wrekin","0.30","32"
"Black","Thurrock","0.46","141"
"Black","Torbay","1.16","3"
"Black","Tower Hamlets","-0.08","288"
"Black","Trafford","0.32","89"
"Black","Wakefield","0.17","36"
"Black","Walsall","-0.11","138"
"Black","Waltham Forest","-0.03","511"
"Black","Wandsworth","-0.01","445"
"Black","Warrington","-0.46","11"
"Black","Warwickshire","0.65","36"
"Black","West Berkshire","0.17","26"
"Black","West Sussex","0.25","88"
"Black","Westminster","0.29","342"
"Black","Wigan","0.10","24"
"Black","Wiltshire","0.31","32"
"Black","Windsor and Maidenhead","0.25","25"
"Black","Wirral","-0.81","6"
"Black","Wokingham","0.37","53"
"Black","Wolverhampton","-0.07","228"
"Black","Worcestershire","0.18","20"
"Black","York","0.93","8"
"Chinese","All - England","1.03","1,536"
"Chinese","Barking and Dagenham","1.85","2"
"Chinese","Barnet","1.12","38"
"Chinese","Barnsley","N/A","0"
"Chinese","Bath and North East Somerset","0.43","4"
"Chinese","Bedford","0.37","1"
"Chinese","Bexley","0.55","30"
"Chinese","Birmingham","1.09","39"
"Chinese","Blackburn with Darwen","0.44","3"
"Chinese","Blackpool","0.63","3"
"Chinese","Bolton","0.40","5"
"Chinese","Bournemouth","1.21","13"
"Chinese","Bracknell Forest","N/A","0"
"Chinese","Bradford","1.12","3"
"Chinese","Brent","1.50","3"
"Chinese","Brighton and Hove","1.32","10"
"Chinese","Bristol, City of","1.08","11"
"Chinese","Bromley","1.03","28"
"Chinese","Buckinghamshire","0.78","16"
"Chinese","Bury","0.19","7"
"Chinese","Calderdale","0.31","4"
"Chinese","Cambridgeshire","0.98","19"
"Chinese","Camden","1.01","5"
"Chinese","Central Bedfordshire","1.39","6"
"Chinese","Cheshire East","1.12","8"
"Chinese","Cheshire West and Chester","0.70","9"
"Chinese","City of London","N/A","0"
"Chinese","Cornwall","0.91","4"
"Chinese","County Durham","1.29","6"
"Chinese","Coventry","1.67","6"
"Chinese","Croydon","1.18","12"
"Chinese","Cumbria","1.64","14"
"Chinese","Darlington","1.96","2"
"Chinese","Derby","0.68","12"
"Chinese","Derbyshire","0.54","10"
"Chinese","Devon","0.92","8"
"Chinese","Doncaster","0.87","5"
"Chinese","Dorset","1.65","7"
"Chinese","Dudley","1.06","3"
"Chinese","Ealing","1.82","9"
"Chinese","East Riding of Yorkshire","0.77","3"
"Chinese","East Sussex","0.84","12"
"Chinese","Enfield","1.02","15"
"Chinese","Essex","0.88","34"
"Chinese","Gateshead","0.47","5"
"Chinese","Gloucestershire","0.84","12"
"Chinese","Greenwich","0.81","15"
"Chinese","Hackney","0.61","9"
"Chinese","Halton","1.20","1"
"Chinese","Hammersmith and Fulham","0.95","9"
"Chinese","Hampshire","1.11","25"
"Chinese","Haringey","1.02","5"
"Chinese","Harrow","0.56","8"
"Chinese","Hartlepool","1.16","1"
"Chinese","Havering","1.45","5"
"Chinese","Herefordshire, County of","1.15","2"
"Chinese","Hertfordshire","1.28","51"
"Chinese","Hillingdon","0.54","4"
"Chinese","Hounslow","0.50","3"
"Chinese","Isle of Wight","N/A","0"
"Chinese","Isles of Scilly","N/A","0"
"Chinese","Islington","0.83","9"
"Chinese","Kensington and Chelsea","0.02","2"
"Chinese","Kent","1.24","44"
"Chinese","Kingston upon Hull, City of","1.60","2"
"Chinese","Kingston upon Thames","1.19","11"
"Chinese","Kirklees","1.04","12"
"Chinese","Knowsley","-0.30","1"
"Chinese","Lambeth","0.40","15"
"Chinese","Lancashire","0.95","33"
"Chinese","Leeds","0.98","29"
"Chinese","Leicester","0.94","7"
"Chinese","Leicestershire","1.86","10"
"Chinese","Lewisham","0.72","23"
"Chinese","Lincolnshire","0.75","16"
"Chinese","Liverpool","1.04","38"
"Chinese","Luton","1.21","8"
"Chinese","Manchester","0.97","38"
"Chinese","Medway","1.45","7"
"Chinese","Merton","1.63","8"
"Chinese","Middlesbrough","1.45","2"
"Chinese","Milton Keynes","0.47","9"
"Chinese","Newcastle upon Tyne","1.31","15"
"Chinese","Newham","1.11","8"
"Chinese","Norfolk","1.62","10"
"Chinese","North East Lincolnshire","0.29","2"
"Chinese","North Lincolnshire","1.14","3"
"Chinese","North Somerset","-0.12","2"
"Chinese","North Tyneside","0.95","4"
"Chinese","North Yorkshire","0.78","5"
"Chinese","Northamptonshire","1.21","25"
"Chinese","Northumberland","0.85","2"
"Chinese","Nottingham","1.52","10"
"Chinese","Nottinghamshire","1.17","20"
"Chinese","Oldham","1.50","7"
"Chinese","Oxfordshire","1.24","15"
"Chinese","Peterborough","0.16","5"
"Chinese","Plymouth","0.96","9"
"Chinese","Poole","1.86","2"
"Chinese","Portsmouth","0.17","5"
"Chinese","Reading","1.02","17"
"Chinese","Redbridge","1.22","23"
"Chinese","Redcar and Cleveland","0.50","1"
"Chinese","Richmond upon Thames","1.18","5"
"Chinese","Rochdale","1.04","8"
"Chinese","Rotherham","1.51","7"
"Chinese","Rutland","N/A","0"
"Chinese","Salford","-0.08","4"
"Chinese","Sandwell","0.99","3"
"Chinese","Sefton","0.83","6"
"Chinese","Sheffield","1.18","14"
"Chinese","Shropshire","1.06","7"
"Chinese","Slough","0.98","6"
"Chinese","Solihull","1.34","6"
"Chinese","Somerset","0.68","9"
"Chinese","South Gloucestershire","-0.19","4"
"Chinese","South Tyneside","1.63","1"
"Chinese","Southampton","1.03","5"
"Chinese","Southend-on-Sea","0.75","11"
"Chinese","Southwark","0.56","25"
"Chinese","St. Helens","1.15","3"
"Chinese","Staffordshire","0.68","19"
"Chinese","Stockport","0.81","14"
"Chinese","Stockton-on-Tees","1.00","5"
"Chinese","Stoke-on-Trent","0.66","4"
"Chinese","Suffolk","1.34","4"
"Chinese","Sunderland","0.57","4"
"Chinese","Surrey","0.92","23"
"Chinese","Sutton","1.02","36"
"Chinese","Swindon","0.62","2"
"Chinese","Tameside","1.34","7"
"Chinese","Telford and Wrekin","1.21","6"
"Chinese","Thurrock","1.10","12"
"Chinese","Torbay","1.76","4"
"Chinese","Tower Hamlets","1.25","4"
"Chinese","Trafford","1.10","29"
"Chinese","Wakefield","1.13","8"
"Chinese","Walsall","1.71","3"
"Chinese","Waltham Forest","2.29","12"
"Chinese","Wandsworth","0.69","5"
"Chinese","Warrington","0.97","9"
"Chinese","Warwickshire","1.00","16"
"Chinese","West Berkshire","1.21","2"
"Chinese","West Sussex","1.75","16"
"Chinese","Westminster","1.27","13"
"Chinese","Wigan","1.44","8"
"Chinese","Wiltshire","1.08","11"
"Chinese","Windsor and Maidenhead","1.06","3"
"Chinese","Wirral","1.13","11"
"Chinese","Wokingham","-0.11","9"
"Chinese","Wolverhampton","-0.05","2"
"Chinese","Worcestershire","1.46","10"
"Chinese","York","1.03","3"
"Mixed","All - England","-0.02","22,916"
"Mixed","Barking and Dagenham","-0.11","123"
"Mixed","Barnet","0.45","374"
"Mixed","Barnsley","0.20","31"
"Mixed","Bath and North East Somerset","-0.07","90"
"Mixed","Bedford","-0.10","149"
"Mixed","Bexley","-0.19","186"
"Mixed","Birmingham","-0.24","810"
"Mixed","Blackburn with Darwen","-0.10","43"
"Mixed","Blackpool","-0.56","23"
"Mixed","Bolton","-0.16","98"
"Mixed","Bournemouth","0.10","70"
"Mixed","Bracknell Forest","0.11","36"
"Mixed","Bradford","-0.35","236"
"Mixed","Brent","0.00","162"
"Mixed","Brighton and Hove","0.00","176"
"Mixed","Bristol, City of","0.01","234"
"Mixed","Bromley","0.18","247"
"Mixed","Buckinghamshire","0.10","298"
"Mixed","Bury","-0.37","94"
"Mixed","Calderdale","-0.06","68"
"Mixed","Cambridgeshire","0.33","208"
"Mixed","Camden","-0.13","171"
"Mixed","Central Bedfordshire","-0.29","109"
"Mixed","Cheshire East","-0.13","70"
"Mixed","Cheshire West and Chester","-0.08","55"
"Mixed","City of London","N/A","0"
"Mixed","Cornwall","-0.05","78"
"Mixed","County Durham","0.16","46"
"Mixed","Coventry","-0.29","180"
"Mixed","Croydon","0.00","462"
"Mixed","Cumbria","0.11","57"
"Mixed","Darlington","0.24","28"
"Mixed","Derby","-0.59","169"
"Mixed","Derbyshire","-0.25","164"
"Mixed","Devon","-0.08","98"
"Mixed","Doncaster","-0.20","66"
"Mixed","Dorset","0.33","74"
"Mixed","Dudley","-0.13","175"
"Mixed","Ealing","0.14","207"
"Mixed","East Riding of Yorkshire","0.66","53"
"Mixed","East Sussex","0.05","168"
"Mixed","Enfield","0.07","312"
"Mixed","Essex","0.04","508"
"Mixed","Gateshead","-0.03","20"
"Mixed","Gloucestershire","-0.01","212"
"Mixed","Greenwich","-0.21","215"
"Mixed","Hackney","0.06","161"
"Mixed","Halton","-0.09","30"
"Mixed","Hammersmith and Fulham","0.20","115"
"Mixed","Hampshire","0.06","307"
"Mixed","Haringey","-0.04","217"
"Mixed","Harrow","0.46","156"
"Mixed","Hartlepool","-0.31","15"
"Mixed","Havering","-0.08","137"
"Mixed","Herefordshire, County of","-0.09","35"
"Mixed","Hertfordshire","0.23","752"
"Mixed","Hillingdon","0.18","315"
"Mixed","Hounslow","0.20","220"
"Mixed","Isle of Wight","-0.61","14"
"Mixed","Isles of Scilly","-0.07","1"
"Mixed","Islington","-0.26","171"
"Mixed","Kensington and Chelsea","0.12","113"
"Mixed","Kent","0.15","637"
"Mixed","Kingston upon Hull, City of","0.31","46"
"Mixed","Kingston upon Thames","0.43","121"
"Mixed","Kirklees","-0.44","245"
"Mixed","Knowsley","-1.23","12"
"Mixed","Lambeth","-0.27","245"
"Mixed","Lancashire","-0.02","250"
"Mixed","Leeds","-0.21","349"
"Mixed","Leicester","-0.50","217"
"Mixed","Leicestershire","-0.13","242"
"Mixed","Lewisham","-0.24","285"
"Mixed","Lincolnshire","0.20","154"
"Mixed","Liverpool","-0.22","213"
"Mixed","Luton","-0.24","177"
"Mixed","Manchester","-0.19","337"
"Mixed","Medway","0.14","128"
"Mixed","Merton","0.34","139"
"Mixed","Middlesbrough","0.05","41"
"Mixed","Milton Keynes","-0.11","176"
"Mixed","Newcastle upon Tyne","0.42","72"
"Mixed","Newham","-0.13","201"
"Mixed","Norfolk","0.15","162"
"Mixed","North East Lincolnshire","-0.06","20"
"Mixed","North Lincolnshire","0.44","22"
"Mixed","North Somerset","0.03","50"
"Mixed","North Tyneside","0.45","26"
"Mixed","North Yorkshire","0.37","100"
"Mixed","Northamptonshire","0.11","312"
"Mixed","Northumberland","0.18","36"
"Mixed","Nottingham","-0.55","224"
"Mixed","Nottinghamshire","0.04","264"
"Mixed","Oldham","-0.58","97"
"Mixed","Oxfordshire","-0.14","300"
"Mixed","Peterborough","-0.29","116"
"Mixed","Plymouth","-0.51","44"
"Mixed","Poole","0.46","49"
"Mixed","Portsmouth","-0.41","57"
"Mixed","Reading","-0.39","85"
"Mixed","Redbridge","0.24","216"
"Mixed","Redcar and Cleveland","-0.06","13"
"Mixed","Richmond upon Thames","0.01","134"
"Mixed","Rochdale","-0.08","63"
"Mixed","Rotherham","-0.07","65"
"Mixed","Rutland","0.86","10"
"Mixed","Salford","-0.02","87"
"Mixed","Sandwell","-0.46","235"
"Mixed","Sefton","-0.07","55"
"Mixed","Sheffield","-0.17","280"
"Mixed","Shropshire","0.03","52"
"Mixed","Slough","0.23","128"
"Mixed","Solihull","-0.34","211"
"Mixed","Somerset","-0.04","74"
"Mixed","South Gloucestershire","-0.31","96"
"Mixed","South Tyneside","-0.06","23"
"Mixed","Southampton","-0.23","94"
"Mixed","Southend-on-Sea","0.22","78"
