"Measure","Ethnicity","Academic year","Tariff marker","Number","Value","Value_note"
"First year entrants to HE institutions by tariff","Other","2016/17","Total","12070","100","Ethnicity denom"
"First year entrants to HE institutions by tariff","Other","2017/18","Low","3940","30.7","Ethnicity denom"
"First year entrants to HE institutions by tariff","Other","2017/18","Medium","5015","39.1","Ethnicity denom"
"First year entrants to HE institutions by tariff","Other","2017/18","High","3500","27.3","Ethnicity denom"
"First year entrants to HE institutions by tariff","Other","2017/18","Other","380","3","Ethnicity denom"
"First year entrants to HE institutions by tariff","Other","2017/18","Total","12835","100","Ethnicity denom"
"First year entrants to HE institutions by tariff","Unknown","2014/15","Low","4265","23.2","Ethnicity denom"
"First year entrants to HE institutions by tariff","Unknown","2014/15","Medium","4965","27","Ethnicity denom"
"First year entrants to HE institutions by tariff","Unknown","2014/15","High","8450","45.9","Ethnicity denom"
"First year entrants to HE institutions by tariff","Unknown","2014/15","Other","735","4","Ethnicity denom"
"First year entrants to HE institutions by tariff","Unknown","2014/15","Total","18420","100","Ethnicity denom"
"First year entrants to HE institutions by tariff","Unknown","2015/16","Low","3295","22.4","Ethnicity denom"
"First year entrants to HE institutions by tariff","Unknown","2015/16","Medium","5005","34.1","Ethnicity denom"
"First year entrants to HE institutions by tariff","Unknown","2015/16","High","5635","38.4","Ethnicity denom"
"First year entrants to HE institutions by tariff","Unknown","2015/16","Other","740","5","Ethnicity denom"
"First year entrants to HE institutions by tariff","Unknown","2015/16","Total","14680","100","Ethnicity denom"
"First year entrants to HE institutions by tariff","Unknown","2016/17","Low","3980","25.3","Ethnicity denom"
"First year entrants to HE institutions by tariff","Unknown","2016/17","Medium","4415","28.1","Ethnicity denom"
"First year entrants to HE institutions by tariff","Unknown","2016/17","High","6430","40.9","Ethnicity denom"
"First year entrants to HE institutions by tariff","Unknown","2016/17","Other","910","5.8","Ethnicity denom"
"First year entrants to HE institutions by tariff","Unknown","2016/17","Total","15735","100","Ethnicity denom"
"First year entrants to HE institutions by tariff","Unknown","2017/18","Low","3630","24.6","Ethnicity denom"
"First year entrants to HE institutions by tariff","Unknown","2017/18","Medium","4060","27.5","Ethnicity denom"
"First year entrants to HE institutions by tariff","Unknown","2017/18","High","6025","40.8","Ethnicity denom"
"First year entrants to HE institutions by tariff","Unknown","2017/18","Other","1050","7.1","Ethnicity denom"
"First year entrants to HE institutions by tariff","Unknown","2017/18","Total","14765","100","Ethnicity denom"
"First year entrants to HE institutions by tariff","Total","2014/15","Low","232750","30.8","Ethnicity denom"
"First year entrants to HE institutions by tariff","Total","2014/15","Medium","245490","32.5","Ethnicity denom"
"First year entrants to HE institutions by tariff","Total","2014/15","High","235025","31.1","Ethnicity denom"
"First year entrants to HE institutions by tariff","Total","2014/15","Other","43235","5.7","Ethnicity denom"
"First year entrants to HE institutions by tariff","Total","2014/15","Total","756505","100","Ethnicity denom"
"First year entrants to HE institutions by tariff","Total","2015/16","Low","223870","29.4","Ethnicity denom"
"First year entrants to HE institutions by tariff","Total","2015/16","Medium","249990","32.9","Ethnicity denom"
"First year entrants to HE institutions by tariff","Total","2015/16","High","243720","32","Ethnicity denom"
"First year entrants to HE institutions by tariff","Total","2015/16","Other","43050","5.7","Ethnicity denom"
"First year entrants to HE institutions by tariff","Total","2015/16","Total","760635","100","Ethnicity denom"
"First year entrants to HE institutions by tariff","Total","2016/17","Low","229335","29.5","Ethnicity denom"
"First year entrants to HE institutions by tariff","Total","2016/17","Medium","242165","31.1","Ethnicity denom"
"First year entrants to HE institutions by tariff","Total","2016/17","High","263735","33.9","Ethnicity denom"
"First year entrants to HE institutions by tariff","Total","2016/17","Other","42880","5.5","Ethnicity denom"
"First year entrants to HE institutions by tariff","Total","2016/17","Total","778115","100","Ethnicity denom"
"First year entrants to HE institutions by tariff","Total","2017/18","Low","229295","29.6","Ethnicity denom"
"First year entrants to HE institutions by tariff","Total","2017/18","Medium","245550","31.7","Ethnicity denom"
"First year entrants to HE institutions by tariff","Total","2017/18","High","254750","32.8","Ethnicity denom"
"First year entrants to HE institutions by tariff","Total","2017/18","Other","46065","5.9","Ethnicity denom"
"First year entrants to HE institutions by tariff","Total","2017/18","Total","775660","100","Ethnicity denom"
"First year entrants to HE institutions by tariff","White","2014/15","High","186240","82.2","Tariff denom"
"First year entrants to HE institutions by tariff","Black","2014/15","High","8005","3.5","Tariff denom"
"First year entrants to HE institutions by tariff","Asian","2014/15","High","21135","9.3","Tariff denom"
"First year entrants to HE institutions by tariff","Mixed","2014/15","High","8250","3.6","Tariff denom"
"First year entrants to HE institutions by tariff","Other","2014/15","High","2950","1.3","Tariff denom"
"First year entrants to HE institutions by tariff","Unknown","2014/15","High","8450","N/A","Tariff denom"
"First year entrants to HE institutions by tariff","Total","2014/15","High","235025","N/A","Tariff denom"
"First year entrants to HE institutions by tariff","White","2014/15","Low","168715","73.8","Tariff denom"
"First year entrants to HE institutions by tariff","Black","2014/15","Low","24990","10.9","Tariff denom"
"First year entrants to HE institutions by tariff","Asian","2014/15","Low","22650","9.9","Tariff denom"
"First year entrants to HE institutions by tariff","Mixed","2014/15","Low","8190","3.6","Tariff denom"
"First year entrants to HE institutions by tariff","Other","2014/15","Low","3940","1.7","Tariff denom"
"First year entrants to HE institutions by tariff","Unknown","2014/15","Low","4265","N/A","Tariff denom"
"First year entrants to HE institutions by tariff","Total","2014/15","Low","232750","N/A","Tariff denom"
"First year entrants to HE institutions by tariff","White","2014/15","Medium","189125","78.6","Tariff denom"
"First year entrants to HE institutions by tariff","Black","2014/15","Medium","15175","6.3","Tariff denom"
"First year entrants to HE institutions by tariff","Asian","2014/15","Medium","25470","10.6","Tariff denom"
"First year entrants to HE institutions by tariff","Mixed","2014/15","Medium","7500","3.1","Tariff denom"
"First year entrants to HE institutions by tariff","Other","2014/15","Medium","3255","1.4","Tariff denom"
"First year entrants to HE institutions by tariff","Unknown","2014/15","Medium","4965","N/A","Tariff denom"
"First year entrants to HE institutions by tariff","Total","2014/15","Medium","245490","N/A","Tariff denom"
"First year entrants to HE institutions by tariff","White","2014/15","Other","37475","88.2","Tariff denom"
"First year entrants to HE institutions by tariff","Black","2014/15","Other","1775","4.2","Tariff denom"
"First year entrants to HE institutions by tariff","Asian","2014/15","Other","1850","4.4","Tariff denom"
"First year entrants to HE institutions by tariff","Mixed","2014/15","Other","1060","2.5","Tariff denom"
"First year entrants to HE institutions by tariff","Other","2014/15","Other","340","0.8","Tariff denom"
