"Measure","Academic Year","Ethnicity ","Ethicity Type","Value","Value_type","Numerator ","Denominator"
"First year enrolments onto undergraduate degrees","2011/12","White","ONS 5+1 2011","81.4","%","552195","678055"
"First year enrolments onto undergraduate degrees","2011/12","Other","ONS 5+1 2011","1","%","6575","678055"
"First year enrolments onto undergraduate degrees","2012/13","Asian","ONS 5+1 2011","9","%","50105","555625"
"First year enrolments onto undergraduate degrees","2012/13","Black","ONS 5+1 2011","7","%","38870","555625"
"First year enrolments onto undergraduate degrees","2012/13","Mixed ","ONS 5+1 2011","3.1","%","17485","555625"
"First year enrolments onto undergraduate degrees","2012/13","White","ONS 5+1 2011","79.6","%","442385","555625"
"First year enrolments onto undergraduate degrees","2012/13","Other","ONS 5+1 2011","1.2","%","6785","555625"
"First year enrolments onto undergraduate degrees","2013/14","Asian","ONS 5+1 2011","9.3","%","52755","565120"
"First year enrolments onto undergraduate degrees","2013/14","Black","ONS 5+1 2011","7","%","39410","565120"
"First year enrolments onto undergraduate degrees","2013/14","Mixed ","ONS 5+1 2011","3.3","%","18715","565120"
"First year enrolments onto undergraduate degrees","2013/14","White","ONS 5+1 2011","79.1","%","447175","565120"
"First year enrolments onto undergraduate degrees","2013/14","Other","ONS 5+1 2011","1.3","%","7065","565120"
"First year enrolments onto undergraduate degrees","2014/15","Asian","ONS 5+1 2011","9.8","%","55025","559285"
"First year enrolments onto undergraduate degrees","2014/15","Black","ONS 5+1 2011","7.1","%","39865","559285"
"First year enrolments onto undergraduate degrees","2014/15","Mixed ","ONS 5+1 2011","3.5","%","19775","559285"
"First year enrolments onto undergraduate degrees","2014/15","White","ONS 5+1 2011","78.1","%","436,865","559285"
"First year enrolments onto undergraduate degrees","2014/15","Other","ONS 5+1 2011","1.4","%","7755","559285"
"First year enrolments onto undergraduate degrees","2015/16","Asian","ONS 5+1 2011","10.3","%","58195","565020"
"First year enrolments onto undergraduate degrees","2015/16","Black","ONS 5+1 2011","7.4","%","41975","565020"
"First year enrolments onto undergraduate degrees","2015/16","Mixed ","ONS 5+1 2011","3.8","%","21250","565020"
"First year enrolments onto undergraduate degrees","2015/16","White","ONS 5+1 2011","77.1","%","435,425","565020"
"First year enrolments onto undergraduate degrees","2015/16","Other","ONS 5+1 2011","1.4","%","8175","565020"
"First year enrolments onto undergraduate degrees","2016/17","Asian","ONS 5+1 2011","10.8","%","60110","557710"
"First year enrolments onto undergraduate degrees","2016/17","Black","ONS 5+1 2011","7.7","%","42820","557710"
"First year enrolments onto undergraduate degrees","2016/17","Mixed ","ONS 5+1 2011","3.9","%","21950","557710"
"First year enrolments onto undergraduate degrees","2016/17","White","ONS 5+1 2011","76.1","%","424,265","557710"
"First year enrolments onto undergraduate degrees","2016/17","Other","ONS 5+1 2011","1.5","%","8565","557710"
"First year enrolments onto undergraduate degrees","2017/18","Asian","ONS 5+1 2011","11.2","%","61815","552865"
"First year enrolments onto undergraduate degrees","2017/18","Black","ONS 5+1 2011","7.8","%","42975","552865"
"First year enrolments onto undergraduate degrees","2017/18","Mixed ","ONS 5+1 2011","4.1","%","22450","552865"
"First year enrolments onto undergraduate degrees","2017/18","White","ONS 5+1 2011","75.3","%","416,455","552865"
"First year enrolments onto undergraduate degrees","2017/18","Other","ONS 5+1 2011","1.7","%","9165","552865"
"First year enrolments onto undergraduate degrees","2018/19","Asian","ONS 5+1 2011","11.5","%","63670","554445"
"First year enrolments onto undergraduate degrees","2018/19","Black","ONS 5+1 2011","7.9","%","43925","554445"
"First year enrolments onto undergraduate degrees","2018/19","Mixed ","ONS 5+1 2011","4.2","%","23380","554445"
"First year enrolments onto undergraduate degrees","2018/19","White","ONS 5+1 2011","74.7","%","413,895","554445"
"First year enrolments onto undergraduate degrees","2018/19","Other","ONS 5+1 2011","1.7","%","9580","554445"
