"Ethnicity","Local Authority","Girls","Boys"
"Asian","Brent","81","68"
"Asian","Bromley","87","80"
"Asian","Croydon","81","64"
"Asian","Ealing","78","69"
"Asian","Enfield","82","70"
"Asian","Greenwich","83","71"
"Asian","Harrow","84","73"
"Asian","Havering","85","65"
"Asian","Hillingdon","84","69"
"Asian","Hounslow","83","67"
"Asian","Kingston upon Thames","69","66"
"Asian","Merton","78","65"
"Asian","Redbridge","85","72"
"Asian","Richmond upon Thames","81","66"
"Asian","Sutton","81","62"
"Asian","Waltham Forest","82","65"
"Asian","South East","78","64"
"Asian","Bracknell Forest","87","72"
"Asian","Brighton and Hove","63","44"
"Asian","Buckinghamshire","72","52"
"Asian","East Sussex","80","63"
"Asian","Hampshire","78","61"
"Asian","Isle of Wight","-","-"
"Asian","Kent","82","66"
"Asian","Medway","77","59"
"Asian","Milton Keynes","84","65"
"Asian","Oxfordshire","69","57"
"Asian","Portsmouth","75","62"
"Asian","Reading","78","63"
"Asian","Slough","83","70"
"Asian","Southampton","78","67"
"Asian","Surrey","81","69"
"Asian","West Berkshire","80","64"
"Asian","West Sussex","76","60"
"Asian","Windsor and Maidenhead","77","67"
"Asian","Wokingham","79","70"
"Asian","South West","75","58"
"Asian","Bath and North East Somerset","69","58"
"Asian","Bournemouth","91","69"
"Asian","Bristol, City of","66","46"
"Asian","Cornwall","50","63"
"Asian","Devon","80","52"
"Asian","Dorset","58","42"
"Asian","Gloucestershire","72","51"
"Asian","Isles of Scilly",".","."
"Asian","North Somerset","-","-"
"Asian","Plymouth","-","-"
"Asian","Poole","84","74"
"Asian","Somerset","81","53"
"Asian","South Gloucestershire","81","75"
"Asian","Swindon","78","66"
"Asian","Torbay","-","-"
"Asian","Wiltshire","78","54"
"Black","North East","72","56"
"Black","County Durham","100","-"
"Black","Darlington","-","-"
"Black","Gateshead","81","79"
"Black","Hartlepool","100","-"
"Black","Middlesbrough","74","50"
"Black","Newcastle upon Tyne","69","48"
"Black","North Tyneside","-","-"
"Black","Northumberland","-","-"
"Black","Redcar and Cleveland","-","-"
"Black","South Tyneside","-","-"
"Black","Stockton-on-Tees","70","43"
"Black","Sunderland","-","-"
"Black","North West","72","56"
"Black","Blackburn with Darwen","-","-"
"Black","Blackpool","50","."
"Black","Bolton","67","42"
"Black","Bury","78","42"
"Black","Cheshire East","100","57"
"Black","Cheshire West and Chester","-","-"
"Black","Cumbria","-","-"
"Black","Halton",".","-"
"Black","Knowsley","-","100"
"Black","Lancashire","69","56"
"Black","Liverpool","67","54"
"Black","Manchester","75","60"
"Black","Oldham","74","59"
"Black","Rochdale","63","54"
"Black","Salford","74","62"
"Black","Sefton","-","-"
"Black","St. Helens","-","-"
"Black","Stockport","71","47"
"Black","Tameside","70","43"
"Black","Trafford","69","53"
"Black","Warrington","73","64"
"Black","Wigan","57","43"
"Black","Wirral","-","-"
"Black","Yorkshire and the Humber","73","56"
"Black","Barnsley","-","-"
"Black","Bradford","75","52"
"Black","Calderdale","-","-"
"Black","Doncaster","58","63"
"Black","East Riding of Yorkshire","-","-"
"Black","Kingston Upon Hull, City of","76","52"
"Black","Kirklees","78","63"
"Black","Leeds","68","52"
"Black","North East Lincolnshire","-","-"
"Black","North Lincolnshire","-","-"
"Black","North Yorkshire","67","36"
"Black","Rotherham","76","50"
"Black","Sheffield","80","67"
"Black","Wakefield","77","53"
"Black","York",".","43"
"Black","East Midlands","75","60"
"Black","Derby","85","61"
"Black","Derbyshire","-","-"
"Black","Leicester","73","52"
"Black","Leicestershire","78","62"
"Black","Lincolnshire","-","-"
"Black","Northamptonshire","75","60"
"Black","Nottingham","74","62"
"Black","Nottinghamshire","72","65"
"Black","Rutland","-","-"
"Black","West Midlands","74","58"
"Black","Birmingham","74","57"
"Black","Coventry","78","66"
"Black","Dudley","53","33"
"Black","Herefordshire",".","-"
"Black","Sandwell","71","55"
"Black","Shropshire","-","-"
"Black","Solihull","-","-"
"Black","Staffordshire","83","63"
"Black","Stoke-on-Trent","77","56"
"Black","Telford and Wrekin","71","69"
"Black","Walsall","78","68"
"Black","Warwickshire","73","63"
"Black","Wolverhampton","74","57"
"Black","Worcestershire","71","59"
"Black","East of England","76","57"
"Black","Bedford","77","51"
"Black","Cambridgeshire","73","42"
"Black","Central Bedfordshire","74","51"
"Black","Essex","79","58"
"Black","Hertfordshire","70","56"
"Black","Luton","81","62"
"Black","Norfolk","68","55"
"Black","Peterborough","76","42"
"Black","Southend-on-Sea","71","75"
"Black","Suffolk","72","58"
"Black","Thurrock","81","64"
"Black","Inner London","79","62"
"Black","Camden","73","51"
"Black","City of London",".","."
"Black","Hackney","80","65"
"Black","Hammersmith and Fulham","79","62"
"Black","Haringey","84","68"
"Black","Islington","78","54"
"Black","Kensington and Chelsea","68","64"
"Black","Lambeth","75","60"
"Black","Lewisham","82","64"
"Black","Newham","82","67"
"Black","Southwark","79","63"
"Black","Tower Hamlets","71","56"
"Black","Wandsworth","77","61"
"Black","Westminster","77","61"
"Black","Outer London","78","62"
"Black","Barking and Dagenham","78","63"
"Black","Barnet","76","56"
"Black","Bexley","84","67"
"Black","Brent","74","61"
"Black","Bromley","79","61"
"Black","Croydon","77","60"
"Black","Ealing","71","63"
"Black","Enfield","78","57"
"Black","Greenwich","87","75"
"Black","Harrow","59","58"
"Black","Havering","78","57"
"Black","Hillingdon","77","60"
"Black","Hounslow","77","54"
"Black","Kingston upon Thames","61","66"
"Black","Merton","74","59"
"Black","Redbridge","75","59"
"Black","Richmond upon Thames","73","52"
"Black","Sutton","82","59"
"Black","Waltham Forest","81","62"
"Black","South East","78","63"
"Black","Bracknell Forest","83","65"
"Black","Brighton and Hove","63","63"
"Black","Buckinghamshire","77","55"
"Black","East Sussex","83","78"
"Black","Hampshire","82","72"
"Black","Isle of Wight",".","-"
"Black","Kent","85","72"
"Black","Medway","81","66"
"Black","Milton Keynes","75","60"
"Black","Oxfordshire","81","55"
"Black","Portsmouth","67","59"
"Black","Reading","79","62"
"Black","Slough","86","59"
"Black","Southampton","71","60"
"Black","Surrey","70","60"
"Black","West Berkshire","-","-"
"Black","West Sussex","70","50"
"Black","Windsor and Maidenhead","-","-"
"Black","Wokingham","77","68"
"Black","South West","70","53"
"Black","Bath and North East Somerset","-","-"
"Black","Bournemouth","-","-"
"Black","Bristol, City of","64","50"
"Black","Cornwall","-","-"
"Black","Devon","100","-"
"Black","Dorset","43","56"
"Black","Gloucestershire","73","45"
"Black","Isles of Scilly",".","."
"Black","North Somerset","-","-"
"Black","Plymouth","-","-"
"Black","Poole","-","100"
"Black","Somerset","60","58"
"Black","South Gloucestershire","89","71"
"Black","Swindon","77","65"
"Black","Torbay","-","."
"Black","Wiltshire","82","66"
"Chinese","North East","84","67"
"Chinese","County Durham","75","63"
"Chinese","Darlington",".","100"
"Chinese","Gateshead","100","100"
"Chinese","Hartlepool","-","-"
"Chinese","Middlesbrough",".","100"
"Chinese","Newcastle upon Tyne","-","-"
"Chinese","North Tyneside","-","-"
"Chinese","Northumberland","100","57"
"Chinese","Redcar and Cleveland",".","."
"Chinese","South Tyneside","-","-"
"Chinese","Stockton-on-Tees","-","-"
"Chinese","Sunderland","-","-"
"Chinese","North West","77","59"
"Chinese","Blackburn with Darwen","-","-"
"Chinese","Blackpool","100","-"
"Chinese","Bolton","63","60"
"Chinese","Bury","-","100"
"Chinese","Cheshire East","-","-"
"Chinese","Cheshire West and Chester","-","-"
"Chinese","Cumbria","-","-"
"Chinese","Halton",".","."
"Chinese","Knowsley","-","-"
"Chinese","Lancashire","65","50"
"Chinese","Liverpool","77","50"
"Chinese","Manchester","85","59"
"Chinese","Oldham","77","45"
"Chinese","Rochdale","-","-"
"Chinese","Salford","-","-"
"Chinese","Sefton","-","-"
"Chinese","St. Helens","-","-"
"Chinese","Stockport","-","-"
"Chinese","Tameside","-","-"
"Chinese","Trafford","-","-"
"Chinese","Warrington","100","57"
"Chinese","Wigan","-","-"
"Chinese","Wirral","-","-"
"Chinese","Yorkshire and the Humber","81","61"
"Chinese","Barnsley","-","-"
"Chinese","Bradford","-","-"
"Chinese","Calderdale","-","-"
"Chinese","Doncaster","-","-"
"Chinese","East Riding of Yorkshire",".","-"
"Chinese","Kingston Upon Hull, City of","-","-"
"Chinese","Kirklees","-","-"
"Chinese","Leeds","81","55"
"Chinese","North East Lincolnshire","-","."
"Chinese","North Lincolnshire","-","-"
"Chinese","North Yorkshire","-","100"
"Chinese","Rotherham","-","-"
"Chinese","Sheffield","-","-"
"Chinese","Wakefield","-","-"
"Chinese","York","-","-"
"Chinese","East Midlands","81","64"
"Chinese","Derby","-","-"
"Chinese","Derbyshire","-","-"
"Chinese","Leicester","-","-"
"Chinese","Leicestershire","-","-"
"Chinese","Lincolnshire","-","-"
"Chinese","Northamptonshire","69","71"
"Chinese","Nottingham","-","-"
"Chinese","Nottinghamshire","-","-"
"Chinese","Rutland","-","."
"Chinese","West Midlands","75","58"
"Chinese","Birmingham","67","55"
"Chinese","Coventry","70","71"
"Chinese","Dudley","-","-"
"Chinese","Herefordshire",".","-"
