"Ethnicity","Local authority","Value"
"Chinese","Kensington and Chelsea","-"
"Chinese","Kent","83"
"Chinese","Kingston Upon Hull, City of","-"
"Chinese","Kingston upon Thames","89"
"Chinese","Kirklees","53"
"Chinese","Knowsley","100"
"Chinese","Lambeth","84"
"Chinese","Lancashire","59"
"Chinese","Leeds","68"
"Chinese","Leicester","65"
"Chinese","Leicestershire","74"
"Chinese","Lewisham","79"
"Chinese","Lincolnshire","70"
"Chinese","Liverpool","65"
"Chinese","Luton","56"
"Chinese","Manchester","71"
"Chinese","Medway","73"
"Chinese","Merton","83"
"Chinese","Middlesbrough","100"
"Chinese","Milton Keynes","77"
"Chinese","Newcastle upon Tyne","85"
"Chinese","Newham","84"
"Chinese","Norfolk","75"
"Chinese","North East Lincolnshire","-"
"Chinese","North Lincolnshire","-"
"Chinese","North Somerset","-"
"Chinese","North Tyneside","60"
"Chinese","North Yorkshire","-"
"Chinese","Northamptonshire","70"
"Chinese","Northumberland","77"
"Chinese","Nottingham","71"
"Chinese","Nottinghamshire","80"
"Chinese","Oldham","63"
"Chinese","Oxfordshire","83"
"Chinese","Peterborough","-"
"Chinese","Plymouth","53"
"Chinese","Poole","-"
"Chinese","Portsmouth","81"
"Chinese","Reading","100"
"Chinese","Redbridge","70"
"Chinese","Redcar and Cleveland","."
"Chinese","Richmond upon Thames","77"
"Chinese","Rochdale","60"
"Chinese","Rotherham","-"
"Chinese","Rutland","-"
"Chinese","Salford","50"
"Chinese","Sandwell","54"
"Chinese","Sefton","-"
"Chinese","Sheffield","86"
"Chinese","Shropshire","55"
"Chinese","Slough","-"
"Chinese","Solihull","68"
"Chinese","Somerset","60"
"Chinese","South Gloucestershire","83"
"Chinese","South Tyneside","100"
"Chinese","Southampton","83"
"Chinese","Southend-on-Sea","63"
"Chinese","Southwark","84"
"Chinese","St. Helens","-"
"Chinese","Staffordshire","72"
"Chinese","Stockport","71"
"Chinese","Stockton-on-Tees","54"
"Chinese","Stoke-on-Trent","79"
"Chinese","Suffolk","-"
"Chinese","Sunderland","56"
"Chinese","Surrey","86"
"Chinese","Sutton","85"
"Chinese","Swindon","-"
"Chinese","Tameside","67"
"Chinese","Telford and Wrekin","-"
"Chinese","Thurrock","-"
"Chinese","Torbay","-"
"Chinese","Tower Hamlets","73"
"Chinese","Trafford","77"
"Chinese","Wakefield","-"
"Chinese","Walsall","-"
"Chinese","Waltham Forest","74"
"Chinese","Wandsworth","74"
"Chinese","Warrington","82"
"Chinese","Warwickshire","81"
"Chinese","West Berkshire","-"
"Chinese","West Sussex","84"
"Chinese","Westminster","-"
"Chinese","Wigan","67"
"Chinese","Wiltshire","-"
"Chinese","Windsor and Maidenhead","100"
"Chinese","Wirral","77"
"Chinese","Wokingham","81"
"Chinese","Wolverhampton","65"
"Chinese","Worcestershire","50"
"Chinese","York","57"
"Mixed","All- England","72"
"Mixed","Barking and Dagenham","69"
"Mixed","Barnet","75"
"Mixed","Barnsley","63"
"Mixed","Bath and North East Somerset","72"
"Mixed","Bedford","67"
"Mixed","Bexley","77"
"Mixed","Birmingham","69"
"Mixed","Blackburn with Darwen","60"
"Mixed","Blackpool","67"
"Mixed","Bolton","63"
"Mixed","Bournemouth","74"
"Mixed","Bracknell Forest","85"
"Mixed","Bradford","63"
"Mixed","Brent","73"
"Mixed","Brighton and Hove","71"
"Mixed","Bristol, City of","68"
"Mixed","Bromley","77"
"Mixed","Buckinghamshire","70"
"Mixed","Bury","74"
"Mixed","Calderdale","74"
"Mixed","Cambridgeshire","69"
"Mixed","Camden","72"
"Mixed","Central Bedfordshire","72"
"Mixed","Cheshire East","70"
"Mixed","Cheshire West and Chester","75"
"Mixed","City of London","-"
"Mixed","Cornwall","71"
"Mixed","Coventry","63"
"Mixed","Croydon","76"
"Mixed","Cumbria","70"
"Mixed","Darlington","78"
"Mixed","Derby","74"
"Mixed","Derbyshire","69"
"Mixed","Devon","67"
"Mixed","Doncaster","72"
"Mixed","Dorset","66"
"Mixed","Dudley","62"
"Mixed","Durham","74"
"Mixed","Ealing","78"
"Mixed","East Riding of Yorkshire","73"
"Mixed","East Sussex","77"
"Mixed","Enfield","75"
"Mixed","Essex","76"
"Mixed","Gateshead","63"
"Mixed","Gloucestershire","65"
"Mixed","Greenwich","79"
"Mixed","Hackney","82"
"Mixed","Halton","68"
"Mixed","Hammersmith and Fulham","76"
"Mixed","Hampshire","75"
"Mixed","Haringey","77"
"Mixed","Harrow","73"
"Mixed","Hartlepool","58"
"Mixed","Havering","70"
"Mixed","Herefordshire","68"
"Mixed","Hertfordshire","75"
"Mixed","Hillingdon","79"
"Mixed","Hounslow","72"
"Mixed","Isle of Wight","67"
"Mixed","Isles of Scilly","-"
"Mixed","Islington","70"
"Mixed","Kensington and Chelsea","68"
"Mixed","Kent","78"
"Mixed","Kingston Upon Hull, City of","64"
"Mixed","Kingston upon Thames","80"
"Mixed","Kirklees","66"
"Mixed","Knowsley","66"
"Mixed","Lambeth","68"
"Mixed","Lancashire","67"
"Mixed","Leeds","66"
"Mixed","Leicester","69"
"Mixed","Leicestershire","71"
"Mixed","Lewisham","81"
"Mixed","Lincolnshire","70"
"Mixed","Liverpool","65"
"Mixed","Luton","68"
"Mixed","Manchester","67"
"Mixed","Medway","70"
"Mixed","Merton","75"
"Mixed","Middlesbrough","64"
"Mixed","Milton Keynes","77"
"Mixed","Newcastle upon Tyne","70"
"Mixed","Newham","78"
"Mixed","Norfolk","68"
"Mixed","North East Lincolnshire","69"
"Mixed","North Lincolnshire","75"
"Mixed","North Somerset","69"
"Mixed","North Tyneside","67"
"Mixed","North Yorkshire","75"
"Mixed","Northamptonshire","71"
"Mixed","Northumberland","84"
"Mixed","Nottingham","66"
"Mixed","Nottinghamshire","71"
"Mixed","Oldham","62"
"Mixed","Oxfordshire","73"
"Mixed","Peterborough","68"
"Mixed","Plymouth","68"
"Mixed","Poole","72"
"Mixed","Portsmouth","72"
"Mixed","Reading","69"
"Mixed","Redbridge","74"
"Mixed","Redcar and Cleveland","81"
"Mixed","Richmond upon Thames","81"
"Mixed","Rochdale","67"
"Mixed","Rotherham","71"
"Mixed","Rutland","70"
"Mixed","Salford","71"
"Mixed","Sandwell","67"
"Mixed","Sefton","64"
"Mixed","Sheffield","67"
"Mixed","Shropshire","69"
"Mixed","Slough","74"
"Mixed","Solihull","61"
"Mixed","Somerset","75"
"Mixed","South Gloucestershire","76"
"Mixed","South Tyneside","73"
"Mixed","Southampton","73"
"Mixed","Southend-on-Sea","71"
"Mixed","Southwark","74"
"Mixed","St. Helens","75"
"Mixed","Staffordshire","70"
"Mixed","Stockport","66"
"Mixed","Stockton-on-Tees","70"
"Mixed","Stoke-on-Trent","69"
"Mixed","Suffolk","71"
"Mixed","Sunderland","78"
"Mixed","Surrey","80"
"Mixed","Sutton","70"
"Mixed","Swindon","70"
"Mixed","Tameside","68"
"Mixed","Telford and Wrekin","72"
"Mixed","Thurrock","75"
"Mixed","Torbay","63"
"Mixed","Tower Hamlets","74"
"Mixed","Trafford","77"
"Mixed","Wakefield","72"
"Mixed","Walsall","68"
"Mixed","Waltham Forest","78"
"Mixed","Wandsworth","77"
"Mixed","Warrington","70"
"Mixed","Warwickshire","72"
"Mixed","West Berkshire","80"
"Mixed","West Sussex","71"
"Mixed","Westminster","77"
"Mixed","Wigan","66"
"Mixed","Wiltshire","68"
"Mixed","Windsor and Maidenhead","72"
"Mixed","Wirral","65"
"Mixed","Wokingham","75"
"Mixed","Wolverhampton","68"
"Mixed","Worcestershire","69"
"Mixed","York","69"
"White","All- England","71"
"White","Barking and Dagenham","67"
"White","Barnet","76"
"White","Barnsley","70"
"White","Bath and North East Somerset","72"
"White","Bedford","70"
"White","Bexley","75"
"White","Birmingham","68"
"White","Blackburn with Darwen","66"
"White","Blackpool","67"
"White","Bolton","68"
"White","Bournemouth","77"
"White","Bracknell Forest","74"
"White","Bradford","67"
"White","Brent","69"
"White","Brighton and Hove","74"
"White","Bristol, City of","71"
"White","Bromley","77"
"White","Buckinghamshire","76"
"White","Bury","71"
"White","Calderdale","71"
"White","Cambridgeshire","69"
"White","Camden","74"
"White","Central Bedfordshire","73"
"White","Cheshire East","71"
"White","Cheshire West and Chester","71"
"White","City of London","70"
"White","Cornwall","67"
"White","Coventry","66"
"White","Croydon","74"
"White","Cumbria","69"
"White","Darlington","70"
"White","Derby","69"
"White","Derbyshire","70"
"White","Devon","71"
"White","Doncaster","70"
"White","Dorset","70"
"White","Dudley","66"
"White","Durham","71"
"White","Ealing","74"
"White","East Riding of Yorkshire","73"
"White","East Sussex","76"
"White","Enfield","66"
"White","Essex","73"
"White","Gateshead","70"
"White","Gloucestershire","69"
"White","Greenwich","76"
"White","Hackney","78"
"White","Halton","63"
"White","Hammersmith and Fulham","80"
"White","Hampshire","77"
"White","Haringey","76"
"White","Harrow","69"
"White","Hartlepool","68"
"White","Havering","71"
"White","Herefordshire","75"
"White","Hertfordshire","72"
"White","Hillingdon","69"
"White","Hounslow","70"
"White","Isle of Wight","72"
"White","Isles of Scilly","-"
"White","Islington","69"
"White","Kensington and Chelsea","75"
"White","Kent","75"
"White","Kingston Upon Hull, City of","62"
"White","Kingston upon Thames","79"
"White","Kirklees","71"
"White","Knowsley","68"
"White","Lambeth","76"
"White","Lancashire","70"
"White","Leeds","67"
"White","Leicester","61"
"White","Leicestershire","70"
"White","Lewisham","82"
"White","Lincolnshire","68"
"White","Liverpool","66"
"White","Luton","64"
"White","Manchester","67"
"White","Medway","72"
"White","Merton","74"
"White","Middlesbrough","64"
"White","Milton Keynes","73"
"White","Newcastle upon Tyne","72"
"White","Newham","74"
"White","Norfolk","71"
"White","North East Lincolnshire","70"
"White","North Lincolnshire","69"
"White","North Somerset","76"
"White","North Tyneside","72"
"White","North Yorkshire","72"
"White","Northamptonshire","70"
"White","Northumberland","74"
"White","Nottingham","66"
"White","Nottinghamshire","69"
"White","Oldham","68"
"White","Oxfordshire","74"
"White","Peterborough","65"
"White","Plymouth","68"
"White","Poole","74"
"White","Portsmouth","71"
"White","Reading","70"
"White","Redbridge","70"
"White","Redcar and Cleveland","70"
"White","Richmond upon Thames","83"
"White","Rochdale","66"
"White","Rotherham","73"
"White","Rutland","73"
"White","Salford","68"
"White","Sandwell","66"
"White","Sefton","70"
"White","Sheffield","71"
"White","Shropshire","70"
"White","Slough","64"
"White","Solihull","72"
"White","Somerset","72"
"White","South Gloucestershire","77"
"White","South Tyneside","72"
"White","Southampton","70"
"White","Southend-on-Sea","74"
"White","Southwark","79"
"White","St. Helens","68"
"White","Staffordshire","74"
"White","Stockport","71"
"White","Stockton-on-Tees","70"
"White","Stoke-on-Trent","66"
"White","Suffolk","71"
"White","Sunderland","71"
"White","Surrey","79"
"White","Sutton","71"
"White","Swindon","69"
"White","Tameside","64"
"White","Telford and Wrekin","70"
"White","Thurrock","73"
"White","Torbay","70"
"White","Tower Hamlets","69"
"White","Trafford","76"
"White","Wakefield","68"
"White","Walsall","66"
"White","Waltham Forest","76"
"White","Wandsworth","81"
"White","Warrington","73"
"White","Warwickshire","72"
"White","West Berkshire","74"
"White","West Sussex","71"
"White","Westminster","76"
"White","Wigan","67"
"White","Wiltshire","72"
"White","Windsor and Maidenhead","75"
"White","Wirral","69"
"White","Wokingham","75"
"White","Wolverhampton","65"
"White","Worcestershire","71"
"White","York","75"
