"Measure","Time","Time_Type","Ethnicity","Ethnicity_Type","Value","Value_Type","Weighted_Sample_Trips","Unweighted_Sample_Trips","Weighted_Sample_Time","Unweighted_Sample_Time","Weighted_Sample_Individuals_aged_5-16","Unweighted_Sample_Individuals_aged_5-16","Notes"
"Average trip time to school in minutes of children aged 5 to 16","2012/16","5-year rolling average","Other ethnic group","ONS 2011 5+1","21","Minutes per trip","1140","1184","23808","25822","161","176",""
"Average trip time to school in minutes of children aged 5 to 16","2012/16","5-year rolling average","White","ONS 2011 5+1","19","Minutes per trip","62562","60652","1159405","1127319","9415","9665",""
"Average trip time to school in minutes of children aged 5 to 16","2013/17","5-year rolling average","All ethnic groups","ONS 2011 5+1","19","Minutes per trip","75156","74286","1429304","1416619","11211","11732",""
"Average trip time to school in minutes of children aged 5 to 16","2013/17","5-year rolling average","Asian / Asian British","ONS 2011 5+1","18","Minutes per trip","7099","7000","129959","130105","1062","1112",""
"Average trip time to school in minutes of children aged 5 to 16","2013/17","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","23","Minutes per trip","3502","3670","79159","83555","515","576",""
"Average trip time to school in minutes of children aged 5 to 16","2013/17","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","21","Minutes per trip","2609","2572","55257","53231","370","388",""
"Average trip time to school in minutes of children aged 5 to 16","2013/17","5-year rolling average","Other ethnic group","ONS 2011 5+1","20","Minutes per trip","1268","1350","25791","28266","163","180",""
"Average trip time to school in minutes of children aged 5 to 16","2013/17","5-year rolling average","White","ONS 2011 5+1","19","Minutes per trip","60628","59636","1138292","1120400","9096","9469",""
"Average trip time to school in minutes of children aged 5 to 16","2014/18","5-year rolling average","All ethnic groups","ONS 2011 5+1","19","Minutes per trip","74042","73733","1389260","1389228","10998","11417",""
"Average trip time to school in minutes of children aged 5 to 16","2014/18","5-year rolling average","Asian / Asian British","ONS 2011 5+1","18","Minutes per trip","7157","7064","127474","128441","1086","1122",""
"Average trip time to school in minutes of children aged 5 to 16","2014/18","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","22","Minutes per trip","3456","3565","74819","78228","519","569",""
"Average trip time to school in minutes of children aged 5 to 16","2014/18","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","20","Minutes per trip","2471","2430","49935","47622","349","362",""
"Average trip time to school in minutes of children aged 5 to 16","2014/18","5-year rolling average","Other ethnic group","ONS 2011 5+1","20","Minutes per trip","1281","1338","25489","27219","172","185",""
"Average trip time to school in minutes of children aged 5 to 16","2014/18","5-year rolling average","White","ONS 2011 5+1","19","Minutes per trip","59625","59276","1110664","1106616","8866","9171",""
"Average trip time to school in minutes of children aged 5 to 16","2015/19","5-year rolling average","All ethnic groups","ONS 2011 5+1","19","Minutes per trip","72819","71331","1366764","1336806","10790","10942",""
"Average trip time to school in minutes of children aged 5 to 16","2015/19","5-year rolling average","Asian / Asian British","ONS 2011 5+1","18","Minutes per trip","7395","7174","134819","131407","1096","1103",""
"Average trip time to school in minutes of children aged 5 to 16","2015/19","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","23","Minutes per trip","3566","3554","81425","80700","524","552",""
"Average trip time to school in minutes of children aged 5 to 16","2015/19","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","20","Minutes per trip","2819","2713","55222","51355","363","364",""
"Average trip time to school in minutes of children aged 5 to 16","2015/19","5-year rolling average","Other ethnic group","ONS 2011 5+1","19","Minutes per trip","1406","1413","26331","27011","178","185",""
"Average trip time to school in minutes of children aged 5 to 16","2015/19","5-year rolling average","White","ONS 2011 5+1","19","Minutes per trip","57595","56431","1068260","1045406","8623","8731",""
