"Measure","Time","Time_type","Ethnicity","Ethnicity_type","Geography","Geography_type","Gender","Type_of_role","Value","Value_type","Pay_per_pound_paid_to_White_staff_by_gender","Pay_per_pound_paid_to_male_staff_by_ethnicity"
"NHS workforce mean monthly basic pay per full time equivalent","May-16","Month","Mixed","ONS 2011 5+1","England","Country","Women","Non-medical","2140","GBP","0.95","0.99"
"NHS workforce mean monthly basic pay per full time equivalent","May-16","Month","Other","ONS 2011 5+1","England","Country","Women","Non-medical","2229","GBP","0.99","1.01"
"NHS workforce mean monthly basic pay per full time equivalent","May-16","Month","Unknown","ONS 2011 5+1","England","Country","Women","Non-medical","2229","GBP","0.99","0.87"
"NHS workforce mean monthly basic pay per full time equivalent","May-16","Month","White","ONS 2011 5+1","England","Country","Women","Non-medical","2256","GBP","N/A","0.83"
"NHS workforce mean monthly basic pay per full time equivalent","May-17","Month","All","ONS 2011 5+1","England","Country","All","All","2612","GBP","N/A","N/A"
"NHS workforce mean monthly basic pay per full time equivalent","May-17","Month","Asian","ONS 2011 5+1","England","Country","All","All","3077","GBP","1.21","N/A"
"NHS workforce mean monthly basic pay per full time equivalent","May-17","Month","Black","ONS 2011 5+1","England","Country","All","All","2330","GBP","0.91","N/A"
"NHS workforce mean monthly basic pay per full time equivalent","May-17","Month","Mixed","ONS 2011 5+1","England","Country","All","All","2611","GBP","1.02","N/A"
"NHS workforce mean monthly basic pay per full time equivalent","May-17","Month","Other","ONS 2011 5+1","England","Country","All","All","3029","GBP","1.19","N/A"
"NHS workforce mean monthly basic pay per full time equivalent","May-17","Month","White","ONS 2011 5+1","England","Country","All","All","2553","GBP","N/A","N/A"
"NHS workforce mean monthly basic pay per full time equivalent","May-17","Month","Unknown","ONS 2011 5+1","England","Country","All","All","2798","GBP","1.1","N/A"
"NHS workforce mean monthly basic pay per full time equivalent","May-17","Month","All","ONS 2011 5+1","England","Country","Men","All","3183","GBP","N/A","N/A"
"NHS workforce mean monthly basic pay per full time equivalent","May-17","Month","Asian","ONS 2011 5+1","England","Country","Men","All","3818","GBP","1.25","N/A"
"NHS workforce mean monthly basic pay per full time equivalent","May-17","Month","Black","ONS 2011 5+1","England","Country","Men","All","2561","GBP","0.84","N/A"
"NHS workforce mean monthly basic pay per full time equivalent","May-17","Month","Mixed","ONS 2011 5+1","England","Country","Men","All","3133","GBP","1.03","N/A"
"NHS workforce mean monthly basic pay per full time equivalent","May-17","Month","Other","ONS 2011 5+1","England","Country","Men","All","3703","GBP","1.21","N/A"
"NHS workforce mean monthly basic pay per full time equivalent","May-17","Month","Unknown","ONS 2011 5+1","England","Country","Men","All","3464","GBP","1.13","N/A"
"NHS workforce mean monthly basic pay per full time equivalent","May-17","Month","White","ONS 2011 5+1","England","Country","Men","All","3053","GBP","N/A","N/A"
"NHS workforce mean monthly basic pay per full time equivalent","May-17","Month","All","ONS 2011 5+1","England","Country","Women","All","2437","GBP","N/A","0.77"
"NHS workforce mean monthly basic pay per full time equivalent","May-17","Month","Asian","ONS 2011 5+1","England","Country","Women","All","2653","GBP","1.1","0.69"
"NHS workforce mean monthly basic pay per full time equivalent","May-17","Month","Black","ONS 2011 5+1","England","Country","Women","All","2256","GBP","0.93","0.88"
