"Measure","Academic_Year","Time","Time_type","Ethnicity","Ethnicity_Type","Geography","Geography_type","ONS_Geography_code","Gender","FSM","Value","Denominator","Lower confidence interval","Upper confidence interval"
"Average Progress 8","2017/18","2018","Academic Year","White","White/Asian/Black/Mixed/Chinese","Stockton-on-Tees","Local authority","E06000004","Girls","All Pupils","0.04","813","-0.05","0.12"
"Average Progress 8","2017/18","2018","Academic Year","All Pupils","All pupils","Darlington","Local authority","E06000005","All Pupils","All Pupils","-0.26","1050","-0.33","-0.18"
"Average Progress 8","2017/18","2018","Academic Year","All Pupils","All pupils","Darlington","Local authority","E06000005","Boys","All Pupils","-0.45","551","-0.55","-0.34"
"Average Progress 8","2017/18","2018","Academic Year","All Pupils","All pupils","Darlington","Local authority","E06000005","Girls","All Pupils","-0.04","499","-0.15","0.07"
"Average Progress 8","2017/18","2018","Academic Year","Asian","White/Asian/Black/Mixed/Chinese","Darlington","Local authority","E06000005","All Pupils","All Pupils","0.19","27","-0.29","0.66"
"Average Progress 8","2017/18","2018","Academic Year","Asian","White/Asian/Black/Mixed/Chinese","Darlington","Local authority","E06000005","Boys","All Pupils","0.31","8","-0.56","1.19"
"Average Progress 8","2017/18","2018","Academic Year","Asian","White/Asian/Black/Mixed/Chinese","Darlington","Local authority","E06000005","Girls","All Pupils","0.13","19","-0.43","0.7"
"Average Progress 8","2017/18","2018","Academic Year","Black","White/Asian/Black/Mixed/Chinese","Darlington","Local authority","E06000005","All Pupils","All Pupils","0.46","5","-0.65","1.56"
"Average Progress 8","2017/18","2018","Academic Year","Black","White/Asian/Black/Mixed/Chinese","Darlington","Local authority","E06000005","Boys","All Pupils","0.59","2","-1.16","2.34"
"Average Progress 8","2017/18","2018","Academic Year","Black","White/Asian/Black/Mixed/Chinese","Darlington","Local authority","E06000005","Girls","All Pupils","0.37","3","-1.06","1.79"
"Average Progress 8","2017/18","2018","Academic Year","Chinese","White/Asian/Black/Mixed/Chinese","Darlington","Local authority","E06000005","All Pupils","All Pupils","1.96","2","0.21","3.71"
"Average Progress 8","2017/18","2018","Academic Year","Chinese","White/Asian/Black/Mixed/Chinese","Darlington","Local authority","E06000005","Girls","All Pupils","1.96","2","0.21","3.71"
"Average Progress 8","2017/18","2018","Academic Year","Mixed","White/Asian/Black/Mixed/Chinese","Darlington","Local authority","E06000005","All Pupils","All Pupils","0.24","28","-0.23","0.71"
"Average Progress 8","2017/18","2018","Academic Year","Mixed","White/Asian/Black/Mixed/Chinese","Darlington","Local authority","E06000005","Boys","All Pupils","0.24","10","-0.55","1.02"
"Average Progress 8","2017/18","2018","Academic Year","Mixed","White/Asian/Black/Mixed/Chinese","Darlington","Local authority","E06000005","Girls","All Pupils","0.24","18","-0.34","0.83"
"Average Progress 8","2017/18","2018","Academic Year","White","White/Asian/Black/Mixed/Chinese","Darlington","Local authority","E06000005","All Pupils","All Pupils","-0.29","974","-0.37","-0.21"
"Average Progress 8","2017/18","2018","Academic Year","White","White/Asian/Black/Mixed/Chinese","Darlington","Local authority","E06000005","Boys","All Pupils","-0.48","523","-0.59","-0.38"
"Average Progress 8","2017/18","2018","Academic Year","White","White/Asian/Black/Mixed/Chinese","Darlington","Local authority","E06000005","Girls","All Pupils","-0.07","451","-0.19","0.04"
"Average Progress 8","2017/18","2018","Academic Year","All Pupils","All pupils","County Durham","Local authority","E06000047","All Pupils","All Pupils","-0.23","4545","-0.26","-0.19"
"Average Progress 8","2017/18","2018","Academic Year","All Pupils","All pupils","County Durham","Local authority","E06000047","Boys","All Pupils","-0.45","2323","-0.5","-0.4"
"Average Progress 8","2017/18","2018","Academic Year","All Pupils","All pupils","County Durham","Local authority","E06000047","Girls","All Pupils","0.01","2222","-0.05","0.06"
"Average Progress 8","2017/18","2018","Academic Year","Asian","White/Asian/Black/Mixed/Chinese","County Durham","Local authority","E06000047","All Pupils","All Pupils","0.58","25","0.09","1.08"
"Average Progress 8","2017/18","2018","Academic Year","Asian","White/Asian/Black/Mixed/Chinese","County Durham","Local authority","E06000047","Boys","All Pupils","0.59","20","0.04","1.15"
"Average Progress 8","2017/18","2018","Academic Year","Asian","White/Asian/Black/Mixed/Chinese","County Durham","Local authority","E06000047","Girls","All Pupils","0.54","5","-0.57","1.64"
"Average Progress 8","2017/18","2018","Academic Year","Black","White/Asian/Black/Mixed/Chinese","County Durham","Local authority","E06000047","All Pupils","All Pupils","-0.79","6","-1.8","0.22"
"Average Progress 8","2017/18","2018","Academic Year","Black","White/Asian/Black/Mixed/Chinese","County Durham","Local authority","E06000047","Boys","All Pupils","-0.9","4","-2.13","0.34"
"Average Progress 8","2017/18","2018","Academic Year","Black","White/Asian/Black/Mixed/Chinese","County Durham","Local authority","E06000047","Girls","All Pupils","-0.59","2","-2.34","1.16"
"Average Progress 8","2017/18","2018","Academic Year","Chinese","White/Asian/Black/Mixed/Chinese","County Durham","Local authority","E06000047","All Pupils","All Pupils","1.29","6","0.28","2.3"
"Average Progress 8","2017/18","2018","Academic Year","Chinese","White/Asian/Black/Mixed/Chinese","County Durham","Local authority","E06000047","Boys","All Pupils","1.45","4","0.21","2.69"
"Average Progress 8","2017/18","2018","Academic Year","Chinese","White/Asian/Black/Mixed/Chinese","County Durham","Local authority","E06000047","Girls","All Pupils","0.97","2","-0.78","2.72"
"Average Progress 8","2017/18","2018","Academic Year","Mixed","White/Asian/Black/Mixed/Chinese","County Durham","Local authority","E06000047","All Pupils","All Pupils","0.16","46","-0.2","0.53"
"Average Progress 8","2017/18","2018","Academic Year","Mixed","White/Asian/Black/Mixed/Chinese","County Durham","Local authority","E06000047","Boys","All Pupils","0.19","20","-0.36","0.75"
"Average Progress 8","2017/18","2018","Academic Year","Mixed","White/Asian/Black/Mixed/Chinese","County Durham","Local authority","E06000047","Girls","All Pupils","0.14","26","-0.35","0.62"
"Average Progress 8","2017/18","2018","Academic Year","White","White/Asian/Black/Mixed/Chinese","County Durham","Local authority","E06000047","All Pupils","All Pupils","-0.21","4390","-0.25","-0.17"
"Average Progress 8","2017/18","2018","Academic Year","White","White/Asian/Black/Mixed/Chinese","County Durham","Local authority","E06000047","Boys","All Pupils","-0.44","2233","-0.49","-0.38"
"Average Progress 8","2017/18","2018","Academic Year","White","White/Asian/Black/Mixed/Chinese","County Durham","Local authority","E06000047","Girls","All Pupils","0.02","2157","-0.03","0.07"
"Average Progress 8","2017/18","2018","Academic Year","All Pupils","All pupils","Northumberland","Local authority","E06000057","All Pupils","All Pupils","-0.09","2991","-0.14","-0.05"
"Average Progress 8","2017/18","2018","Academic Year","All Pupils","All pupils","Northumberland","Local authority","E06000057","Boys","All Pupils","-0.3","1522","-0.36","-0.24"
"Average Progress 8","2017/18","2018","Academic Year","All Pupils","All pupils","Northumberland","Local authority","E06000057","Girls","All Pupils","0.12","1469","0.06","0.18"
"Average Progress 8","2017/18","2018","Academic Year","Asian","White/Asian/Black/Mixed/Chinese","Northumberland","Local authority","E06000057","All Pupils","All Pupils","0.54","38","0.13","0.94"
"Average Progress 8","2017/18","2018","Academic Year","Asian","White/Asian/Black/Mixed/Chinese","Northumberland","Local authority","E06000057","Boys","All Pupils","0.37","20","-0.18","0.92"
"Average Progress 8","2017/18","2018","Academic Year","Asian","White/Asian/Black/Mixed/Chinese","Northumberland","Local authority","E06000057","Girls","All Pupils","0.72","18","0.14","1.3"
"Average Progress 8","2017/18","2018","Academic Year","Black","White/Asian/Black/Mixed/Chinese","Northumberland","Local authority","E06000057","All Pupils","All Pupils","1.18","4","-0.06","2.42"
"Average Progress 8","2017/18","2018","Academic Year","Black","White/Asian/Black/Mixed/Chinese","Northumberland","Local authority","E06000057","Boys","All Pupils","1.27","2","-0.48","3.02"
"Average Progress 8","2017/18","2018","Academic Year","Black","White/Asian/Black/Mixed/Chinese","Northumberland","Local authority","E06000057","Girls","All Pupils","1.09","2","-0.66","2.84"
"Average Progress 8","2017/18","2018","Academic Year","Chinese","White/Asian/Black/Mixed/Chinese","Northumberland","Local authority","E06000057","All Pupils","All Pupils","0.85","2","-0.9","2.6"
"Average Progress 8","2017/18","2018","Academic Year","Chinese","White/Asian/Black/Mixed/Chinese","Northumberland","Local authority","E06000057","Boys","All Pupils","0.85","2","-0.9","2.6"
"Average Progress 8","2017/18","2018","Academic Year","Mixed","White/Asian/Black/Mixed/Chinese","Northumberland","Local authority","E06000057","All Pupils","All Pupils","0.18","36","-0.23","0.6"
"Average Progress 8","2017/18","2018","Academic Year","Mixed","White/Asian/Black/Mixed/Chinese","Northumberland","Local authority","E06000057","Boys","All Pupils","0.1","24","-0.4","0.61"
"Average Progress 8","2017/18","2018","Academic Year","Mixed","White/Asian/Black/Mixed/Chinese","Northumberland","Local authority","E06000057","Girls","All Pupils","0.34","12","-0.37","1.06"
"Average Progress 8","2017/18","2018","Academic Year","White","White/Asian/Black/Mixed/Chinese","Northumberland","Local authority","E06000057","All Pupils","All Pupils","-0.09","2883","-0.14","-0.04"
"Average Progress 8","2017/18","2018","Academic Year","White","White/Asian/Black/Mixed/Chinese","Northumberland","Local authority","E06000057","Boys","All Pupils","-0.31","1463","-0.37","-0.24"
"Average Progress 8","2017/18","2018","Academic Year","White","White/Asian/Black/Mixed/Chinese","Northumberland","Local authority","E06000057","Girls","All Pupils","0.13","1420","0.07","0.2"
"Average Progress 8","2017/18","2018","Academic Year","All Pupils","All pupils","Newcastle upon Tyne","Local authority","E08000021","All Pupils","All Pupils","-0.14","2310","-0.19","-0.09"
"Average Progress 8","2017/18","2018","Academic Year","All Pupils","All pupils","Newcastle upon Tyne","Local authority","E08000021","Boys","All Pupils","-0.31","1199","-0.38","-0.24"
