"Measure","Ethnicity","Ethnicity_type","Time","Time_type","Geography","Geography_type","Geography code","Gender","Age","Socio-economic classification","Household income","Value","Value_type","Sample size","Standard error","Lower CI","Upper CI"
"Confidence in police - Crime Survey England and Wales","White","White & Other","2017/18, 2018/19 and 2019/20","3 years combined","Lincolnshire","ONS geography code","E23000020","All","16+","All","All","75.9","%","1349","1.164766013","73.14171572","78.62077504"
"Confidence in police - Crime Survey England and Wales","White","White & Other","2017/18, 2018/19 and 2019/20","3 years combined","Northamptonshire","ONS geography code","E23000022","All","16+","All","All","75.9","%","1304","1.185015003","73.07486772","78.64917829"
"Confidence in police - Crime Survey England and Wales","White","White & Other","2017/18, 2018/19 and 2019/20","3 years combined","Nottinghamshire","ONS geography code","E23000019","All","16+","All","All","73.0","%","1229","1.266840519","69.98985907","75.94907687"
"Confidence in police - Crime Survey England and Wales","White","White & Other","2017/18, 2018/19 and 2019/20","3 years combined","West Midlands Region","ONS geography code","E12000005","All","16+","All","All","73.2","%","5789","0.5821186888","71.83272984","74.57101615"
"Confidence in police - Crime Survey England and Wales","White","White & Other","2017/18, 2018/19 and 2019/20","3 years combined","Staffordshire","ONS geography code","E23000015","All","16+","All","All","72.3","%","1249","1.265896826","69.34936651","75.30414518"
"Confidence in police - Crime Survey England and Wales","White","White & Other","2017/18, 2018/19 and 2019/20","3 years combined","Warwickshire","ONS geography code","E23000017","All","16+","All","All","77.0","%","1254","1.18786991","74.23504424","79.8227843"
"Confidence in police - Crime Survey England and Wales","White","White & Other","2017/18, 2018/19 and 2019/20","3 years combined","West Mercia","ONS geography code","E23000016","All","16+","All","All","74.6","%","1200","1.256752975","71.63448815","77.54625414"
"Confidence in police - Crime Survey England and Wales","White","White & Other","2017/18, 2018/19 and 2019/20","3 years combined","West Midlands","ONS geography code","E23000014","All","16+","All","All","71.8","%","2086","0.9851760705","69.48623804","74.12050628"
"Confidence in police - Crime Survey England and Wales","White","White & Other","2017/18, 2018/19 and 2019/20","3 years combined","East","ONS geography code","E12000006","All","16+","All","All","75.2","%","7943","0.4845321765","74.06376364","76.343003"
"Confidence in police - Crime Survey England and Wales","White","White & Other","2017/18, 2018/19 and 2019/20","3 years combined","Bedfordshire","ONS geography code","E23000026","All","16+","All","All","71.7","%","1037","1.398773556","68.41353004","74.99336085"
"Confidence in police - Crime Survey England and Wales","White","White & Other","2017/18, 2018/19 and 2019/20","3 years combined","Cambridgeshire","ONS geography code","E23000023","All","16+","All","All","75.4","%","1244","1.220966835","72.53487069","78.27829868"
"Confidence in police - Crime Survey England and Wales","White","White & Other","2017/18, 2018/19 and 2019/20","3 years combined","Essex","ONS geography code","E23000028","All","16+","All","All","69.5","%","1693","1.119179415","66.8461802","72.11080017"
"Confidence in police - Crime Survey England and Wales","White","White & Other","2017/18, 2018/19 and 2019/20","3 years combined","Hertfordshire","ONS geography code","E23000027","All","16+","All","All","83.1","%","1291","1.043794781","80.61228606","85.52229671"
"Confidence in police - Crime Survey England and Wales","White","White & Other","2017/18, 2018/19 and 2019/20","3 years combined","Norfolk","ONS geography code","E23000024","All","16+","All","All","79.9","%","1403","1.069022182","77.42960378","82.45828413"
"Confidence in police - Crime Survey England and Wales","White","White & Other","2017/18, 2018/19 and 2019/20","3 years combined","Suffolk","ONS geography code","E23000025","All","16+","All","All","73.2","%","1275","1.240930113","70.24634653","76.08368178"
"Confidence in police - Crime Survey England and Wales","White","White & Other","2017/18, 2018/19 and 2019/20","3 years combined","London","ONS geography code","E12000007","All","16+","All","All","79.2","%","6009","0.5239231989","77.93203324","80.39656797"
"Confidence in police - Crime Survey England and Wales","White","White & Other","2017/18, 2018/19 and 2019/20","3 years combined","City of London / Metropolitan Police","ONS geography code","E12000007","All","16+","All","All","79.2","%","6009","0.5239231989","77.93203324","80.39656797"
"Confidence in police - Crime Survey England and Wales","White","White & Other","2017/18, 2018/19 and 2019/20","3 years combined","South East","ONS geography code","E12000008","All","16+","All","All","78.1","%","9484","0.4249727982","77.0570457","79.05611774"
"Confidence in police - Crime Survey England and Wales","White","White & Other","2017/18, 2018/19 and 2019/20","3 years combined","Hampshire","ONS geography code","E23000030","All","16+","All","All","77.6","%","2163","0.8964599804","75.49090304","79.70785079"
"Confidence in police - Crime Survey England and Wales","White","White & Other","2017/18, 2018/19 and 2019/20","3 years combined","Kent","ONS geography code","E23000032","All","16+","All","All","73.6","%","1794","1.04095125","71.13257253","76.02920721"
"Confidence in police - Crime Survey England and Wales","White","White & Other","2017/18, 2018/19 and 2019/20","3 years combined","Surrey","ONS geography code","E23000031","All","16+","All","All","82.4","%","1431","1.00681302","80.02695552","84.76300397"
"Confidence in police - Crime Survey England and Wales","White","White & Other","2017/18, 2018/19 and 2019/20","3 years combined","Sussex","ONS geography code","E23000033","All","16+","All","All","74.7","%","1795","1.026041462","72.29087683","77.11737587"
"Confidence in police - Crime Survey England and Wales","White","White & Other","2017/18, 2018/19 and 2019/20","3 years combined","Thames Valley","ONS geography code","E23000029","All","16+","All","All","82.7","%","2301","0.7884931193","80.84743753","84.55650916"
"Confidence in police - Crime Survey England and Wales","White","White & Other","2017/18, 2018/19 and 2019/20","3 years combined","South West","ONS geography code","E12000009","All","16+","All","All","78.4","%","7801","0.4657754977","77.32276308","79.51377102"
"Confidence in police - Crime Survey England and Wales","White","White & Other","2017/18, 2018/19 and 2019/20","3 years combined","Avon and Somerset","ONS geography code","E23000036","All","16+","All","All","78.0","%","1807","0.9739942946","75.74062188","80.32229104"
"Confidence in police - Crime Survey England and Wales","White","White & Other","2017/18, 2018/19 and 2019/20","3 years combined","Devon and Cornwall","ONS geography code","E23000035","All","16+","All","All","77.6","%","2045","0.9226423163","75.38271672","79.72282617"
"Confidence in police - Crime Survey England and Wales","White","White & Other","2017/18, 2018/19 and 2019/20","3 years combined","Dorset","ONS geography code","E23000039","All","16+","All","All","81.3","%","1423","1.034321973","78.83456393","83.70001449"
"Confidence in police - Crime Survey England and Wales","White","White & Other","2017/18, 2018/19 and 2019/20","3 years combined","Gloucestershire","ONS geography code","E23000037","All","16+","All","All","76.8","%","1200","1.217726161","73.97937278","79.70755664"
"Confidence in police - Crime Survey England and Wales","White","White & Other","2017/18, 2018/19 and 2019/20","3 years combined","Wiltshire","ONS geography code","E23000038","All","16+","All","All","79.8","%","1326","1.103305602","77.16880199","82.35875154"
"Confidence in police - Crime Survey England and Wales","White","White & Other","2017/18, 2018/19 and 2019/20","3 years combined","Wales","ONS geography code","W92000004","All","16+","All","All","73.8","%","5375","0.5999231275","72.36913631","75.1911747"
"Confidence in police - Crime Survey England and Wales","White","White & Other","2017/18, 2018/19 and 2019/20","3 years combined","Dyfed-Powys","ONS geography code","W15000004","All","16+","All","All","75.3","%","1348","1.173986059","72.57903099","78.10146141"
"Confidence in police - Crime Survey England and Wales","White","White & Other","2017/18, 2018/19 and 2019/20","3 years combined","Gwent","ONS geography code","W15000002","All","16+","All","All","67.8","%","1267","1.313027087","64.67805291","70.85453233"
"Confidence in police - Crime Survey England and Wales","White","White & Other","2017/18, 2018/19 and 2019/20","3 years combined","North Wales","ONS geography code","W15000001","All","16+","All","All","78.3","%","1410","1.098624518","75.66783291","80.83576264"
"Confidence in police - Crime Survey England and Wales","White","White & Other","2017/18, 2018/19 and 2019/20","3 years combined","South Wales","ONS geography code","W15000003","All","16+","All","All","73.6","%","1350","1.199107661","70.82055542","76.46115786"
"Confidence in police - Crime Survey England and Wales","All other Ethnic groups","White & Other","2017/18, 2018/19 and 2019/20","3 years combined","England and Wales","ONS geography code","K04000001","All","16+","All","All","75.5","%","8180","0.4752170681","74.43028896","76.66571005"
