"Measure","Ethnicity","Ethnicity_type","Time","Time_type","Geography","Geography_type","Geography code","Gender","Age","Socio-economic classification","Household income","Value","Value_type","Sample size","Standard error","Lower CI","Upper CI"
"Confidence in police - Crime Survey England and Wales","Black","ONS 2011  5 + 1","2017/18","Year ending March","England and Wales","ONS geography code","K04000001","All","16+","All","All","75.7","%","943","1.397162333","72.38886167","78.96111329"
"Confidence in police - Crime Survey England and Wales","Black African","ONS 2011 18 + 1","2017/18","Year ending March","England and Wales","ONS geography code","K04000001","All","16+","All","All","77.3","%","567","1.760515373","73.11054392","81.39200823"
"Confidence in police - Crime Survey England and Wales","Black Caribbean","ONS 2011 18 + 1","2017/18","Year ending March","England and Wales","ONS geography code","K04000001","All","16+","All","All","71.0","%","315","2.555421312","65.03706944","77.05777129"
"Confidence in police - Crime Survey England and Wales","Black Other","ONS 2011 18 + 1","2017/18","Year ending March","England and Wales","ONS geography code","K04000001","All","16+","All","All","82.3","%","61","4.883954563","70.83887672","93.81299898"
"Confidence in police - Crime Survey England and Wales","Other","ONS 2011  5 + 1","2017/18","Year ending March","England and Wales","ONS geography code","K04000001","All","16+","All","All","81.6","%","298","2.245245041","76.30628013","86.8679128"
"Confidence in police - Crime Survey England and Wales","Arab","ONS 2011 18 + 1","2017/18","Year ending March","England and Wales","ONS geography code","K04000001","All","16+","All","All","82.4","%","100","3.811897094","73.3909329","91.32209683"
"Confidence in police - Crime Survey England and Wales","Any Other","ONS 2011 18 + 1","2017/18","Year ending March","England and Wales","ONS geography code","K04000001","All","16+","All","All","81.2","%","198","2.777639071","74.64991766","87.71593185"
"Confidence in police - Crime Survey England and Wales","White","ONS 2011  5 + 1","2016/17","Year ending March","England and Wales","ONS geography code","K04000001","All","16+","All","All","78.6","%","31093","0.232496278","78.07628595","79.16994844"
"Confidence in police - Crime Survey England and Wales","White British","ONS 2011 18 + 1","2016/17","Year ending March","England and Wales","ONS geography code","K04000001","All","16+","All","All","78.3","%","28831","0.242782605","77.72390469","78.86595406"
"Confidence in police - Crime Survey England and Wales","White Irish","ONS 2011 18 + 1","2016/17","Year ending March","England and Wales","ONS geography code","K04000001","All","16+","All","All","76.0","%","292","2.501081692","70.06780052","81.8328888"
"Confidence in police - Crime Survey England and Wales","Gypsy or Irish traveller","ONS 2011 18 + 1","2016/17","Year ending March","England and Wales","ONS geography code","K04000001","All","16+","All","All","?","%","21","?","?","?"
"Confidence in police - Crime Survey England and Wales","White Other","ONS 2011 18 + 1","2016/17","Year ending March","England and Wales","ONS geography code","K04000001","All","16+","All","All","83.1","%","1949","0.848341761","81.13076824","85.12136788"
"Confidence in police - Crime Survey England and Wales","Mixed","ONS 2011  5 + 1","2016/17","Year ending March","England and Wales","ONS geography code","K04000001","All","16+","All","All","72.4","%","369","2.328180149","66.88175847","77.83351789"
"Confidence in police - Crime Survey England and Wales","Mixed White and Black Caribbean","ONS 2011 18 + 1","2016/17","Year ending March","England and Wales","ONS geography code","K04000001","All","16+","All","All","58.9","%","120","4.490904889","48.3711923","69.4964089"
"Confidence in police - Crime Survey England and Wales","Mixed White and Black African","ONS 2011 18 + 1","2016/17","Year ending March","England and Wales","ONS geography code","K04000001","All","16+","All","All","75.5","%","56","5.743584828","62.03769425","89.05551728"
"Confidence in police - Crime Survey England and Wales","Mixed White and Asian","ONS 2011 18 + 1","2016/17","Year ending March","England and Wales","ONS geography code","K04000001","All","16+","All","All","84.8","%","105","3.499633694","76.61164016","93.07391705"
"Confidence in police - Crime Survey England and Wales","Mixed Other","ONS 2011 18 + 1","2016/17","Year ending March","England and Wales","ONS geography code","K04000001","All","16+","All","All","72.1","%","88","4.781407363","60.84839701","83.34013724"
"Confidence in police - Crime Survey England and Wales","Asian","ONS 2011  5 + 1","2016/17","Year ending March","England and Wales","ONS geography code","K04000001","All","16+","All","All","79.5","%","1927","0.919091749","77.37142979","81.69483737"
"Confidence in police - Crime Survey England and Wales","Indian","ONS 2011 18 + 1","2016/17","Year ending March","England and Wales","ONS geography code","K04000001","All","16+","All","All","81.4","%","757","1.415085146","78.04261803","84.69917856"
"Confidence in police - Crime Survey England and Wales","Pakistani","ONS 2011 18 + 1","2016/17","Year ending March","England and Wales","ONS geography code","K04000001","All","16+","All","All","76.2","%","492","1.918716501","71.73056421","80.75620663"
"Confidence in police - Crime Survey England and Wales","Bangladeshi","ONS 2011 18 + 1","2016/17","Year ending March","England and Wales","ONS geography code","K04000001","All","16+","All","All","71.8","%","165","3.502470761","63.57721257","80.05283503"
"Confidence in police - Crime Survey England and Wales","Chinese","ONS 2011 18 + 1","2016/17","Year ending March","England and Wales","ONS geography code","K04000001","All","16+","All","All","79.4","%","180","3.011939257","72.36214009","86.53030235"
"Confidence in police - Crime Survey England and Wales","Asian Other","ONS 2011 18 + 1","2016/17","Year ending March","England and Wales","ONS geography code","K04000001","All","16+","All","All","85.5","%","333","1.930169112","80.94814043","90.02765593"
"Confidence in police - Crime Survey England and Wales","Black","ONS 2011  5 + 1","2016/17","Year ending March","England and Wales","ONS geography code","K04000001","All","16+","All","All","71.2","%","999","1.43209564","67.87207299","74.60865089"
"Confidence in police - Crime Survey England and Wales","Black African","ONS 2011 18 + 1","2016/17","Year ending March","England and Wales","ONS geography code","K04000001","All","16+","All","All","76.2","%","611","1.723707275","72.11102924","80.21934827"
"Confidence in police - Crime Survey England and Wales","Black Caribbean","ONS 2011 18 + 1","2016/17","Year ending March","England and Wales","ONS geography code","K04000001","All","16+","All","All","59.9","%","311","2.779128182","53.36171644","66.43473541"
"Confidence in police - Crime Survey England and Wales","Black Other","ONS 2011 18 + 1","2016/17","Year ending March","England and Wales","ONS geography code","K04000001","All","16+","All","All","68.9","%","77","5.277185692","56.4467697","81.2706512"
"Confidence in police - Crime Survey England and Wales","Other","ONS 2011  5 + 1","2016/17","Year ending March","England and Wales","ONS geography code","K04000001","All","16+","All","All","76.2","%","345","2.291747672","70.84000104","81.62038209"
"Confidence in police - Crime Survey England and Wales","Arab","ONS 2011 18 + 1","2016/17","Year ending March","England and Wales","ONS geography code","K04000001","All","16+","All","All","76.8","%","140","3.564795692","68.46541309","85.23421202"
"Confidence in police - Crime Survey England and Wales","Any Other","ONS 2011 18 + 1","2016/17","Year ending March","England and Wales","ONS geography code","K04000001","All","16+","All","All","75.8","%","205","2.992181064","68.74231951","82.81753923"
"Confidence in police - Crime Survey England and Wales","All","All","2016/17","Year ending March","England and Wales","ONS geography code","K04000001","All","16+","All","All","78.3","%","34767","0.220952321","77.81188485","78.85124457"
"Confidence in police - Crime Survey England and Wales","White","White & Other","2014/15, 2015/16 and 2016/17","3 years combined","England and Wales","ONS geography code","K04000001","All","16+","All","All","77.7","%","92637","0.136696972","77.46254943","77.99840156"
"Confidence in police - Crime Survey England and Wales","White","White & Other","2014/15, 2015/16 and 2016/17","3 years combined","North East","ONS geography code","E12000001","All","16+","All","All","79.2","%","6115","0.518855929","78.20241656","80.2363318"
"Confidence in police - Crime Survey England and Wales","White","White & Other","2014/15, 2015/16 and 2016/17","3 years combined","Cleveland","ONS geography code","E23000013","All","16+","All","All","73.0","%","1813","1.043192102","70.91189335","75.00120639"
"Confidence in police - Crime Survey England and Wales","White","White & Other","2014/15, 2015/16 and 2016/17","3 years combined","Durham","ONS geography code","E23000008","All","16+","All","All","79.7","%","1974","0.905792654","77.89637205","81.44707926"
"Confidence in police - Crime Survey England and Wales","White","White & Other","2014/15, 2015/16 and 2016/17","3 years combined","Northumbria","ONS geography code","E23000007","All","16+","All","All","81.3","%","2328","0.808901189","79.66739993","82.83829259"
"Confidence in police - Crime Survey England and Wales","White","White & Other","2014/15, 2015/16 and 2016/17","3 years combined","North West","ONS geography code","E12000002","All","16+","All","All","77.4","%","11436","0.391367457","76.58918398","78.12334441"
"Confidence in police - Crime Survey England and Wales","White","White & Other","2014/15, 2015/16 and 2016/17","3 years combined","Cheshire","ONS geography code","E23000006","All","16+","All","All","80.7","%","1824","0.923302128","78.93222176","82.5515661"
"Confidence in police - Crime Survey England and Wales","White","White & Other","2014/15, 2015/16 and 2016/17","3 years combined","Cumbria","ONS geography code","E23000002","All","16+","All","All","79.2","%","1807","0.954077168","77.37303047","81.11301297"
"Confidence in police - Crime Survey England and Wales","White","White & Other","2014/15, 2015/16 and 2016/17","3 years combined","Greater Manchester","ONS geography code","E23000005","All","16+","All","All","75.2","%","3621","0.717222844","73.83956812","76.65108167"
"Confidence in police - Crime Survey England and Wales","White","White & Other","2014/15, 2015/16 and 2016/17","3 years combined","Lancashire","ONS geography code","E23000003","All","16+","All","All","80.3","%","2212","0.846172435","78.61014535","81.9271413"
"Confidence in police - Crime Survey England and Wales","White","White & Other","2014/15, 2015/16 and 2016/17","3 years combined","Merseyside","ONS geography code","E23000004","All","16+","All","All","74.6","%","1972","0.980591697","72.65045425","76.4943737"
"Confidence in police - Crime Survey England and Wales","White","White & Other","2014/15, 2015/16 and 2016/17","3 years combined","Yorkshire and the Humber","ONS geography code","E12000003","All","16+","All","All","74.2","%","8667","0.469860531","73.29881291","75.14066619"
"Confidence in police - Crime Survey England and Wales","White","White & Other","2014/15, 2015/16 and 2016/17","3 years combined","Humberside","ONS geography code","E23000012","All","16+","All","All","67.1","%","1812","1.103944988","64.91624149","69.24370584"
"Confidence in police - Crime Survey England and Wales","White","White & Other","2014/15, 2015/16 and 2016/17","3 years combined","North Yorkshire","ONS geography code","E23000009","All","16+","All","All","82.7","%","1921","0.862440952","81.03807058","84.41883911"
"Confidence in police - Crime Survey England and Wales","White","White & Other","2014/15, 2015/16 and 2016/17","3 years combined","South Yorkshire","ONS geography code","E23000011","All","16+","All","All","72.5","%","1902","1.023314152","70.53935106","74.55074254"
"Confidence in police - Crime Survey England and Wales","White","White & Other","2014/15, 2015/16 and 2016/17","3 years combined","West Yorkshire","ONS geography code","E23000010","All","16+","All","All","75.1","%","3032","0.785602764","73.53481527","76.61437811"
"Confidence in police - Crime Survey England and Wales","White","White & Other","2014/15, 2015/16 and 2016/17","3 years combined","East Midlands","ONS geography code","E12000004","All","16+","All","All","75.8","%","8792","0.456630598","74.92683325","76.71682519"
"Confidence in police - Crime Survey England and Wales","White","White & Other","2014/15, 2015/16 and 2016/17","3 years combined","Derbyshire","ONS geography code","E23000018","All","16+","All","All","74.6","%","1859","1.009355199","72.63984144","76.59651382"
"Confidence in police - Crime Survey England and Wales","White","White & Other","2014/15, 2015/16 and 2016/17","3 years combined","Leicestershire","ONS geography code","E23000021","All","16+","All","All","78.6","%","1680","1.000241044","76.66102289","80.58196778"
"Confidence in police - Crime Survey England and Wales","White","White & Other","2014/15, 2015/16 and 2016/17","3 years combined","Lincolnshire","ONS geography code","E23000020","All","16+","All","All","75.6","%","1848","0.999751284","73.59276997","77.511795"
"Confidence in police - Crime Survey England and Wales","White","White & Other","2014/15, 2015/16 and 2016/17","3 years combined","Northamptonshire","ONS geography code","E23000022","All","16+","All","All","78.5","%","1662","1.008014352","76.50680479","80.45822106"
"Confidence in police - Crime Survey England and Wales","White","White & Other","2014/15, 2015/16 and 2016/17","3 years combined","Nottinghamshire","ONS geography code","E23000019","All","16+","All","All","73.2","%","1743","1.060281021","71.17107813","75.32737973"
"Confidence in police - Crime Survey England and Wales","White","White & Other","2014/15, 2015/16 and 2016/17","3 years combined","West Midlands Region","ONS geography code","E12000005","All","16+","All","All","75.3","%","8230","0.475124191","74.409142","76.27162883"
"Confidence in police - Crime Survey England and Wales","White","White & Other","2014/15, 2015/16 and 2016/17","3 years combined","Staffordshire","ONS geography code","E23000015","All","16+","All","All","70.9","%","1704","1.100825652","68.7005608","73.01579736"
"Confidence in police - Crime Survey England and Wales","White","White & Other","2014/15, 2015/16 and 2016/17","3 years combined","Warwickshire","ONS geography code","E23000017","All","16+","All","All","78.9","%","1803","0.960887963","77.01786828","80.78454909"
"Confidence in police - Crime Survey England and Wales","White","White & Other","2014/15, 2015/16 and 2016/17","3 years combined","West Mercia","ONS geography code","E23000016","All","16+","All","All","77.8","%","1799","0.979937534","75.87249876","79.71385389"
"Confidence in police - Crime Survey England and Wales","White","White & Other","2014/15, 2015/16 and 2016/17","3 years combined","West Midlands","ONS geography code","E23000014","All","16+","All","All","75.0","%","2924","0.801116198","73.39807884","76.53845434"
"Confidence in police - Crime Survey England and Wales","White","White & Other","2014/15, 2015/16 and 2016/17","3 years combined","East","ONS geography code","E12000006","All","16+","All","All","78.1","%","11183","0.391338144","77.29315166","78.82719719"
"Confidence in police - Crime Survey England and Wales","White","White & Other","2014/15, 2015/16 and 2016/17","3 years combined","Bedfordshire","ONS geography code","E23000026","All","16+","All","All","75.0","%","1711","1.046192292","72.99500503","77.09607881"
"Confidence in police - Crime Survey England and Wales","White","White & Other","2014/15, 2015/16 and 2016/17","3 years combined","Cambridgeshire","ONS geography code","E23000023","All","16+","All","All","76.5","%","1720","1.022962172","74.45445818","78.4644699"
"Confidence in police - Crime Survey England and Wales","White","White & Other","2014/15, 2015/16 and 2016/17","3 years combined","Essex","ONS geography code","E23000028","All","16+","All","All","74.0","%","2407","0.89450138","72.20675533","75.71320074"
"Confidence in police - Crime Survey England and Wales","White","White & Other","2014/15, 2015/16 and 2016/17","3 years combined","Hertfordshire","ONS geography code","E23000027","All","16+","All","All","82.7","%","1689","0.920531806","80.8879157","84.49640038"
"Confidence in police - Crime Survey England and Wales","White","White & Other","2014/15, 2015/16 and 2016/17","3 years combined","Norfolk","ONS geography code","E23000024","All","16+","All","All","81.5","%","1831","0.906814352","79.75589989","83.31061215"
"Confidence in police - Crime Survey England and Wales","White","White & Other","2014/15, 2015/16 and 2016/17","3 years combined","Suffolk","ONS geography code","E23000025","All","16+","All","All","79.9","%","1825","0.938031331","78.06425829","81.74134111"
"Confidence in police - Crime Survey England and Wales","White","White & Other","2014/15, 2015/16 and 2016/17","3 years combined","London","ONS geography code","E12000007","All","16+","All","All","80.6","%","7018","0.471964596","79.68109963","81.53120084"
"Confidence in police - Crime Survey England and Wales","White","White & Other","2014/15, 2015/16 and 2016/17","3 years combined","City of London / Metropolitan Police","ONS geography code","E12000007","All","16+","All","All","80.6","%","7018","0.471964596","79.68109963","81.53120084"
"Confidence in police - Crime Survey England and Wales","White","White & Other","2014/15, 2015/16 and 2016/17","3 years combined","South East","ONS geography code","E12000008","All","16+","All","All","79.7","%","12353","0.361601684","79.03640948","80.45388808"
"Confidence in police - Crime Survey England and Wales","White","White & Other","2014/15, 2015/16 and 2016/17","3 years combined","Hampshire","ONS geography code","E23000030","All","16+","All","All","79.9","%","2808","0.755916853","78.44297327","81.40616733"
"Confidence in police - Crime Survey England and Wales","White","White & Other","2014/15, 2015/16 and 2016/17","3 years combined","Kent","ONS geography code","E23000032","All","16+","All","All","76.7","%","2472","0.850118509","75.04485051","78.37731506"
"Confidence in police - Crime Survey England and Wales","White","White & Other","2014/15, 2015/16 and 2016/17","3 years combined","Surrey","ONS geography code","E23000031","All","16+","All","All","82.1","%","1709","0.927829703","80.25600227","83.8930947"
"Confidence in police - Crime Survey England and Wales","White","White & Other","2014/15, 2015/16 and 2016/17","3 years combined","Sussex","ONS geography code","E23000033","All","16+","All","All","75.9","%","2337","0.884420023","74.18952766","77.65645416"
"Confidence in police - Crime Survey England and Wales","White","White & Other","2014/15, 2015/16 and 2016/17","3 years combined","Thames Valley","ONS geography code","E23000029","All","16+","All","All","83.7","%","3027","0.671672445","82.36419149","84.99714747"
"Confidence in police - Crime Survey England and Wales","White","White & Other","2014/15, 2015/16 and 2016/17","3 years combined","South West","ONS geography code","E12000009","All","16+","All","All","80.1","%","10940","0.38183284","79.3346308","80.83141554"
"Confidence in police - Crime Survey England and Wales","White","White & Other","2014/15, 2015/16 and 2016/17","3 years combined","Avon and Somerset","ONS geography code","E23000036","All","16+","All","All","76.7","%","2352","0.872152135","74.95427882","78.37311518"
"Confidence in police - Crime Survey England and Wales","White","White & Other","2014/15, 2015/16 and 2016/17","3 years combined","Devon and Cornwall","ONS geography code","E23000035","All","16+","All","All","82.4","%","2879","0.710100541","80.98543325","83.76902737"
"Confidence in police - Crime Survey England and Wales","White","White & Other","2014/15, 2015/16 and 2016/17","3 years combined","Dorset","ONS geography code","E23000039","All","16+","All","All","83.5","%","1833","0.866310026","81.83330461","85.22923991"
"Confidence in police - Crime Survey England and Wales","White","White & Other","2014/15, 2015/16 and 2016/17","3 years combined","Gloucestershire","ONS geography code","E23000037","All","16+","All","All","80.1","%","2025","0.886975389","78.3759963","81.85293982"
"Confidence in police - Crime Survey England and Wales","White","White & Other","2014/15, 2015/16 and 2016/17","3 years combined","Wiltshire","ONS geography code","E23000038","All","16+","All","All","79.2","%","1851","0.943878965","77.32070545","81.02071099"
"Confidence in police - Crime Survey England and Wales","White","White & Other","2014/15, 2015/16 and 2016/17","3 years combined","Wales","ONS geography code","W92000004","All","16+","All","All","74.1","%","7903","0.492777064","73.1364506","75.06813669"
"Confidence in police - Crime Survey England and Wales","White","White & Other","2014/15, 2015/16 and 2016/17","3 years combined","Dyfed-Powys","ONS geography code","W15000004","All","16+","All","All","78.1","%","1938","0.938742287","76.30544729","79.98531706"
"Confidence in police - Crime Survey England and Wales","White","White & Other","2014/15, 2015/16 and 2016/17","3 years combined","Gwent","ONS geography code","W15000002","All","16+","All","All","67.9","%","2016","1.039788338","65.861229","69.93719928"
"Confidence in police - Crime Survey England and Wales","White","White & Other","2014/15, 2015/16 and 2016/17","3 years combined","North Wales","ONS geography code","W15000001","All","16+","All","All","77.7","%","1954","0.941792849","75.84620137","79.53802934"
"Confidence in police - Crime Survey England and Wales","White","White & Other","2014/15, 2015/16 and 2016/17","3 years combined","South Wales","ONS geography code","W15000003","All","16+","All","All","73.2","%","1995","0.991565659","71.26237327","75.14931065"
"Confidence in police - Crime Survey England and Wales","All other Ethnic groups","White & Other","2014/15, 2015/16 and 2016/17","3 years combined","England and Wales","ONS geography code","K04000001","All","16+","All","All","76.2","%","9947","0.427252101","75.32040071","76.99522894"
"Confidence in police - Crime Survey England and Wales","All other Ethnic groups","White & Other","2014/15, 2015/16 and 2016/17","3 years combined","North East","ONS geography code","E12000001","All","16+","All","All","86.4","%","181","2.551646486","81.35158761","91.35404183"
"Confidence in police - Crime Survey England and Wales","All other Ethnic groups","White & Other","2014/15, 2015/16 and 2016/17","3 years combined","Cleveland","ONS geography code","E23000013","All","16+","All","All","68.5","%","63","5.849925775","57.08238559","80.01409463"
"Confidence in police - Crime Survey England and Wales","All other Ethnic groups","White & Other","2014/15, 2015/16 and 2016/17","3 years combined","Durham","ONS geography code","E23000008","All","16+","All","All","?","%","25","?","?","?"
"Confidence in police - Crime Survey England and Wales","All other Ethnic groups","White & Other","2014/15, 2015/16 and 2016/17","3 years combined","Northumbria","ONS geography code","E23000007","All","16+","All","All","91.0","%","93","2.973148296","85.13500472","96.78974604"
"Confidence in police - Crime Survey England and Wales","All other Ethnic groups","White & Other","2014/15, 2015/16 and 2016/17","3 years combined","North West","ONS geography code","E12000002","All","16+","All","All","74.2","%","796","1.551146898","71.14195354","77.22244938"
"Confidence in police - Crime Survey England and Wales","All other Ethnic groups","White & Other","2014/15, 2015/16 and 2016/17","3 years combined","Cheshire","ONS geography code","E23000006","All","16+","All","All","?","%","40","?","?","?"
"Confidence in police - Crime Survey England and Wales","All other Ethnic groups","White & Other","2014/15, 2015/16 and 2016/17","3 years combined","Cumbria","ONS geography code","E23000002","All","16+","All","All","?","%","30","?","?","?"
"Confidence in police - Crime Survey England and Wales","All other Ethnic groups","White & Other","2014/15, 2015/16 and 2016/17","3 years combined","Greater Manchester","ONS geography code","E23000005","All","16+","All","All","71.2","%","500","2.02583301","67.19538507","75.13665047"
"Confidence in police - Crime Survey England and Wales","All other Ethnic groups","White & Other","2014/15, 2015/16 and 2016/17","3 years combined","Lancashire","ONS geography code","E23000003","All","16+","All","All","79.7","%","140","3.398983523","73.04603063","86.37004604"
"Confidence in police - Crime Survey England and Wales","All other Ethnic groups","White & Other","2014/15, 2015/16 and 2016/17","3 years combined","Merseyside","ONS geography code","E23000004","All","16+","All","All","74.4","%","86","4.705727445","65.1822472","83.62869878"
"Confidence in police - Crime Survey England and Wales","All other Ethnic groups","White & Other","2014/15, 2015/16 and 2016/17","3 years combined","Yorkshire and the Humber","ONS geography code","E12000003","All","16+","All","All","74.4","%","655","1.705110575","71.06395882","77.74799228"
"Confidence in police - Crime Survey England and Wales","All other Ethnic groups","White & Other","2014/15, 2015/16 and 2016/17","3 years combined","Humberside","ONS geography code","E23000012","All","16+","All","All","?","%","43","?","?","?"
"Confidence in police - Crime Survey England and Wales","All other Ethnic groups","White & Other","2014/15, 2015/16 and 2016/17","3 years combined","North Yorkshire","ONS geography code","E23000009","All","16+","All","All","?","%","37","?","?","?"
"Confidence in police - Crime Survey England and Wales","All other Ethnic groups","White & Other","2014/15, 2015/16 and 2016/17","3 years combined","South Yorkshire","ONS geography code","E23000011","All","16+","All","All","76.0","%","119","3.912982998","68.36781744","83.7067108"
"Confidence in police - Crime Survey England and Wales","All other Ethnic groups","White & Other","2014/15, 2015/16 and 2016/17","3 years combined","West Yorkshire","ONS geography code","E23000010","All","16+","All","All","72.9","%","456","2.081666771","68.81094744","76.97108118"
"Confidence in police - Crime Survey England and Wales","All other Ethnic groups","White & Other","2014/15, 2015/16 and 2016/17","3 years combined","East Midlands","ONS geography code","E12000004","All","16+","All","All","79.1","%","718","1.516092208","76.17724056","82.12032202"
"Confidence in police - Crime Survey England and Wales","All other Ethnic groups","White & Other","2014/15, 2015/16 and 2016/17","3 years combined","Derbyshire","ONS geography code","E23000018","All","16+","All","All","81.4","%","91","4.079475202","73.3979743","89.38951709"
"Confidence in police - Crime Survey England and Wales","All other Ethnic groups","White & Other","2014/15, 2015/16 and 2016/17","3 years combined","Leicestershire","ONS geography code","E23000021","All","16+","All","All","81.2","%","300","2.255144929","76.79363735","85.63380547"
"Confidence in police - Crime Survey England and Wales","All other Ethnic groups","White & Other","2014/15, 2015/16 and 2016/17","3 years combined","Lincolnshire","ONS geography code","E23000020","All","16+","All","All","?","%","40","?","?","?"
"Confidence in police - Crime Survey England and Wales","All other Ethnic groups","White & Other","2014/15, 2015/16 and 2016/17","3 years combined","Northamptonshire","ONS geography code","E23000022","All","16+","All","All","77.0","%","138","3.584072068","69.94392251","83.99348502"
"Confidence in police - Crime Survey England and Wales","All other Ethnic groups","White & Other","2014/15, 2015/16 and 2016/17","3 years combined","Nottinghamshire","ONS geography code","E23000019","All","16+","All","All","74.8","%","149","3.558504581","67.78860476","81.73794272"
"Confidence in police - Crime Survey England and Wales","All other Ethnic groups","White & Other","2014/15, 2015/16 and 2016/17","3 years combined","West Midlands Region","ONS geography code","E12000005","All","16+","All","All","73.9","%","1128","1.306937934","71.38162889","76.50482559"
"Confidence in police - Crime Survey England and Wales","All other Ethnic groups","White & Other","2014/15, 2015/16 and 2016/17","3 years combined","Staffordshire","ONS geography code","E23000015","All","16+","All","All","69.1","%","76","5.301210575","58.69324981","79.47399526"
"Confidence in police - Crime Survey England and Wales","All other Ethnic groups","White & Other","2014/15, 2015/16 and 2016/17","3 years combined","Warwickshire","ONS geography code","E23000017","All","16+","All","All","86.3","%","104","3.372360957","79.68379296","92.90344791"
"Confidence in police - Crime Survey England and Wales","All other Ethnic groups","White & Other","2014/15, 2015/16 and 2016/17","3 years combined","West Mercia","ONS geography code","E23000016","All","16+","All","All","71.1","%","55","6.111181073","59.13939136","83.09522117"
"Confidence in police - Crime Survey England and Wales","All other Ethnic groups","White & Other","2014/15, 2015/16 and 2016/17","3 years combined","West Midlands","ONS geography code","E23000014","All","16+","All","All","73.9","%","893","1.470506844","70.97122126","76.73560809"
"Confidence in police - Crime Survey England and Wales","All other Ethnic groups","White & Other","2014/15, 2015/16 and 2016/17","3 years combined","East","ONS geography code","E12000006","All","16+","All","All","80.2","%","923","1.312415276","77.59708023","82.74174811"
"Confidence in police - Crime Survey England and Wales","All other Ethnic groups","White & Other","2014/15, 2015/16 and 2016/17","3 years combined","Bedfordshire","ONS geography code","E23000026","All","16+","All","All","72.3","%","317","2.512585735","67.40807466","77.25741074"
"Confidence in police - Crime Survey England and Wales","All other Ethnic groups","White & Other","2014/15, 2015/16 and 2016/17","3 years combined","Cambridgeshire","ONS geography code","E23000023","All","16+","All","All","81.1","%","139","3.324031587","74.53587468","87.5660785"
"Confidence in police - Crime Survey England and Wales","All other Ethnic groups","White & Other","2014/15, 2015/16 and 2016/17","3 years combined","Essex","ONS geography code","E23000028","All","16+","All","All","81.3","%","153","3.151876976","75.12803537","87.48339312"
"Confidence in police - Crime Survey England and Wales","All other Ethnic groups","White & Other","2014/15, 2015/16 and 2016/17","3 years combined","Hertfordshire","ONS geography code","E23000027","All","16+","All","All","85.3","%","204","2.478730279","80.44895172","90.16557442"
"Confidence in police - Crime Survey England and Wales","All other Ethnic groups","White & Other","2014/15, 2015/16 and 2016/17","3 years combined","Norfolk","ONS geography code","E23000024","All","16+","All","All","?","%","42","?","?","?"
"Confidence in police - Crime Survey England and Wales","All other Ethnic groups","White & Other","2014/15, 2015/16 and 2016/17","3 years combined","Suffolk","ONS geography code","E23000025","All","16+","All","All","79.6","%","68","4.88534386","70.04013157","89.1906795"
"Confidence in police - Crime Survey England and Wales","All other Ethnic groups","White & Other","2014/15, 2015/16 and 2016/17","3 years combined","London","ONS geography code","E12000007","All","16+","All","All","74.8","%","3917","0.693275922","73.48803811","76.20567972"
"Confidence in police - Crime Survey England and Wales","All other Ethnic groups","White & Other","2014/15, 2015/16 and 2016/17","3 years combined","City of London / Metropolitan Police","ONS geography code","E12000007","All","16+","All","All","74.8","%","3917","0.693275922","73.48803811","76.20567972"
"Confidence in police - Crime Survey England and Wales","All other Ethnic groups","White & Other","2014/15, 2015/16 and 2016/17","3 years combined","South East","ONS geography code","E12000008","All","16+","All","All","79.8","%","1041","1.244719832","77.34541441","82.22471615"
"Confidence in police - Crime Survey England and Wales","All other Ethnic groups","White & Other","2014/15, 2015/16 and 2016/17","3 years combined","Hampshire","ONS geography code","E23000030","All","16+","All","All","83.6","%","137","3.16161667","77.42722074","89.82075809"
"Confidence in police - Crime Survey England and Wales","All other Ethnic groups","White & Other","2014/15, 2015/16 and 2016/17","3 years combined","Kent","ONS geography code","E23000032","All","16+","All","All","75.8","%","153","3.464524008","68.96904052","82.54997463"
"Confidence in police - Crime Survey England and Wales","All other Ethnic groups","White & Other","2014/15, 2015/16 and 2016/17","3 years combined","Surrey","ONS geography code","E23000031","All","16+","All","All","79.1","%","153","3.288816049","72.62460022","85.51675913"
"Confidence in police - Crime Survey England and Wales","All other Ethnic groups","White & Other","2014/15, 2015/16 and 2016/17","3 years combined","Sussex","ONS geography code","E23000033","All","16+","All","All","80.1","%","121","3.632031544","72.94465062","87.18221427"
"Confidence in police - Crime Survey England and Wales","All other Ethnic groups","White & Other","2014/15, 2015/16 and 2016/17","3 years combined","Thames Valley","ONS geography code","E23000029","All","16+","All","All","79.9","%","477","1.833228164","76.35572813","83.54198253"
"Confidence in police - Crime Survey England and Wales","All other Ethnic groups","White & Other","2014/15, 2015/16 and 2016/17","3 years combined","South West","ONS geography code","E12000009","All","16+","All","All","78.4","%","371","2.136609825","74.20850024","82.58401076"
"Confidence in police - Crime Survey England and Wales","All other Ethnic groups","White & Other","2014/15, 2015/16 and 2016/17","3 years combined","Avon and Somerset","ONS geography code","E23000036","All","16+","All","All","78.0","%","129","3.645044626","70.89248853","85.18106346"
"Confidence in police - Crime Survey England and Wales","All other Ethnic groups","White & Other","2014/15, 2015/16 and 2016/17","3 years combined","Devon and Cornwall","ONS geography code","E23000035","All","16+","All","All","?","%","44","?","?","?"
