"Measure","Time","Time_type","Ethnicity","Ethnicity_type","Geography","Age_group","NS-SEC","Income_band","Region","Value","Numerator","Denominator","Sample_size"
"Percentage of households who own their home","2016-17 and 2017-18","Two years","All","White British and Other","England","All","All","All","London","47.92084139","1647","3437","3268"
"Percentage of households who own their home","2016-17 and 2017-18","Two years","All","White British and Other","England","All","All","All","South East","68.04172499","2563","3766","4164"
"Percentage of households who own their home","2016-17 and 2017-18","Two years","All","White British and Other","England","All","All","All","South West","68.39684428","1672","2444","2571"
"Percentage of households who own their home","2016-17 and 2017-18","Two years","All","White British and Other","England","All","All","All","All Region","63.05789375","14604","23160","26345"
"Percentage of households who own their home","2016-17 and 2017-18","Two years","White British","White British and Other","England","All","All","Up to £99","All","20.9331067","37","179","238"
"Percentage of households who own their home","2016-17 and 2017-18","Two years","White British","White British and Other","England","All","All","£100 to £199","All","39.83233111","598","1501","2025"
"Percentage of households who own their home","2016-17 and 2017-18","Two years","White British","White British and Other","England","All","All","£200 to £299","All","50.13048554","1007","2008","2650"
"Percentage of households who own their home","2016-17 and 2017-18","Two years","White British","White British and Other","England","All","All","£300 to £399","All","56.56754143","1147","2028","2518"
"Percentage of households who own their home","2016-17 and 2017-18","Two years","White British","White British and Other","England","All","All","£400 to £499","All","63.53272462","1123","1767","2095"
"Percentage of households who own their home","2016-17 and 2017-18","Two years","White British","White British and Other","England","All","All","£500 to £599","All","66.55105703","1110","1668","1897"
"Percentage of households who own their home","2016-17 and 2017-18","Two years","White British","White British and Other","England","All","All","£600 to £699","All","70.99067715","1119","1576","1780"
"Percentage of households who own their home","2016-17 and 2017-18","Two years","White British","White British and Other","England","All","All","£700 to £799","All","75.0484315","962","1282","1397"
"Percentage of households who own their home","2016-17 and 2017-18","Two years","White British","White British and Other","England","All","All","£800 to £899","All","78.65248456","903","1148","1191"
"Percentage of households who own their home","2016-17 and 2017-18","Two years","White British","White British and Other","England","All","All","£900 to £999","All","79.7493511","747","936","995"
"Percentage of households who own their home","2016-17 and 2017-18","Two years","White British","White British and Other","England","All","All","£1000 and above","All","86.38628159","4005","4636","4614"
"Percentage of households who own their home","2016-17 and 2017-18","Two years","White British","White British and Other","England","All","All","All Income","All","68.1148724","12758","18731","21400"
