"Ethnicity","Geography","boys","Girls "
"Black","Windsor and Maidenhead","86","100"
"Black","Wirral","75","100"
"Black","Wokingham","83","76"
"Black","Wolverhampton","81","82"
"Black","Worcestershire","58","81"
"Black","York","83","50"
"Chinese","Barking and Dagenham","80","100"
"Chinese","Barnet","97","94"
"Chinese","Barnsley","0","NA"
"Chinese","Bath and North East Somerset","75","100"
"Chinese","Bedford","100","100"
"Chinese","Bexley","87","96"
"Chinese","Birmingham","90","80"
"Chinese","Blackburn with Darwen","80","0"
"Chinese","Blackpool","100","100"
"Chinese","Bolton","71","80"
"Chinese","Bournemouth","100","100"
"Chinese","Bracknell Forest","100","100"
"Chinese","Bradford","75","100"
"Chinese","Brent","100","100"
"Chinese","Brighton and Hove","78","100"
"Chinese","Bristol, City of","100","100"
"Chinese","Bromley","97","95"
"Chinese","Buckinghamshire","90","78"
"Chinese","Bury","89","80"
"Chinese","Calderdale","80","83"
"Chinese","Cambridgeshire","93","86"
"Chinese","Camden","100","80"
"Chinese","Central Bedfordshire","100","100"
"Chinese","Cheshire East","50","67"
"Chinese","Cheshire West and Chester","50","100"
"Chinese","City of London","!","!"
"Chinese","Cornwall","80","67"
"Chinese","County Durham","67","88"
"Chinese","Coventry","100","92"
"Chinese","Croydon","87","100"
"Chinese","Cumbria","50","60"
"Chinese","Darlington","100","100"
"Chinese","Derby","83","86"
"Chinese","Derbyshire","73","89"
"Chinese","Devon","63","100"
"Chinese","Doncaster","88","50"
"Chinese","Dorset","100","86"
"Chinese","Dudley","100","89"
"Chinese","Ealing","91","91"
"Chinese","East Riding of Yorkshire","NA","100"
"Chinese","East Sussex","100","89"
"Chinese","Enfield","94","100"
"Chinese","Essex","86","88"
"Chinese","Gateshead","83","80"
"Chinese","Gloucestershire","75","100"
"Chinese","Greenwich","85","97"
"Chinese","Hackney","83","100"
"Chinese","Halton","NA","NA"
"Chinese","Hammersmith and Fulham","100","100"
"Chinese","Hampshire","88","90"
"Chinese","Haringey","93","95"
"Chinese","Harrow","100","100"
"Chinese","Hartlepool","100","100"
"Chinese","Havering","100","100"
"Chinese","Herefordshire, County of","100","100"
"Chinese","Hertfordshire","93","86"
"Chinese","Hillingdon","100","100"
"Chinese","Hounslow","100","100"
"Chinese","Isle of Wight","100","100"
"Chinese","Isles of Scilly","!","!"
"Chinese","Islington","90","100"
"Chinese","Kensington and Chelsea","100","75"
"Chinese","Kent","85","90"
"Chinese","Kingston upon Hull, City of","0","100"
"Chinese","Kingston upon Thames","100","94"
"Chinese","Kirklees","90","67"
"Chinese","Knowsley","0","100"
"Chinese","Lambeth","85","100"
"Chinese","Lancashire","82","95"
"Chinese","Leeds","91","85"
"Chinese","Leicester","88","82"
"Chinese","Leicestershire","88","86"
"Chinese","Lewisham","88","93"
"Chinese","Lincolnshire","92","100"
"Chinese","Liverpool","85","90"
"Chinese","Luton","83","100"
"Chinese","Manchester","88","92"
"Chinese","Medway","100","100"
"Chinese","Merton","89","100"
"Chinese","Middlesbrough","100","100"
"Chinese","Milton Keynes","100","100"
"Chinese","Newcastle upon Tyne","83","88"
"Chinese","Newham","93","83"
"Chinese","Norfolk","89","100"
"Chinese","North East Lincolnshire","100","0"
"Chinese","North Lincolnshire","100","100"
"Chinese","North Somerset","67","100"
"Chinese","North Tyneside","92","100"
"Chinese","North Yorkshire","67","100"
"Chinese","Northamptonshire","100","100"
"Chinese","Northumberland","50","100"
"Chinese","Nottingham","100","94"
"Chinese","Nottinghamshire","84","87"
"Chinese","Oldham","92","100"
"Chinese","Oxfordshire","94","100"
"Chinese","Peterborough","100","75"
"Chinese","Plymouth","80","100"
"Chinese","Poole","100","100"
"Chinese","Portsmouth","78","100"
"Chinese","Reading","71","100"
"Chinese","Redbridge","100","90"
"Chinese","Redcar and Cleveland","NA","100"
"Chinese","Richmond upon Thames","100","95"
"Chinese","Rochdale","80","100"
"Chinese","Rotherham","100","90"
"Chinese","Rutland","100","NA"
"Chinese","Salford","100","100"
"Chinese","Sandwell","90","67"
"Chinese","Sefton","88","100"
"Chinese","Sheffield","91","95"
"Chinese","Shropshire","100","75"
"Chinese","Slough","100","100"
"Chinese","Solihull","100","100"
"Chinese","Somerset","100","100"
"Chinese","South Gloucestershire","91","100"
"Chinese","South Tyneside","100","100"
"Chinese","Southampton","100","91"
"Chinese","Southend-on-Sea","80","100"
"Chinese","Southwark","94","96"
"Chinese","St. Helens","100","100"
"Chinese","Staffordshire","100","100"
"Chinese","Stockport","91","83"
"Chinese","Stockton-on-Tees","80","100"
"Chinese","Stoke-on-Trent","89","100"
"Chinese","Suffolk","100","83"
"Chinese","Sunderland","90","88"
"Chinese","Surrey","88","96"
"Chinese","Sutton","92","100"
"Chinese","Swindon","100","100"
"Chinese","Tameside","83","67"
"Chinese","Telford and Wrekin","60","100"
"Chinese","Thurrock","88","100"
"Chinese","Torbay","0","100"
"Chinese","Tower Hamlets","83","77"
"Chinese","Trafford","100","86"
"Chinese","Wakefield","80","100"
"Chinese","Walsall","85","86"
"Chinese","Waltham Forest","95","95"
"Chinese","Wandsworth","89","100"
"Chinese","Warrington","67","100"
"Chinese","Warwickshire","100","81"
"Chinese","West Berkshire","80","60"
"Chinese","West Sussex","79","93"
"Chinese","Westminster","100","92"
"Chinese","Wigan","90","100"
"Chinese","Wiltshire","88","86"
"Chinese","Windsor and Maidenhead","100","50"
"Chinese","Wirral","100","90"
"Chinese","Wokingham","82","100"
"Chinese","Wolverhampton","100","100"
"Chinese","Worcestershire","89","100"
"Chinese","York","80","100"
"Mixed","Barking and Dagenham","78","89"
"Mixed","Barnet","86","90"
"Mixed","Barnsley","67","86"
"Mixed","Bath and North East Somerset","84","90"
"Mixed","Bedford","73","83"
"Mixed","Bexley","84","92"
"Mixed","Birmingham","77","84"
"Mixed","Blackburn with Darwen","91","84"
"Mixed","Blackpool","80","86"
"Mixed","Bolton","85","80"
"Mixed","Bournemouth","82","86"
"Mixed","Bracknell Forest","89","98"
"Mixed","Bradford","75","87"
"Mixed","Brent","81","83"
"Mixed","Brighton and Hove","83","85"
"Mixed","Bristol, City of","80","82"
"Mixed","Bromley","87","93"
"Mixed","Buckinghamshire","77","92"
"Mixed","Bury","80","85"
"Mixed","Calderdale","84","86"
"Mixed","Cambridgeshire","80","90"
"Mixed","Camden","82","87"
"Mixed","Central Bedfordshire","84","95"
"Mixed","Cheshire East","76","93"
"Mixed","Cheshire West and Chester","83","86"
"Mixed","City of London","!","!"
"Mixed","Cornwall","79","88"
"Mixed","County Durham","89","94"
"Mixed","Coventry","78","90"
"Mixed","Croydon","81","86"
"Mixed","Cumbria","88","87"
"Mixed","Darlington","80","95"
"Mixed","Derby","76","84"
"Mixed","Derbyshire","82","90"
"Mixed","Devon","84","90"
"Mixed","Doncaster","70","88"
"Mixed","Dorset","81","88"
"Mixed","Dudley","69","83"
"Mixed","Ealing","87","93"
"Mixed","East Riding of Yorkshire","81","90"
"Mixed","East Sussex","75","91"
"Mixed","Enfield","88","87"
"Mixed","Essex","82","87"
"Mixed","Gateshead","85","100"
"Mixed","Gloucestershire","77","82"
"Mixed","Greenwich","82","91"
"Mixed","Hackney","84","86"
"Mixed","Halton","85","90"
"Mixed","Hammersmith and Fulham","84","92"
"Mixed","Hampshire","84","88"
"Mixed","Haringey","84","90"
"Mixed","Harrow","89","87"
"Mixed","Hartlepool","100","90"
"Mixed","Havering","80","92"
"Mixed","Herefordshire, County of","95","84"
"Mixed","Hertfordshire","83","88"
"Mixed","Hillingdon","81","86"
"Mixed","Hounslow","82","84"
