"Measure","Year","Ethnicity","Sex","Threshold","Mean","Value","Upper Confidence Interval","Lower Confidence Interval","Sample Size"
"Worthwhile","2013","All","All","Very High","N/A","32.33","32.64","32.02","-"
"Worthwhile","2014","All","All","Very High","N/A","33.86","34.18","33.54","-"
"Worthwhile","2015","All","All","Very High","N/A","34.46","34.78","34.14","-"
"Worthwhile","2016","All","All","Very High","N/A","34.92","35.26","34.59","-"
"Worthwhile","2017","All","All","Very High","N/A","35.7","36.04","35.36","-"
"Worthwhile","2012","Arab","All","All","7.19","N/A","7.47","6.9","340"
"Worthwhile","2013","Arab","All","All","7.33","N/A","7.58","7.09","330"
"Worthwhile","2014","Arab","All","All","7.48","N/A","7.71","7.25","370"
"Worthwhile","2015","Arab","All","All","7.77","N/A","8","7.54","370"
"Worthwhile","2016","Arab","All","All","7.75","N/A","7.99","7.52","340"
"Worthwhile","2017","Arab","All","All","7.67","N/A","7.9","7.45","340"
"Worthwhile","2018","Arab","All","All","7.97","N/A","8.27","7.67","360"
"Worthwhile","2012","Arab","All","Low","N/A","?","?","?","-"
"Worthwhile","2012","Arab","All","Medium","N/A","26.36","32.63","20.1","-"
"Worthwhile","2012","Arab","All","High","N/A","38.66","46.28","31.04","-"
"Worthwhile","2012","Arab","All","Very High","N/A","27.4","34.28","20.51","-"
"Worthwhile","2013","Arab","All","Low","N/A","?","?","?","-"
"Worthwhile","2013","Arab","All","Medium","N/A","23.19","28.59","17.78",""
"Worthwhile","2013","Arab","All","High","N/A","43.94","50.55","37.32",""
"Worthwhile","2013","Arab","All","Very High","N/A","27.2","32.98","21.41",""
"Worthwhile","2014","Arab","All","Low","N/A","?","?","?","-"
"Worthwhile","2014","Arab","All","Medium","N/A","17.66","22.41","12.9","-"
"Worthwhile","2014","Arab","All","High","N/A","51.69","58.51","44.87","-"
"Worthwhile","2014","Arab","All","Very High","N/A","24.99","30.36","19.63","-"
"Worthwhile","2015","Arab","All","Low","N/A","?","?","?","-"
"Worthwhile","2015","Arab","All","Medium","N/A","16.78","21.62","11.94","-"
"Worthwhile","2015","Arab","All","High","N/A","42.53","49.35","35.71","-"
"Worthwhile","2015","Arab","All","Very High","N/A","36.85","43.58","30.11","-"
"Worthwhile","2016","Arab","All","Low","N/A","?","?","?","-"
"Worthwhile","2016","Arab","All","Medium","N/A","13.13","17.06","9.2","-"
"Worthwhile","2016","Arab","All","High","N/A","48.63","55.07","42.2","-"
"Worthwhile","2016","Arab","All","Very High","N/A","33.55","40.08","27.02","-"
"Worthwhile","2017","Arab","All","Low","N/A","?","?","?","-"
"Worthwhile","2017","Arab","All","Medium","N/A","16.94","21.73","12.15","-"
"Worthwhile","2017","Arab","All","High","N/A","45.97","52.41","39.52","-"
"Worthwhile","2017","Arab","All","Very High","N/A","32.62","38.78","26.46","-"
"Worthwhile","2018","Arab","All","Low","N/A","?","?","?","-"
"Worthwhile","2018","Arab","All","Medium","N/A","13.98","18.85","9.11","-"
"Worthwhile","2018","Arab","All","High","N/A","41.46","48.66","34.26","-"
"Worthwhile","2018","Arab","All","Very High","N/A","41.26","49.79","32.72","-"
"Worthwhile","2012","Asian other","All","Low","N/A","4.6","6.33","2.87","-"
"Worthwhile","2012","Asian other","All","Medium","N/A","18.67","21.63","15.71","-"
"Worthwhile","2012","Asian other","All","High","N/A","47.15","50.91","43.38","-"
"Worthwhile","2013","Asian other","All","Low","N/A","5.28","7.12","3.45",""
"Worthwhile","2013","Asian other","All","Medium","N/A","16.78","20.02","13.55",""
"Worthwhile","2013","Asian other","All","High","N/A","45.66","49.73","41.58",""
"Worthwhile","2014","Asian other","All","Low","N/A","?","?","?","-"
"Worthwhile","2014","Asian other","All","Medium","N/A","15.17","17.86","12.48","-"
"Worthwhile","2014","Asian other","All","High","N/A","47.71","51.44","43.98","-"
"Worthwhile","2015","Asian other","All","Low","N/A","2.48","3.46","1.51","-"
"Worthwhile","2015","Asian other","All","Medium","N/A","18.32","21.49","15.15","-"
"Worthwhile","2015","Asian other","All","High","N/A","48.49","52.37","44.61","-"
"Worthwhile","2016","Asian other","All","Low","N/A","2.75","3.82","1.67","-"
"Worthwhile","2016","Asian other","All","Medium","N/A","14.34","17.03","11.66","-"
"Worthwhile","2016","Asian other","All","High","N/A","49.04","52.96","45.11","-"
"Worthwhile","2017","Asian other","All","Low","N/A","?","?","?","-"
"Worthwhile","2017","Asian other","All","Medium","N/A","15.5","18.49","12.51","-"
"Worthwhile","2017","Asian other","All","High","N/A","48.01","52.16","43.87","-"
"Worthwhile","2018","Asian other","All","Low","N/A","?","?","?","-"
"Worthwhile","2018","Asian other","All","Medium","N/A","13.79","16.8","10.77","-"
"Worthwhile","2018","Asian other","All","High","N/A","47.86","52.08","43.64","-"
"Worthwhile","2012","Bangladeshi","All","All","7.44","N/A","7.63","7.26","580"
"Worthwhile","2013","Bangladeshi","All","All","7.62","N/A","7.8","7.44","550"
"Worthwhile","2014","Bangladeshi","All","All","7.76","N/A","7.93","7.58","560"
"Worthwhile","2015","Bangladeshi","All","All","7.79","N/A","7.98","7.61","550"
"Worthwhile","2016","Bangladeshi","All","All","7.65","N/A","7.84","7.46","550"
"Worthwhile","2017","Bangladeshi","All","All","7.74","N/A","8","7.48","580"
"Worthwhile","2012","Bangladeshi","All","Low","N/A","?","?","?","-"
"Worthwhile","2012","Bangladeshi","All","Medium","N/A","23.11","27.51","18.71","-"
"Worthwhile","2012","Bangladeshi","All","High","N/A","44.28","49.5","39.06","-"
"Worthwhile","2012","Bangladeshi","All","Very High","N/A","28.51","33.51","23.51","-"
"Worthwhile","2013","Bangladeshi","All","Low","N/A","?","?","?","-"
"Worthwhile","2013","Bangladeshi","All","Medium","N/A","17.47","21.18","13.75",""
"Worthwhile","2013","Bangladeshi","All","High","N/A","45.99","50.93","41.05",""
"Worthwhile","2013","Bangladeshi","All","Very High","N/A","32.04","36.7","27.38",""
"Worthwhile","2014","Bangladeshi","All","Low","N/A","?","?","?","-"
"Worthwhile","2014","Bangladeshi","All","Medium","N/A","17.23","21.4","13.06","-"
"Worthwhile","2014","Bangladeshi","All","High","N/A","44.92","50.09","39.75","-"
"Worthwhile","2014","Bangladeshi","All","Very High","N/A","34.77","39.81","29.73","-"
"Worthwhile","2015","Bangladeshi","All","Low","N/A","?","?","?","-"
"Worthwhile","2015","Bangladeshi","All","Medium","N/A","16.71","21.22","12.2","-"
"Worthwhile","2015","Bangladeshi","All","High","N/A","43.91","49.48","38.34","-"
"Worthwhile","2015","Bangladeshi","All","Very High","N/A","35.69","41.37","30","-"
"Worthwhile","2016","Bangladeshi","All","Low","N/A","?","?","?","-"
"Worthwhile","2016","Bangladeshi","All","Medium","N/A","20.11","24.28","15.94","-"
"Worthwhile","2016","Bangladeshi","All","High","N/A","45.5","50.61","40.39","-"
"Worthwhile","2016","Bangladeshi","All","Very High","N/A","30.95","35.96","25.93","-"
"Worthwhile","2017","Bangladeshi","All","Low","N/A","?","?","?","-"
"Worthwhile","2017","Bangladeshi","All","Medium","N/A","13.97","17.36","10.57","-"
"Worthwhile","2017","Bangladeshi","All","High","N/A","44.79","50.38","39.19","-"
"Worthwhile","2017","Bangladeshi","All","Very High","N/A","34.74","40.17","29.3","-"
"Worthwhile","2018","Bangladeshi","All","All","7.71","N/A","7.87","7.55","540"
"Worthwhile","2018","Bangladeshi","All","Low","N/A","?","?","?","-"
"Worthwhile","2018","Bangladeshi","All","Medium","N/A","16.71","20.61","12.81","-"
"Worthwhile","2018","Bangladeshi","All","High","N/A","51.14","56.31","45.97","-"
"Worthwhile","2018","Bangladeshi","All","Very High","N/A","29.75","34.4","25.1","-"
"Worthwhile","2012","Black","All","All","7.47","N/A","7.55","7.39","3100"
"Worthwhile","2013","Black","All","All","7.59","N/A","7.67","7.51","3070"
"Worthwhile","2014","Black","All","All","7.64","N/A","7.72","7.55","3150"
"Worthwhile","2015","Black","All","All","7.69","N/A","7.77","7.62","3200"
"Worthwhile","2016","Black","All","All","7.65","N/A","7.74","7.57","2990"
"Worthwhile","2017","Black","All","All","7.72","N/A","7.81","7.63","2920"
"Worthwhile","2018","Black","All","All","7.77","N/A","7.86","7.67","2940"
"Worthwhile","2012","Black","All","Low","N/A","5.26","6.14","4.38","-"
"Worthwhile","2012","Black","All","Medium","N/A","21.77","23.59","19.94","-"
"Worthwhile","2012","Black","All","High","N/A","42.9","45.03","40.78","-"
"Worthwhile","2012","Black","All","Very High","N/A","30.08","32.05","28.1","-"
"Worthwhile","2013","Black","All","Low","N/A","4.76","5.6","3.91",""
"Worthwhile","2013","Black","All","Medium","N/A","19.36","21.1","17.62",""
"Worthwhile","2013","Black","All","High","N/A","44.04","46.24","41.85",""
"Worthwhile","2013","Black","All","Very High","N/A","31.84","33.87","29.81",""
"Worthwhile","2014","Black","All","Low","N/A","4.84","5.77","3.91","-"
"Worthwhile","2014","Black","All","Medium","N/A","18.09","19.79","16.39","-"
"Worthwhile","2014","Black","All","High","N/A","43.8","45.95","41.66","-"
"Worthwhile","2014","Black","All","Very High","N/A","33.26","35.44","31.08","-"
"Worthwhile","2015","Black","All","Low","N/A","3.36","4.06","2.67","-"
"Worthwhile","2015","Black","All","Medium","N/A","18.69","20.43","16.96","-"
"Worthwhile","2015","Black","All","High","N/A","44.48","46.6","42.37","-"
"Worthwhile","2015","Black","All","Very High","N/A","33.46","35.5","31.42","-"
"Worthwhile","2016","Black","All","Low","N/A","4.37","5.3","3.43","-"
"Worthwhile","2016","Black","All","Medium","N/A","18.35","20.08","16.61","-"
"Worthwhile","2016","Black","All","High","N/A","43.92","46.16","41.68","-"
"Worthwhile","2016","Black","All","Very High","N/A","33.37","35.52","31.21","-"
"Worthwhile","2017","Black","All","Low","N/A","4.93","6.04","3.82","-"
"Worthwhile","2017","Black","All","Medium","N/A","15.95","17.58","14.31","-"
"Worthwhile","2017","Black","All","High","N/A","43.69","45.92","41.46","-"
"Worthwhile","2017","Black","All","Very High","N/A","35.44","37.65","33.23","-"
"Worthwhile","2018","Black","All","Low","N/A","4.56","5.51","3.61","-"
"Worthwhile","2018","Black","All","Medium","N/A","16.19","17.85","14.53","-"
"Worthwhile","2018","Black","All","High","N/A","42.91","45.27","40.55","-"
"Worthwhile","2018","Black","All","Very High","N/A","36.34","38.75","33.94","-"
"Worthwhile","2012","Chinese","All","All","7.43","N/A","7.63","7.23","590"
"Worthwhile","2013","Chinese","All","All","7.48","N/A","7.62","7.33","580"
"Worthwhile","2014","Chinese","All","All","7.75","N/A","7.89","7.62","580"
"Worthwhile","2015","Chinese","All","All","7.66","N/A","7.86","7.46","580"
"Worthwhile","2016","Chinese","All","All","7.74","N/A","7.88","7.61","570"
"Worthwhile","2017","Chinese","All","All","7.62","N/A","7.76","7.47","600"
"Worthwhile","2012","Chinese","All","Low","N/A","?","?","?","-"
"Worthwhile","2012","Chinese","All","Medium","N/A","19.5","23.74","15.26","-"
"Worthwhile","2012","Chinese","All","High","N/A","54.97","60.53","49.41","-"
"Worthwhile","2012","Chinese","All","Very High","N/A","22.62","27.17","18.08","-"
"Worthwhile","2013","Chinese","All","Low","N/A","1.37","2.27","0.47",""
"Worthwhile","2013","Chinese","All","Medium","N/A","18.19","22.39","14",""
"Worthwhile","2013","Chinese","All","High","N/A","60.02","65.45","54.58",""
"Worthwhile","2013","Chinese","All","Very High","N/A","20.42","24.52","16.32",""
"Worthwhile","2014","Chinese","All","Low","N/A","?","?","?","-"
"Worthwhile","2014","Chinese","All","Medium","N/A","12.69","15.79","9.59","-"
"Worthwhile","2014","Chinese","All","High","N/A","60.05","65.44","54.66","-"
"Worthwhile","2014","Chinese","All","Very High","N/A","26.22","31.04","21.4","-"
"Worthwhile","2015","Chinese","All","Low","N/A","?","?","?","-"
"Worthwhile","2015","Chinese","All","Medium","N/A","14.81","18.63","11","-"
"Worthwhile","2015","Chinese","All","High","N/A","54.56","60.05","49.08","-"
"Worthwhile","2015","Chinese","All","Very High","N/A","27.7","33.22","22.19","-"
"Worthwhile","2016","Chinese","All","Low","N/A","?","?","?","-"
"Worthwhile","2016","Chinese","All","Medium","N/A","14.47","17.86","11.07","-"
"Worthwhile","2016","Chinese","All","High","N/A","58.07","63.02","53.11","-"
"Worthwhile","2016","Chinese","All","Very High","N/A","26.04","30.47","21.61","-"
"Worthwhile","2017","Chinese","All","Low","N/A","?","?","?","-"
"Worthwhile","2017","Chinese","All","Medium","N/A","14.24","17.58","10.91","-"
"Worthwhile","2017","Chinese","All","High","N/A","58.88","63.75","54.02","-"
"Worthwhile","2017","Chinese","All","Very High","N/A","24.26","28.59","19.93","-"
"Worthwhile","2018","Chinese","All","All","7.64","N/A","7.84","7.44","560"
"Worthwhile","2018","Chinese","All","Low","N/A","?","?","?","-"
"Worthwhile","2018","Chinese","All","Medium","N/A","15.64","21","10.29","-"
"Worthwhile","2018","Chinese","All","High","N/A","54.71","60.42","49.01","-"
"Worthwhile","2018","Chinese","All","Very High","N/A","27.42","32.41","22.42","-"
"Worthwhile","2012","White Gypsy / Traveller ","All","All","?","N/A","?","?","40"
"Worthwhile","2013","White Gypsy / Traveller ","All","All","?","N/A","?","?","40"
"Worthwhile","2014","White Gypsy / Traveller ","All","All","?","N/A","?","?","30"
"Worthwhile","2015","White Gypsy / Traveller ","All","All","?","N/A","?","?","40"
"Worthwhile","2016","White Gypsy / Traveller ","All","All","?","N/A","?","?","40"
"Worthwhile","2017","White Gypsy / Traveller ","All","All","?","N/A","?","?","40"
"Worthwhile","2018","White Gypsy / Traveller ","All","All","?","N/A","?","?","40"
"Worthwhile","2012","White Gypsy / Traveller ","All","Low","N/A","?","?","?","-"
"Worthwhile","2012","White Gypsy / Traveller ","All","Medium","N/A","?","?","?","-"
"Worthwhile","2012","White Gypsy / Traveller ","All","High","N/A","?","?","?","-"
"Worthwhile","2012","White Gypsy / Traveller ","All","Very High","N/A","?","?","?","-"
"Worthwhile","2013","White Gypsy / Traveller ","All","Low","N/A","?","?","?","-"
"Worthwhile","2013","White Gypsy / Traveller ","All","Medium","N/A","?","?","?","-"
"Worthwhile","2013","White Gypsy / Traveller ","All","High","N/A","?","?","?","-"
"Worthwhile","2013","White Gypsy / Traveller ","All","Very High","N/A","?","?","?","-"
"Worthwhile","2014","White Gypsy / Traveller ","All","Low","N/A","?","?","?","-"
"Worthwhile","2014","White Gypsy / Traveller ","All","Medium","N/A","?","?","?","-"
"Worthwhile","2014","White Gypsy / Traveller ","All","High","N/A","?","?","?","-"
"Worthwhile","2014","White Gypsy / Traveller ","All","Very High","N/A","?","?","?","-"
"Worthwhile","2015","White Gypsy / Traveller ","All","Low","N/A","?","?","?","-"
"Worthwhile","2015","White Gypsy / Traveller ","All","Medium","N/A","?","?","?","-"
"Worthwhile","2015","White Gypsy / Traveller ","All","High","N/A","?","?","?","-"
"Worthwhile","2015","White Gypsy / Traveller ","All","Very High","N/A","?","?","?","-"
"Worthwhile","2016","White Gypsy / Traveller ","All","Low","N/A","?","?","?","-"
"Worthwhile","2016","White Gypsy / Traveller ","All","Medium","N/A","?","?","?","-"
"Worthwhile","2016","White Gypsy / Traveller ","All","High","N/A","?","?","?","-"
"Worthwhile","2016","White Gypsy / Traveller ","All","Very High","N/A","?","?","?","-"
"Worthwhile","2017","White Gypsy / Traveller ","All","Low","N/A","?","?","?","-"
"Worthwhile","2017","White Gypsy / Traveller ","All","Medium","N/A","?","?","?","-"
"Worthwhile","2017","White Gypsy / Traveller ","All","High","N/A","?","?","?","-"
"Worthwhile","2017","White Gypsy / Traveller ","All","Very High","N/A","?","?","?","-"
"Worthwhile","2018","White Gypsy / Traveller ","All","Low","N/A","?","?","?","-"
"Worthwhile","2018","White Gypsy / Traveller ","All","Medium","N/A","?","?","?","-"
"Worthwhile","2018","White Gypsy / Traveller ","All","High","N/A","?","?","?","-"
"Worthwhile","2018","White Gypsy / Traveller ","All","Very High","N/A","?","?","?","-"
"Worthwhile","2012","Indian","All","All","7.71","N/A","7.79","7.63","2730"
"Worthwhile","2013","Indian","All","All","7.73","N/A","7.81","7.65","2720"
"Worthwhile","2014","Indian","All","All","7.76","N/A","7.84","7.68","2860"
"Worthwhile","2015","Indian","All","All","7.88","N/A","7.96","7.8","2720"
"Worthwhile","2016","Indian","All","All","7.9","N/A","7.98","7.83","2700"
"Worthwhile","2017","Indian","All","All","7.9","N/A","7.97","7.82","2510"
"Worthwhile","2018","Indian","All","All","7.92","N/A","8.01","7.84","2450"
"Worthwhile","2012","Indian","All","Low","N/A","3.4","4.19","2.62","-"
"Worthwhile","2012","Indian","All","Medium","N/A","16.48","18.23","14.74","-"
"Worthwhile","2012","Indian","All","High","N/A","48.48","50.82","46.13","-"
"Worthwhile","2012","Indian","All","Very High","N/A","31.64","33.91","29.37","-"
"Worthwhile","2013","Indian","All","Low","N/A","3.08","3.86","2.3",""
"Worthwhile","2013","Indian","All","Medium","N/A","15.81","17.62","13.99",""
"Worthwhile","2013","Indian","All","High","N/A","50.41","52.83","48",""
"Worthwhile","2013","Indian","All","Very High","N/A","30.7","32.93","28.47",""
"Worthwhile","2014","Indian","All","Low","N/A","2.91","3.64","2.18","-"
"Worthwhile","2014","Indian","All","Medium","N/A","13.92","15.68","12.16","-"
"Worthwhile","2014","Indian","All","High","N/A","51.78","54.18","49.37","-"
"Worthwhile","2014","Indian","All","Very High","N/A","31.4","33.73","29.07","-"
"Worthwhile","2015","Indian","All","Low","N/A","2.42","3.07","1.77","-"
"Worthwhile","2015","Indian","All","Medium","N/A","12.61","14.22","11","-"
"Worthwhile","2015","Indian","All","High","N/A","51.05","53.49","48.61","-"
"Worthwhile","2015","Indian","All","Very High","N/A","33.92","36.32","31.52","-"
"Worthwhile","2016","Indian","All","Low","N/A","2.04","2.78","1.3","-"
"Worthwhile","2016","Indian","All","Medium","N/A","12.48","14.01","10.95","-"
"Worthwhile","2016","Indian","All","High","N/A","51.65","54.09","49.22","-"
"Worthwhile","2016","Indian","All","Very High","N/A","33.83","36.21","31.45","-"
"Worthwhile","2017","Indian","All","Low","N/A","2.62","3.36","1.89","-"
"Worthwhile","2017","Indian","All","Medium","N/A","12.15","13.69","10.61","-"
"Worthwhile","2017","Indian","All","High","N/A","50.79","53.3","48.28","-"
"Worthwhile","2017","Indian","All","Very High","N/A","34.43","36.85","32.02","-"
"Worthwhile","2018","Indian","All","Low","N/A","2.28","3.09","1.47","-"
"Worthwhile","2018","Indian","All","Medium","N/A","12.22","13.73","10.7","-"
"Worthwhile","2018","Indian","All","High","N/A","50.85","53.49","48.22","-"
"Worthwhile","2018","Indian","All","Very High","N/A","34.65","37.2","32.1","-"
"Worthwhile","2012","Mixed","All","All","7.46","N/A","7.62","7.29","960"
"Worthwhile","2013","Mixed","All","All","7.67","N/A","7.83","7.51","940"
"Worthwhile","2014","Mixed","All","All","7.52","N/A","7.67","7.38","1050"
"Worthwhile","2015","Mixed","All","All","7.69","N/A","7.83","7.54","1020"
"Worthwhile","2016","Mixed","All","All","7.72","N/A","7.84","7.59","990"
"Worthwhile","2017","Mixed","All","All","7.69","N/A","7.82","7.56","1040"
"Worthwhile","2018","Mixed","All","All","7.65","N/A","7.82","7.49","1010"
"Worthwhile","2012","Mixed","All","Low","N/A","6.14","8.32","3.97","-"
"Worthwhile","2012","Mixed","All","Medium","N/A","18.46","21.7","15.21","-"
"Worthwhile","2012","Mixed","All","High","N/A","48.06","52.02","44.1","-"
"Worthwhile","2012","Mixed","All","Very High","N/A","27.34","30.78","23.9","-"
"Worthwhile","2013","Mixed","All","Low","N/A","5.85","8.11","3.59",""
"Worthwhile","2013","Mixed","All","Medium","N/A","15.16","18.21","12.11",""
"Worthwhile","2013","Mixed","All","High","N/A","43.37","47.67","39.06",""
"Worthwhile","2013","Mixed","All","Very High","N/A","35.63","39.69","31.56",""
"Worthwhile","2014","Mixed","All","Low","N/A","5.11","7.03","3.19","-"
"Worthwhile","2014","Mixed","All","Medium","N/A","19.01","22.32","15.7","-"
"Worthwhile","2014","Mixed","All","High","N/A","46.79","50.65","42.93","-"
"Worthwhile","2014","Mixed","All","Very High","N/A","29.1","32.57","25.63","-"
"Worthwhile","2015","Mixed","All","Low","N/A","?","?","?","-"
"Worthwhile","2015","Mixed","All","Medium","N/A","16.04","18.93","13.14","-"
"Worthwhile","2015","Mixed","All","High","N/A","48.41","52.45","44.37","-"
"Worthwhile","2015","Mixed","All","Very High","N/A","31.84","35.61","28.07","-"
"Worthwhile","2016","Mixed","All","Low","N/A","3.63","4.97","2.29","-"
"Worthwhile","2016","Mixed","All","Medium","N/A","15.74","19.29","12.19","-"
"Worthwhile","2016","Mixed","All","High","N/A","48.62","52.53","44.71","-"
"Worthwhile","2016","Mixed","All","Very High","N/A","32.02","35.75","28.29","-"
"Worthwhile","2017","Mixed","All","Low","N/A","?","?","?","-"
"Worthwhile","2017","Mixed","All","Medium","N/A","15.03","17.88","12.18","-"
"Worthwhile","2017","Mixed","All","High","N/A","50.42","54.38","46.47","-"
"Worthwhile","2017","Mixed","All","Very High","N/A","30.37","33.97","26.77","-"
"Worthwhile","2018","Mixed","All","Low","N/A","6.23","8.42","4.04","-"
"Worthwhile","2018","Mixed","All","Medium","N/A","14.66","17.53","11.79","-"
"Worthwhile","2018","Mixed","All","High","N/A","46.06","50.09","42.03","-"
"Worthwhile","2018","Mixed","All","Very High","N/A","33.06","36.92","29.19","-"
"Worthwhile","2012","Asian other","All","All","7.56","N/A","7.7","7.41","1070"
"Worthwhile","2013","Asian other","All","All","7.62","N/A","7.77","7.47","1050"
"Worthwhile","2014","Asian other","All","All","7.78","N/A","7.95","7.62","1050"
"Worthwhile","2015","Asian other","All","All","7.71","N/A","7.83","7.58","1070"
"Worthwhile","2016","Asian other","All","All","7.82","N/A","7.94","7.7","1060"
"Worthwhile","2017","Asian other","All","All","7.82","N/A","7.95","7.69","1020"
"Worthwhile","2018","Asian other","All","All","7.91","N/A","8.04","7.77","1000"
"Worthwhile","2012","Asian other","All","Very High","N/A","29.58","33.03","26.12","-"
"Worthwhile","2013","Asian other","All","Very High","N/A","32.27","36.09","28.46",""
"Worthwhile","2014","Asian other","All","Very High","N/A","33.77","37.53","30.01","-"
"Worthwhile","2015","Asian other","All","Very High","N/A","30.71","34.26","27.16","-"
"Worthwhile","2016","Asian other","All","Very High","N/A","33.87","37.71","30.04","-"
"Worthwhile","2017","Asian other","All","Very High","N/A","34.13","37.97","30.29","-"
"Worthwhile","2018","Asian other","All","Very High","N/A","36.03","39.99","32.07","-"
"Worthwhile","2012","Other","All","All","7.41","N/A","7.54","7.27","1240"
"Worthwhile","2013","Other","All","All","7.46","N/A","7.6","7.33","1340"
"Worthwhile","2014","Other","All","All","7.66","N/A","7.78","7.55","1340"
"Worthwhile","2015","Other","All","All","7.72","N/A","7.84","7.6","1290"
"Worthwhile","2016","Other","All","All","7.81","N/A","7.94","7.69","1210"
"Worthwhile","2017","Other","All","All","7.89","N/A","8","7.78","1260"
"Worthwhile","2018","Other","All","All","7.8","N/A","7.92","7.68","1130"
"Worthwhile","2012","Other","All","Low","N/A","6.13","7.76","4.5","-"
"Worthwhile","2012","Other","All","Medium","N/A","20.96","23.84","18.07","-"
"Worthwhile","2012","Other","All","High","N/A","45.73","49.14","42.33","-"
"Worthwhile","2012","Other","All","Very High","N/A","27.18","30.29","24.07","-"
"Worthwhile","2013","Other","All","Low","N/A","6.92","8.69","5.15",""
"Worthwhile","2013","Other","All","Medium","N/A","16.98","19.47","14.49",""
"Worthwhile","2013","Other","All","High","N/A","47.3","50.69","43.92",""
"Worthwhile","2013","Other","All","Very High","N/A","28.8","31.89","25.71",""
"Worthwhile","2014","Other","All","Low","N/A","3.78","5.02","2.55","-"
"Worthwhile","2014","Other","All","Medium","N/A","17.32","19.75","14.89","-"
"Worthwhile","2014","Other","All","High","N/A","47.71","51.23","44.19","-"
"Worthwhile","2014","Other","All","Very High","N/A","31.19","34.46","27.92","-"
"Worthwhile","2015","Other","All","Low","N/A","4.48","5.7","3.25","-"
"Worthwhile","2015","Other","All","Medium","N/A","13.56","15.84","11.28","-"
"Worthwhile","2015","Other","All","High","N/A","50.48","53.95","47.02","-"
"Worthwhile","2015","Other","All","Very High","N/A","31.48","34.62","28.35","-"
"Worthwhile","2016","Other","All","Low","N/A","?","?","?","-"
"Worthwhile","2016","Other","All","Medium","N/A","15.42","17.87","12.97","-"
"Worthwhile","2016","Other","All","High","N/A","48.85","52.44","45.25","-"
"Worthwhile","2016","Other","All","Very High","N/A","32.94","36.34","29.54","-"
"Worthwhile","2017","Other","All","Low","N/A","2.66","3.62","1.7","-"
"Worthwhile","2017","Other","All","Medium","N/A","13.26","15.48","11.05","-"
"Worthwhile","2017","Other","All","High","N/A","48.59","52.1","45.08","-"
"Worthwhile","2017","Other","All","Very High","N/A","35.49","38.82","32.16","-"
"Worthwhile","2018","Other","All","Low","N/A","3.23","4.36","2.1","-"
"Worthwhile","2018","Other","All","Medium","N/A","14.19","17.06","11.31","-"
"Worthwhile","2018","Other","All","High","N/A","49.72","53.61","45.83","-"
"Worthwhile","2018","Other","All","Very High","N/A","32.86","36.36","29.37","-"
"Worthwhile","2012","Pakistani","All","All","7.53","N/A","7.66","7.41","1540"
"Worthwhile","2013","Pakistani","All","All","7.61","N/A","7.73","7.49","1520"
"Worthwhile","2014","Pakistani","All","All","7.75","N/A","7.86","7.64","1650"
"Worthwhile","2015","Pakistani","All","All","7.81","N/A","7.93","7.7","1520"
