"Ethnicity","Local Authority","Rate","Number"
"Black","Barnet","6.56","435"
"Black","Barnsley","3.90","9"
"Black","Bath and North East Somerset","10.19","21"
"Black","Bedford","5.24","88"
"Black","Bexley","3.75","297"
"Black","Birmingham","6.35","1,590"
"Black","Blackburn with Darwen","1.88","6"
"Black","Blackpool","0.00","0"
"Black","Bolton","4.13","128"
"Black","Bournemouth","6.01","14"
"Black","Bracknell Forest","1.98","10"
"Black","Bradford","5.41","89"
"Black","Brent","7.40","751"
"Black","Brighton and Hove","3.45","23"
"Black","Bristol City of","9.67","613"
"Black","Bromley","4.91","264"
"Black","Buckinghamshire","4.64","109"
"Black","Bury","5.45","40"
"Black","Calderdale","5.64","19"
"Black","Cambridgeshire","7.63","83"
"Black","Camden","6.19","263"
"Black","Central Bedfordshire","6.90","76"
"Black","Cheshire East","4.53","12"
"Black","Cheshire West and Chester","4.85","11"
"Black","City of London","0.00","0"
"Black","Cornwall","8.06","5"
"Black","Coventry","3.75","253"
"Black","Croydon","6.02","977"
"Black","Cumbria","3.77","4"
"Black","Darlington","2.00","2"
"Black","Derby","5.51","92"
"Black","Derbyshire","6.02","23"
"Black","Devon","10.10","20"
"Black","Doncaster","17.88","106"
"Black","Dorset","3.60","5"
"Black","Dudley","14.61","191"
"Black","Durham","0.98","2"
"Black","Ealing","7.60","615"
"Black","East Riding of Yorkshire","3.80","3"
"Black","East Sussex","2.46","12"
"Black","Enfield","5.98","803"
"Black","Essex","4.72","327"
"Black","Gateshead","2.51","12"
"Black","Gloucestershire","9.41","124"
"Black","Greenwich","3.09","419"
"Black","Hackney","9.53","1,131"
"Black","Halton","0.00","0"
"Black","Hammersmith and Fulham","8.38","376"
"Black","Hampshire","3.00","65"
"Black","Haringey","6.59","583"
"Black","Harrow","6.23","230"
"Black","Hartlepool","10.99","10"
"Black","Havering","4.20","188"
"Black","Herefordshire","2.50","1"
"Black","Hertfordshire","5.84","486"
"Black","Hillingdon","4.64","249"
"Black","Hounslow","5.53","281"
"Black","Isle of Wight","3.23","1"
"Black","Isles Of Scilly","0.00","0"
"Black","Islington","11.09","639"
"Black","Kensington and Chelsea","9.51","225"
"Black","Kent","4.23","300"
"Black","Kingston upon Hull City of","3.59","28"
"Black","Kingston upon Thames","5.60","46"
"Black","Kirklees","9.64","127"
"Black","Knowsley","0.00","0"
"Black","Lambeth","4.32","646"
"Black","Lancashire","3.82","30"
"Black","Leeds","2.68","245"
"Black","Leicester","4.69","271"
"Black","Leicestershire","4.66","56"
"Black","Lewisham","6.86","981"
"Black","Lincolnshire","5.63","28"
"Black","Liverpool","2.30","77"
"Black","Luton","5.17","204"
"Black","Manchester","5.56","842"
"Black","Medway","3.65","115"
"Black","Merton","4.75","189"
"Black","Middlesbrough","5.21","25"
"Black","Milton Keynes","3.40","225"
"Black","Newcastle upon Tyne","2.26","46"
"Black","Newham","5.97","772"
"Black","Norfolk","4.76","53"
"Black","North East Lincolnshire","0.00","0"
"Black","North Lincolnshire","23.19","32"
"Black","North Somerset","11.88","24"
"Black","North Tyneside","4.59","10"
"Black","North Yorkshire","6.85","25"
"Black","Northamptonshire","3.04","185"
"Black","Northumberland","4.62","3"
"Black","Nottingham","6.04","326"
"Black","Nottinghamshire","4.03","65"
"Black","Oldham","2.89","47"
"Black","Oxfordshire","6.55","160"
"Black","Peterborough","3.43","49"
"Black","Plymouth","3.33","12"
"Black","Poole","0.00","0"
"Black","Portsmouth","1.14","10"
"Black","Reading","3.81","74"
"Black","Redbridge","7.91","469"
"Black","Redcar and Cleveland","27.78","10"
"Black","Richmond upon Thames","4.81","40"
"Black","Rochdale","2.81","44"
"Black","Rotherham","2.58","18"
"Black","Rutland","1.59","1"
"Black","Salford","1.86","41"
"Black","Sandwell","5.40","303"
"Black","Sefton","3.33","6"
"Black","Sheffield","4.68","231"
"Black","Shropshire","8.55","10"
"Black","Slough","5.36","133"
"Black","Solihull","7.22","64"
"Black","Somerset","8.80","22"
"Black","South Gloucestershire","6.53","49"
"Black","South Tyneside","2.96","4"
"Black","Southampton","2.05","22"
"Black","Southend-on-Sea","2.28","39"
"Black","Southwark","5.22","917"
"Black","St. Helens","3.79","5"
"Black","Staffordshire","4.99","43"
"Black","Stockport","9.61","54"
"Black","Stockton-on-Tees","3.54","14"
"Black","Stoke-on-Trent","3.17","46"
"Black","Suffolk","4.48","43"
"Black","Sunderland","1.33","4"
"Black","Surrey","4.05","116"
"Black","Sutton","5.92","189"
"Black","Swindon","2.65","28"
"Black","Tameside","6.89","62"
"Black","Telford and Wrekin","3.79","42"
"Black","Thurrock","2.81","118"
"Black","Torbay","0.00","0"
"Black","Tower Hamlets","5.24","241"
"Black","Trafford","4.39","68"
"Black","Wakefield","5.01","39"
"Black","Walsall","4.97","133"
"Black","Waltham Forest","8.88","701"
"Black","Wandsworth","4.51","320"
"Black","Warrington","5.19","14"
"Black","Warwickshire","3.98","42"
"Black","West Berkshire","6.99","29"
"Black","West Sussex","5.92","104"
"Black","Westminster","9.92","427"
"Black","Wigan","3.12","20"
"Black","Wiltshire","4.84","50"
"Black","Windsor and Maidenhead","4.30","15"
"Black","Wirral","5.64","11"
"Black","Wokingham","4.65","40"
"Black","Wolverhampton","6.78","334"
"Black","Worcestershire","4.77","22"
"Black","York","8.27","11"
"Chinese","Barking and Dagenham","0.00","0"
"Chinese","Barnet","1.41","11"
"Chinese","Barnsley","0.00","0"
"Chinese","Bath and North East Somerset","0.00","0"
"Chinese","Bedford","0.00","0"
"Chinese","Bexley","0.17","1"
"Chinese","Birmingham","0.39","4"
"Chinese","Blackburn with Darwen","0.00","0"
"Chinese","Blackpool","0.00","0"
"Chinese","Bolton","0.00","0"
"Chinese","Bournemouth","0.00","0"
"Chinese","Bracknell Forest","0.00","0"
"Chinese","Bradford","0.98","1"
"Chinese","Brent","0.00","0"
"Chinese","Brighton and Hove","0.97","2"
"Chinese","Bristol City of","1.11","3"
"Chinese","Bromley","0.44","3"
"Chinese","Buckinghamshire","0.25","1"
"Chinese","Bury","1.49","2"
"Chinese","Calderdale","0.00","0"
"Chinese","Cambridgeshire","1.10","7"
"Chinese","Camden","0.00","0"
"Chinese","Central Bedfordshire","0.00","0"
"Chinese","Cheshire East","0.00","0"
"Chinese","Cheshire West and Chester","0.00","0"
"Chinese","City of London","0.00","0"
"Chinese","Cornwall","0.00","0"
"Chinese","Coventry","1.74","4"
"Chinese","Croydon","0.68","2"
"Chinese","Cumbria","0.00","0"
"Chinese","Darlington","0.00","0"
"Chinese","Derby","0.00","0"
"Chinese","Derbyshire","0.00","0"
"Chinese","Devon","0.91","2"
"Chinese","Doncaster","0.00","0"
"Chinese","Dorset","0.00","0"
"Chinese","Dudley","0.75","1"
"Chinese","Durham","0.47","1"
"Chinese","Ealing","0.45","1"
"Chinese","East Riding of Yorkshire","0.00","0"
"Chinese","East Sussex","0.00","0"
"Chinese","Enfield","0.73","2"
"Chinese","Essex","0.79","7"
"Chinese","Gateshead","0.59","1"
"Chinese","Gloucestershire","1.75","4"
"Chinese","Greenwich","0.33","2"
"Chinese","Hackney","0.77","2"
"Chinese","Halton","0.00","0"
"Chinese","Hammersmith and Fulham","0.00","0"
"Chinese","Hampshire","0.83","5"
"Chinese","Haringey","0.00","0"
"Chinese","Harrow","1.68","3"
"Chinese","Hartlepool","1.41","1"
"Chinese","Havering","1.79","4"
"Chinese","Herefordshire","0.00","0"
"Chinese","Hertfordshire","0.59","6"
"Chinese","Hillingdon","2.59","3"
"Chinese","Hounslow","0.00","0"
"Chinese","Isle of Wight","0.00","0"
"Chinese","Isles Of Scilly","0.00","0"
"Chinese","Islington","2.54","3"
"Chinese","Kensington and Chelsea","1.59","1"
"Chinese","Kent","1.16","9"
"Chinese","Kingston upon Hull City of","0.00","0"
"Chinese","Kingston upon Thames","0.25","1"
"Chinese","Kirklees","0.54","1"
"Chinese","Knowsley","0.00","0"
"Chinese","Lambeth","0.43","1"
"Chinese","Lancashire","0.20","1"
"Chinese","Leeds","0.00","0"
"Chinese","Leicester","0.00","0"
"Chinese","Leicestershire","0.00","0"
"Chinese","Lewisham","0.00","0"
"Chinese","Lincolnshire","0.34","1"
"Chinese","Liverpool","0.00","0"
"Chinese","Luton","0.00","0"
"Chinese","Manchester","0.22","2"
"Chinese","Medway","0.68","1"
"Chinese","Merton","1.28","3"
"Chinese","Middlesbrough","0.00","0"
"Chinese","Milton Keynes","0.41","1"
"Chinese","Newcastle upon Tyne","0.00","0"
"Chinese","Newham","0.00","0"
"Chinese","Norfolk","1.82","8"
"Chinese","North East Lincolnshire","3.70","1"
"Chinese","North Lincolnshire","0.00","0"
"Chinese","North Somerset","0.00","0"
"Chinese","North Tyneside","0.59","1"
"Chinese","North Yorkshire","2.52","4"
"Chinese","Northamptonshire","2.43","9"
"Chinese","Northumberland","0.00","0"
"Chinese","Nottingham","0.44","1"
"Chinese","Nottinghamshire","1.23","6"
"Chinese","Oldham","0.00","0"
"Chinese","Oxfordshire","0.00","0"
"Chinese","Peterborough","0.00","0"
"Chinese","Plymouth","0.58","1"
"Chinese","Poole","0.00","0"
"Chinese","Portsmouth","0.00","0"
"Chinese","Reading","0.51","1"
"Chinese","Redbridge","0.59","2"
"Chinese","Redcar and Cleveland","0.00","0"
"Chinese","Richmond upon Thames","0.00","0"
"Chinese","Rochdale","0.00","0"
"Chinese","Rotherham","0.00","0"
"Chinese","Rutland","0.00","0"
"Chinese","Salford","0.00","0"
"Chinese","Sandwell","0.00","0"
"Chinese","Sefton","0.93","1"
"Chinese","Sheffield","0.19","1"
"Chinese","Shropshire","0.00","0"
"Chinese","Slough","0.00","0"
"Chinese","Solihull","0.48","1"
"Chinese","Somerset","0.00","0"
"Chinese","South Gloucestershire","0.00","0"
"Chinese","South Tyneside","0.00","0"
"Chinese","Southampton","0.00","0"
"Chinese","Southend-on-Sea","1.45","3"
"Chinese","Southwark","0.88","5"
"Chinese","St. Helens","0.00","0"
"Chinese","Staffordshire","0.87","3"
"Chinese","Stockport","0.00","0"
"Chinese","Stockton-on-Tees","0.00","0"
"Chinese","Stoke-on-Trent","0.00","0"
"Chinese","Suffolk","0.00","0"
"Chinese","Sunderland","0.00","0"
"Chinese","Surrey","0.43","3"
"Chinese","Sutton","0.30","2"
"Chinese","Swindon","0.00","0"
"Chinese","Tameside","0.00","0"
"Chinese","Telford and Wrekin","0.00","0"
"Chinese","Thurrock","0.00","0"
"Chinese","Torbay","2.47","2"
"Chinese","Tower Hamlets","1.60","4"
"Chinese","Trafford","0.26","2"
"Chinese","Wakefield","5.06","9"
"Chinese","Walsall","1.55","3"
"Chinese","Waltham Forest","0.00","0"
"Chinese","Wandsworth","0.00","0"
"Chinese","Warrington","0.00","0"
"Chinese","Warwickshire","0.71","2"
"Chinese","West Berkshire","5.33","4"
"Chinese","West Sussex","0.32","1"
"Chinese","Westminster","1.57","5"
"Chinese","Wigan","0.66","1"
"Chinese","Wiltshire","2.19","4"
"Chinese","Windsor and Maidenhead","0.00","0"
"Chinese","Wirral","0.37","1"
"Chinese","Wokingham","0.00","0"
"Chinese","Wolverhampton","1.19","2"
"Chinese","Worcestershire","0.65","1"
"Chinese","York","0.00","0"
"Mixed","Barking and Dagenham","4.02","161"
"Mixed","Barnet","4.59","279"
"Mixed","Barnsley","7.62","61"
"Mixed","Bath and North East Somerset","10.06","138"
"Mixed","Bedford","7.51","218"
"Mixed","Bexley","4.93","162"
"Mixed","Birmingham","6.75","1,196"
"Mixed","Blackburn with Darwen","3.89","37"
"Mixed","Blackpool","7.47","48"
"Mixed","Bolton","7.27","156"
"Mixed","Bournemouth","7.91","131"
"Mixed","Bracknell Forest","6.22","64"
"Mixed","Bradford","7.96","453"
"Mixed","Brent","5.55","211"
"Mixed","Brighton and Hove","6.06","192"
"Mixed","Bristol City of","11.84","627"
"Mixed","Bromley","4.98","283"
"Mixed","Buckinghamshire","5.87","371"
"Mixed","Bury","13.03","185"
"Mixed","Calderdale","7.29","111"
"Mixed","Cambridgeshire","6.83","320"
"Mixed","Camden","7.06","195"
"Mixed","Central Bedfordshire","7.28","200"
"Mixed","Cheshire East","3.62","70"
"Mixed","Cheshire West and Chester","3.43","47"
"Mixed","City of London","0.00","0"
"Mixed","Cornwall","3.75","63"
"Mixed","Coventry","7.17","281"
"Mixed","Croydon","5.38","473"
"Mixed","Cumbria","2.40","26"
"Mixed","Darlington","6.01","23"
"Mixed","Derby","13.47","430"
"Mixed","Derbyshire","5.91","182"
"Mixed","Devon","3.97","90"
"Mixed","Doncaster","19.07","279"
"Mixed","Dorset","7.94","127"
"Mixed","Dudley","15.41","513"
"Mixed","Durham","3.88","44"
"Mixed","Ealing","5.51","258"
"Mixed","East Riding of Yorkshire","2.70","27"
"Mixed","East Sussex","5.92","195"
"Mixed","Enfield","4.96","301"
"Mixed","Essex","5.80","606"
"Mixed","Gateshead","1.40","9"
"Mixed","Gloucestershire","10.30","432"
"Mixed","Greenwich","3.83","188"
"Mixed","Hackney","10.61","411"
"Mixed","Halton","5.64","29"
"Mixed","Hammersmith and Fulham","7.06","195"
"Mixed","Hampshire","4.05","283"
"Mixed","Haringey","4.67","208"
"Mixed","Harrow","2.90","90"
"Mixed","Hartlepool","1.52","3"
"Mixed","Havering","4.39","122"
"Mixed","Herefordshire","6.47","40"
"Mixed","Hertfordshire","5.15","743"
"Mixed","Hillingdon","2.95","176"
"Mixed","Hounslow","5.88","226"
"Mixed","Isle of Wight","8.25","41"
"Mixed","Isles Of Scilly","0.00","0"
"Mixed","Islington","9.23","356"
"Mixed","Kensington and Chelsea","8.77","204"
"Mixed","Kent","4.42","565"
"Mixed","Kingston upon Hull City of","2.42","39"
"Mixed","Kingston upon Thames","3.18","90"
"Mixed","Kirklees","9.99","451"
"Mixed","Knowsley","1.30","6"
"Mixed","Lambeth","3.67","204"
"Mixed","Lancashire","6.71","388"
"Mixed","Leeds","6.28","508"
"Mixed","Leicester","8.02","333"
"Mixed","Leicestershire","5.72","273"
"Mixed","Lewisham","4.96","308"
"Mixed","Lincolnshire","3.16","101"
"Mixed","Liverpool","3.92","157"
"Mixed","Luton","6.03","198"
"Mixed","Manchester","10.27","791"
"Mixed","Medway","8.00","238"
"Mixed","Merton","4.05","136"
"Mixed","Middlesbrough","11.09","150"
"Mixed","Milton Keynes","6.38","247"
"Mixed","Newcastle upon Tyne","2.96","54"
"Mixed","Newham","5.41","238"
"Mixed","Norfolk","8.38","321"
"Mixed","North East Lincolnshire","2.59","17"
"Mixed","North Lincolnshire","7.91","37"
"Mixed","North Somerset","7.20","75"
"Mixed","North Tyneside","2.32","19"
"Mixed","North Yorkshire","7.34","152"
"Mixed","Northamptonshire","6.60","451"
"Mixed","Northumberland","9.19","76"
"Mixed","Nottingham","10.57","639"
"Mixed","Nottinghamshire","4.60","260"
"Mixed","Oldham","5.78","124"
"Mixed","Oxfordshire","6.15","391"
"Mixed","Peterborough","7.63","189"
"Mixed","Plymouth","5.52","64"
"Mixed","Poole","4.00","35"
"Mixed","Portsmouth","11.60","156"
"Mixed","Reading","8.37","206"
"Mixed","Redbridge","6.40","280"
"Mixed","Redcar and Cleveland","7.28","34"
"Mixed","Richmond upon Thames","2.37","73"
"Mixed","Rochdale","7.45","135"
"Mixed","Rotherham","9.68","132"
"Mixed","Rutland","1.84","3"
"Mixed","Salford","4.08","115"
"Mixed","Sandwell","5.28","275"
"Mixed","Sefton","2.94","31"
"Mixed","Sheffield","10.72","677"
"Mixed","Shropshire","4.16","41"
"Mixed","Slough","4.52","133"
"Mixed","Solihull","7.74","250"
"Mixed","Somerset","7.49","142"
"Mixed","South Gloucestershire","8.77","181"
"Mixed","South Tyneside","2.85","16"
"Mixed","Southampton","4.99","108"
"Mixed","Southend-on-Sea","3.23","62"
"Mixed","Southwark","4.83","248"
"Mixed","St. Helens","9.82","50"
"Mixed","Staffordshire","7.23","305"
"Mixed","Stockport","6.22","145"
"Mixed","Stockton-on-Tees","10.53","99"
"Mixed","Stoke-on-Trent","13.83","289"
"Mixed","Suffolk","6.09","338"
"Mixed","Sunderland","4.22","30"
"Mixed","Surrey","2.73","274"
"Mixed","Sutton","4.80","181"
"Mixed","Swindon","7.11","139"
"Mixed","Tameside","8.71","166"
"Mixed","Telford and Wrekin","9.43","145"
"Mixed","Thurrock","3.28","58"
"Mixed","Torbay","8.53","55"
"Mixed","Tower Hamlets","6.81","199"
"Mixed","Trafford","4.42","145"
"Mixed","Wakefield","9.69","164"
"Mixed","Walsall","6.95","237"
"Mixed","Waltham Forest","6.13","302"
"Mixed","Wandsworth","3.34","149"
"Mixed","Warrington","3.54","39"
"Mixed","Warwickshire","5.17","213"
"Mixed","West Berkshire","7.34","97"
"Mixed","West Sussex","6.48","364"
"Mixed","Westminster","6.57","166"
"Mixed","Wigan","6.87","78"
"Mixed","Wiltshire","7.20","173"
"Mixed","Windsor and Maidenhead","3.63","66"
"Mixed","Wirral","5.27","76"
"Mixed","Wokingham","3.63","72"
"Mixed","Wolverhampton","9.89","526"
"Mixed","Worcestershire","5.06","150"
"Mixed","York","5.63","45"
"White","Barking and Dagenham","3.32","529"
"White","Barnet","3.09","940"
"White","Barnsley","14.46","4,725"
"White","Bath and North East Somerset","5.94","1,436"
"White","Bedford","4.34","829"
"White","Bexley","6.72","1,819"
"White","Birmingham","4.87","3,322"
"White","Blackburn with Darwen","4.16","545"
"White","Blackpool","12.57","2,246"
"White","Bolton","10.48","3,365"
"White","Bournemouth","9.96","2,022"
"White","Bracknell Forest","5.77","866"
"White","Bradford","7.31","3,420"
"White","Brent","2.16","259"
"White","Brighton and Hove","4.81","1,236"
"White","Bristol City of","7.21","3,005"
"White","Bromley","4.93","1,693"
"White","Buckinghamshire","3.62","2,144"
"White","Bury","7.11","1,584"
"White","Calderdale","6.09","1,698"
"White","Cambridgeshire","3.87","2,854"
"White","Camden","4.25","372"
"White","Central Bedfordshire","4.59","1,780"
"White","Cheshire East","6.25","3,115"
"White","Cheshire West and Chester","4.09","1,928"
"White","City of London","0.00","0"
"White","Cornwall","3.71","2,588"
"White","Coventry","6.14","2,001"
"White","Croydon","2.74","572"
"White","Cumbria","4.95","3,251"
"White","Darlington","7.98","1,186"
"White","Derby","7.17","2,011"
"White","Derbyshire","4.67","4,703"
"White","Devon","5.35","5,014"
"White","Doncaster","19.79","8,482"
"White","Dorset","5.74","3,027"
"White","Dudley","8.58","3,127"
"White","Durham","4.71","3,290"
"White","Ealing","2.83","452"
"White","East Riding of Yorkshire","5.69","2,463"
"White","East Sussex","6.42","3,905"
"White","Enfield","3.31","943"
"White","Essex","5.29","9,589"
"White","Gateshead","4.07","1,045"
"White","Gloucestershire","5.86","4,549"
"White","Greenwich","3.54","658"
"White","Hackney","5.03","603"
"White","Halton","5.72","1,040"
"White","Hammersmith and Fulham","3.83","331"
"White","Hampshire","4.89","7,833"
"White","Haringey","2.86","534"
"White","Harrow","2.21","224"
"White","Hartlepool","20.29","2,940"
"White","Havering","2.87","799"
"White","Herefordshire","4.26","961"
"White","Hertfordshire","4.22","6,331"
"White","Hillingdon","3.99","833"
"White","Hounslow","5.37","786"
"White","Isle of Wight","6.92","1,100"
"White","Isles Of Scilly","0.39","1"
"White","Islington","7.49","776"
"White","Kensington and Chelsea","4.29","225"
"White","Kent","5.07","10,142"
"White","Kingston upon Hull City of","3.57","1,296"
"White","Kingston upon Thames","2.16","325"
"White","Kirklees","7.23","2,999"
"White","Knowsley","3.86","742"
"White","Lambeth","1.62","193"
"White","Lancashire","5.19","7,421"
"White","Leeds","5.90","5,182"
"White","Leicester","5.35","1,056"
"White","Leicestershire","3.69","3,039"
"White","Lewisham","2.97","404"
"White","Lincolnshire","4.76","4,709"
"White","Liverpool","4.18","2,405"
"White","Luton","6.32","771"
"White","Manchester","9.87","3,502"
"White","Medway","6.13","2,246"
"White","Merton","2.65","379"
"White","Middlesbrough","18.94","3,619"
"White","Milton Keynes","6.98","2,054"
"White","Newcastle upon Tyne","7.02","2,059"
"White","Newham","4.14","457"
"White","Norfolk","6.63","6,957"
"White","North East Lincolnshire","5.87","1,305"
"White","North Lincolnshire","11.97","2,714"
"White","North Somerset","6.00","1,707"
"White","North Tyneside","3.27","938"
"White","North Yorkshire","6.30","4,878"
"White","Northamptonshire","5.31","5,137"
"White","Northumberland","7.81","3,391"
"White","Nottingham","10.00","2,457"
"White","Nottinghamshire","4.64","4,988"
"White","Oldham","5.47","1,351"
"White","Oxfordshire","5.57","4,287"
"White","Peterborough","7.07","1,830"
"White","Plymouth","8.31","2,959"
"White","Poole","5.42","939"
"White","Portsmouth","11.17","2,366"
"White","Reading","4.62","533"
"White","Redbridge","3.60","491"
"White","Redcar and Cleveland","20.84","4,363"
"White","Richmond upon Thames","2.32","465"
"White","Rochdale","7.59","1,744"
"White","Rotherham","8.12","3,101"
"White","Rutland","2.09","112"
"White","Salford","8.42","2,391"
"White","Sandwell","3.64","1,041"
"White","Sefton","2.76","1,029"
"White","Sheffield","8.62","4,809"
"White","Shropshire","5.02","1,856"
"White","Slough","4.77","401"
"White","Solihull","4.35","1,277"
"White","Somerset","9.94","6,593"
"White","South Gloucestershire","7.36","2,530"
"White","South Tyneside","4.36","877"
"White","Southampton","5.56","1,330"
"White","Southend-on-Sea","4.09","938"
"White","Southwark","3.90","494"
"White","St. Helens","4.90","1,241"
"White","Staffordshire","5.16","5,547"
"White","Stockport","5.51","1,914"
"White","Stockton-on-Tees","11.97","3,387"
"White","Stoke-on-Trent","10.92","3,198"
"White","Suffolk","5.89","5,345"
"White","Sunderland","7.12","2,649"
"White","Surrey","3.89","4,976"
"White","Sutton","4.19","901"
"White","Swindon","6.79","1,795"
"White","Tameside","8.24","2,390"
"White","Telford and Wrekin","9.89","2,418"
"White","Thurrock","4.22","861"
"White","Torbay","8.08","1,524"
"White","Tower Hamlets","6.56","397"
"White","Trafford","3.33","957"
"White","Wakefield","15.53","7,347"
"White","Walsall","4.10","1,302"
"White","Waltham Forest","3.28","543"
"White","Wandsworth","1.47","207"
"White","Warrington","3.62","1,056"
"White","Warwickshire","4.15","2,951"
"White","West Berkshire","4.25","970"
