"Ethnicity","Geography","All","Boys","Girls"
"Black","Cornwall","60.0","50.0","66.7"
"Black","County Durham","54.5","50.0","66.7"
"Black","Coventry","34.3","32.0","36.8"
"Black","Croydon","37.7","37.3","38.1"
"Black","Cumbria","46.7","53.8","0.0"
"Black","Darlington","60.0","50.0","66.7"
"Black","Derby","33.3","28.3","38.0"
"Black","Derbyshire","37.0","37.5","36.4"
"Black","Devon","20.0","0.0","33.3"
"Black","Doncaster","29.6","21.4","38.5"
"Black","Dorset","42.9","25.0","66.7"
"Black","Dudley","23.2","22.9","23.5"
"Black","Ealing","40.1","38.8","41.4"
"Black","East Riding of Yorkshire","0.0","0.0","N/A"
"Black","East Sussex","40.0","40.0","40.0"
"Black","Enfield","36.5","33.3","39.8"
"Black","Essex","51.1","41.6","59.2"
"Black","Gateshead","38.1","36.4","40.0"
"Black","Gloucestershire","35.2","28.6","41.7"
"Black","Greenwich","39.9","33.2","46.6"
"Black","Hackney","40.1","33.8","44.7"
"Black","Halton","N/A","N/A","N/A"
"Black","Hammersmith and Fulham","40.3","39.1","41.5"
"Black","Hampshire","39.0","36.5","41.7"
"Black","Haringey","29.2","25.4","33.3"
"Black","Harrow","40.8","31.2","48.6"
"Black","Hartlepool","25.0","N/A","25.0"
"Black","Havering","46.7","42.9","50.3"
"Black","Herefordshire, County of","0.0","0.0","0.0"
"Black","Hertfordshire","44.9","46.0","43.9"
"Black","Hillingdon","41.2","42.4","40.0"
"Black","Hounslow","43.4","42.5","44.2"
"Black","Isle of Wight","50.0","N/A","50.0"
"Black","Isles of Scilly","N/A","N/A","N/A"
"Black","Islington","37.4","32.6","43.1"
"Black","Kensington and Chelsea","41.3","47.1","33.3"
"Black","Kent","61.3","55.9","67.8"
"Black","Kingston upon Hull, City of","33.3","33.3","33.3"
"Black","Kingston upon Thames","43.4","40.5","46.2"
"Black","Kirklees","25.0","23.8","26.3"
"Black","Knowsley","0.0","0.0","N/A"
"Black","Lambeth","35.6","30.9","39.9"
"Black","Lancashire","36.6","40.9","31.6"
"Black","Leeds","31.9","26.9","37.2"
"Black","Leicester","34.5","25.5","43.6"
"Black","Leicestershire","33.3","48.8","16.2"
"Black","Lewisham","34.4","30.3","38.6"
"Black","Lincolnshire","64.5","53.8","72.2"
"Black","Liverpool","36.5","40.2","32.6"
"Black","Luton","26.6","29.1","24.1"
"Black","Manchester","34.1","29.9","38.3"
"Black","Medway","63.7","59.6","66.2"
"Black","Merton","37.2","34.7","39.3"
"Black","Middlesbrough","50.0","12.5","80.0"
"Black","Milton Keynes","31.6","25.7","37.8"
"Black","Newcastle upon Tyne","41.8","38.1","44.9"
"Black","Newham","40.0","35.4","44.1"
"Black","Norfolk","29.5","27.3","31.8"
"Black","North East Lincolnshire","66.7","100.0","50.0"
"Black","North Lincolnshire","20.0","28.6","0.0"
"Black","North Somerset","66.7","55.6","83.3"
"Black","North Tyneside","44.4","37.5","100.0"
"Black","North Yorkshire","45.8","33.3","53.3"
"Black","Northamptonshire","38.3","33.5","43.7"
"Black","Northumberland","16.7","0.0","50.0"
"Black","Nottingham","29.5","28.1","30.7"
"Black","Nottinghamshire","41.1","35.6","46.7"
"Black","Oldham","32.9","22.2","40.8"
"Black","Oxfordshire","34.9","30.8","39.3"
"Black","Peterborough","33.8","29.3","38.5"
"Black","Plymouth","33.3","25.0","42.9"
"Black","Poole","25.0","0.0","33.3"
"Black","Portsmouth","37.8","31.3","41.4"
"Black","Reading","33.3","29.8","37.5"
"Black","Redbridge","42.2","36.9","47.0"
"Black","Redcar and Cleveland","50.0","50.0","N/A"
"Black","Richmond upon Thames","27.4","26.7","28.1"
"Black","Rochdale","28.8","18.8","38.2"
"Black","Rotherham","39.3","23.1","53.3"
"Black","Rutland","25.0","0.0","50.0"
"Black","Salford","33.3","27.9","38.3"
"Black","Sandwell","21.4","23.2","19.6"
"Black","Sefton","50.0","33.3","62.5"
"Black","Sheffield","30.0","24.6","35.3"
"Black","Shropshire","62.5","33.3","80.0"
"Black","Slough","48.9","28.4","68.1"
"Black","Solihull","36.4","34.0","39.5"
"Black","Somerset","40.0","33.3","42.9"
"Black","South Gloucestershire","46.2","38.5","61.5"
"Black","South Tyneside","42.9","25.0","66.7"
"Black","Southampton","33.3","36.0","30.4"
"Black","Southend-on-Sea","78.2","71.6","86.4"
"Black","Southwark","44.8","42.1","47.2"
"Black","St. Helens","16.7","25.0","0.0"
"Black","Staffordshire","37.2","27.3","47.6"
"Black","Stockport","25.9","29.4","20.0"
"Black","Stockton-on-Tees","66.7","80.0","60.0"
"Black","Stoke-on-Trent","39.4","33.3","48.1"
"Black","Suffolk","40.0","38.5","41.4"
"Black","Sunderland","35.7","37.5","33.3"
"Black","Surrey","31.3","25.0","37.9"
"Black","Sutton","53.1","50.0","56.0"
"Black","Swindon","27.5","30.0","25.0"
"Black","Tameside","31.0","20.0","40.9"
"Black","Telford and Wrekin","43.1","36.7","52.4"
"Black","Thurrock","51.9","48.7","54.8"
"Black","Torbay","66.7","66.7","N/A"
"Black","Tower Hamlets","41.7","36.5","46.8"
"Black","Trafford","50.5","51.0","50.0"
"Black","Wakefield","37.0","29.2","45.5"
"Black","Walsall","30.6","25.3","35.8"
"Black","Waltham Forest","31.5","24.5","37.4"
"Black","Wandsworth","42.7","40.8","44.8"
"Black","Warrington","28.6","28.6","28.6"
"Black","Warwickshire","53.7","50.0","56.5"
"Black","West Berkshire","51.7","35.3","75.0"
"Black","West Sussex","33.0","29.1","36.7"
"Black","Westminster","45.0","35.3","56.0"
"Black","Wigan","34.4","27.8","42.9"
"Black","Wiltshire","35.6","26.3","42.3"
"Black","Windsor and Maidenhead","35.5","21.4","47.1"
"Black","Wirral","33.3","0.0","50.0"
"Black","Wokingham","40.4","28.6","59.1"
"Black","Wolverhampton","27.4","22.3","33.1"
"Black","Worcestershire","33.3","45.5","23.1"
"Black","York","54.5","50.0","66.7"
"Chinese","Barking and Dagenham","100.0","N/A","100.0"
"Chinese","Barnet","84.1","80.0","87.5"
"Chinese","Barnsley","N/A","N/A","N/A"
"Chinese","Bath and North East Somerset","100.0","100.0","100.0"
"Chinese","Bedford","100.0","100.0","N/A"
"Chinese","Bexley","78.8","66.7","88.9"
"Chinese","Birmingham","92.9","100.0","85.0"
"Chinese","Blackburn with Darwen","66.7","N/A","66.7"
"Chinese","Blackpool","66.7","50.0","100.0"
"Chinese","Bolton","80.0","N/A","80.0"
"Chinese","Bournemouth","78.6","66.7","87.5"
"Chinese","Bracknell Forest","0.0","N/A","0.0"
"Chinese","Bradford","100.0","100.0","100.0"
"Chinese","Brent","100.0","100.0","N/A"
"Chinese","Brighton and Hove","53.8","50.0","57.1"
"Chinese","Bristol, City of","76.9","75.0","77.8"
"Chinese","Bromley","93.9","92.3","95.0"
"Chinese","Buckinghamshire","83.3","85.7","81.8"
"Chinese","Bury","62.5","75.0","50.0"
"Chinese","Calderdale","75.0","66.7","100.0"
"Chinese","Cambridgeshire","79.2","91.7","66.7"
"Chinese","Camden","63.6","40.0","83.3"
"Chinese","Central Bedfordshire","66.7","25.0","100.0"
"Chinese","Cheshire East","87.5","100.0","75.0"
"Chinese","Cheshire West and Chester","50.0","33.3","75.0"
"Chinese","City of London","N/A","N/A","N/A"
"Chinese","Cornwall","33.3","0.0","50.0"
"Chinese","County Durham","83.3","100.0","50.0"
"Chinese","Coventry","50.0","50.0","50.0"
"Chinese","Croydon","92.3","100.0","85.7"
"Chinese","Cumbria","86.7","100.0","66.7"
"Chinese","Darlington","50.0","0.0","66.7"
"Chinese","Derby","58.3","75.0","25.0"
"Chinese","Derbyshire","83.3","100.0","66.7"
"Chinese","Devon","84.6","80.0","87.5"
"Chinese","Doncaster","40.0","0.0","66.7"
"Chinese","Dorset","50.0","33.3","55.6"
