"Ethnicity","Geography","%","Pupils"
"Asian","Wokingham","56.2","185"
"Asian","Wolverhampton","50.7","578"
"Asian","Worcestershire","43.4","196"
"Asian","York","46.4","28"
"Black","All - England","39.2","28,609"
"Black","Barking and Dagenham","42.2","619"
"Black","Barnet","46.1","497"
"Black","Barnsley","21.4","14"
"Black","Bath and North East Somerset","29.2","24"
"Black","Bedford","47.3","91"
"Black","Bexley","61.9","620"
"Black","Birmingham","34.5","1,489"
"Black","Blackburn with Darwen","23.1","13"
"Black","Blackpool","20.0","5"
"Black","Bolton","37.7","146"
"Black","Bournemouth","42.9","7"
"Black","Bracknell Forest","33.3","21"
"Black","Bradford","30.8","104"
"Black","Brent","40.4","675"
"Black","Brighton and Hove","25.9","58"
"Black","Bristol, City of","29.6","345"
"Black","Bromley","48.0","306"
"Black","Buckinghamshire","58.3","187"
"Black","Bury","17.4","46"
"Black","Calderdale","30.8","26"
"Black","Cambridgeshire","32.8","61"
"Black","Camden","38.5","358"
"Black","Central Bedfordshire","42.9","56"
"Black","Cheshire East","41.7","12"
"Black","Cheshire West and Chester","25.0","12"
"Black","City of London","N/A","0"
"Black","Cornwall","60.0","5"
"Black","County Durham","54.5","11"
"Black","Coventry","34.3","335"
"Black","Croydon","37.7","998"
"Black","Cumbria","46.7","15"
"Black","Darlington","60.0","5"
"Black","Derby","33.3","96"
"Black","Derbyshire","37.0","27"
"Black","Devon","20.0","5"
"Black","Doncaster","29.6","27"
"Black","Dorset","42.9","7"
"Black","Dudley","23.2","82"
"Black","Ealing","40.1","563"
"Black","East Riding of Yorkshire","0.0","3"
"Black","East Sussex","40.0","25"
"Black","Enfield","36.5","852"
"Black","Essex","51.1","440"
"Black","Gateshead","38.1","21"
"Black","Gloucestershire","35.2","71"
"Black","Greenwich","39.9","747"
"Black","Hackney","40.1","758"
"Black","Halton","N/A","0"
"Black","Hammersmith and Fulham","40.3","315"
"Black","Hampshire","39.0","123"
"Black","Haringey","29.2","566"
"Black","Harrow","40.8","311"
"Black","Hartlepool","25.0","4"
"Black","Havering","46.7","366"
"Black","Herefordshire, County of","0.0","3"
"Black","Hertfordshire","44.9","532"
"Black","Hillingdon","41.2","345"
"Black","Hounslow","43.4","346"
"Black","Isle of Wight","50.0","2"
"Black","Isles of Scilly","N/A","0"
"Black","Islington","37.4","406"
"Black","Kensington and Chelsea","41.3","121"
"Black","Kent","61.3","393"
"Black","Kingston upon Hull, City of","33.3","36"
"Black","Kingston upon Thames","43.4","76"
"Black","Kirklees","25.0","80"
"Black","Knowsley","0.0","2"
"Black","Lambeth","35.6","1,012"
"Black","Lancashire","36.6","41"
"Black","Leeds","31.9","476"
"Black","Leicester","34.5","365"
"Black","Leicestershire","33.3","78"
"Black","Lewisham","34.4","902"
"Black","Lincolnshire","64.5","31"
"Black","Liverpool","36.5","181"
"Black","Luton","26.6","282"
"Black","Manchester","34.1","815"
"Black","Medway","63.7","124"
"Black","Merton","37.2","261"
"Black","Middlesbrough","50.0","18"
"Black","Milton Keynes","31.6","376"
"Black","Newcastle upon Tyne","41.8","91"
"Black","Newham","40.0","890"
"Black","Norfolk","29.5","88"
"Black","North East Lincolnshire","66.7","3"
"Black","North Lincolnshire","20.0","10"
"Black","North Somerset","66.7","15"
"Black","North Tyneside","44.4","9"
"Black","North Yorkshire","45.8","24"
"Black","Northamptonshire","38.3","334"
"Black","Northumberland","16.7","6"
"Black","Nottingham","29.5","285"
"Black","Nottinghamshire","41.1","90"
"Black","Oldham","32.9","85"
"Black","Oxfordshire","34.9","126"
"Black","Peterborough","33.8","80"
"Black","Plymouth","33.3","15"
"Black","Poole","25.0","4"
"Black","Portsmouth","37.8","45"
