"Measure","Measure_Type","Ethnicity","Ethnicity_Type","Time","Time_Type","Region","Sex","Value","confidence_interval","Numerator","Denominator","Samp_size"
"Temporary","Employment Type","All","All","2004","Year","West Midlands","Men","4.7","0.6","52300","1120600","5496"
"Permanent","Employment Type","All","All","2004","Year","West Midlands","Men","95.3","0.6","1068300","1120600","5496"
"Unknown","Employment Type","All","All","2004","Year","West Midlands","Men","?","?","?","?","?"
"Temporary","Employment Type","All","All","2004","Year","West Midlands","Women","5.9","0.6","60300","1028900","5497"
"Permanent","Employment Type","All","All","2004","Year","West Midlands","Women","94.1","0.6","968000","1028900","5497"
"Unknown","Employment Type","All","All","2004","Year","West Midlands","Women","0.1","0.1","600","1028900","5497"
"Temporary","Employment Type","All","All","2004","Year","Yorkshire and The Humber","All","6.1","0.4","126900","2064800","11858"
"Permanent","Employment Type","All","All","2004","Year","Yorkshire and The Humber","All","93.8","0.4","1936900","2064800","11858"
"Unknown","Employment Type","All","All","2004","Year","Yorkshire and The Humber","All","?","?","?","?","?"
"Temporary","Employment Type","All","All","2004","Year","Yorkshire and The Humber","Men","5.5","0.6","58000","1055900","5891"
"Permanent","Employment Type","All","All","2004","Year","Yorkshire and The Humber","Men","94.5","0.6","997500","1055900","5891"
"Unknown","Employment Type","All","All","2004","Year","Yorkshire and The Humber","Men","0","0.1","500","1055900","5891"
"Temporary","Employment Type","All","All","2004","Year","Yorkshire and The Humber","Women","6.8","0.6","68900","1008900","5967"
"Permanent","Employment Type","All","All","2004","Year","Yorkshire and The Humber","Women","93.1","0.6","939400","1008900","5967"
"Unknown","Employment Type","All","All","2004","Year","Yorkshire and The Humber","Women","0.1","0.1","500","1008900","5967"
"Temporary","Employment Type","Asian","ONS 2011 5+1","2004","Year","All","All","8.5","1.3","78100","922100","4443"
"Permanent","Employment Type","Asian","ONS 2011 5+1","2004","Year","All","All","91.4","1.3","843100","922100","4443"
"Unknown","Employment Type","Asian","ONS 2011 5+1","2004","Year","All","All","0.1","0.1","800","922100","4443"
"Temporary","Employment Type","Asian","ONS 2011 5+1","2004","Year","All","Men","8.2","1.7","44400","538000","2481"
"Permanent","Employment Type","Asian","ONS 2011 5+1","2004","Year","All","Men","91.7","1.7","493200","538000","2481"
"Unknown","Employment Type","Asian","ONS 2011 5+1","2004","Year","All","Men","0.1","0.2","400","538000","2481"
"Temporary","Employment Type","Asian","ONS 2011 5+1","2004","Year","All","Women","8.8","2","33800","384100","1962"
"Permanent","Employment Type","Asian","ONS 2011 5+1","2004","Year","All","Women","91.1","2","349900","384100","1962"
"Unknown","Employment Type","Asian","ONS 2011 5+1","2004","Year","All","Women","0.1","0.2","400","384100","1962"
"Temporary","Employment Type","Asian","ONS 2011 5+1","2004","Year","East Midlands","All","7.2","4","5300","73400","394"
"Permanent","Employment Type","Asian","ONS 2011 5+1","2004","Year","East Midlands","All","92.8","4","68100","73400","394"
"Unknown","Employment Type","Asian","ONS 2011 5+1","2004","Year","East Midlands","All","?","?","?","?","?"
"Temporary","Employment Type","Asian","ONS 2011 5+1","2004","Year","East Midlands","Men","7.2","5.4","3000","41600","221"
"Permanent","Employment Type","Asian","ONS 2011 5+1","2004","Year","East Midlands","Men","92.8","5.4","38500","41600","221"
"Unknown","Employment Type","Asian","ONS 2011 5+1","2004","Year","East Midlands","Men","?","?","?","?","?"
"Temporary","Employment Type","Asian","ONS 2011 5+1","2004","Year","East Midlands","Women","7.3","6.1","2300","31800","173"
"Permanent","Employment Type","Asian","ONS 2011 5+1","2004","Year","East Midlands","Women","92.7","6.1","29500","31800","173"
"Unknown","Employment Type","Asian","ONS 2011 5+1","2004","Year","East Midlands","Women","?","?","?","?","?"
"Temporary","Employment Type","Asian","ONS 2011 5+1","2004","Year","East of England","All","8.6","5.3","4400","51500","265"
"Permanent","Employment Type","Asian","ONS 2011 5+1","2004","Year","East of England","All","91.4","5.3","47000","51500","265"
"Unknown","Employment Type","Asian","ONS 2011 5+1","2004","Year","East of England","All","?","?","?","?","?"
"Temporary","Employment Type","Asian","ONS 2011 5+1","2004","Year","East of England","Men","9.2","7.1","2800","30000","161"
"Permanent","Employment Type","Asian","ONS 2011 5+1","2004","Year","East of England","Men","90.8","7.1","27300","30000","161"
"Unknown","Employment Type","Asian","ONS 2011 5+1","2004","Year","East of England","Men","?","?","?","?","?"
"Temporary","Employment Type","Asian","ONS 2011 5+1","2004","Year","East of England","Women","7.7","8.1","1700","21400","104"
"Permanent","Employment Type","Asian","ONS 2011 5+1","2004","Year","East of England","Women","92.3","8.1","19800","21400","104"
"Unknown","Employment Type","Asian","ONS 2011 5+1","2004","Year","East of England","Women","?","?","?","?","?"
"Temporary","Employment Type","Asian","ONS 2011 5+1","2004","Year","London","All","7.2","2.2","27000","374100","1337"
"Permanent","Employment Type","Asian","ONS 2011 5+1","2004","Year","London","All","92.7","2.2","346700","374100","1337"
"Unknown","Employment Type","Asian","ONS 2011 5+1","2004","Year","London","All","0.1","0.3","400","374100","1337"
"Temporary","Employment Type","Asian","ONS 2011 5+1","2004","Year","London","Men","8.2","3.1","17800","217900","734"
"Permanent","Employment Type","Asian","ONS 2011 5+1","2004","Year","London","Men","91.7","3.2","199800","217900","734"
"Unknown","Employment Type","Asian","ONS 2011 5+1","2004","Year","London","Men","0.2","0.5","400","217900","734"
"Temporary","Employment Type","Asian","ONS 2011 5+1","2004","Year","London","Women","5.9","3","9200","156100","603"
"Permanent","Employment Type","Asian","ONS 2011 5+1","2004","Year","London","Women","94.1","3","146900","156100","603"
"Unknown","Employment Type","Asian","ONS 2011 5+1","2004","Year","London","Women","?","?","?","?","?"
"Temporary","Employment Type","Asian","ONS 2011 5+1","2004","Year","North East","All","10","8.4","1300","13000","121"
"Permanent","Employment Type","Asian","ONS 2011 5+1","2004","Year","North East","All","90","8.4","11700","13000","121"
"Unknown","Employment Type","Asian","ONS 2011 5+1","2004","Year","North East","All","?","?","?","?","?"
"Temporary","Employment Type","Asian","ONS 2011 5+1","2004","Year","North East","Men","?","?","?","?","?"
"Permanent","Employment Type","Asian","ONS 2011 5+1","2004","Year","North East","Men","?","?","?","?","?"
"Unknown","Employment Type","Asian","ONS 2011 5+1","2004","Year","North East","Men","?","?","?","?","?"
"Temporary","Employment Type","Asian","ONS 2011 5+1","2004","Year","North East","Women","?","?","?","?","?"
"Permanent","Employment Type","Asian","ONS 2011 5+1","2004","Year","North East","Women","?","?","?","?","?"
"Unknown","Employment Type","Asian","ONS 2011 5+1","2004","Year","North East","Women","?","?","?","?","?"
"Temporary","Employment Type","Asian","ONS 2011 5+1","2004","Year","North West","All","8.9","4.2","6200","69800","439"
"Permanent","Employment Type","Asian","ONS 2011 5+1","2004","Year","North West","All","91.1","4.2","63600","69800","439"
"Unknown","Employment Type","Asian","ONS 2011 5+1","2004","Year","North West","All","?","?","?","?","?"
"Temporary","Employment Type","Asian","ONS 2011 5+1","2004","Year","North West","Men","7.1","4.8","3200","44200","275"
"Permanent","Employment Type","Asian","ONS 2011 5+1","2004","Year","North West","Men","92.9","4.8","41100","44200","275"
"Unknown","Employment Type","Asian","ONS 2011 5+1","2004","Year","North West","Men","?","?","?","?","?"
"Temporary","Employment Type","Asian","ONS 2011 5+1","2004","Year","North West","Women","12","7.8","3100","25600","164"
"Permanent","Employment Type","Asian","ONS 2011 5+1","2004","Year","North West","Women","88","7.8","22500","25600","164"
"Unknown","Employment Type","Asian","ONS 2011 5+1","2004","Year","North West","Women","?","?","?","?","?"
"Temporary","Employment Type","Asian","ONS 2011 5+1","2004","Year","Scotland","All","19.4","10","4400","22900","151"
"Permanent","Employment Type","Asian","ONS 2011 5+1","2004","Year","Scotland","All","80.6","10","18400","22900","151"
"Unknown","Employment Type","Asian","ONS 2011 5+1","2004","Year","Scotland","All","?","?","?","?","?"
"Temporary","Employment Type","Asian","ONS 2011 5+1","2004","Year","Scotland","Men","?","?","?","?","?"
"Permanent","Employment Type","Asian","ONS 2011 5+1","2004","Year","Scotland","Men","?","?","?","?","?"
"Unknown","Employment Type","Asian","ONS 2011 5+1","2004","Year","Scotland","Men","?","?","?","?","?"
"Temporary","Employment Type","Asian","ONS 2011 5+1","2004","Year","Scotland","Women","?","?","?","?","?"
"Permanent","Employment Type","Asian","ONS 2011 5+1","2004","Year","Scotland","Women","?","?","?","?","?"
"Unknown","Employment Type","Asian","ONS 2011 5+1","2004","Year","Scotland","Women","?","?","?","?","?"
"Temporary","Employment Type","Asian","ONS 2011 5+1","2004","Year","South East","All","7.7","3.2","7900","102400","648"
"Permanent","Employment Type","Asian","ONS 2011 5+1","2004","Year","South East","All","92.1","3.3","94400","102400","648"
"Unknown","Employment Type","Asian","ONS 2011 5+1","2004","Year","South East","All","0.1","0.5","200","102400","648"
"Temporary","Employment Type","Asian","ONS 2011 5+1","2004","Year","South East","Men","6.1","4.1","3200","53200","322"
"Permanent","Employment Type","Asian","ONS 2011 5+1","2004","Year","South East","Men","93.9","4.1","50000","53200","322"
"Unknown","Employment Type","Asian","ONS 2011 5+1","2004","Year","South East","Men","?","?","?","?","?"
"Temporary","Employment Type","Asian","ONS 2011 5+1","2004","Year","South East","Women","9.5","5","4700","49200","326"
"Permanent","Employment Type","Asian","ONS 2011 5+1","2004","Year","South East","Women","90.2","5.1","44400","49200","326"
"Unknown","Employment Type","Asian","ONS 2011 5+1","2004","Year","South East","Women","0.3","0.9","200","49200","326"
"Temporary","Employment Type","Asian","ONS 2011 5+1","2004","Year","South West","All","7.5","7.3","1600","21700","125"
"Permanent","Employment Type","Asian","ONS 2011 5+1","2004","Year","South West","All","92.5","7.3","20100","21700","125"
"Unknown","Employment Type","Asian","ONS 2011 5+1","2004","Year","South West","All","?","?","?","?","?"
"Temporary","Employment Type","Asian","ONS 2011 5+1","2004","Year","South West","Men","?","?","?","?","?"
"Permanent","Employment Type","Asian","ONS 2011 5+1","2004","Year","South West","Men","?","?","?","?","?"
"Unknown","Employment Type","Asian","ONS 2011 5+1","2004","Year","South West","Men","?","?","?","?","?"
"Temporary","Employment Type","Asian","ONS 2011 5+1","2004","Year","South West","Women","?","?","?","?","?"
"Permanent","Employment Type","Asian","ONS 2011 5+1","2004","Year","South West","Women","?","?","?","?","?"
"Unknown","Employment Type","Asian","ONS 2011 5+1","2004","Year","South West","Women","?","?","?","?","?"
"Temporary","Employment Type","Asian","ONS 2011 5+1","2004","Year","Wales","All","13","10.2","1200","9300","105"
"Permanent","Employment Type","Asian","ONS 2011 5+1","2004","Year","Wales","All","87","10.2","8100","9300","105"
"Unknown","Employment Type","Asian","ONS 2011 5+1","2004","Year","Wales","All","?","?","?","?","?"
"Temporary","Employment Type","Asian","ONS 2011 5+1","2004","Year","Wales","Men","?","?","?","?","?"
"Permanent","Employment Type","Asian","ONS 2011 5+1","2004","Year","Wales","Men","?","?","?","?","?"
"Unknown","Employment Type","Asian","ONS 2011 5+1","2004","Year","Wales","Men","?","?","?","?","?"
"Temporary","Employment Type","Asian","ONS 2011 5+1","2004","Year","Wales","Women","?","?","?","?","?"
"Permanent","Employment Type","Asian","ONS 2011 5+1","2004","Year","Wales","Women","?","?","?","?","?"
"Unknown","Employment Type","Asian","ONS 2011 5+1","2004","Year","Wales","Women","?","?","?","?","?"
"Temporary","Employment Type","Asian","ONS 2011 5+1","2004","Year","West Midlands","All","8.9","3.7","10400","116500","558"
"Permanent","Employment Type","Asian","ONS 2011 5+1","2004","Year","West Midlands","All","90.8","3.8","105800","116500","558"
"Unknown","Employment Type","Asian","ONS 2011 5+1","2004","Year","West Midlands","All","0.2","0.6","300","116500","558"
"Temporary","Employment Type","Asian","ONS 2011 5+1","2004","Year","West Midlands","Men","9.4","5.2","6300","67100","306"
"Permanent","Employment Type","Asian","ONS 2011 5+1","2004","Year","West Midlands","Men","90.6","5.2","60800","67100","306"
"Unknown","Employment Type","Asian","ONS 2011 5+1","2004","Year","West Midlands","Men","?","?","?","?","?"
"Temporary","Employment Type","Asian","ONS 2011 5+1","2004","Year","West Midlands","Women","8.4","5.4","4100","49400","252"
"Permanent","Employment Type","Asian","ONS 2011 5+1","2004","Year","West Midlands","Women","91.1","5.6","45000","49400","252"
"Unknown","Employment Type","Asian","ONS 2011 5+1","2004","Year","West Midlands","Women","0.6","1.4","300","49400","252"
"Temporary","Employment Type","Asian","ONS 2011 5+1","2004","Year","Yorkshire and The Humber","All","12.3","5.9","8300","67500","300"
"Permanent","Employment Type","Asian","ONS 2011 5+1","2004","Year","Yorkshire and The Humber","All","87.7","5.9","59200","67500","300"
"Unknown","Employment Type","Asian","ONS 2011 5+1","2004","Year","Yorkshire and The Humber","All","?","?","?","?","?"
"Temporary","Employment Type","Asian","ONS 2011 5+1","2004","Year","Yorkshire and The Humber","Men","8.9","6.3","4000","45300","194"
"Permanent","Employment Type","Asian","ONS 2011 5+1","2004","Year","Yorkshire and The Humber","Men","91.1","6.3","41300","45300","194"
"Unknown","Employment Type","Asian","ONS 2011 5+1","2004","Year","Yorkshire and The Humber","Men","?","?","?","?","?"
"Temporary","Employment Type","Asian","ONS 2011 5+1","2004","Year","Yorkshire and The Humber","Women","19.3","11.9","4300","22200","106"
"Permanent","Employment Type","Asian","ONS 2011 5+1","2004","Year","Yorkshire and The Humber","Women","80.7","11.9","17900","22200","106"
"Unknown","Employment Type","Asian","ONS 2011 5+1","2004","Year","Yorkshire and The Humber","Women","?","?","?","?","?"
"Temporary","Employment Type","Asian Other","Detailed","2004","Year","All","All","8.3","2.7","17400","209500","1018"
"Permanent","Employment Type","Asian Other","Detailed","2004","Year","All","All","91.7","2.7","192000","209500","1018"
"Unknown","Employment Type","Asian Other","Detailed","2004","Year","All","All","?","?","?","?","?"
"Temporary","Employment Type","Asian Other","Detailed","2004","Year","All","Men","7.2","3.6","7800","108800","495"
"Permanent","Employment Type","Asian Other","Detailed","2004","Year","All","Men","92.8","3.6","100900","108800","495"
"Unknown","Employment Type","Asian Other","Detailed","2004","Year","All","Men","?","?","?","?","?"
"Temporary","Employment Type","Asian Other","Detailed","2004","Year","All","Women","9.6","4","9600","100700","523"
"Permanent","Employment Type","Asian Other","Detailed","2004","Year","All","Women","90.4","4","91100","100700","523"
"Unknown","Employment Type","Asian Other","Detailed","2004","Year","All","Women","?","?","?","?","?"
"Temporary","Employment Type","Asian Other","Detailed","2004","Year","East Midlands","All","?","?","?","?","?"
"Permanent","Employment Type","Asian Other","Detailed","2004","Year","East Midlands","All","?","?","?","?","?"
"Unknown","Employment Type","Asian Other","Detailed","2004","Year","East Midlands","All","?","?","?","?","?"
"Temporary","Employment Type","Asian Other","Detailed","2004","Year","East Midlands","Men","?","?","?","?","?"
"Permanent","Employment Type","Asian Other","Detailed","2004","Year","East Midlands","Men","?","?","?","?","?"
"Unknown","Employment Type","Asian Other","Detailed","2004","Year","East Midlands","Men","?","?","?","?","?"
"Temporary","Employment Type","Asian Other","Detailed","2004","Year","East Midlands","Women","?","?","?","?","?"
"Permanent","Employment Type","Asian Other","Detailed","2004","Year","East Midlands","Women","?","?","?","?","?"
"Unknown","Employment Type","Asian Other","Detailed","2004","Year","East Midlands","Women","?","?","?","?","?"
"Temporary","Employment Type","Asian Other","Detailed","2004","Year","East of England","All","?","?","?","?","?"
"Permanent","Employment Type","Asian Other","Detailed","2004","Year","East of England","All","?","?","?","?","?"
"Unknown","Employment Type","Asian Other","Detailed","2004","Year","East of England","All","?","?","?","?","?"
"Temporary","Employment Type","Asian Other","Detailed","2004","Year","East of England","Men","?","?","?","?","?"
"Permanent","Employment Type","Asian Other","Detailed","2004","Year","East of England","Men","?","?","?","?","?"
"Unknown","Employment Type","Asian Other","Detailed","2004","Year","East of England","Men","?","?","?","?","?"
"Temporary","Employment Type","Asian Other","Detailed","2004","Year","East of England","Women","?","?","?","?","?"
"Permanent","Employment Type","Asian Other","Detailed","2004","Year","East of England","Women","?","?","?","?","?"
"Unknown","Employment Type","Asian Other","Detailed","2004","Year","East of England","Women","?","?","?","?","?"
"Temporary","Employment Type","Asian Other","Detailed","2004","Year","London","All","7.2","4.4","6600","92100","333"
"Permanent","Employment Type","Asian Other","Detailed","2004","Year","London","All","92.8","4.4","85500","92100","333"
"Unknown","Employment Type","Asian Other","Detailed","2004","Year","London","All","?","?","?","?","?"
"Temporary","Employment Type","Asian Other","Detailed","2004","Year","London","Men","6.6","6","3300","49800","165"
"Permanent","Employment Type","Asian Other","Detailed","2004","Year","London","Men","93.4","6","46500","49800","165"
"Unknown","Employment Type","Asian Other","Detailed","2004","Year","London","Men","?","?","?","?","?"
"Temporary","Employment Type","Asian Other","Detailed","2004","Year","London","Women","8","6.5","3400","42300","168"
"Permanent","Employment Type","Asian Other","Detailed","2004","Year","London","Women","92","6.5","38900","42300","168"
"Unknown","Employment Type","Asian Other","Detailed","2004","Year","London","Women","?","?","?","?","?"
"Temporary","Employment Type","Asian Other","Detailed","2004","Year","North East","All","?","?","?","?","?"
"Permanent","Employment Type","Asian Other","Detailed","2004","Year","North East","All","?","?","?","?","?"
"Unknown","Employment Type","Asian Other","Detailed","2004","Year","North East","All","?","?","?","?","?"
"Temporary","Employment Type","Asian Other","Detailed","2004","Year","North East","Men","?","?","?","?","?"
"Permanent","Employment Type","Asian Other","Detailed","2004","Year","North East","Men","?","?","?","?","?"
"Unknown","Employment Type","Asian Other","Detailed","2004","Year","North East","Men","?","?","?","?","?"
"Temporary","Employment Type","Asian Other","Detailed","2004","Year","North East","Women","?","?","?","?","?"
"Permanent","Employment Type","Asian Other","Detailed","2004","Year","North East","Women","?","?","?","?","?"
"Unknown","Employment Type","Asian Other","Detailed","2004","Year","North East","Women","?","?","?","?","?"
"Temporary","Employment Type","Asian Other","Detailed","2004","Year","North West","All","?","?","?","?","?"
"Permanent","Employment Type","Asian Other","Detailed","2004","Year","North West","All","?","?","?","?","?"
"Unknown","Employment Type","Asian Other","Detailed","2004","Year","North West","All","?","?","?","?","?"
"Temporary","Employment Type","Asian Other","Detailed","2004","Year","North West","Men","?","?","?","?","?"
"Permanent","Employment Type","Asian Other","Detailed","2004","Year","North West","Men","?","?","?","?","?"
"Unknown","Employment Type","Asian Other","Detailed","2004","Year","North West","Men","?","?","?","?","?"
"Temporary","Employment Type","Asian Other","Detailed","2004","Year","North West","Women","?","?","?","?","?"
"Permanent","Employment Type","Asian Other","Detailed","2004","Year","North West","Women","?","?","?","?","?"
"Unknown","Employment Type","Asian Other","Detailed","2004","Year","North West","Women","?","?","?","?","?"
"Temporary","Employment Type","Asian Other","Detailed","2004","Year","Scotland","All","?","?","?","?","?"
"Permanent","Employment Type","Asian Other","Detailed","2004","Year","Scotland","All","?","?","?","?","?"
"Unknown","Employment Type","Asian Other","Detailed","2004","Year","Scotland","All","?","?","?","?","?"
"Temporary","Employment Type","Asian Other","Detailed","2004","Year","Scotland","Men","?","?","?","?","?"
"Permanent","Employment Type","Asian Other","Detailed","2004","Year","Scotland","Men","?","?","?","?","?"
"Unknown","Employment Type","Asian Other","Detailed","2004","Year","Scotland","Men","?","?","?","?","?"
"Temporary","Employment Type","Asian Other","Detailed","2004","Year","Scotland","Women","?","?","?","?","?"
"Permanent","Employment Type","Asian Other","Detailed","2004","Year","Scotland","Women","?","?","?","?","?"
"Unknown","Employment Type","Asian Other","Detailed","2004","Year","Scotland","Women","?","?","?","?","?"
