"Measure","Ethnicity","Ethnicity_type","Time","Time_type","Geography","Geography_Type","Geography_code","Age","Value","Value_type","APS per entry as a grade","Number of students","","","","","","","","","","","",""
"16-18 APS per entry - A level","Chinese","ONS 2011 5+1","202021","Academic year","England","National","E92000001","16-18","45.7710","Average point score","A-","1552","","","","","","","","","","","",""
"16-18 APS per entry - A level","Mixed","ONS 2011 5+1","202021","Academic year","England","National","E92000001","16-18","40.5708","Average point score","B","12266","","","","","","","","","","","",""
"16-18 APS per entry - A level","Mixed Other","ONS 2011 18+1","202021","Academic year","England","National","E92000001","16-18","40.6338","Average point score","B","5021","","","","","","","","","","","",""
"16-18 APS per entry - A level","Mixed White and Asian","ONS 2011 18+1","202021","Academic year","England","National","E92000001","16-18","42.3492","Average point score","B+","3470","","","","","","","","","","","",""
"16-18 APS per entry - A level","Mixed White and Black African","ONS 2011 18+1","202021","Academic year","England","National","E92000001","16-18","39.2902","Average point score","B","1481","","","","","","","","","","","",""
"16-18 APS per entry - A level","Mixed White and Black Caribbean","ONS 2011 18+1","202021","Academic year","England","National","E92000001","16-18","38.3332","Average point score","B-","2294","","","","","","","","","","","",""
"16-18 APS per entry - A level","Unknown","ONS 2011 5+1","202021","Academic year","England","National","E92000001","16-18","46.8306","Average point score","A-","45660","","","","","","","","","","",""," "
"16-18 APS per entry - A level","White","ONS 2011 5+1","202021","Academic year","England","National","E92000001","16-18","40.8598","Average point score","B","160616","","","","","","","","","","","",""
"16-18 APS per entry - A level","White Other","ONS 2011 18+1","202021","Academic year","England","National","E92000001","16-18","41.1754","Average point score","B","12447","","","","","","","","","","","",""
"16-18 APS per entry - A level","Gypsy/Roma","ONS 2011 18+1","202021","Academic year","England","National","E92000001","16-18","31.9780","Average point score","C+","61","","","","","","","","","","","",""
"16-18 APS per entry - A level","Irish Traveller","ONS 2011 18+1","202021","Academic year","England","National","E92000001","16-18","38.1818","Average point score","B-","19","","","","","","","","","","","",""
"16-18 APS per entry - A level","White British","ONS 2011 18+1","202021","Academic year","England","National","E92000001","16-18","40.8248","Average point score","B","147126","","","","","","","","","","","",""
"16-18 APS per entry - A level","White Irish","ONS 2011 18+1","202021","Academic year","England","National","E92000001","16-18","42.3871","Average point score","B+","963","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"16-18 APS per entry - Applied General","All","All","202021","Academic year","England","National","E92000001","16-18","32.8192","Average point score","Dist-","85832","","","","","","","","","","","",""
"16-18 APS per entry - Applied General","Other","ONS 2011 5+1","202021","Academic year","England","National","E92000001","16-18","32.1924","Average point score","Dist-","1524","","","","","","","","","","","",""
"16-18 APS per entry - Applied General","Asian","ONS 2011 5+1","202021","Academic year","England","National","E92000001","16-18","32.8436","Average point score","Dist-","10187","","","","","","","","","","","",""
"16-18 APS per entry - Applied General","Asian Other","ONS 2011 18+1","202021","Academic year","England","National","E92000001","16-18","32.3362","Average point score","Dist-","1496","","","","","","","","","","","",""
"16-18 APS per entry - Applied General","Bangladeshi","ONS 2011 18+1","202021","Academic year","England","National","E92000001","16-18","33.3618","Average point score","Dist","1964","","","","","","","","","","","",""
"16-18 APS per entry - Applied General","Indian","ONS 2011 18+1","202021","Academic year","England","National","E92000001","16-18","33.6595","Average point score","Dist","2530","","","","","","","","","","","",""
"16-18 APS per entry - Applied General","Pakistani","ONS 2011 18+1","202021","Academic year","England","National","E92000001","16-18","32.2831","Average point score","Dist-","4197","","","","","","","","","","","",""
"16-18 APS per entry - Applied General","Black","ONS 2011 5+1","202021","Academic year","England","National","E92000001","16-18","30.3742","Average point score","Dist-","6383","","","","","","","","","","","",""
"16-18 APS per entry - Applied General","Black Other","ONS 2011 18+1","202021","Academic year","England","National","E92000001","16-18","30.0118","Average point score","Dist-","735","","","","","","","","","","","",""
"16-18 APS per entry - Applied General","Black African","ONS 2011 18+1","202021","Academic year","England","National","E92000001","16-18","30.4412","Average point score","Dist-","4409","","","","","","","","","","","",""
"16-18 APS per entry - Applied General","Black Caribbean","ONS 2011 18+1","202021","Academic year","England","National","E92000001","16-18","30.3423","Average point score","Dist-","1239","","","","","","","","","","","",""
"16-18 APS per entry - Applied General","Chinese","ONS 2011 5+1","202021","Academic year","England","National","E92000001","16-18","33.7754","Average point score","Dist","238","","","","","","","","","","","",""
"16-18 APS per entry - Applied General","Mixed","ONS 2011 5+1","202021","Academic year","England","National","E92000001","16-18","31.3309","Average point score","Dist-","3994","","","","","","","","","","","",""
"16-18 APS per entry - Applied General","Mixed Other","ONS 2011 18+1","202021","Academic year","England","National","E92000001","16-18","31.2268","Average point score","Dist-","1530","","","","","","","","","","","",""
"16-18 APS per entry - Applied General","Mixed White and Asian","ONS 2011 18+1","202021","Academic year","England","National","E92000001","16-18","32.1599","Average point score","Dist-","822","","","","","","","","","","","",""
"16-18 APS per entry - Applied General","Mixed White and Black African","ONS 2011 18+1","202021","Academic year","England","National","E92000001","16-18","30.5527","Average point score","Dist-","527","","","","","","","","","","","",""
"16-18 APS per entry - Applied General","Mixed White and Black Caribbean","ONS 2011 18+1","202021","Academic year","England","National","E92000001","16-18","31.2850","Average point score","Dist-","1115","","","","","","","","","","","",""
"16-18 APS per entry - Applied General","Unknown","ONS 2011 5+1","202021","Academic year","England","National","E92000001","16-18","33.2742","Average point score","Dist-","5695","","","","","","","","","","","",""
"16-18 APS per entry - Applied General","White","ONS 2011 5+1","202021","Academic year","England","National","E92000001","16-18","33.2030","Average point score","Dist-","57811","","","","","","","","","","","",""
"16-18 APS per entry - Applied General","White Other","ONS 2011 18+1","202021","Academic year","England","National","E92000001","16-18","32.1291","Average point score","Dist-","4143","","","","","","","","","","","",""
"16-18 APS per entry - Applied General","Gypsy/Roma","ONS 2011 18+1","202021","Academic year","England","National","E92000001","16-18","32.0000","Average point score","Dist-","57","","","","","","","","","","","",""
"16-18 APS per entry - Applied General","Irish Traveller","ONS 2011 18+1","202021","Academic year","England","National","E92000001","16-18","32.7692","Average point score","Dist-","11","","","","","","","","","","","",""
"16-18 APS per entry - Applied General","White British","ONS 2011 18+1","202021","Academic year","England","National","E92000001","16-18","33.2901","Average point score","Dist-","53374","","","","","","","","","","","",""
"16-18 APS per entry - Applied General","White Irish","ONS 2011 18+1","202021","Academic year","England","National","E92000001","16-18","33.6524","Average point score","Dist","226","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"16-18 APS per entry - Tech level","All","All","202021","Academic year","England","National","E92000001","16-18","31.7603","Average point score","Dist-","20213","","","","","","","","","","","",""
"16-18 APS per entry - Tech level","Other","ONS 2011 5+1","202021","Academic year","England","National","E92000001","16-18","32.7826","Average point score","Dist-","248","","","","","","","","","","","",""
"16-18 APS per entry - Tech level","Asian","ONS 2011 5+1","202021","Academic year","England","National","E92000001","16-18","31.9157","Average point score","Dist-","1548","","","","","","","","","","","",""
"16-18 APS per entry - Tech level","Asian Other","ONS 2011 18+1","202021","Academic year","England","National","E92000001","16-18","32.1951","Average point score","Dist-","218","","","","","","","","","","","",""
"16-18 APS per entry - Tech level","Bangladeshi","ONS 2011 18+1","202021","Academic year","England","National","E92000001","16-18","31.6896","Average point score","Dist-","253","","","","","","","","","","","",""
"16-18 APS per entry - Tech level","Indian","ONS 2011 18+1","202021","Academic year","England","National","E92000001","16-18","33.0806","Average point score","Dist-","388","","","","","","","","","","","",""
"16-18 APS per entry - Tech level","Pakistani","ONS 2011 18+1","202021","Academic year","England","National","E92000001","16-18","31.2984","Average point score","Dist-","689","","","","","","","","","","","",""
"16-18 APS per entry - Tech level","Black","ONS 2011 5+1","202021","Academic year","England","National","E92000001","16-18","30.3751","Average point score","Dist-","928","","","","","","","","","","","",""
"16-18 APS per entry - Tech level","Black Other","ONS 2011 18+1","202021","Academic year","England","National","E92000001","16-18","29.4846","Average point score","Merit+","112","","","","","","","","","","","",""
"16-18 APS per entry - Tech level","Black African","ONS 2011 18+1","202021","Academic year","England","National","E92000001","16-18","31.4257","Average point score","Dist-","556","","","","","","","","","","","",""
"16-18 APS per entry - Tech level","Black Caribbean","ONS 2011 18+1","202021","Academic year","England","National","E92000001","16-18","28.5695","Average point score","Merit+","260","","","","","","","","","","","",""
"16-18 APS per entry - Tech level","Chinese","ONS 2011 5+1","202021","Academic year","England","National","E92000001","16-18","37.9448","Average point score","Dist+","46","","","","","","","","","","","",""
"16-18 APS per entry - Tech level","Mixed","ONS 2011 5+1","202021","Academic year","England","National","E92000001","16-18","30.2496","Average point score","Dist-","791","","","","","","","","","","","",""
"16-18 APS per entry - Tech level","Mixed Other","ONS 2011 18+1","202021","Academic year","England","National","E92000001","16-18","29.3611","Average point score","Merit+","332","","","","","","","","","","","",""
"16-18 APS per entry - Tech level","Mixed White and Asian","ONS 2011 18+1","202021","Academic year","England","National","E92000001","16-18","30.9123","Average point score","Dist-","148","","","","","","","","","","","",""
"16-18 APS per entry - Tech level","Mixed White and Black African","ONS 2011 18+1","202021","Academic year","England","National","E92000001","16-18","29.9103","Average point score","Merit+","95","","","","","","","","","","","",""
"16-18 APS per entry - Tech level","Mixed White and Black Caribbean","ONS 2011 18+1","202021","Academic year","England","National","E92000001","16-18","31.1824","Average point score","Dist-","216","","","","","","","","","","","",""
"16-18 APS per entry - Tech level","Unknown","ONS 2011 5+1","202021","Academic year","England","National","E92000001","16-18","32.6089","Average point score","Dist-","1105","","","","","","","","","","","",""
"16-18 APS per entry - Tech level","White","ONS 2011 5+1","202021","Academic year","England","National","E92000001","16-18","31.8098","Average point score","Dist-","15547","","","","","","","","","","","",""
"16-18 APS per entry - Tech level","White Other","ONS 2011 18+1","202021","Academic year","England","National","E92000001","16-18","32.6872","Average point score","Dist-","829","","","","","","","","","","","",""
"16-18 APS per entry - Tech level","Gypsy/Roma","ONS 2011 18+1","202021","Academic year","England","National","E92000001","16-18","26.1446","Average point score","Merit","9","","","","","","","","","","","",""
"16-18 APS per entry - Tech level","Irish Traveller","ONS 2011 18+1","202021","Academic year","England","National","E92000001","16-18","25.0000","Average point score","Merit","3","","","","","","","","","","","",""
"16-18 APS per entry - Tech level","White British","ONS 2011 18+1","202021","Academic year","England","National","E92000001","16-18","31.7715","Average point score","Dist-","14656","","","","","","","","","","","",""
"16-18 APS per entry - Tech level","White Irish","ONS 2011 18+1","202021","Academic year","England","National","E92000001","16-18","30.7792","Average point score","Dist-","50","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"16-18 APS per entry - Level 2 Technical Certificate","All","All","202021","Academic year","England","National","E92000001","16-18","5.6350","Average point score","L2Merit-","3308","","","","","","","","","","","",""
"16-18 APS per entry - Level 2 Technical Certificate","Other","ONS 2011 5+1","202021","Academic year","England","National","E92000001","16-18","5.1062","Average point score","L2Pass","41","","","","","","","","","","","",""
"16-18 APS per entry - Level 2 Technical Certificate","Asian","ONS 2011 5+1","202021","Academic year","England","National","E92000001","16-18","5.2262","Average point score","L2Pass+","205","","","","","","","","","","","",""
"16-18 APS per entry - Level 2 Technical Certificate","Asian Other","ONS 2011 18+1","202021","Academic year","England","National","E92000001","16-18","5.0714","Average point score","L2Pass","29","","","","","","","","","","","",""
"16-18 APS per entry - Level 2 Technical Certificate","Bangladeshi","ONS 2011 18+1","202021","Academic year","England","National","E92000001","16-18","5.8084","Average point score","L2Merit-","31","","","","","","","","","","","",""
"16-18 APS per entry - Level 2 Technical Certificate","Indian","ONS 2011 18+1","202021","Academic year","England","National","E92000001","16-18","5.5273","Average point score","L2Merit-","47","","","","","","","","","","","",""
"16-18 APS per entry - Level 2 Technical Certificate","Pakistani","ONS 2011 18+1","202021","Academic year","England","National","E92000001","16-18","4.9543","Average point score","L2Pass","98","","","","","","","","","","","",""
"16-18 APS per entry - Level 2 Technical Certificate","Black","ONS 2011 5+1","202021","Academic year","England","National","E92000001","16-18","4.8753","Average point score","L2Pass","106","","","","","","","","","","","",""
"16-18 APS per entry - Level 2 Technical Certificate","Black Other","ONS 2011 18+1","202021","Academic year","England","National","E92000001","16-18","4.4038","Average point score","L1Dist+","14","","","","","","","","","","","",""
"16-18 APS per entry - Level 2 Technical Certificate","Black African","ONS 2011 18+1","202021","Academic year","England","National","E92000001","16-18","4.8373","Average point score","L2Pass","70","","","","","","","","","","","",""
"16-18 APS per entry - Level 2 Technical Certificate","Black Caribbean","ONS 2011 18+1","202021","Academic year","England","National","E92000001","16-18","5.2765","Average point score","L2Pass+","22","","","","","","","","","","","",""
"16-18 APS per entry - Level 2 Technical Certificate","Chinese","ONS 2011 5+1","202021","Academic year","England","National","E92000001","16-18","6.5000","Average point score","L2Merit+","5","","","","","","","","","","","",""
"16-18 APS per entry - Level 2 Technical Certificate","Mixed","ONS 2011 5+1","202021","Academic year","England","National","E92000001","16-18","5.5946","Average point score","L2Merit-","130","","","","","","","","","","","",""
"16-18 APS per entry - Level 2 Technical Certificate","Mixed Other","ONS 2011 18+1","202021","Academic year","England","National","E92000001","16-18","5.6071","Average point score","L2Merit-","43","","","","","","","","","","","",""
"16-18 APS per entry - Level 2 Technical Certificate","Mixed White and Asian","ONS 2011 18+1","202021","Academic year","England","National","E92000001","16-18","5.6707","Average point score","L2Merit-","21","","","","","","","","","","","",""
"16-18 APS per entry - Level 2 Technical Certificate","Mixed White and Black African","ONS 2011 18+1","202021","Academic year","England","National","E92000001","16-18","5.3493","Average point score","L2Pass+","18","","","","","","","","","","","",""
"16-18 APS per entry - Level 2 Technical Certificate","Mixed White and Black Caribbean","ONS 2011 18+1","202021","Academic year","England","National","E92000001","16-18","5.6425","Average point score","L2Merit-","48","","","","","","","","","","","",""
"16-18 APS per entry - Level 2 Technical Certificate","Unknown","ONS 2011 5+1","202021","Academic year","England","National","E92000001","16-18","5.8517","Average point score","L2Merit","255","","","","","","","","","","","",""
"16-18 APS per entry - Level 2 Technical Certificate","White","ONS 2011 5+1","202021","Academic year","England","National","E92000001","16-18","5.6807","Average point score","L2Merit-","2566","","","","","","","","","","","",""
"16-18 APS per entry - Level 2 Technical Certificate","White Other","ONS 2011 18+1","202021","Academic year","England","National","E92000001","16-18","5.4424","Average point score","L2Pass+","106","","","","","","","","","","","",""
"16-18 APS per entry - Level 2 Technical Certificate","Gypsy/Roma","ONS 2011 18+1","202021","Academic year","England","National","E92000001","16-18","5.1800","Average point score","L2Pass+","7","","","","","","","","","","","",""
"16-18 APS per entry - Level 2 Technical Certificate","Irish Traveller","ONS 2011 18+1","202021","Academic year","England","National","E92000001","16-18","N/A","Average point score","N/A","0","","","","","","","","","","","",""
"16-18 APS per entry - Level 2 Technical Certificate","White British","ONS 2011 18+1","202021","Academic year","England","National","E92000001","16-18","5.6914","Average point score","L2Merit-","2447","","","","","","","","","","","",""
"16-18 APS per entry - Level 2 Technical Certificate","White Irish","ONS 2011 18+1","202021","Academic year","England","National","E92000001","16-18","5.8696","Average point score","L2Merit","6","","","","","","","","","","","",""
