"Ethnicity","Local authority","%"
"Chinese","Medway","92"
"Chinese","Merton","93"
"Chinese","Middlesbrough","100"
"Chinese","Milton Keynes","88"
"Chinese","Newcastle upon Tyne","83"
"Chinese","Newham","96"
"Chinese","Norfolk","92"
"Chinese","North East Lincolnshire","50"
"Chinese","North Lincolnshire","100"
"Chinese","North Somerset","80"
"Chinese","North Tyneside","93"
"Chinese","North Yorkshire","100"
"Chinese","Northamptonshire","89"
"Chinese","Northumberland","100"
"Chinese","Nottingham","88"
"Chinese","Nottinghamshire","97"
"Chinese","Oldham","92"
"Chinese","Oxfordshire","88"
"Chinese","Peterborough","100"
"Chinese","Plymouth","85"
"Chinese","Portsmouth","76"
"Chinese","Reading","100"
"Chinese","Redbridge","92"
"Chinese","Redcar and Cleveland","100"
"Chinese","Richmond upon Thames","96"
"Chinese","Rochdale","100"
"Chinese","Rotherham","100"
"Chinese","Rutland","100"
"Chinese","Salford","100"
"Chinese","Sandwell","87"
"Chinese","Sefton","90"
"Chinese","Sheffield","88"
"Chinese","Shropshire","88"
"Chinese","Slough","100"
"Chinese","Solihull","100"
"Chinese","Somerset","100"
"Chinese","South Gloucestershire","95"
"Chinese","South Tyneside","67"
"Chinese","Southampton","100"
"Chinese","Southend-on-Sea","100"
"Chinese","Southwark","94"
"Chinese","St. Helens","69"
"Chinese","Staffordshire","96"
"Chinese","Stockport","90"
"Chinese","Stockton-on-Tees","89"
"Chinese","Stoke-on-Trent","90"
"Chinese","Suffolk","100"
"Chinese","Sunderland","95"
"Chinese","Surrey","94"
"Chinese","Sutton","98"
"Chinese","Swindon","92"
"Chinese","Tameside","88"
"Chinese","Telford and Wrekin","89"
"Chinese","Thurrock","85"
"Chinese","Torbay","100"
"Chinese","Tower Hamlets","90"
"Chinese","Trafford","91"
"Chinese","Wakefield","94"
"Chinese","Walsall","91"
"Chinese","Waltham Forest","97"
"Chinese","Wandsworth","94"
"Chinese","Warrington","79"
"Chinese","Warwickshire","96"
"Chinese","West Berkshire","86"
"Chinese","West Sussex","97"
"Chinese","Westminster","94"
"Chinese","Wigan","100"
"Chinese","Wiltshire","81"
"Chinese","Windsor and Maidenhead","60"
"Chinese","Wirral","95"
"Chinese","Wokingham","80"
"Chinese","Wolverhampton","89"
"Chinese","Worcestershire","76"
"Chinese","York","92"
"Mixed","Barking and Dagenham","75"
"Mixed","Barnet","80"
"Mixed","Barnsley","74"
"Mixed","Bath and North East Somerset","78"
"Mixed","Bedford","64"
"Mixed","Bexley","83"
"Mixed","Birmingham","73"
"Mixed","Blackburn with Darwen","78"
"Mixed","Blackpool","75"
"Mixed","Bolton","73"
"Mixed","Bournemouth, Christchurch and Poole","80"
"Mixed","Bracknell Forest","88"
"Mixed","Bradford","74"
"Mixed","Brent","78"
"Mixed","Brighton and Hove","79"
"Mixed","Bristol, City of","72"
"Mixed","Bromley","80"
"Mixed","Buckinghamshire","74"
"Mixed","Bury","66"
"Mixed","Calderdale","68"
"Mixed","Cambridgeshire","76"
"Mixed","Camden","76"
"Mixed","Central Bedfordshire","74"
"Mixed","Cheshire East","76"
"Mixed","Cheshire West and Chester","79"
"Mixed","City of London","!"
"Mixed","Cornwall","77"
"Mixed","County Durham","78"
"Mixed","Coventry","70"
"Mixed","Croydon","76"
"Mixed","Cumbria","81"
"Mixed","Darlington","79"
"Mixed","Derby","72"
"Mixed","Derbyshire","82"
"Mixed","Devon","79"
"Mixed","Doncaster","75"
"Mixed","Dorset","77"
"Mixed","Dudley","71"
"Mixed","Ealing","82"
"Mixed","East Riding of Yorkshire","80"
"Mixed","East Sussex","79"
"Mixed","Enfield","79"
"Mixed","Essex","78"
"Mixed","Gateshead","85"
"Mixed","Gloucestershire","70"
"Mixed","Greenwich","82"
"Mixed","Hackney","82"
"Mixed","Halton","79"
"Mixed","Hammersmith and Fulham","80"
"Mixed","Hampshire","81"
"Mixed","Haringey","81"
"Mixed","Harrow","78"
"Mixed","Hartlepool","80"
"Mixed","Havering","78"
"Mixed","Herefordshire, County of","90"
"Mixed","Hertfordshire","77"
"Mixed","Hillingdon","75"
"Mixed","Hounslow","79"
"Mixed","Isle of Wight","80"
"Mixed","Isles of Scilly","!"
"Mixed","Islington","78"
"Mixed","Kensington and Chelsea","82"
"Mixed","Kent","81"
"Mixed","Kingston upon Hull, City of","74"
"Mixed","Kingston upon Thames","82"
"Mixed","Kirklees","71"
"Mixed","Knowsley","75"
"Mixed","Lambeth","79"
"Mixed","Lancashire","74"
"Mixed","Leeds","71"
"Mixed","Leicester","75"
"Mixed","Leicestershire","76"
"Mixed","Lewisham","78"
"Mixed","Lincolnshire","78"
"Mixed","Liverpool","70"
"Mixed","Luton","72"
"Mixed","Manchester","75"
"Mixed","Medway","78"
"Mixed","Merton","76"
"Mixed","Middlesbrough","71"
"Mixed","Milton Keynes","80"
"Mixed","Newcastle upon Tyne","80"
"Mixed","Newham","85"
"Mixed","Norfolk","75"
"Mixed","North East Lincolnshire","72"
"Mixed","North Lincolnshire","80"
"Mixed","North Somerset","77"
"Mixed","North Tyneside","82"
"Mixed","North Yorkshire","78"
"Mixed","Northamptonshire","73"
"Mixed","Northumberland","75"
"Mixed","Nottingham","74"
"Mixed","Nottinghamshire","72"
"Mixed","Oldham","73"
"Mixed","Oxfordshire","76"
"Mixed","Peterborough","70"
"Mixed","Plymouth","70"
"Mixed","Portsmouth","71"
"Mixed","Reading","69"
