"Measure","Ethnicity","Ethnicity_type","Time","Time_type","Geography","Geography_type","Geography_code","Gender","Age","Value","Value_type","Denominator","Numerator"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2018-2019","Academic Year","City of London","Local authority","E09000001","All","6-7","!","%","!","!"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2018-2019","Academic Year","City of London","Local authority","E09000001","Boys","6-7","!","%","!","!"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2018-2019","Academic Year","City of London","Local authority","E09000001","Girls","6-7","!","%","!","!"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2018-2019","Academic Year","Cornwall","Local authority","E06000052","All","6-7","72","%","6170","4463"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2018-2019","Academic Year","Cornwall","Local authority","E06000052","Boys","6-7","71","%","3115","2227"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2018-2019","Academic Year","Cornwall","Local authority","E06000052","Girls","6-7","73","%","3055","2236"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2018-2019","Academic Year","County Durham","Local authority","E06000047","All","6-7","77","%","5686","4394"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2018-2019","Academic Year","County Durham","Local authority","E06000047","Boys","6-7","76","%","2988","2266"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2018-2019","Academic Year","County Durham","Local authority","E06000047","Girls","6-7","79","%","2698","2128"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2018-2019","Academic Year","Coventry","Local authority","E08000026","All","6-7","73","%","4672","3427"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2018-2019","Academic Year","Coventry","Local authority","E08000026","Boys","6-7","72","%","2401","1734"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2018-2019","Academic Year","Coventry","Local authority","E08000026","Girls","6-7","75","%","2271","1693"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2018-2019","Academic Year","Croydon","Local authority","E09000008","All","6-7","78","%","4874","3797"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2018-2019","Academic Year","Croydon","Local authority","E09000008","Boys","6-7","76","%","2439","1862"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2018-2019","Academic Year","Croydon","Local authority","E09000008","Girls","6-7","79","%","2435","1935"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2018-2019","Academic Year","Cumbria","Local authority","E10000006","All","6-7","75","%","5057","3794"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2018-2019","Academic Year","Cumbria","Local authority","E10000006","Boys","6-7","74","%","2538","1867"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2018-2019","Academic Year","Cumbria","Local authority","E10000006","Girls","6-7","76","%","2519","1927"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2018-2019","Academic Year","Darlington","Local authority","E06000005","All","6-7","75","%","1327","993"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2018-2019","Academic Year","Darlington","Local authority","E06000005","Boys","6-7","73","%","661","480"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2018-2019","Academic Year","Darlington","Local authority","E06000005","Girls","6-7","77","%","666","513"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2018-2019","Academic Year","Derby","Local authority","E06000015","All","6-7","74","%","3561","2621"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2018-2019","Academic Year","Derby","Local authority","E06000015","Boys","6-7","73","%","1807","1318"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2018-2019","Academic Year","Derby","Local authority","E06000015","Girls","6-7","74","%","1754","1303"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2018-2019","Academic Year","Derbyshire","Local authority","E10000007","All","6-7","75","%","8702","6561"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2018-2019","Academic Year","Derbyshire","Local authority","E10000007","Boys","6-7","75","%","4431","3302"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2018-2019","Academic Year","Derbyshire","Local authority","E10000007","Girls","6-7","76","%","4271","3259"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2018-2019","Academic Year","Devon","Local authority","E10000008","All","6-7","74","%","8235","6110"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2018-2019","Academic Year","Devon","Local authority","E10000008","Boys","6-7","74","%","4249","3130"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2018-2019","Academic Year","Devon","Local authority","E10000008","Girls","6-7","75","%","3986","2980"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2018-2019","Academic Year","Doncaster","Local authority","E08000017","All","6-7","74","%","3746","2790"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2018-2019","Academic Year","Doncaster","Local authority","E08000017","Boys","6-7","73","%","1903","1390"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2018-2019","Academic Year","Doncaster","Local authority","E08000017","Girls","6-7","76","%","1843","1400"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2018-2019","Academic Year","Dorset","Local authority","E06000059","All","6-7","75","%","3657","2745"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2018-2019","Academic Year","Dorset","Local authority","E06000059","Boys","6-7","75","%","1878","1409"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2018-2019","Academic Year","Dorset","Local authority","E06000059","Girls","6-7","75","%","1779","1336"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2018-2019","Academic Year","Dudley","Local authority","E08000027","All","6-7","73","%","4115","2984"
