"Ethnicity","geography","%"
"Black","Walsall","77"
"Black","Waltham Forest","81"
"Black","Wandsworth","82"
"Black","Warrington","83"
"Black","Warwickshire","82"
"Black","West Berkshire","86"
"Black","West Sussex","71"
"Black","Westminster","81"
"Black","Wigan","74"
"Black","Wiltshire","78"
"Black","Windsor and Maidenhead","90"
"Black","Wirral","92"
"Black","Wokingham","89"
"Black","Wolverhampton","82"
"Black","Worcestershire","95"
"Black","York","50"
"Chinese","Barking and Dagenham","89"
"Chinese","Barnet","96"
"Chinese","Barnsley","100"
"Chinese","Bath and North East Somerset","83"
"Chinese","Bedford","90"
"Chinese","Bexley","96"
"Chinese","Birmingham","85"
"Chinese","Blackburn with Darwen","90"
"Chinese","Blackpool","100"
"Chinese","Bolton","92"
"Chinese","Bournemouth","90"
"Chinese","Bracknell Forest","82"
"Chinese","Bradford","100"
"Chinese","Brent","71"
"Chinese","Brighton and Hove","88"
"Chinese","Bristol, City of","89"
"Chinese","Bromley","92"
"Chinese","Buckinghamshire","96"
"Chinese","Bury","75"
"Chinese","Calderdale","100"
"Chinese","Cambridgeshire","92"
"Chinese","Camden","85"
"Chinese","Central Bedfordshire","81"
"Chinese","Cheshire East","100"
"Chinese","Cheshire West and Chester","88"
"Chinese","City of London","!"
"Chinese","Cornwall","77"
"Chinese","County Durham","85"
"Chinese","Coventry","75"
"Chinese","Croydon","96"
"Chinese","Cumbria","91"
"Chinese","Darlington","100"
"Chinese","Derby","89"
"Chinese","Derbyshire","86"
"Chinese","Devon","89"
"Chinese","Doncaster","87"
"Chinese","Dorset","100"
"Chinese","Dudley","80"
"Chinese","Ealing","89"
"Chinese","East Riding of Yorkshire","100"
"Chinese","East Sussex","82"
"Chinese","Enfield","92"
"Chinese","Essex","85"
"Chinese","Gateshead","92"
"Chinese","Gloucestershire","100"
"Chinese","Greenwich","95"
"Chinese","Hackney","93"
"Chinese","Halton","N/A"
"Chinese","Hammersmith and Fulham","88"
"Chinese","Hampshire","94"
"Chinese","Haringey","89"
"Chinese","Harrow","93"
"Chinese","Hartlepool","80"
"Chinese","Havering","100"
"Chinese","Herefordshire, County of","100"
"Chinese","Hertfordshire","94"
"Chinese","Hillingdon","91"
"Chinese","Hounslow","100"
"Chinese","Isle of Wight","100"
"Chinese","Isles of Scilly","!"
"Chinese","Islington","100"
"Chinese","Kensington and Chelsea","60"
"Chinese","Kent","86"
"Chinese","Kingston upon Hull, City of","100"
"Chinese","Kingston upon Thames","94"
"Chinese","Kirklees","80"
"Chinese","Knowsley","100"
"Chinese","Lambeth","91"
"Chinese","Lancashire","85"
"Chinese","Leeds","90"
"Chinese","Leicester","79"
"Chinese","Leicestershire","87"
"Chinese","Lewisham","85"
"Chinese","Lincolnshire","86"
