"Measure","Ethnicity","Ethnicity_type","Time","Time_type","Geography","Geography_type","Geography_code","Age","Value","Value_type","APS per entry as a grade","Number of students"
"16-18 APS per entry - Tech level","Gypsy/Roma","ONS 2001 16+1","2018/19","Academic year","England","Country","E92000001","16-18","29.89","Average point score","Merit+","12"
"16-18 APS per entry - Level 2 Technical Certificate","Asian","ONS 2001 16+1","2019/20","Academic year","England","Country","E92000001","16-18","5.65","Average point score","L2 Merit-","515"
"16-18 APS per entry - Level 2 Technical Certificate","Asian Other","ONS 2001 16+1","2019/20","Academic year","England","Country","E92000001","16-18","5.79","Average point score","L2 Merit-","70"
"16-18 APS per entry - A level","Irish Traveller","ONS 2001 16+1","2017/18","Academic year","England","Country","E92000001","16-18","30.88","Average point score","C","15"
"16-18 APS per entry - Tech level","Chinese","ONS 2001 16+1","2017/18","Academic year","England","Country","E92000001","16-18","38.33","Average point score","Dist+","15"
"16-18 APS per entry - Level 2 Technical Certificate","Bangladeshi","ONS 2001 16+1","2019/20","Academic year","England","Country","E92000001","16-18","5.44","Average point score","L2 Pass+","121"
"16-18 APS per entry - Level 2 Technical Certificate","White Irish","ONS 2001 16+1","2018/19","Academic year","England","Country","E92000001","16-18","5.97","Average point score","L2 Merit","18"
"16-18 APS per entry - Level 2 Technical Certificate","Black Other","ONS 2001 16+1","2018/19","Academic year","England","Country","E92000001","16-18","5.07","Average point score","L2 Pass","23"
"16-18 APS per entry - Tech level","White Irish","ONS 2001 16+1","2017/18","Academic year","England","Country","E92000001","16-18","28.02","Average point score","Merit+","24"
"16-18 APS per entry - Level 2 Technical Certificate","Mixed White and Black African","ONS 2001 16+1","2018/19","Academic year","England","Country","E92000001","16-18","5.27","Average point score","L2 Pass+","25"
"16-18 APS per entry - Level 2 Technical Certificate","Black","ONS 2001 16+1","2019/20","Academic year","England","Country","E92000001","16-18","5.2","Average point score","L2 Pass+","212"
"16-18 APS per entry - Level 2 Technical Certificate","Other","ONS 2001 16+1","2018/19","Academic year","England","Country","E92000001","16-18","5.85","Average point score","L2 Merit","34"
"16-18 APS per entry - Level 2 Technical Certificate","Asian Other","ONS 2001 16+1","2018/19","Academic year","England","Country","E92000001","16-18","5.78","Average point score","L2 Merit-","36"
"16-18 APS per entry - Level 2 Technical Certificate","Mixed White and Asian","ONS 2001 16+1","2018/19","Academic year","England","Country","E92000001","16-18","6.2","Average point score","L2 Merit+","37"
"16-18 APS per entry - Applied General","Gypsy/Roma","ONS 2001 16+1","2018/19","Academic year","England","Country","E92000001","16-18","25.19","Average point score","Merit","38"
"16-18 APS per entry - Tech level","White Irish","ONS 2001 16+1","2018/19","Academic year","England","Country","E92000001","16-18","24.89","Average point score","Merit","39"
"16-18 APS per entry - Applied General","Gypsy/Roma","ONS 2001 16+1","2017/18","Academic year","England","Country","E92000001","16-18","25.5","Average point score","Merit","40"
"16-18 APS per entry - Tech level","Mixed White and Black African","ONS 2001 16+1","2017/18","Academic year","England","Country","E92000001","16-18","25.89","Average point score","Merit","40"
"16-18 APS per entry - Level 2 Technical Certificate","Black African","ONS 2001 16+1","2019/20","Academic year","England","Country","E92000001","16-18","5.04","Average point score","L2 Pass","104"
"16-18 APS per entry - Level 2 Technical Certificate","Black Caribbean","ONS 2001 16+1","2018/19","Academic year","England","Country","E92000001","16-18","5.42","Average point score","L2 Pass+","42"
"16-18 APS per entry - Tech level","Chinese","ONS 2001 16+1","2018/19","Academic year","England","Country","E92000001","16-18","30.05","Average point score","Dist-","43"
"16-18 APS per entry - Tech level","Asian Other","ONS 2001 16+1","2019/20","Academic year","England","Country","E92000001","16-18","29.59","Average point score","Merit+","235"
"16-18 APS per entry - Applied General","Asian","ONS 2001 16+1","2019/20","Academic year","England","Country","E92000001","16-18","31.41","Average point score","Dist-","10045"
"16-18 APS per entry - Tech level","Bangladeshi","ONS 2001 16+1","2019/20","Academic year","England","Country","E92000001","16-18","30.35","Average point score","Dist-","277"
"16-18 APS per entry - Level 2 Technical Certificate","Black Caribbean","ONS 2001 16+1","2019/20","Academic year","England","Country","E92000001","16-18","5.34","Average point score","L2 Pass+","77"
"16-18 APS per entry - Level 2 Technical Certificate","Chinese","ONS 2001 16+1","2017/18","Academic year","England","Country","E92000001","16-18","5.75","Average point score","L2 Merit-","55"
"16-18 APS per entry - A level","Asian","ONS 2001 16+1","2019/20","Academic year","England","Country","E92000001","16-18","37.46","Average point score","B-","31919"
"16-18 APS per entry - A level","Gypsy/Roma","ONS 2001 16+1","2018/19","Academic year","England","Country","E92000001","16-18","29.33","Average point score","C","58"
"16-18 APS per entry - Level 2 Technical Certificate","Black Other","ONS 2001 16+1","2019/20","Academic year","England","Country","E92000001","16-18","5.34","Average point score","L2 Pass+","31"
"16-18 APS per entry - A level","Gypsy/Roma","ONS 2001 16+1","2017/18","Academic year","England","Country","E92000001","16-18","24.86","Average point score","D+","62"
"16-18 APS per entry - Tech level","Black Other","ONS 2001 16+1","2017/18","Academic year","England","Country","E92000001","16-18","28.77","Average point score","Merit+","64"
"16-18 APS per entry - Level 2 Technical Certificate","Mixed Other","ONS 2001 16+1","2018/19","Academic year","England","Country","E92000001","16-18","5.94","Average point score","L2 Merit","67"
"16-18 APS per entry - Level 2 Technical Certificate","Black African","ONS 2001 16+1","2018/19","Academic year","England","Country","E92000001","16-18","4.99","Average point score","L2 Pass","70"
"16-18 APS per entry - Level 2 Technical Certificate","Chinese","ONS 2001 16+1","2019/20","Academic year","England","Country","E92000001","16-18","6.41","Average point score","L2 Merit+","13"
"16-18 APS per entry - Tech level","Mixed White and Black African","ONS 2001 16+1","2018/19","Academic year","England","Country","E92000001","16-18","26.69","Average point score","Merit+","71"
"16-18 APS per entry - Level 2 Technical Certificate","Mixed White and Black Caribbean","ONS 2001 16+1","2018/19","Academic year","England","Country","E92000001","16-18","5.91","Average point score","L2 Merit","73"
"16-18 APS per entry - Level 2 Technical Certificate","Gypsy/Roma","ONS 2001 16+1","2019/20","Academic year","England","Country","E92000001","16-18","5.16","Average point score","L2 Pass","15"
"16-18 APS per entry - Level 2 Technical Certificate","Gypsy/Roma","ONS 2001 16+1","2017/18","Academic year","England","Country","E92000001","16-18","5.96","Average point score","L2 Merit","76"
"16-18 APS per entry - Level 2 Technical Certificate","Indian","ONS 2001 16+1","2019/20","Academic year","England","Country","E92000001","16-18","5.73","Average point score","L2 Merit-","121"
"16-18 APS per entry - Tech level","Black Other","ONS 2001 16+1","2018/19","Academic year","England","Country","E92000001","16-18","27.08","Average point score","Merit+","81"
"16-18 APS per entry - Tech level","Black","ONS 2001 16+1","2019/20","Academic year","England","Country","E92000001","16-18","28.9","Average point score","Merit+","873"
"16-18 APS per entry - Level 2 Technical Certificate","Irish Traveller","ONS 2001 16+1","2019/20","Academic year","England","Country","E92000001","16-18","6","Average point score","L2 Merit","1"
"16-18 APS per entry - Level 2 Technical Certificate","White Irish","ONS 2001 16+1","2017/18","Academic year","England","Country","E92000001","16-18","5.84","Average point score","L2 Merit","83"
"16-18 APS per entry - Level 2 Technical Certificate","Indian","ONS 2001 16+1","2018/19","Academic year","England","Country","E92000001","16-18","6.03","Average point score","L2 Merit","86"
"16-18 APS per entry - Tech level","Mixed White and Asian","ONS 2001 16+1","2017/18","Academic year","England","Country","E92000001","16-18","28.7","Average point score","Merit+","89"
"16-18 APS per entry - Level 2 Technical Certificate","Bangladeshi","ONS 2001 16+1","2018/19","Academic year","England","Country","E92000001","16-18","5.27","Average point score","L2 Pass+","97"
"16-18 APS per entry - Tech level","Black African","ONS 2001 16+1","2019/20","Academic year","England","Country","E92000001","16-18","29.44","Average point score","Merit+","520"
"16-18 APS per entry - Level 2 Technical Certificate","Mixed","ONS 2001 16+1","2019/20","Academic year","England","Country","E92000001","16-18","5.75","Average point score","L2 Merit-","250"
"16-18 APS per entry - Tech level","Mixed White and Asian","ONS 2001 16+1","2018/19","Academic year","England","Country","E92000001","16-18","27.62","Average point score","Merit+","105"
"16-18 APS per entry - Applied General","White Irish","ONS 2001 16+1","2017/18","Academic year","England","Country","E92000001","16-18","27.98","Average point score","Merit+","112"
"16-18 APS per entry - Tech level","Other","ONS 2001 16+1","2017/18","Academic year","England","Country","E92000001","16-18","28.16","Average point score","Merit+","112"
"16-18 APS per entry - Level 2 Technical Certificate","Mixed White and Black African","ONS 2001 16+1","2017/18","Academic year","England","Country","E92000001","16-18","5.57","Average point score","L2 Merit-","114"
"16-18 APS per entry - Level 2 Technical Certificate","Mixed Other","ONS 2001 16+1","2019/20","Academic year","England","Country","E92000001","16-18","5.8","Average point score","L2 Merit-","75"
"16-18 APS per entry - Level 2 Technical Certificate","Mixed White and Asian","ONS 2001 16+1","2019/20","Academic year","England","Country","E92000001","16-18","6.1","Average point score","L2 Merit","53"
"16-18 APS per entry - Tech level","Bangladeshi","ONS 2001 16+1","2017/18","Academic year","England","Country","E92000001","16-18","28.77","Average point score","Merit+","129"
"16-18 APS per entry - Tech level","Mixed White and Black Caribbean","ONS 2001 16+1","2017/18","Academic year","England","Country","E92000001","16-18","26.85","Average point score","Merit+","129"
"16-18 APS per entry - Level 2 Technical Certificate","Black","ONS 2001 16+1","2018/19","Academic year","England","Country","E92000001","16-18","5.14","Average point score","L2 Pass","135"
"16-18 APS per entry - Tech level","Black Caribbean","ONS 2001 16+1","2017/18","Academic year","England","Country","E92000001","16-18","27.94","Average point score","Merit+","145"
"16-18 APS per entry - Tech level","Mixed Other","ONS 2001 16+1","2017/18","Academic year","England","Country","E92000001","16-18","28.38","Average point score","Merit+","146"
"16-18 APS per entry - Tech level","Asian Other","ONS 2001 16+1","2017/18","Academic year","England","Country","E92000001","16-18","29.35","Average point score","Merit+","153"
"16-18 APS per entry - Applied General","Chinese","ONS 2001 16+1","2017/18","Academic year","England","Country","E92000001","16-18","29.48","Average point score","Merit+","155"
"16-18 APS per entry - Level 2 Technical Certificate","Pakistani","ONS 2001 16+1","2018/19","Academic year","England","Country","E92000001","16-18","5.55","Average point score","L2 Merit-","157"
"16-18 APS per entry - Applied General","White Irish","ONS 2001 16+1","2018/19","Academic year","England","Country","E92000001","16-18","28.26","Average point score","Merit+","169"
"16-18 APS per entry - Tech level","Black Caribbean","ONS 2001 16+1","2019/20","Academic year","England","Country","E92000001","16-18","27.65","Average point score","Merit+","256"
"16-18 APS per entry - Applied General","Chinese","ONS 2001 16+1","2018/19","Academic year","England","Country","E92000001","16-18","29.51","Average point score","Merit+","181"
"16-18 APS per entry - Tech level","Mixed White and Black Caribbean","ONS 2001 16+1","2018/19","Academic year","England","Country","E92000001","16-18","27.11","Average point score","Merit+","185"
"16-18 APS per entry - Level 2 Technical Certificate","Mixed","ONS 2001 16+1","2018/19","Academic year","England","Country","E92000001","16-18","5.9","Average point score","L2 Merit","202"
"16-18 APS per entry - Applied General","Asian Other","ONS 2001 16+1","2019/20","Academic year","England","Country","E92000001","16-18","30.23","Average point score","Dist-","1442"
"16-18 APS per entry - Level 2 Technical Certificate","Black Other","ONS 2001 16+1","2017/18","Academic year","England","Country","E92000001","16-18","5.32","Average point score","L2 Pass+","203"
"16-18 APS per entry - Level 2 Technical Certificate","Mixed White and Black African","ONS 2001 16+1","2019/20","Academic year","England","Country","E92000001","16-18","5.76","Average point score","L2 Merit-","40"
"16-18 APS per entry - Tech level","Asian Other","ONS 2001 16+1","2018/19","Academic year","England","Country","E92000001","16-18","27.88","Average point score","Merit+","206"
"16-18 APS per entry - Tech level","Black Caribbean","ONS 2001 16+1","2018/19","Academic year","England","Country","E92000001","16-18","28.24","Average point score","Merit+","212"
"16-18 APS per entry - Level 2 Technical Certificate","Mixed White and Black Caribbean","ONS 2001 16+1","2019/20","Academic year","England","Country","E92000001","16-18","5.49","Average point score","L2 Pass+","82"
"16-18 APS per entry - Tech level","Mixed Other","ONS 2001 16+1","2018/19","Academic year","England","Country","E92000001","16-18","27.3","Average point score","Merit+","214"
"16-18 APS per entry - Tech level","Other","ONS 2001 16+1","2018/19","Academic year","England","Country","E92000001","16-18","28.34","Average point score","Merit+","215"
"16-18 APS per entry - Applied General","Bangladeshi","ONS 2001 16+1","2019/20","Academic year","England","Country","E92000001","16-18","32.16","Average point score","Dist-","1854"
"16-18 APS per entry - Tech level","Black Other","ONS 2001 16+1","2019/20","Academic year","England","Country","E92000001","16-18","29.25","Average point score","Merit+","97"
"16-18 APS per entry - Level 2 Technical Certificate","White Other","ONS 2001 16+1","2018/19","Academic year","England","Country","E92000001","16-18","5.6","Average point score","L2 Merit-","235"
"16-18 APS per entry - Tech level","Chinese","ONS 2001 16+1","2019/20","Academic year","England","Country","E92000001","16-18","33.51","Average point score","Dist","48"
"16-18 APS per entry - Tech level","Gypsy/Roma","ONS 2001 16+1","2019/20","Academic year","England","Country","E92000001","16-18","30.16","Average point score","Dist-","9"
"16-18 APS per entry - Applied General","Mixed White and Black African","ONS 2001 16+1","2017/18","Academic year","England","Country","E92000001","16-18","27.65","Average point score","Merit+","250"
"16-18 APS per entry - Level 2 Technical Certificate","Other","ONS 2001 16+1","2019/20","Academic year","England","Country","E92000001","16-18","5.62","Average point score","L2 Merit-","60"
"16-18 APS per entry - Tech level","Indian","ONS 2001 16+1","2017/18","Academic year","England","Country","E92000001","16-18","29.3","Average point score","Merit+","253"
"16-18 APS per entry - Level 2 Technical Certificate","Mixed White and Asian","ONS 2001 16+1","2017/18","Academic year","England","Country","E92000001","16-18","5.73","Average point score","L2 Merit-","255"
"16-18 APS per entry - Tech level","Indian","ONS 2001 16+1","2019/20","Academic year","England","Country","E92000001","16-18","31.17","Average point score","Dist-","399"
"16-18 APS per entry - Tech level","Irish Traveller","ONS 2001 16+1","2019/20","Academic year","England","Country","E92000001","16-18","32.78","Average point score","Dist-","2"
"16-18 APS per entry - Tech level","Bangladeshi","ONS 2001 16+1","2018/19","Academic year","England","Country","E92000001","16-18","29.13","Average point score","Merit+","267"
"16-18 APS per entry - Tech level","Mixed","ONS 2001 16+1","2019/20","Academic year","England","Country","E92000001","16-18","29.56","Average point score","Merit+","737"
"16-18 APS per entry - Level 2 Technical Certificate","Unknown","ONS 2001 16+1","2018/19","Academic year","England","Country","E92000001","16-18","5.78","Average point score","L2 Merit-","292"
"16-18 APS per entry - Level 2 Technical Certificate","Pakistani","ONS 2001 16+1","2019/20","Academic year","England","Country","E92000001","16-18","5.68","Average point score","L2 Merit-","203"
"16-18 APS per entry - Tech level","Black African","ONS 2001 16+1","2017/18","Academic year","England","Country","E92000001","16-18","28.08","Average point score","Merit+","331"
"16-18 APS per entry - Level 2 Technical Certificate","Bangladeshi","ONS 2001 16+1","2017/18","Academic year","England","Country","E92000001","16-18","5.36","Average point score","L2 Pass+","333"
"16-18 APS per entry - Applied General","Mixed White and Black African","ONS 2001 16+1","2018/19","Academic year","England","Country","E92000001","16-18","28.1","Average point score","Merit+","335"
"16-18 APS per entry - Tech level","Indian","ONS 2001 16+1","2018/19","Academic year","England","Country","E92000001","16-18","29.65","Average point score","Merit+","339"
"16-18 APS per entry - Level 2 Technical Certificate","Asian Other","ONS 2001 16+1","2017/18","Academic year","England","Country","E92000001","16-18","5.46","Average point score","L2 Pass+","372"
"16-18 APS per entry - Applied General","Black Other","ONS 2001 16+1","2017/18","Academic year","England","Country","E92000001","16-18","25.95","Average point score","Merit","374"
"16-18 APS per entry - Level 2 Technical Certificate","Asian","ONS 2001 16+1","2018/19","Academic year","England","Country","E92000001","16-18","5.61","Average point score","L2 Merit-","376"
"16-18 APS per entry - Applied General","Mixed White and Asian","ONS 2001 16+1","2017/18","Academic year","England","Country","E92000001","16-18","28.09","Average point score","Merit+","393"
"16-18 APS per entry - Tech level","Mixed Other","ONS 2001 16+1","2019/20","Academic year","England","Country","E92000001","16-18","30.65","Average point score","Dist-","259"
"16-18 APS per entry - Tech level","Mixed","ONS 2001 16+1","2017/18","Academic year","England","Country","E92000001","16-18","27.69","Average point score","Merit+","404"
"16-18 APS per entry - Level 2 Technical Certificate","Other","ONS 2001 16+1","2017/18","Academic year","England","Country","E92000001","16-18","5.55","Average point score","L2 Merit-","405"
"16-18 APS per entry - Tech level","White Other","ONS 2001 16+1","2017/18","Academic year","England","Country","E92000001","16-18","28.79","Average point score","Merit+","414"
"16-18 APS per entry - Level 2 Technical Certificate","Mixed Other","ONS 2001 16+1","2017/18","Academic year","England","Country","E92000001","16-18","5.67","Average point score","L2 Merit-","427"
"16-18 APS per entry - Level 2 Technical Certificate","Black Caribbean","ONS 2001 16+1","2017/18","Academic year","England","Country","E92000001","16-18","5.48","Average point score","L2 Pass+","438"
"16-18 APS per entry - Tech level","Pakistani","ONS 2001 16+1","2017/18","Academic year","England","Country","E92000001","16-18","29.59","Average point score","Merit+","456"
"16-18 APS per entry - Applied General","Black","ONS 2001 16+1","2019/20","Academic year","England","Country","E92000001","16-18","29.8","Average point score","Merit+","5768"
"16-18 APS per entry - Applied General","Black Other","ONS 2001 16+1","2018/19","Academic year","England","Country","E92000001","16-18","26.88","Average point score","Merit+","475"
"16-18 APS per entry - Level 2 Technical Certificate","Unknown","ONS 2001 16+1","2019/20","Academic year","England","Country","E92000001","16-18","5.83","Average point score","L2 Merit-","477"
"16-18 APS per entry - Tech level","Black African","ONS 2001 16+1","2018/19","Academic year","England","Country","E92000001","16-18","27.83","Average point score","Merit+","491"
"16-18 APS per entry - Level 2 Technical Certificate","Mixed White and Black Caribbean","ONS 2001 16+1","2017/18","Academic year","England","Country","E92000001","16-18","5.77","Average point score","L2 Merit-","493"
"16-18 APS per entry - Applied General","Mixed White and Asian","ONS 2001 16+1","2018/19","Academic year","England","Country","E92000001","16-18","27.18","Average point score","Merit+","513"
"16-18 APS per entry - Level 2 Technical Certificate","White","ONS 2001 16+1","2019/20","Academic year","England","Country","E92000001","16-18","5.72","Average point score","L2 Merit-","7104"
"16-18 APS per entry - Tech level","Unknown","ONS 2001 16+1","2017/18","Academic year","England","Country","E92000001","16-18","27.51","Average point score","Merit+","517"
"16-18 APS per entry - Tech level","Mixed White and Asian","ONS 2001 16+1","2019/20","Academic year","England","Country","E92000001","16-18","29.74","Average point score","Merit+","173"
"16-18 APS per entry - Tech level","Black","ONS 2001 16+1","2017/18","Academic year","England","Country","E92000001","16-18","28.12","Average point score","Merit+","540"
"16-18 APS per entry - Applied General","Mixed White and Black Caribbean","ONS 2001 16+1","2017/18","Academic year","England","Country","E92000001","16-18","28.3","Average point score","Merit+","554"
"16-18 APS per entry - Tech level","Mixed","ONS 2001 16+1","2018/19","Academic year","England","Country","E92000001","16-18","27.21","Average point score","Merit+","575"
"16-18 APS per entry - Applied General","Mixed Other","ONS 2001 16+1","2017/18","Academic year","England","Country","E92000001","16-18","27.54","Average point score","Merit+","634"
"16-18 APS per entry - Level 2 Technical Certificate","Indian","ONS 2001 16+1","2017/18","Academic year","England","Country","E92000001","16-18","5.61","Average point score","L2 Merit-","644"
"16-18 APS per entry - Applied General","Black African","ONS 2001 16+1","2019/20","Academic year","England","Country","E92000001","16-18","30.01","Average point score","Dist-","3935"
"16-18 APS per entry - Level 2 Technical Certificate","Black African","ONS 2001 16+1","2017/18","Academic year","England","Country","E92000001","16-18","5.16","Average point score","L2 Pass","674"
"16-18 APS per entry - Applied General","Black Caribbean","ONS 2001 16+1","2019/20","Academic year","England","Country","E92000001","16-18","29.58","Average point score","Merit+","1158"
"16-18 APS per entry - Tech level","White Other","ONS 2001 16+1","2018/19","Academic year","England","Country","E92000001","16-18","27.75","Average point score","Merit+","677"
"16-18 APS per entry - Applied General","Mixed White and Black Caribbean","ONS 2001 16+1","2018/19","Academic year","England","Country","E92000001","16-18","27.28","Average point score","Merit+","724"
"16-18 APS per entry - Tech level","Mixed White and Black African","ONS 2001 16+1","2019/20","Academic year","England","Country","E92000001","16-18","28.69","Average point score","Merit+","81"
"16-18 APS per entry - Applied General","Black Caribbean","ONS 2001 16+1","2017/18","Academic year","England","Country","E92000001","16-18","26.47","Average point score","Merit","774"
"16-18 APS per entry - Tech level","Black","ONS 2001 16+1","2018/19","Academic year","England","Country","E92000001","16-18","27.88","Average point score","Merit+","784"
"16-18 APS per entry - Applied General","Other","ONS 2001 16+1","2017/18","Academic year","England","Country","E92000001","16-18","27.96","Average point score","Merit+","788"
"16-18 APS per entry - Tech level","Pakistani","ONS 2001 16+1","2018/19","Academic year","England","Country","E92000001","16-18","29.01","Average point score","Merit+","796"
"16-18 APS per entry - Tech level","Mixed White and Black Caribbean","ONS 2001 16+1","2019/20","Academic year","England","Country","E92000001","16-18","28.57","Average point score","Merit+","224"
"16-18 APS per entry - Tech level","Unknown","ONS 2001 16+1","2018/19","Academic year","England","Country","E92000001","16-18","29.23","Average point score","Merit+","853"
"16-18 APS per entry - Tech level","Other","ONS 2001 16+1","2019/20","Academic year","England","Country","E92000001","16-18","29.28","Average point score","Merit+","247"
"16-18 APS per entry - Applied General","Black Caribbean","ONS 2001 16+1","2018/19","Academic year","England","Country","E92000001","16-18","27.34","Average point score","Merit+","914"
"16-18 APS per entry - Applied General","Black Other","ONS 2001 16+1","2019/20","Academic year","England","Country","E92000001","16-18","28.9","Average point score","Merit+","675"
"16-18 APS per entry - Applied General","Asian Other","ONS 2001 16+1","2017/18","Academic year","England","Country","E92000001","16-18","28.43","Average point score","Merit+","950"
"16-18 APS per entry - Applied General","Mixed Other","ONS 2001 16+1","2018/19","Academic year","England","Country","E92000001","16-18","28.43","Average point score","Merit+","966"
"16-18 APS per entry - A level","Asian Other","ONS 2001 16+1","2019/20","Academic year","England","Country","E92000001","16-18","38.05","Average point score","B-","5812"
"16-18 APS per entry - Tech level","Asian","ONS 2001 16+1","2017/18","Academic year","England","Country","E92000001","16-18","29.37","Average point score","Merit+","991"
"16-18 APS per entry - Tech level","Pakistani","ONS 2001 16+1","2019/20","Academic year","England","Country","E92000001","16-18","29.58","Average point score","Merit+","995"
"16-18 APS per entry - Tech level","Unknown","ONS 2001 16+1","2019/20","Academic year","England","Country","E92000001","16-18","30.5","Average point score","Dist-","1011"
"16-18 APS per entry - A level","White Irish","ONS 2001 16+1","2018/19","Academic year","England","Country","E92000001","16-18","34.66","Average point score","C+","1031"
"16-18 APS per entry - A level","White Irish","ONS 2001 16+1","2017/18","Academic year","England","Country","E92000001","16-18","34.53","Average point score","C+","1111"
"16-18 APS per entry - Applied General","Bangladeshi","ONS 2001 16+1","2017/18","Academic year","England","Country","E92000001","16-18","29.31","Average point score","Merit+","1112"
"16-18 APS per entry - Applied General","Chinese","ONS 2001 16+1","2019/20","Academic year","England","Country","E92000001","16-18","34.64","Average point score","Dist","202"
"16-18 APS per entry - Applied General","Other","ONS 2001 16+1","2018/19","Academic year","England","Country","E92000001","16-18","28.54","Average point score","Merit+","1169"
"16-18 APS per entry - Applied General","Asian Other","ONS 2001 16+1","2018/19","Academic year","England","Country","E92000001","16-18","28.24","Average point score","Merit+","1240"
"16-18 APS per entry - Level 2 Technical Certificate","Mixed","ONS 2001 16+1","2017/18","Academic year","England","Country","E92000001","16-18","5.71","Average point score","L2 Merit-","1289"
"16-18 APS per entry - Applied General","Gypsy/Roma","ONS 2001 16+1","2019/20","Academic year","England","Country","E92000001","16-18","30.05","Average point score","Dist-","47"
"16-18 APS per entry - Level 2 Technical Certificate","Black","ONS 2001 16+1","2017/18","Academic year","England","Country","E92000001","16-18","5.3","Average point score","L2 Pass+","1315"
"16-18 APS per entry - A level","Bangladeshi","ONS 2001 16+1","2019/20","Academic year","England","Country","E92000001","16-18","36.1","Average point score","B-","5323"
"16-18 APS per entry - Level 2 Technical Certificate","Pakistani","ONS 2001 16+1","2017/18","Academic year","England","Country","E92000001","16-18","5.52","Average point score","L2 Merit-","1384"
"16-18 APS per entry - A level","Mixed White and Black African","ONS 2001 16+1","2017/18","Academic year","England","Country","E92000001","16-18","30.4","Average point score","C","1402"
"16-18 APS per entry - A level","Mixed White and Black African","ONS 2001 16+1","2018/19","Academic year","England","Country","E92000001","16-18","31.32","Average point score","C","1408"
"16-18 APS per entry - Applied General","Indian","ONS 2001 16+1","2019/20","Academic year","England","Country","E92000001","16-18","31.78","Average point score","Dist-","2496"
"16-18 APS per entry - Applied General","Irish Traveller","ONS 2001 16+1","2019/20","Academic year","England","Country","E92000001","16-18","29.52","Average point score","Merit+","8"
"16-18 APS per entry - A level","Black Other","ONS 2001 16+1","2018/19","Academic year","England","Country","E92000001","16-18","28.77","Average point score","C","1498"
"16-18 APS per entry - A level","Black","ONS 2001 16+1","2019/20","Academic year","England","Country","E92000001","16-18","35.05","Average point score","B-","13480"
"16-18 APS per entry - A level","Black African","ONS 2001 16+1","2019/20","Academic year","England","Country","E92000001","16-18","35.3","Average point score","B-","9787"
"16-18 APS per entry - Applied General","Bangladeshi","ONS 2001 16+1","2018/19","Academic year","England","Country","E92000001","16-18","29.25","Average point score","Merit+","1525"
"16-18 APS per entry - Tech level","Asian","ONS 2001 16+1","2018/19","Academic year","England","Country","E92000001","16-18","29.02","Average point score","Merit+","1608"
"16-18 APS per entry - A level","Black Other","ONS 2001 16+1","2017/18","Academic year","England","Country","E92000001","16-18","28.09","Average point score","C-","1620"
"16-18 APS per entry - Level 2 Technical Certificate","White Other","ONS 2001 16+1","2017/18","Academic year","England","Country","E92000001","16-18","5.65","Average point score","L2 Merit-","1659"
