"Ethnicity","Geography","% of firefighters","Number of firefighters"
"White","South Yorkshire","96.2","590"
"White","Staffordshire","97.2","631"
"White","Suffolk","97.6","403"
"White","Surrey","97.8","542"
"White","Tyne and Wear","98.1","577"
"White","Warwickshire","97.3","319"
"White","West Midlands","88.4","1,222"
"White","West Sussex","99.2","503"
"White","West Yorkshire","96.1","979"
"Other inc Chinese","Avon","0.8","5"
"Other inc Chinese","Bedfordshire","0.0","0"
"Other inc Chinese","Berkshire","0.2","1"
"Other inc Chinese","Buckinghamshire","0.0","0"
"Other inc Chinese","Cambridgeshire","0.0","0"
"Other inc Chinese","Cheshire","0.4","3"
"Other inc Chinese","Cleveland","0.2","1"
"Other inc Chinese","Cornwall","0.2","1"
"Other inc Chinese","Cumbria","0.2","1"
"Other inc Chinese","Derbyshire","0.3","2"
"Other inc Chinese","Devon and Somerset","0.2","4"
"Other inc Chinese","Dorset and Wiltshire","0.0","0"
"Other inc Chinese","Durham","0.0","0"
"Other inc Chinese","East Sussex","0.0","0"
"Other inc Chinese","Essex","0.3","2"
"Other inc Chinese","Gloucestershire","0.3","1"
"Other inc Chinese","Greater London","1.5","68"
"Other inc Chinese","Greater Manchester","0.2","3"
"Other inc Chinese","Hampshire","0.3","4"
"Other inc Chinese","Hereford and Worcester","0.2","1"
"Other inc Chinese","Hertfordshire","0.7","5"
"Other inc Chinese","Humberside","0.1","1"
"Other inc Chinese","Isle Of Wight","0.0","0"
"Other inc Chinese","Isles of Scilly","0.0","0"
"Other inc Chinese","Kent","0.7","5"
"Other inc Chinese","Lancashire","0.4","4"
"Other inc Chinese","Leicestershire","0.0","0"
"Other inc Chinese","Lincolnshire","0.0","0"
"Other inc Chinese","Merseyside","0.8","7"
"Other inc Chinese","Norfolk","0.0","0"
"Other inc Chinese","North West Fire Control","0.0","0"
"Other inc Chinese","North Yorkshire","0.0","0"
"Other inc Chinese","Northamptonshire","0.7","2"
"Other inc Chinese","Northumberland","0.0","0"
"Other inc Chinese","Nottinghamshire","0.0","0"
"Other inc Chinese","Oxfordshire","1.0","5"
"Other inc Chinese","Shropshire","0.3","1"
"Other inc Chinese","South Yorkshire","0.5","3"
"Other inc Chinese","Staffordshire","0.0","0"
"Other inc Chinese","Suffolk","0.2","1"
"Other inc Chinese","Surrey","0.0","0"
"Other inc Chinese","Tyne and Wear","0.3","2"
"Other inc Chinese","Warwickshire","0.0","0"
"Other inc Chinese","West Midlands","0.6","8"
"Other inc Chinese","West Sussex","0.4","2"
"Other inc Chinese","West Yorkshire","0.6","6"
"Unknown","Avon","N/A","60"
"Unknown","Bedfordshire","N/A","16"
"Unknown","Berkshire","N/A","1"
"Unknown","Buckinghamshire","N/A","35"
"Unknown","Cambridgeshire","N/A","12"
"Unknown","Cheshire","N/A","18"
"Unknown","Cleveland","N/A","0"
"Unknown","Cornwall","N/A","181"
"Unknown","Cumbria","N/A","166"
"Unknown","Derbyshire","N/A","25"
"Unknown","Devon and Somerset","N/A","94"
"Unknown","Dorset and Wiltshire","N/A","106"
"Unknown","Durham","N/A","72"
"Unknown","East Sussex","N/A","42"
"Unknown","Essex","N/A","561"
"Unknown","Gloucestershire","N/A","98"
"Unknown","Greater London","N/A","60"
"Unknown","Greater Manchester","N/A","160"
"Unknown","Hampshire","N/A","145"
"Unknown","Hereford and Worcester","N/A","28"
"Unknown","Hertfordshire","N/A","27"
"Unknown","Humberside","N/A","29"
"Unknown","Isle Of Wight","N/A","22"
"Unknown","Isles of Scilly","N/A","0"
"Unknown","Kent","N/A","462"
"Unknown","Lancashire","N/A","23"
"Unknown","Leicestershire","N/A","42"
"Unknown","Lincolnshire","N/A","11"
"Unknown","Merseyside","N/A","18"
"Unknown","Norfolk","N/A","73"
"Unknown","North West Fire Control","N/A","0"
"Unknown","North Yorkshire","N/A","92"
"Unknown","Northamptonshire","N/A","168"
"Unknown","Northumberland","N/A","34"
"Unknown","Nottinghamshire","N/A","33"
"Unknown","Oxfordshire","N/A","59"
"Unknown","Shropshire","N/A","121"
"Unknown","South Yorkshire","N/A","1"
"Unknown","Staffordshire","N/A","1"
"Unknown","Suffolk","N/A","183"
"Unknown","Surrey","N/A","20"
"Unknown","Tyne and Wear","N/A","27"
"Unknown","Warwickshire","N/A","78"
"Unknown","West Midlands","N/A","22"
"Unknown","West Sussex","N/A","109"
"Unknown","West Yorkshire","N/A","48"
