"Ethnicity","Local authority","%"
"Chinese","Hampshire","85"
"Chinese","Haringey","83"
"Chinese","Harrow","90"
"Chinese","Hartlepool","100"
"Chinese","Havering","92"
"Chinese","Herefordshire, County of","100"
"Chinese","Hertfordshire","79"
"Chinese","Hillingdon","82"
"Chinese","Hounslow","95"
"Chinese","Isle of Wight","100"
"Chinese","Isles of Scilly","!"
"Chinese","Islington","92"
"Chinese","Kensington and Chelsea","75"
"Chinese","Kent","90"
"Chinese","Kingston upon Hull, City of","67"
"Chinese","Kingston upon Thames","90"
"Chinese","Kirklees","76"
"Chinese","Knowsley","57"
"Chinese","Lambeth","91"
"Chinese","Lancashire","76"
"Chinese","Leeds","78"
"Chinese","Leicester","68"
"Chinese","Leicestershire","69"
"Chinese","Lewisham","87"
"Chinese","Lincolnshire","72"
"Chinese","Liverpool","74"
"Chinese","Luton","82"
"Chinese","Manchester","81"
"Chinese","Medway","75"
"Chinese","Merton","89"
"Chinese","Middlesbrough","88"
"Chinese","Milton Keynes","88"
"Chinese","Newcastle upon Tyne","69"
"Chinese","Newham","92"
"Chinese","Norfolk","81"
"Chinese","North East Lincolnshire","50"
"Chinese","North Lincolnshire","100"
"Chinese","North Somerset","60"
"Chinese","North Tyneside","93"
"Chinese","North Yorkshire","73"
"Chinese","Northamptonshire","83"
"Chinese","Northumberland","100"
"Chinese","Nottingham","84"
"Chinese","Nottinghamshire","89"
"Chinese","Oldham","88"
"Chinese","Oxfordshire","88"
"Chinese","Peterborough","92"
"Chinese","Plymouth","62"
"Chinese","Portsmouth","76"
"Chinese","Reading","67"
"Chinese","Redbridge","79"
"Chinese","Redcar and Cleveland","100"
"Chinese","Richmond upon Thames","91"
"Chinese","Rochdale","81"
"Chinese","Rotherham","88"
"Chinese","Rutland","100"
"Chinese","Salford","100"
"Chinese","Sandwell","87"
"Chinese","Sefton","90"
"Chinese","Sheffield","73"
"Chinese","Shropshire","50"
"Chinese","Slough","100"
"Chinese","Solihull","100"
"Chinese","Somerset","100"
"Chinese","South Gloucestershire","95"
"Chinese","South Tyneside","100"
"Chinese","Southampton","94"
"Chinese","Southend-on-Sea","83"
"Chinese","Southwark","83"
"Chinese","St. Helens","54"
"Chinese","Staffordshire","100"
"Chinese","Stockport","76"
"Chinese","Stockton-on-Tees","89"
"Chinese","Stoke-on-Trent","76"
"Chinese","Suffolk","86"
"Chinese","Sunderland","84"
"Chinese","Surrey","94"
"Chinese","Sutton","93"
