"Ethnicity","Geography","boys","girls"
"Black","Hounslow","59","81"
"Black","Isle of Wight","0","N/A"
"Black","Isles of Scilly","!","!"
"Black","Islington","62","74"
"Black","Kensington and Chelsea","56","80"
"Black","Kent","78","90"
"Black","Kingston upon Hull, City of","68","59"
"Black","Kingston upon Thames","55","77"
"Black","Kirklees","62","64"
"Black","Knowsley","56","75"
"Black","Lambeth","68","81"
"Black","Lancashire","67","77"
"Black","Leeds","57","66"
"Black","Leicester","57","69"
"Black","Leicestershire","66","78"
"Black","Lewisham","64","78"
"Black","Lincolnshire","67","87"
"Black","Liverpool","65","79"
"Black","Luton","59","81"
"Black","Manchester","66","80"
"Black","Medway","83","86"
"Black","Merton","67","76"
"Black","Middlesbrough","71","85"
"Black","Milton Keynes","66","74"
"Black","Newcastle upon Tyne","63","80"
"Black","Newham","71","85"
"Black","Norfolk","64","76"
"Black","North East Lincolnshire","50","80"
"Black","North Lincolnshire","75","40"
"Black","North Somerset","67","43"
"Black","North Tyneside","75","67"
"Black","North Yorkshire","58","91"
"Black","Northamptonshire","63","78"
"Black","Northumberland","100","100"
"Black","Nottingham","63","77"
"Black","Nottinghamshire","70","81"
"Black","Oldham","58","70"
"Black","Oxfordshire","60","74"
"Black","Peterborough","69","69"
"Black","Plymouth","71","67"
"Black","Poole","67","60"
"Black","Portsmouth","72","71"
"Black","Reading","63","71"
"Black","Redbridge","72","73"
"Black","Redcar and Cleveland","67","0"
"Black","Richmond upon Thames","79","72"
"Black","Rochdale","61","70"
"Black","Rotherham","48","81"
"Black","Rutland","100","67"
"Black","Salford","70","79"
"Black","Sandwell","65","75"
"Black","Sefton","50","60"
"Black","Sheffield","59","79"
"Black","Shropshire","67","80"
"Black","Slough","58","83"
"Black","Solihull","53","72"
"Black","Somerset","67","89"
"Black","South Gloucestershire","75","83"
"Black","South Tyneside","67","83"
"Black","Southampton","66","75"
"Black","Southend-on-Sea","74","85"
"Black","Southwark","67","80"
"Black","St. Helens","60","50"
"Black","Staffordshire","56","80"
"Black","Stockport","53","82"
"Black","Stockton-on-Tees","76","92"
"Black","Stoke-on-Trent","68","70"
"Black","Suffolk","63","81"
"Black","Sunderland","88","92"
"Black","Surrey","62","81"
"Black","Sutton","68","89"
"Black","Swindon","79","98"
"Black","Tameside","64","78"
"Black","Telford and Wrekin","66","81"
"Black","Thurrock","80","83"
"Black","Torbay","N/A","100"
"Black","Tower Hamlets","68","81"
"Black","Trafford","68","71"
"Black","Wakefield","70","72"
"Black","Walsall","58","77"
"Black","Waltham Forest","64","79"
"Black","Wandsworth","68","79"
"Black","Warrington","75","100"
"Black","Warwickshire","70","82"
"Black","West Berkshire","91","73"
"Black","West Sussex","53","63"
"Black","Westminster","70","74"
"Black","Wigan","33","84"
