"Ethnicity","Geography","%"
"Black","Knowsley","65"
"Black","Lambeth","74"
"Black","Lancashire","72"
"Black","Leeds","62"
"Black","Leicester","63"
"Black","Leicestershire","72"
"Black","Lewisham","71"
"Black","Lincolnshire","78"
"Black","Liverpool","72"
"Black","Luton","70"
"Black","Manchester","72"
"Black","Medway","85"
"Black","Merton","72"
"Black","Middlesbrough","78"
"Black","Milton Keynes","70"
"Black","Newcastle upon Tyne","72"
"Black","Newham","78"
"Black","Norfolk","71"
"Black","North East Lincolnshire","71"
"Black","North Lincolnshire","56"
"Black","North Somerset","54"
"Black","North Tyneside","71"
"Black","North Yorkshire","74"
"Black","Northamptonshire","70"
"Black","Northumberland","100"
"Black","Nottingham","69"
"Black","Nottinghamshire","76"
"Black","Oldham","65"
"Black","Oxfordshire","68"
"Black","Peterborough","69"
"Black","Plymouth","69"
"Black","Poole","64"
"Black","Portsmouth","71"
"Black","Reading","66"
"Black","Redbridge","72"
"Black","Redcar and Cleveland","50"
"Black","Richmond upon Thames","75"
"Black","Rochdale","66"
"Black","Rotherham","66"
"Black","Rutland","83"
"Black","Salford","74"
"Black","Sandwell","70"
"Black","Sefton","55"
"Black","Sheffield","69"
"Black","Shropshire","75"
"Black","Slough","69"
"Black","Solihull","62"
"Black","Somerset","80"
"Black","South Gloucestershire","79"
"Black","South Tyneside","78"
"Black","Southampton","70"
"Black","Southend-on-Sea","79"
"Black","Southwark","73"
"Black","St. Helens","57"
"Black","Staffordshire","66"
"Black","Stockport","69"
"Black","Stockton-on-Tees","81"
"Black","Stoke-on-Trent","69"
"Black","Suffolk","74"
"Black","Sunderland","90"
"Black","Surrey","73"
"Black","Sutton","77"
"Black","Swindon","89"
"Black","Tameside","71"
"Black","Telford and Wrekin","74"
"Black","Thurrock","81"
"Black","Torbay","100"
"Black","Tower Hamlets","75"
"Black","Trafford","69"
"Black","Wakefield","71"
"Black","Walsall","66"
"Black","Waltham Forest","71"
"Black","Wandsworth","73"
"Black","Warrington","83"
