"Ethnicity","Geography","Rate per 1,000","Number of arrests"
"Mixed","West Yorkshire","29","1,402"
"Mixed","Wiltshire","20","199"
"White","All","10","452,320"
"White","Avon and Somerset","9","12,901"
"White","Bedfordshire","6","2,687"
"White","Cambridgeshire","6","4,193"
"White","Cheshire","10","10,344"
"White","Cleveland","17","9,021"
"White","Cumbria","15","7,217"
"White","Derbyshire","9","8,656"
"White","Devon and Cornwall","6","9,348"
"White","Dorset","8","5,700"
"White","Durham","14","8,448"
"White","Dyfed-Powys","10","4,838"
"White","Essex","8","12,621"
"White","Gloucestershire","7","3,848"
"White","Greater Manchester","9","19,432"
"White","Gwent","11","6,137"
"White","Hampshire","8","14,260"
"White","Hertfordshire","5","4,878"
"White","Humberside","8","7,144"
"White","Kent","10","16,394"
"White","Lancashire","N/A","N/A"
"White","Leicestershire","10","8,128"
"White","Lincolnshire","11","7,876"
"White","London, City of","N/A","710"
"White","Merseyside","13","17,242"
"White","Metropolitan Police","10","49,426"
"White","Norfolk","7","5,732"
"White","North Wales","16","10,729"
"White","North Yorkshire","11","8,565"
"White","Northamptonshire","12","7,597"
"White","Northumbria","14","19,464"
"White","Nottinghamshire","10","9,980"
"White","South Wales","16","19,125"
"White","South Yorkshire","6","7,280"
"White","Staffordshire","10","9,865"
"White","Suffolk","6","4,286"
"White","Surrey","7","7,539"
"White","Sussex","8","12,118"
"White","Thames Valley","11","20,672"
"White","Warwickshire","3","1,343"
"White","West Mercia","2","1,934"
"White","West Midlands","12","22,667"
"White","West Yorkshire","14","25,475"
"White","Wiltshire","10","6,500"
"Other inc Chinese","All","12","11,148"
"Other inc Chinese","Avon and Somerset","9","135"
"Other inc Chinese","Bedfordshire","11","94"
"Other inc Chinese","Cambridgeshire","18","223"
"Other inc Chinese","Cheshire","18","94"
"Other inc Chinese","Cleveland","17","74"
"Other inc Chinese","Cumbria","35","56"
"Other inc Chinese","Derbyshire","16","116"
"Other inc Chinese","Devon and Cornwall","8","74"
"Other inc Chinese","Dorset","12","72"
"Other inc Chinese","Durham","16","48"
"Other inc Chinese","Dyfed-Powys","6","13"
"Other inc Chinese","Essex","12","186"
"Other inc Chinese","Gloucestershire","26","78"
"Other inc Chinese","Greater Manchester","8","416"
"Other inc Chinese","Gwent","43","152"
"Other inc Chinese","Hampshire","9","192"
"Other inc Chinese","Hertfordshire","15","235"
"Other inc Chinese","Humberside","10","72"
"Other inc Chinese","Kent","26","406"
"Other inc Chinese","Lancashire","N/A","N/A"
"Other inc Chinese","Leicestershire","12","224"
"Other inc Chinese","Lincolnshire","34","96"
"Other inc Chinese","London, City of","N/A","70"
"Other inc Chinese","Merseyside","13","273"
"Other inc Chinese","Metropolitan Police","11","4,655"
"Other inc Chinese","Norfolk","12","65"
"Other inc Chinese","North Wales","23","102"
"Other inc Chinese","North Yorkshire","26","161"
"Other inc Chinese","Northamptonshire","23","127"
"Other inc Chinese","Northumbria","3","51"
"Other inc Chinese","Nottinghamshire","12","178"
"Other inc Chinese","South Wales","13","250"
"Other inc Chinese","South Yorkshire","5","132"
"Other inc Chinese","Staffordshire","20","147"
"Other inc Chinese","Suffolk","21","96"
"Other inc Chinese","Surrey","10","183"
"Other inc Chinese","Sussex","10","163"
"Other inc Chinese","Thames Valley","10","322"
"Other inc Chinese","Warwickshire","5","24"
"Other inc Chinese","West Mercia","4","22"
"Other inc Chinese","West Midlands","10","620"
"Other inc Chinese","West Yorkshire","13","405"
"Other inc Chinese","Wiltshire","11","46"
