"Ethnicity","Local Authority","Rate","Number"
"Chinese","Bournemouth","0.00","0"
"Chinese","Bracknell Forest","0.00","0"
"Chinese","Bradford","0.00","0"
"Chinese","Brent","0.00","0"
"Chinese","Brighton and Hove","0.00","0"
"Chinese","Bristol City of","0.00","0"
"Chinese","Bromley","0.00","0"
"Chinese","Buckinghamshire","0.00","0"
"Chinese","Bury","0.75","1"
"Chinese","Calderdale","0.00","0"
"Chinese","Cambridgeshire","0.00","0"
"Chinese","Camden","0.00","0"
"Chinese","Central Bedfordshire","0.00","0"
"Chinese","Cheshire East","0.00","0"
"Chinese","Cheshire West and Chester","0.00","0"
"Chinese","City of London","0.00","0"
"Chinese","Cornwall","0.00","0"
"Chinese","Coventry","0.00","0"
"Chinese","Croydon","0.00","0"
"Chinese","Cumbria","0.00","0"
"Chinese","Darlington","0.00","0"
"Chinese","Derby","0.00","0"
"Chinese","Derbyshire","0.00","0"
"Chinese","Devon","0.00","0"
"Chinese","Doncaster","0.00","0"
"Chinese","Dorset","0.00","0"
"Chinese","Dudley","0.00","0"
"Chinese","Durham","0.00","0"
"Chinese","Ealing","0.00","0"
"Chinese","East Riding of Yorkshire","0.00","0"
"Chinese","East Sussex","0.00","0"
"Chinese","Enfield","0.00","0"
"Chinese","Essex","0.00","0"
"Chinese","Gateshead","0.00","0"
"Chinese","Gloucestershire","0.00","0"
"Chinese","Greenwich","0.00","0"
"Chinese","Hackney","0.00","0"
"Chinese","Halton","0.00","0"
"Chinese","Hammersmith and Fulham","0.00","0"
"Chinese","Hampshire","0.00","0"
"Chinese","Haringey","0.00","0"
"Chinese","Harrow","0.00","0"
"Chinese","Hartlepool","0.00","0"
"Chinese","Havering","0.00","0"
"Chinese","Herefordshire","0.00","0"
"Chinese","Hertfordshire","0.00","0"
"Chinese","Hillingdon","0.00","0"
"Chinese","Hounslow","0.00","0"
"Chinese","Isle of Wight","0.00","0"
"Chinese","Isles Of Scilly","0.00","0"
"Chinese","Islington","0.00","0"
"Chinese","Kensington and Chelsea","0.00","0"
"Chinese","Kent","0.00","0"
"Chinese","Kingston upon Hull City of","0.00","0"
"Chinese","Kingston upon Thames","0.00","0"
"Chinese","Kirklees","0.00","0"
"Chinese","Knowsley","0.00","0"
"Chinese","Lambeth","0.00","0"
"Chinese","Lancashire","0.00","0"
"Chinese","Leeds","0.00","0"
"Chinese","Leicester","0.00","0"
"Chinese","Leicestershire","0.00","0"
"Chinese","Lewisham","0.00","0"
"Chinese","Lincolnshire","0.00","0"
"Chinese","Liverpool","0.00","0"
"Chinese","Luton","0.00","0"
"Chinese","Manchester","0.00","0"
"Chinese","Medway","0.00","0"
"Chinese","Merton","0.00","0"
"Chinese","Middlesbrough","0.00","0"
"Chinese","Milton Keynes","0.00","0"
"Chinese","Newcastle upon Tyne","0.00","0"
"Chinese","Newham","0.00","0"
"Chinese","Norfolk","0.00","0"
"Chinese","North East Lincolnshire","0.00","0"
"Chinese","North Lincolnshire","0.00","0"
"Chinese","North Somerset","0.00","0"
"Chinese","North Tyneside","0.00","0"
"Chinese","North Yorkshire","0.00","0"
"Chinese","Northamptonshire","0.00","0"
"Chinese","Northumberland","0.00","0"
"Chinese","Nottingham","0.00","0"
"Chinese","Nottinghamshire","0.00","0"
"Chinese","Oldham","0.00","0"
"Chinese","Oxfordshire","0.00","0"
"Chinese","Peterborough","0.00","0"
"Chinese","Plymouth","0.00","0"
"Chinese","Poole","0.00","0"
"Chinese","Portsmouth","0.00","0"
"Chinese","Reading","0.00","0"
"Chinese","Redbridge","0.00","0"
"Chinese","Redcar and Cleveland","0.00","0"
"Chinese","Richmond upon Thames","0.00","0"
"Chinese","Rochdale","0.00","0"
"Chinese","Rotherham","0.00","0"
"Chinese","Rutland","0.00","0"
"Chinese","Salford","0.00","0"
"Chinese","Sandwell","0.00","0"
"Chinese","Sefton","0.00","0"
"Chinese","Sheffield","0.00","0"
"Chinese","Shropshire","0.00","0"
"Chinese","Slough","0.00","0"
"Chinese","Solihull","0.00","0"
