"Measure","Time","Time_Type","Ethnicity","Ethnicity_Type","Geography","Type of school","Value","Numerator","Denominator"
"Permanent exclusions","201718","Academic Year","Mixed White/Black African","ONS 18+1","England","special","0.11148272","1","897"
"Permanent exclusions","201718","Academic Year","Mixed White/Black African","ONS 18+1","England","State-funded primary","0.039468166","16","40539"
"Permanent exclusions","201718","Academic Year","Mixed White/Black African","ONS 18+1","England","State-funded secondary","0.321888412","69","21436"
"Permanent exclusions","201718","Academic Year","Mixed White/Black African","ONS 18+1","England","Total","0.136785851","86","62872"
"Permanent exclusions","201718","Academic Year","Mixed White/Black Caribbean","ONS 18+1","England","special","0.048239267","1","2073"
"Permanent exclusions","201718","Academic Year","Mixed White/Black Caribbean","ONS 18+1","England","State-funded primary","0.090509963","67","74025"
"Permanent exclusions","201718","Academic Year","Mixed White/Black Caribbean","ONS 18+1","England","State-funded secondary","0.58042579","268","46173"
"Permanent exclusions","201718","Academic Year","Mixed White/Black Caribbean","ONS 18+1","England","Total","0.274799421","336","122271"
"Permanent exclusions","201718","Academic Year","Other","ONS 5+1","England","special","0.051894136","1","1927"
"Permanent exclusions","201718","Academic Year","Other","ONS 5+1","England","State-funded primary","0.007577398","7","92380"
"Permanent exclusions","201718","Academic Year","Other","ONS 5+1","England","State-funded secondary","0.150042626","88","58650"
"Permanent exclusions","201718","Academic Year","Other","ONS 5+1","England","Total","0.062762737","96","152957"
"Permanent exclusions","201718","Academic Year","Pakistani","ONS 18+1","England","special","0.036456435","2","5486"
"Permanent exclusions","201718","Academic Year","Pakistani","ONS 18+1","England","State-funded primary","0.005746411","12","208826"
"Permanent exclusions","201718","Academic Year","Pakistani","ONS 18+1","England","State-funded secondary","0.135904965","193","142011"
"Permanent exclusions","201718","Academic Year","Pakistani","ONS 18+1","England","Total","0.058093359","207","356323"
"Permanent exclusions","201718","Academic Year","Total","ONS 5+1","England","special","0.070308","83","118052"
"Permanent exclusions","201718","Academic Year","Total","ONS 5+1","England","State-funded primary","0.025656009","1210","4716244"
"Permanent exclusions","201718","Academic Year","Total","ONS 5+1","England","State-funded secondary","0.202918503","6612","3258451"
"Permanent exclusions","201718","Academic Year","Total","ONS 5+1","England","Total","0.097680058","7905","8092747"
"Permanent exclusions","201718","Academic Year","Unclassified","ONS 18+1","England","special","0.058377116","1","1713"
"Permanent exclusions","201718","Academic Year","Unclassified","ONS 18+1","England","State-funded primary","0.016900048","7","41420"
"Permanent exclusions","201718","Academic Year","Unclassified","ONS 18+1","England","State-funded secondary","0.316638455","159","50215"
"Permanent exclusions","201718","Academic Year","Unclassified","ONS 18+1","England","Total","0.178900458","167","93348"
"Permanent exclusions","201718","Academic Year","White","ONS 5+1","England","special","0.067371594","59","87574"
"Permanent exclusions","201718","Academic Year","White","ONS 5+1","England","State-funded primary","0.027946746","974","3485200"
"Permanent exclusions","201718","Academic Year","White","ONS 5+1","England","State-funded secondary","0.203240511","4912","2416841"
"Permanent exclusions","201718","Academic Year","White","ONS 5+1","England","Total","0.099255127","5945","5989615"
"Permanent exclusions","201718","Academic Year","White British","ONS 18+1","England","special","0.07048244","58","82290"
"Permanent exclusions","201718","Academic Year","White British","ONS 18+1","England","State-funded primary","0.029430049","917","3115863"
"Permanent exclusions","201718","Academic Year","White British","ONS 18+1","England","State-funded secondary","0.204369604","4542","2222444"
"Permanent exclusions","201718","Academic Year","White British","ONS 18+1","England","Total","0.101778457","5517","5420597"
"Permanent exclusions","201718","Academic Year","White Irish","ONS 18+1","England","special","0","0","318"
"Permanent exclusions","201718","Academic Year","White Irish","ONS 18+1","England","State-funded primary","0.041233713","5","12126"
"Permanent exclusions","201718","Academic Year","White Irish","ONS 18+1","England","State-funded secondary","0.27653285","29","10487"
"Permanent exclusions","201718","Academic Year","White Irish","ONS 18+1","England","Total","0.1482709","34","22931"
"Permanent exclusions","201718","Academic Year","White other","ONS 18+1","England","special","0.022701476","1","4405"
"Permanent exclusions","201718","Academic Year","White other","ONS 18+1","England","State-funded primary","0.008068854","27","334620"
"Permanent exclusions","201718","Academic Year","White other","ONS 18+1","England","State-funded secondary","0.145356323","254","174743"
