"Measure","Ethnicity","Ethnicity_type","Time","Time_type","Geography","Geography_type","Geography_code","Gender","Age","Value","Value_type","Numerator","Denominator","Lower 95% C.I.","Upper 95% C.I."
"Percentage of children who are overweight (including obese)","White and Black African","ONS 2001 16+1","2015/16","Year","England","Country","E92000001","Persons","4-5 yrs","26.7150726089134","%","1067","3994","25.3656852565307","28.1092081538579"
"Percentage of children who are overweight (including obese)","White and Asian","ONS 2001 16+1","2015/16","Year","England","Country","E92000001","Persons","4-5 yrs","16.2417951457793","%","1064","6551","15.3684705124328","17.1546877090667"
"Percentage of children who are overweight (including obese)","Any other mixed background","ONS 2001 16+1","2015/16","Year","England","Country","E92000001","Persons","4-5 yrs","21.9689028651293","%","2515","11448","21.2199345092864","22.7366769834742"
"Percentage of children who are overweight (including obese)","Indian","ONS 2001 16+1","2015/16","Year","England","Country","E92000001","Persons","4-5 yrs","14.5206414193108","%","2128","14655","13.9595390751100","15.1003390249933"
"Percentage of children who are overweight (including obese)","Pakistani","ONS 2001 16+1","2015/16","Year","England","Country","E92000001","Persons","4-5 yrs","19.2368623545920","%","4250","22093","18.7224781340077","19.7619427035509"
"Percentage of children who are overweight (including obese)","Bangladeshi","ONS 2001 16+1","2015/16","Year","England","Country","E92000001","Persons","4-5 yrs","20.3422296003065","%","1593","7831","19.4653063079006","21.2482355753174"
"Percentage of children who are overweight (including obese)","Any other Asian background","ONS 2001 16+1","2015/16","Year","England","Country","E92000001","Persons","4-5 yrs","19.5767747315751","%","1878","9593","18.7949968284255","20.3829084746253"
"Percentage of children who are overweight (including obese)","Black Caribbean","ONS 2001 16+1","2015/16","Year","England","Country","E92000001","Persons","4-5 yrs","25.2441304799501","%","1215","4813","24.0369258620534","26.4908209950452"
"Percentage of children who are overweight (including obese)","Black African","ONS 2001 16+1","2015/16","Year","England","Country","E92000001","Persons","4-5 yrs","31.2037273423538","%","4889","15668","30.4829263448845","31.9337429694616"
"Percentage of children who are overweight (including obese)","Any other Black background","ONS 2001 16+1","2015/16","Year","England","Country","E92000001","Persons","4-5 yrs","28.3687943262411","%","1640","5781","27.2214235057630","29.5448938116029"
"Percentage of children who are overweight (including obese)","Chinese","ONS 2001 16+1","2015/16","Year","England","Country","E92000001","Persons","4-5 yrs","17.0883450850270","%","412","2411","15.6385077881519","18.6428921686377"
"Percentage of children who are overweight (including obese)","Any other ethnic group","ONS 2001 16+1","2015/16","Year","England","Country","E92000001","Persons","4-5 yrs","23.8130426750416","%","2578","10826","23.0200737286294","24.6245892005597"
"Percentage of children who are overweight (including obese)","Unknown","ONS 2001 16+1","2015/16","Year","England","Country","E92000001","Persons","4-5 yrs","21.9694937149103","%","22109","100635","21.7147573150689","22.2263700049583"
"Percentage of children who are overweight (including obese)","All","All","2016/17","Year","England","Country","E92000001","Persons","4-5 yrs","22.6292148042690","%","142419","629359","22.5260054799634","22.7327582561638"
"Percentage of children who are overweight (including obese)","White British","ONS 2001 16+1","2016/17","Year","England","Country","E92000001","Persons","4-5 yrs","22.8680607508470","%","82226","359567","22.7310765088886","23.0056247184989"
"Percentage of children who are overweight (including obese)","White Irish","ONS 2001 16+1","2016/17","Year","England","Country","E92000001","Persons","4-5 yrs","26.5655899802240","%","403","1517","24.4041841098954","28.8453807363681"
"Percentage of children who are overweight (including obese)","Any other White background","ONS 2001 16+1","2016/17","Year","England","Country","E92000001","Persons","4-5 yrs","20.8946383301340","%","8819","42207","20.5094345980381","21.2851396135066"
"Percentage of children who are overweight (including obese)","White and Black Caribbean","ONS 2001 16+1","2016/17","Year","England","Country","E92000001","Persons","4-5 yrs","25.8904837852200","%","1948","7524","24.9132009769935","26.8923727742186"
"Percentage of children who are overweight (including obese)","White and Black African","ONS 2001 16+1","2016/17","Year","England","Country","E92000001","Persons","4-5 yrs","28.3380018674130","%","1214","4284","27.0084373398647","29.7063801779503"
"Percentage of children who are overweight (including obese)","White and Asian","ONS 2001 16+1","2016/17","Year","England","Country","E92000001","Persons","4-5 yrs","15.7188321571880","%","1136","7227","14.8979102357502","16.5761785239847"
"Percentage of children who are overweight (including obese)","Any other mixed background","ONS 2001 16+1","2016/17","Year","England","Country","E92000001","Persons","4-5 yrs","21.7394695787830","%","2787","12820","21.0339891003309","22.4618812809077"
"Percentage of children who are overweight (including obese)","Indian","ONS 2001 16+1","2016/17","Year","England","Country","E92000001","Persons","4-5 yrs","14.9325101386110","%","2467","16521","14.3971909436393","15.4841333106959"
"Percentage of children who are overweight (including obese)","Pakistani","ONS 2001 16+1","2016/17","Year","England","Country","E92000001","Persons","4-5 yrs","20.1733882962900","%","4747","23531","19.6655425742321","20.6909708760196"
"Percentage of children who are overweight (including obese)","Bangladeshi","ONS 2001 16+1","2016/17","Year","England","Country","E92000001","Persons","4-5 yrs","21.3866039952990","%","1820","8510","20.5284461007433","22.2705827095602"
"Percentage of children who are overweight (including obese)","Any other Asian background","ONS 2001 16+1","2016/17","Year","England","Country","E92000001","Persons","4-5 yrs","19.2771084337340","%","1952","10126","18.5204854505780","20.0570330102039"
"Percentage of children who are overweight (including obese)","Black Caribbean","ONS 2001 16+1","2016/17","Year","England","Country","E92000001","Persons","4-5 yrs","25.2527336496800","%","1224","4847","24.0495545954506","26.4951082148617"
"Percentage of children who are overweight (including obese)","Black African","ONS 2001 16+1","2016/17","Year","England","Country","E92000001","Persons","4-5 yrs","31.0563891577920","%","5133","16528","30.3554186938601","31.7661633719024"
"Percentage of children who are overweight (including obese)","Any other Black background","ONS 2001 16+1","2016/17","Year","England","Country","E92000001","Persons","4-5 yrs","27.8727770177830","%","1630","5848","26.7384183043412","29.0361866946326"
"Percentage of children who are overweight (including obese)","Chinese","ONS 2001 16+1","2016/17","Year","England","Country","E92000001","Persons","4-5 yrs","15.7765284609970","%","449","2846","14.4835451292932","17.1617752106711"
"Percentage of children who are overweight (including obese)","Any other ethnic group","ONS 2001 16+1","2016/17","Year","England","Country","E92000001","Persons","4-5 yrs","22.8516253620850","%","2840","12428","22.1218885173768","23.5981399888685"
"Percentage of children who are overweight (including obese)","Unknown","ONS 2001 16+1","2016/17","Year","England","Country","E92000001","Persons","4-5 yrs","23.2446145246590","%","21624","93028","22.9742932818028","23.5171453273844"
"Percentage of children who are overweight (including obese)","All","All","2017/18","Year","England","Country","E92000001","Persons","4-5 yrs","22.3751914618264","%","136586","610435","22.2708183168629","22.4799122896607"
"Percentage of children who are overweight (including obese)","White British","ONS 2001 16+1","2017/18","Year","England","Country","E92000001","Persons","4-5 yrs","22.6720123041829","%","78717","347199","22.5330403878774","22.8115889352364"
"Percentage of children who are overweight (including obese)","White Irish","ONS 2001 16+1","2017/18","Year","England","Country","E92000001","Persons","4-5 yrs","23.7084217975938","%","335","1413","21.5640512628790","25.9953601748386"
"Percentage of children who are overweight (including obese)","Any other White background","ONS 2001 16+1","2017/18","Year","England","Country","E92000001","Persons","4-5 yrs","20.6932945563712","%","8823","42637","20.3114178187783","21.0804517011175"
"Percentage of children who are overweight (including obese)","White and Black Caribbean","ONS 2001 16+1","2017/18","Year","England","Country","E92000001","Persons","4-5 yrs","25.4152823920266","%","1836","7224","24.4245347819468","26.4321626119173"
"Percentage of children who are overweight (including obese)","White and Black African","ONS 2001 16+1","2017/18","Year","England","Country","E92000001","Persons","4-5 yrs","27.7229993120844","%","1209","4361","26.4145024435583","29.0707077678347"
"Percentage of children who are overweight (including obese)","White and Asian","ONS 2001 16+1","2017/18","Year","England","Country","E92000001","Persons","4-5 yrs","15.4727793696275","%","1134","7329","14.6629282879674","16.3188060312424"
"Percentage of children who are overweight (including obese)","Any other mixed background","ONS 2001 16+1","2017/18","Year","England","Country","E92000001","Persons","4-5 yrs","20.4575803436304","%","2298","11233","19.7217593281953","21.2136002715427"
"Percentage of children who are overweight (including obese)","Indian","ONS 2001 16+1","2017/18","Year","England","Country","E92000001","Persons","4-5 yrs","13.8065856191582","%","2260","16369","13.2866047766765","14.3435501368649"
"Percentage of children who are overweight (including obese)","Pakistani","ONS 2001 16+1","2017/18","Year","England","Country","E92000001","Persons","4-5 yrs","20.4239336902089","%","4731","23164","19.9096962489711","20.9479791440758"
"Percentage of children who are overweight (including obese)","Bangladeshi","ONS 2001 16+1","2017/18","Year","England","Country","E92000001","Persons","4-5 yrs","20.7067722491431","%","1752","8461","19.8567601835959","21.5833716355935"
"Percentage of children who are overweight (including obese)","Any other Asian background","ONS 2001 16+1","2017/18","Year","England","Country","E92000001","Persons","4-5 yrs","19.6661007357102","%","2085","10602","18.9205512423511","20.4336242375150"
"Percentage of children who are overweight (including obese)","Black Caribbean","ONS 2001 16+1","2017/18","Year","England","Country","E92000001","Persons","4-5 yrs","25.1754199447161","%","1184","4703","23.9555942672461","26.4357664694922"
"Percentage of children who are overweight (including obese)","Black African","ONS 2001 16+1","2017/18","Year","England","Country","E92000001","Persons","4-5 yrs","30.8314662683595","%","4954","16068","30.1220847441938","31.5500110403299"
"Percentage of children who are overweight (including obese)","Any other Black background","ONS 2001 16+1","2017/18","Year","England","Country","E92000001","Persons","4-5 yrs","28.1334885525805","%","1450","5154","26.9225394401810","29.3770091598381"
"Percentage of children who are overweight (including obese)","Chinese","ONS 2001 16+1","2017/18","Year","England","Country","E92000001","Persons","4-5 yrs","18.2697947214076","%","623","3410","17.0087696569359","19.6022292396693"
"Percentage of children who are overweight (including obese)","Any other ethnic group","ONS 2001 16+1","2017/18","Year","England","Country","E92000001","Persons","4-5 yrs","23.4764605275002","%","2608","11109","22.6975334671858","24.2737247673812"
"Percentage of children who are overweight (including obese)","Unknown","ONS 2001 16+1","2017/18","Year","England","Country","E92000001","Persons","4-5 yrs","22.8746986077623","%","20587","89999","22.6014461566371","23.1502665575231"
"Percentage of children who are overweight (including obese)","All","All","2014/15","Year","England","Country","E92000001","Persons","10-11 yrs","33.2397128889374","%","176577","531223","33.1131575995823","33.3665105755049"
"Percentage of children who are overweight (including obese)","White British","ONS 2001 16+1","2014/15","Year","England","Country","E92000001","Persons","10-11 yrs","31.3166395293870","%","95398","304624","31.1521813960577","31.4815688695472"
"Percentage of children who are overweight (including obese)","White Irish","ONS 2001 16+1","2014/15","Year","England","Country","E92000001","Persons","10-11 yrs","31.7818181818182","%","437","1375","29.3743416221656","34.2908066227604"
"Percentage of children who are overweight (including obese)","Any other White background","ONS 2001 16+1","2014/15","Year","England","Country","E92000001","Persons","10-11 yrs","35.1130678407044","%","8773","24985","34.5235341178930","35.7071786093905"
"Percentage of children who are overweight (including obese)","White and Black Caribbean","ONS 2001 16+1","2014/15","Year","England","Country","E92000001","Persons","10-11 yrs","39.4754206532498","%","2393","6062","38.2519920521768","40.7121795526631"
"Percentage of children who are overweight (including obese)","White and Black African","ONS 2001 16+1","2014/15","Year","England","Country","E92000001","Persons","10-11 yrs","39.5608628659476","%","1027","2596","37.6966188648402","41.4559560677153"
"Percentage of children who are overweight (including obese)","White and Asian","ONS 2001 16+1","2014/15","Year","England","Country","E92000001","Persons","10-11 yrs","29.4131292043609","%","1268","4311","28.0717743501623","30.7911406157764"
"Percentage of children who are overweight (including obese)","Any other mixed background","ONS 2001 16+1","2014/15","Year","England","Country","E92000001","Persons","10-11 yrs","35.1990692864529","%","2723","7736","34.1423981904452","36.2704324575236"
"Percentage of children who are overweight (including obese)","Indian","ONS 2001 16+1","2014/15","Year","England","Country","E92000001","Persons","10-11 yrs","35.0543710934155","%","4094","11679","34.1940646822320","35.9245061097712"
"Percentage of children who are overweight (including obese)","Pakistani","ONS 2001 16+1","2014/15","Year","England","Country","E92000001","Persons","10-11 yrs","39.1398645789251","%","7399","18904","38.4463975765913","39.8377444343176"
"Percentage of children who are overweight (including obese)","Bangladeshi","ONS 2001 16+1","2014/15","Year","England","Country","E92000001","Persons","10-11 yrs","43.0382746770944","%","3632","8439","41.9852943790905","44.0975900890003"
"Percentage of children who are overweight (including obese)","Any other Asian background","ONS 2001 16+1","2014/15","Year","England","Country","E92000001","Persons","10-11 yrs","38.6162408297496","%","3053","7906","37.5488139298724","39.6947249024676"
"Percentage of children who are overweight (including obese)","Black Caribbean","ONS 2001 16+1","2014/15","Year","England","Country","E92000001","Persons","10-11 yrs","43.1459254579912","%","2732","6332","41.9305324083301","44.3696298409702"
"Percentage of children who are overweight (including obese)","Black African","ONS 2001 16+1","2014/15","Year","England","Country","E92000001","Persons","10-11 yrs","44.7726471624956","%","6351","14185","43.9558637294337","45.5922610818554"
"Percentage of children who are overweight (including obese)","Any other Black background","ONS 2001 16+1","2014/15","Year","England","Country","E92000001","Persons","10-11 yrs","43.3935166187936","%","2115","4874","42.0078614147825","44.7895774639362"
"Percentage of children who are overweight (including obese)","Chinese","ONS 2001 16+1","2014/15","Year","England","Country","E92000001","Persons","10-11 yrs","29.8212005108557","%","467","1566","27.6070340267899","32.1341234990933"
"Percentage of children who are overweight (including obese)","Any other ethnic group","ONS 2001 16+1","2014/15","Year","England","Country","E92000001","Persons","10-11 yrs","39.0779363336992","%","3560","9110","38.0807998602543","40.0842800460457"
"Percentage of children who are overweight (including obese)","Unknown","ONS 2001 16+1","2014/15","Year","England","Country","E92000001","Persons","10-11 yrs","32.2719315509794","%","31155","96539","31.9777292490487","32.5675446596336"
"Percentage of children who are overweight (including obese)","All","All","2015/16","Year","England","Country","E92000001","Persons","10-11 yrs","34.1661540721427","%","186074","544615","34.0403080936250","34.2922234181331"
"Percentage of children who are overweight (including obese)","White British","ONS 2001 16+1","2015/16","Year","England","Country","E92000001","Persons","10-11 yrs","31.8858190771105","%","100499","315184","31.7233421845289","32.0487375151513"
"Percentage of children who are overweight (including obese)","White Irish","ONS 2001 16+1","2015/16","Year","England","Country","E92000001","Persons","10-11 yrs","32.8260869565217","%","453","1380","30.3992153389499","35.3483060278444"
"Percentage of children who are overweight (including obese)","Any other White background","ONS 2001 16+1","2015/16","Year","England","Country","E92000001","Persons","10-11 yrs","36.2227946391907","%","9703","26787","35.6492225855485","36.8003176375719"
"Percentage of children who are overweight (including obese)","White and Black Caribbean","ONS 2001 16+1","2015/16","Year","England","Country","E92000001","Persons","10-11 yrs","39.4495412844037","%","2408","6104","38.2304596931335","40.6818940625469"
"Percentage of children who are overweight (including obese)","White and Black African","ONS 2001 16+1","2015/16","Year","England","Country","E92000001","Persons","10-11 yrs","40.3011204481793","%","1151","2856","38.5163947919056","42.1119019868798"
"Percentage of children who are overweight (including obese)","White and Asian","ONS 2001 16+1","2015/16","Year","England","Country","E92000001","Persons","10-11 yrs","30.1160659743433","%","1479","4911","28.8489430298228","31.4142716361368"
"Percentage of children who are overweight (including obese)","Any other mixed background","ONS 2001 16+1","2015/16","Year","England","Country","E92000001","Persons","10-11 yrs","36.6950321987120","%","3191","8696","35.6881104127611","37.7137037357731"
"Percentage of children who are overweight (including obese)","Indian","ONS 2001 16+1","2015/16","Year","England","Country","E92000001","Persons","10-11 yrs","36.3147728227093","%","4324","11907","35.4555250581807","37.1828480469662"
"Percentage of children who are overweight (including obese)","Pakistani","ONS 2001 16+1","2015/16","Year","England","Country","E92000001","Persons","10-11 yrs","40.5570949394779","%","8343","20571","39.8879472053780","41.2297687790898"
"Percentage of children who are overweight (including obese)","Bangladeshi","ONS 2001 16+1","2015/16","Year","England","Country","E92000001","Persons","10-11 yrs","42.7164857359253","%","3384","7922","41.6309848125729","43.8090469367916"
"Percentage of children who are overweight (including obese)","Any other Asian background","ONS 2001 16+1","2015/16","Year","England","Country","E92000001","Persons","10-11 yrs","38.2231160534721","%","3231","8453","37.1927850350712","39.2641461998956"
"Percentage of children who are overweight (including obese)","Black Caribbean","ONS 2001 16+1","2015/16","Year","England","Country","E92000001","Persons","10-11 yrs","45.3139053786652","%","2519","5559","44.0089982179568","46.6252845697743"
"Percentage of children who are overweight (including obese)","Black African","ONS 2001 16+1","2015/16","Year","England","Country","E92000001","Persons","10-11 yrs","45.9470636889992","%","6666","14508","45.1373141550503","46.7589589448381"
"Percentage of children who are overweight (including obese)","Any other Black background","ONS 2001 16+1","2015/16","Year","England","Country","E92000001","Persons","10-11 yrs","41.6495901639344","%","2439","5856","40.3928399533628","42.9172887101382"
"Percentage of children who are overweight (including obese)","Chinese","ONS 2001 16+1","2015/16","Year","England","Country","E92000001","Persons","10-11 yrs","30.1886792452830","%","496","1643","28.0171982433899","32.4525848973514"
"Percentage of children who are overweight (including obese)","Any other ethnic group","ONS 2001 16+1","2015/16","Year","England","Country","E92000001","Persons","10-11 yrs","40.5892654785207","%","3940","9707","39.6162889323170","41.5696875070319"
"Percentage of children who are overweight (including obese)","Unknown","ONS 2001 16+1","2015/16","Year","England","Country","E92000001","Persons","10-11 yrs","34.4038629808471","%","31848","92571","34.0984933246437","34.7105269826239"
"Percentage of children who are overweight (including obese)","All","All","2016/17","Year","England","Country","E92000001","Persons","10-11 yrs","34.2480573346840","%","190574","556452","34.1234836727890","34.3728484817237"
"Percentage of children who are overweight (including obese)","White British","ONS 2001 16+1","2016/17","Year","England","Country","E92000001","Persons","10-11 yrs","31.6387043501100","%","101154","319716","31.4777200800252","31.8001298449943"
"Percentage of children who are overweight (including obese)","White Irish","ONS 2001 16+1","2016/17","Year","England","Country","E92000001","Persons","10-11 yrs","33.2595870206480","%","451","1356","30.8023013127406","35.8114537648799"
"Percentage of children who are overweight (including obese)","Any other White background","ONS 2001 16+1","2016/17","Year","England","Country","E92000001","Persons","10-11 yrs","35.9968740842040","%","11055","30711","35.4618294586710","36.5354214093512"
"Percentage of children who are overweight (including obese)","White and Black Caribbean","ONS 2001 16+1","2016/17","Year","England","Country","E92000001","Persons","10-11 yrs","40.1279850163880","%","2571","6407","38.9340379985003","41.3337629114994"
"Percentage of children who are overweight (including obese)","White and Black African","ONS 2001 16+1","2016/17","Year","England","Country","E92000001","Persons","10-11 yrs","39.6121883656500","%","1287","3249","37.9436511223585","41.3052606815560"
"Percentage of children who are overweight (including obese)","White and Asian","ONS 2001 16+1","2016/17","Year","England","Country","E92000001","Persons","10-11 yrs","29.6185489902760","%","1584","5348","28.4098628069142","30.8564940765751"
"Percentage of children who are overweight (including obese)","Any other mixed background","ONS 2001 16+1","2016/17","Year","England","Country","E92000001","Persons","10-11 yrs","34.2295977313300","%","3259","9521","33.2830631129014","35.1888530551409"
"Percentage of children who are overweight (including obese)","Indian","ONS 2001 16+1","2016/17","Year","England","Country","E92000001","Persons","10-11 yrs","36.7387332521310","%","4826","13136","35.9183034464583","37.5669169733088"
"Percentage of children who are overweight (including obese)","Pakistani","ONS 2001 16+1","2016/17","Year","England","Country","E92000001","Persons","10-11 yrs","40.5716963448920","%","8658","21340","39.9146419425430","41.2321445543373"
"Percentage of children who are overweight (including obese)","Bangladeshi","ONS 2001 16+1","2016/17","Year","England","Country","E92000001","Persons","10-11 yrs","44.3394051187450","%","3846","8674","43.2966797878029","45.3871420513120"
"Percentage of children who are overweight (including obese)","Any other Asian background","ONS 2001 16+1","2016/17","Year","England","Country","E92000001","Persons","10-11 yrs","40.8311051693400","%","3665","8976","39.8184060135859","41.8516489918726"
"Percentage of children who are overweight (including obese)","Black Caribbean","ONS 2001 16+1","2016/17","Year","England","Country","E92000001","Persons","10-11 yrs","45.3502312039730","%","2648","5839","44.0767871322485","46.6297893883298"
"Percentage of children who are overweight (including obese)","Black African","ONS 2001 16+1","2016/17","Year","England","Country","E92000001","Persons","10-11 yrs","46.2217985382900","%","7273","15735","45.4438083842441","47.0016330219074"
"Percentage of children who are overweight (including obese)","Any other Black background","ONS 2001 16+1","2016/17","Year","England","Country","E92000001","Persons","10-11 yrs","43.9161063080370","%","2743","6246","42.6894450109955","45.1502465234734"
"Percentage of children who are overweight (including obese)","Chinese","ONS 2001 16+1","2016/17","Year","England","Country","E92000001","Persons","10-11 yrs","33.8674033149170","%","613","1810","31.7233555913029","36.0797841396795"
"Percentage of children who are overweight (including obese)","Any other ethnic group","ONS 2001 16+1","2016/17","Year","England","Country","E92000001","Persons","10-11 yrs","40.7004389173370","%","4451","10936","39.7831051972472","41.6243036061148"
"Percentage of children who are overweight (including obese)","Unknown","ONS 2001 16+1","2016/17","Year","England","Country","E92000001","Persons","10-11 yrs","34.8648401408770","%","30490","87452","34.5496728787837","35.1813370132626"
"Percentage of children who are overweight (including obese)","All","All","2017/18","Year","England","Country","E92000001","Persons","10-11 yrs","34.3213533735479","%","197888","576574","34.1989077098404","34.4440079557085"
"Percentage of children who are overweight (including obese)","White British","ONS 2001 16+1","2017/18","Year","England","Country","E92000001","Persons","10-11 yrs","31.8607338130805","%","105063","329757","31.7019163683068","32.0199738747046"
"Percentage of children who are overweight (including obese)","White Irish","ONS 2001 16+1","2017/18","Year","England","Country","E92000001","Persons","10-11 yrs","31.7189631650750","%","465","1466","29.3871071258305","34.1463748845319"
"Percentage of children who are overweight (including obese)","Any other White background","ONS 2001 16+1","2017/18","Year","England","Country","E92000001","Persons","10-11 yrs","35.7973421926910","%","12930","36120","35.3044790129878","36.2932260325958"
"Percentage of children who are overweight (including obese)","White and Black Caribbean","ONS 2001 16+1","2017/18","Year","England","Country","E92000001","Persons","10-11 yrs","40.3004667444574","%","2763","6856","39.1451541209060","41.4666426970827"
"Percentage of children who are overweight (including obese)","White and Black African","ONS 2001 16+1","2017/18","Year","England","Country","E92000001","Persons","10-11 yrs","41.4667026152602","%","1538","3709","39.8908102556384","43.0602527773342"
"Percentage of children who are overweight (including obese)","White and Asian","ONS 2001 16+1","2017/18","Year","England","Country","E92000001","Persons","10-11 yrs","29.7219396405561","%","1753","5898","28.5690520772673","30.9012248407107"
"Percentage of children who are overweight (including obese)","Any other mixed background","ONS 2001 16+1","2017/18","Year","England","Country","E92000001","Persons","10-11 yrs","35.0897645138727","%","3010","8578","34.0866875485491","36.1061899093442"
"Percentage of children who are overweight (including obese)","Indian","ONS 2001 16+1","2017/18","Year","England","Country","E92000001","Persons","10-11 yrs","36.5132938421270","%","5301","14518","35.7337763467367","37.2999466070324"
"Percentage of children who are overweight (including obese)","Pakistani","ONS 2001 16+1","2017/18","Year","England","Country","E92000001","Persons","10-11 yrs","40.2304964539007","%","9076","22560","39.5923351329279","40.8719842603604"
"Percentage of children who are overweight (including obese)","Bangladeshi","ONS 2001 16+1","2017/18","Year","England","Country","E92000001","Persons","10-11 yrs","43.8648293963255","%","4011","9144","42.8505343495544","44.8842771352017"
"Percentage of children who are overweight (including obese)","Any other Asian background","ONS 2001 16+1","2017/18","Year","England","Country","E92000001","Persons","10-11 yrs","38.8117055867573","%","3939","10149","37.8680133860745","39.7638642591046"
"Percentage of children who are overweight (including obese)","Black Caribbean","ONS 2001 16+1","2017/18","Year","England","Country","E92000001","Persons","10-11 yrs","44.1748408191361","%","2567","5811","42.9022979975672","45.4550801907402"
"Percentage of children who are overweight (including obese)","Black African","ONS 2001 16+1","2017/18","Year","England","Country","E92000001","Persons","10-11 yrs","46.0391646453292","%","7782","16903","45.2887523458202","46.7913768535850"
"Percentage of children who are overweight (including obese)","Any other Black background","ONS 2001 16+1","2017/18","Year","England","Country","E92000001","Persons","10-11 yrs","43.0379746835443","%","2652","6162","41.8064401695372","44.2781841963299"
