"Measure","Year","Ethnicity","Sex","Threshold","Mean","Value","Upper Confidence Interval","Lower Confidence Interval","Sample Size"
"Life Satisfaction","2012","Other","All","All","7.13","N/A","7.26","6.99","1280"
"Life Satisfaction","2013","Other","All","All","7.36","N/A","7.49","7.22","1350"
"Life Satisfaction","2014","Other","All","All","7.5","N/A","7.61","7.39","1350"
"Life Satisfaction","2015","Other","All","All","7.48","N/A","7.61","7.35","1310"
"Life Satisfaction","2016","Other","All","All","7.64","N/A","7.77","7.52","1220"
"Life Satisfaction","2017","Other","All","All","7.59","N/A","7.73","7.46","1270"
"Life Satisfaction","2018","Other","All","All","7.54","N/A","7.66","7.42","1130"
"Life Satisfaction","2012","Pakistani","All","All","7.28","N/A","7.42","7.14","1560"
"Life Satisfaction","2013","Pakistani","All","All","7.37","N/A","7.5","7.24","1540"
"Life Satisfaction","2014","Pakistani","All","All","7.47","N/A","7.59","7.36","1660"
"Life Satisfaction","2015","Pakistani","All","All","7.64","N/A","7.75","7.52","1540"
"Life Satisfaction","2016","Pakistani","All","All","7.68","N/A","7.81","7.56","1560"
"Life Satisfaction","2017","Pakistani","All","All","7.73","N/A","7.85","7.62","1610"
"Life Satisfaction","2018","Pakistani","All","All","7.67","N/A","7.8","7.55","1600"
"Life Satisfaction","2012","White","All","All","7.48","N/A","7.49","7.47","153390"
"Life Satisfaction","2013","White","All","All","7.52","N/A","7.53","7.5","153220"
"Life Satisfaction","2014","White","All","All","7.6","N/A","7.62","7.59","152250"
"Life Satisfaction","2015","White","All","All","7.67","N/A","7.68","7.66","148100"
"Life Satisfaction","2016","White","All","All","7.69","N/A","7.7","7.67","137810"
"Life Satisfaction","2017","White","All","All","7.71","N/A","7.72","7.69","138800"
"Life Satisfaction","2018","White","All","All","7.72","N/A","7.74","7.71","135130"
"Life Satisfaction","2012","White","All","Low","N/A","5.71","5.86","5.55","-"
"Life Satisfaction","2012","White Gypsy / Traveller ","All","Low","N/A","?","?","?","-"
"Life Satisfaction","2012","Mixed","All","Low","N/A","7.04","8.92","5.16","-"
"Life Satisfaction","2012","Indian","All","Low","N/A","4.88","5.79","3.97","-"
"Life Satisfaction","2012","Pakistani","All","Low","N/A","6.95","8.72","5.18","-"
"Life Satisfaction","2012","Bangladeshi","All","Low","N/A","?","?","?","-"
"Life Satisfaction","2012","Chinese","All","Low","N/A","?","?","?","-"
"Life Satisfaction","2014","Asian other","All","High","N/A","48.77","52.68","44.86","-"
"Life Satisfaction","2012","Black","All","Low","N/A","10.24","11.51","8.97","-"
"Life Satisfaction","2012","Arab","All","Low","N/A","?","?","?","-"
"Life Satisfaction","2012","Other","All","Low","N/A","8.21","10.05","6.36","-"
"Life Satisfaction","2012","White","All","Medium","N/A","16.51","16.76","16.26","-"
"Life Satisfaction","2012","White Gypsy / Traveller ","All","Medium","N/A","?","?","?","-"
"Life Satisfaction","2012","Mixed","All","Medium","N/A","23.81","27.35","20.26","-"
"Life Satisfaction","2012","Indian","All","Medium","N/A","18.1","19.9","16.31","-"
"Life Satisfaction","2012","Pakistani","All","Medium","N/A","23.75","26.42","21.07","-"
"Life Satisfaction","2012","Bangladeshi","All","Medium","N/A","?","?","?","-"
"Life Satisfaction","2012","Chinese","All","Medium","N/A","?","?","?","-"
"Life Satisfaction","2014","Asian other","All","Low","N/A","4.63","6.28","2.99","-"
"Life Satisfaction","2012","Black","All","Medium","N/A","29.81","31.82","27.8","-"
"Life Satisfaction","2012","Arab","All","Medium","N/A","?","?","?","-"
"Life Satisfaction","2012","Other","All","Medium","N/A","23.87","26.8","20.95","-"
"Life Satisfaction","2012","White","All","High","N/A","51.31","51.65","50.97","-"
"Life Satisfaction","2012","White Gypsy / Traveller ","All","High","N/A","?","?","?","-"
"Life Satisfaction","2012","Mixed","All","High","N/A","50.39","54.4","46.39","-"
"Life Satisfaction","2012","Indian","All","High","N/A","48.26","50.57","45.95","-"
"Life Satisfaction","2012","Pakistani","All","High","N/A","41.85","45.04","38.66","-"
"Life Satisfaction","2012","Bangladeshi","All","High","N/A","39.84","45.06","34.62","-"
"Life Satisfaction","2012","Chinese","All","High","N/A","63.14","68.28","58","-"
"Life Satisfaction","2014","Asian other","All","Medium","N/A","17.64","20.43","14.86","-"
"Life Satisfaction","2012","Black","All","High","N/A","41.09","43.19","38.99","-"
"Life Satisfaction","2012","Arab","All","High","N/A","42.91","50.75","35.07","-"
"Life Satisfaction","2012","Other","All","High","N/A","46.49","49.89","43.08","-"
"Life Satisfaction","2012","White","All","Very_High","N/A","26.47","26.77","26.17","-"
"Life Satisfaction","2012","White Gypsy / Traveller ","All","Very_High","N/A","?","?","?","-"
"Life Satisfaction","2012","Mixed","All","Very_High","N/A","18.76","21.89","15.63","-"
"Life Satisfaction","2012","Indian","All","Very_High","N/A","28.76","31.02","26.51","-"
"Life Satisfaction","2012","Pakistani","All","Very_High","N/A","27.45","30.27","24.63","-"
"Life Satisfaction","2012","Bangladeshi","All","Very_High","N/A","27.5","32.13","22.88","-"
"Life Satisfaction","2012","Chinese","All","Very_High","N/A","16.78","20.9","12.66","-"
"Life Satisfaction","2014","Asian other","All","Very_High","N/A","28.95","32.79","25.11","-"
"Life Satisfaction","2012","Black","All","Very_High","N/A","18.86","20.55","17.17","-"
"Life Satisfaction","2012","Arab","All","Very_High","N/A","22.39","27.82","16.97","-"
"Life Satisfaction","2012","Other","All","Very_High","N/A","21.43","24.32","18.55","-"
"Life Satisfaction","2013","White","All","Low","N/A","5.53","5.68","5.38",""
"Life Satisfaction","2013","White Gypsy / Traveller ","All","Low","N/A","?","?","?",""
"Life Satisfaction","2013","Mixed","All","Low","N/A","6.29","8.34","4.23",""
"Life Satisfaction","2013","Indian","All","Low","N/A","4.72","5.63","3.8",""
"Life Satisfaction","2013","Pakistani","All","Low","N/A","6.58","8.09","5.06",""
"Life Satisfaction","2013","Bangladeshi","All","Low","N/A","?","?","?",""
"Life Satisfaction","2013","Chinese","All","Low","N/A","1.95","3.18","0.72",""
"Life Satisfaction","2015","All","All","All","7.65","N/A","7.66","7.64","160660"
"Life Satisfaction","2013","Black","All","Low","N/A","9.67","10.9","8.45",""
"Life Satisfaction","2013","Arab","All","Low","N/A","?","?","?",""
"Life Satisfaction","2013","Other","All","Low","N/A","7.33","9.09","5.58",""
"Life Satisfaction","2013","White","All","Medium","N/A","15.74","15.99","15.49",""
"Life Satisfaction","2013","White Gypsy / Traveller ","All","Medium","N/A","?","?","?",""
"Life Satisfaction","2013","Mixed","All","Medium","N/A","19.73","22.93","16.52",""
"Life Satisfaction","2013","Indian","All","Medium","N/A","18.74","20.75","16.73",""
"Life Satisfaction","2013","Pakistani","All","Medium","N/A","21.91","24.58","19.23",""
"Life Satisfaction","2013","Bangladeshi","All","Medium","N/A","?","?","?",""
"Life Satisfaction","2013","Chinese","All","Medium","N/A","14.97","18.45","11.49",""
"Life Satisfaction","2015","Asian other","All","All","7.61","N/A","7.73","7.48","1080"
"Life Satisfaction","2013","Black","All","Medium","N/A","26.11","28.03","24.2",""
"Life Satisfaction","2013","Arab","All","Medium","N/A","?","?","?",""
"Life Satisfaction","2013","Other","All","Medium","N/A","18.27","20.74","15.8",""
"Life Satisfaction","2013","White","All","High","N/A","51.77","52.11","51.43",""
"Life Satisfaction","2013","White Gypsy / Traveller ","All","High","N/A","?","?","?",""
"Life Satisfaction","2013","Mixed","All","High","N/A","49.09","53.35","44.83",""
"Life Satisfaction","2013","Indian","All","High","N/A","49.97","52.39","47.56",""
"Life Satisfaction","2013","Pakistani","All","High","N/A","41.79","44.91","38.68",""
"Life Satisfaction","2013","Bangladeshi","All","High","N/A","46.98","51.96","42.01",""
"Life Satisfaction","2013","Chinese","All","High","N/A","67.68","72.78","62.57",""
"Life Satisfaction","2015","Asian other","All","High","N/A","51.54","47.65","55.43",""
"Life Satisfaction","2013","Black","All","High","N/A","43.06","45.24","40.88",""
"Life Satisfaction","2013","Arab","All","High","N/A","42.8","49.3","36.29",""
"Life Satisfaction","2013","Other","All","High","N/A","48.73","52.06","45.4",""
"Life Satisfaction","2013","White","All","Very_High","N/A","26.96","27.26","26.65",""
"Life Satisfaction","2013","White Gypsy / Traveller ","All","Very_High","N/A","?","?","?",""
"Life Satisfaction","2013","Mixed","All","Very_High","N/A","24.9","29.02","20.78",""
"Life Satisfaction","2013","Indian","All","Very_High","N/A","26.57","28.71","24.44",""
"Life Satisfaction","2013","Pakistani","All","Very_High","N/A","29.72","32.71","26.73",""
"Life Satisfaction","2013","Bangladeshi","All","Very_High","N/A","26.23","30.46","22",""
"Life Satisfaction","2013","Chinese","All","Very_High","N/A","15.4","18.99","11.81",""
"Life Satisfaction","2015","Asian other","All","Low","N/A","4.19","2.77","5.61",""
"Life Satisfaction","2013","Black","All","Very_High","N/A","21.15","22.92","19.38",""
"Life Satisfaction","2013","Arab","All","Very_High","N/A","22.32","27.8","16.83",""
"Life Satisfaction","2013","Other","All","Very_High","N/A","25.67","28.66","22.68",""
"Life Satisfaction","2014","White","All","Low","N/A","4.93","5.07","4.79",""
"Life Satisfaction","2014","White Gypsy / Traveller ","All","Low","N/A","?","?","?","-"
"Life Satisfaction","2014","Mixed","All","Low","N/A","7.42","9.26","5.57","-"
"Life Satisfaction","2014","Indian","All","Low","N/A","3.67","4.5","2.83","-"
"Life Satisfaction","2014","Pakistani","All","Low","N/A","5.24","6.49","3.98","-"
"Life Satisfaction","2014","Bangladeshi","All","Low","N/A","?","?","?","-"
"Life Satisfaction","2014","Chinese","All","Low","N/A","?","?","?","-"
"Life Satisfaction","2015","Asian other","All","Medium","N/A","15.91","18.6","13.23","-"
"Life Satisfaction","2014","Black","All","Low","N/A","8.06","9.24","6.87","-"
"Life Satisfaction","2014","Arab","All","Low","N/A","?","?","?","-"
"Life Satisfaction","2014","Other","All","Low","N/A","3.89","5.02","2.75","-"
"Life Satisfaction","2014","White","All","Medium","N/A","14.63","14.87","14.38","-"
"Life Satisfaction","2014","White Gypsy / Traveller ","All","Medium","N/A","?","?","?","-"
"Life Satisfaction","2014","Mixed","All","Medium","N/A","24.08","27.6","20.56","-"
"Life Satisfaction","2014","Indian","All","Medium","N/A","14.87","16.47","13.28","-"
"Life Satisfaction","2014","Pakistani","All","Medium","N/A","20.74","23.23","18.26","-"
"Life Satisfaction","2014","Bangladeshi","All","Medium","N/A","?","?","?","-"
"Life Satisfaction","2014","Chinese","All","Medium","N/A","?","?","?","-"
"Life Satisfaction","2015","Asian other","All","Very_High","N/A","28.36","31.9","24.82","-"
"Life Satisfaction","2014","Black","All","Medium","N/A","23.9","25.76","22.05","-"
"Life Satisfaction","2014","Arab","All","Medium","N/A","?","?","?","-"
"Life Satisfaction","2014","Other","All","Medium","N/A","17.83","20.22","15.44","-"
"Life Satisfaction","2014","White","All","High","N/A","51.97","52.31","51.62","-"
"Life Satisfaction","2014","White Gypsy / Traveller ","All","High","N/A","?","?","?","-"
"Life Satisfaction","2014","Mixed","All","High","N/A","46.31","50.2","42.43","-"
"Life Satisfaction","2014","Indian","All","High","N/A","51.09","53.38","48.79","-"
"Life Satisfaction","2014","Pakistani","All","High","N/A","44.58","47.76","41.41","-"
"Life Satisfaction","2014","Bangladeshi","All","High","N/A","46.68","52.01","41.36","-"
"Life Satisfaction","2014","Chinese","All","High","N/A","63.82","69.85","57.8","-"
"Life Satisfaction","2016","All","All","All","7.67","N/A","7.68","7.66","149980"
"Life Satisfaction","2014","Black","All","High","N/A","45.38","47.63","43.13","-"
"Life Satisfaction","2014","Arab","All","High","N/A","48.67","55.03","42.32","-"
"Life Satisfaction","2014","Other","All","High","N/A","52.96","56.43","49.49","-"
"Life Satisfaction","2014","White","All","Very_High","N/A","28.48","28.8","28.16","-"
"Life Satisfaction","2014","White Gypsy / Traveller ","All","Very_High","N/A","?","?","?","-"
"Life Satisfaction","2014","Mixed","All","Very_High","N/A","22.19","25.38","19","-"
"Life Satisfaction","2014","Indian","All","Very_High","N/A","30.38","32.68","28.07","-"
"Life Satisfaction","2014","Pakistani","All","Very_High","N/A","29.44","32.5","26.38","-"
"Life Satisfaction","2014","Bangladeshi","All","Very_High","N/A","30.88","35.77","25.99","-"
"Life Satisfaction","2014","Chinese","All","Very_High","N/A","19.02","23.33","14.7","-"
"Life Satisfaction","2016","Asian other","All","All","7.64","N/A","7.76","7.52","1070"
"Life Satisfaction","2014","Black","All","Very_High","N/A","22.65","24.59","20.72","-"
"Life Satisfaction","2014","Arab","All","Very_High","N/A","24.04","30.13","17.96","-"
"Life Satisfaction","2014","Other","All","Very_High","N/A","25.32","28.37","22.28","-"
"Life Satisfaction","2015","White","All","Low","N/A","4.42","4.56","4.29","-"
"Life Satisfaction","2015","White Gypsy / Traveller ","All","Low","N/A","?","?","?","-"
"Life Satisfaction","2015","Mixed","All","Low","N/A","5.11","6.77","3.45","-"
"Life Satisfaction","2015","Indian","All","Low","N/A","2.9","3.63","2.17","-"
"Life Satisfaction","2015","Pakistani","All","Low","N/A","4.01","5.21","2.8","-"
"Life Satisfaction","2015","Bangladeshi","All","Low","N/A","?","?","?","-"
"Life Satisfaction","2015","Chinese","All","Low","N/A","?","?","?","-"
"Life Satisfaction","2016","Asian other","All","High","N/A","51.61","55.39","47.83","-"
"Life Satisfaction","2015","Black","All","Low","N/A","7.61","8.68","6.54","-"
"Life Satisfaction","2015","Arab","All","Low","N/A","?","?","?","-"
"Life Satisfaction","2015","Other","All","Low","N/A","5.88","7.41","4.35","-"
"Life Satisfaction","2015","White","All","Medium","N/A","13.76","14","13.53","-"
"Life Satisfaction","2015","White Gypsy / Traveller ","All","Medium","N/A","?","?","?","-"
"Life Satisfaction","2015","Mixed","All","Medium","N/A","19.2","22.3","16.09","-"
"Life Satisfaction","2015","Indian","All","Medium","N/A","15.07","16.72","13.42","-"
"Life Satisfaction","2015","Pakistani","All","Medium","N/A","18.11","20.51","15.71","-"
"Life Satisfaction","2015","Bangladeshi","All","Medium","N/A","?","?","?","-"
"Life Satisfaction","2015","Chinese","All","Medium","N/A","?","?","?","-"
"Life Satisfaction","2016","Asian other","All","Low","N/A","?","?","?","-"
"Life Satisfaction","2015","Black","All","Medium","N/A","23.63","25.45","21.81","-"
"Life Satisfaction","2015","Arab","All","Medium","N/A","?","?","?","-"
"Life Satisfaction","2015","Other","All","Medium","N/A","16.07","18.49","13.64","-"
"Life Satisfaction","2015","White","All","High","N/A","52.43","52.78","52.08","-"
"Life Satisfaction","2015","White Gypsy / Traveller ","All","High","N/A","?","?","?","-"
"Life Satisfaction","2015","Mixed","All","High","N/A","51.72","55.68","47.76","-"
"Life Satisfaction","2015","Indian","All","High","N/A","53.28","55.7","50.85","-"
"Life Satisfaction","2015","Pakistani","All","High","N/A","46.9","50.12","43.67","-"
"Life Satisfaction","2015","Bangladeshi","All","High","N/A","44.33","49.92","38.73","-"
"Life Satisfaction","2015","Chinese","All","High","N/A","60.15","65.54","54.75","-"
"Life Satisfaction","2016","Asian other","All","Medium","N/A","?","?","?","-"
"Life Satisfaction","2015","Black","All","High","N/A","44.27","46.36","42.17","-"
"Life Satisfaction","2015","Arab","All","High","N/A","52.14","58.86","45.42","-"
"Life Satisfaction","2015","Other","All","High","N/A","51.43","54.82","48.03","-"
"Life Satisfaction","2015","White","All","Very_High","N/A","29.38","29.71","29.05","-"
"Life Satisfaction","2015","White Gypsy / Traveller ","All","Very_High","N/A","?","?","?","-"
"Life Satisfaction","2015","Mixed","All","Very_High","N/A","23.97","27.44","20.51","-"
"Life Satisfaction","2015","Indian","All","Very_High","N/A","28.76","31.05","26.46","-"
"Life Satisfaction","2015","Pakistani","All","Very_High","N/A","30.99","34.14","27.85","-"
"Life Satisfaction","2015","Bangladeshi","All","Very_High","N/A","32.98","38.17","27.79","-"
"Life Satisfaction","2015","Chinese","All","Very_High","N/A","23.44","28.73","18.15","-"
"Life Satisfaction","2016","Asian other","All","Very_High","N/A","28.18","31.6","24.76","-"
"Life Satisfaction","2015","Black","All","Very_High","N/A","24.49","26.3","22.68","-"
"Life Satisfaction","2015","Arab","All","Very_High","N/A","26.53","32.16","20.9","-"
"Life Satisfaction","2015","Other","All","Very_High","N/A","26.63","29.65","23.61","-"
"Life Satisfaction","2016","White","All","Low","N/A","4.51","4.65","4.36","-"
"Life Satisfaction","2016","White Gypsy / Traveller ","All","Low","N/A","?","?","?","-"
"Life Satisfaction","2016","Mixed","All","Low","N/A","4.06","5.44","2.69","-"
"Life Satisfaction","2016","Indian","All","Low","N/A","2.53","3.19","1.87","-"
"Life Satisfaction","2016","Pakistani","All","Low","N/A","5.26","6.67","3.84","-"
"Life Satisfaction","2016","Bangladeshi","All","Low","N/A","?","?","?","-"
"Life Satisfaction","2016","Chinese","All","Low","N/A","?","?","?","-"
"Life Satisfaction","2017","All","All","All","7.69","N/A","7.7","7.68","150860"
"Life Satisfaction","2016","Black","All","Low","N/A","7.45","8.64","6.25","-"
"Life Satisfaction","2016","Arab","All","Low","N/A","?","?","?","-"
"Life Satisfaction","2016","Other","All","Low","N/A","?","?","?","-"
"Life Satisfaction","2016","White","All","Medium","N/A","13.39","13.64","13.15","-"
"Life Satisfaction","2016","White Gypsy / Traveller ","All","Medium","N/A","?","?","?","-"
"Life Satisfaction","2016","Mixed","All","Medium","N/A","17.2","20.82","13.57","-"
"Life Satisfaction","2016","Indian","All","Medium","N/A","14.85","16.6","13.1","-"
"Life Satisfaction","2016","Pakistani","All","Medium","N/A","15.28","17.47","13.09","-"
"Life Satisfaction","2016","Bangladeshi","All","Medium","N/A","?","?","?","-"
"Life Satisfaction","2016","Chinese","All","Medium","N/A","?","?","?","-"
"Life Satisfaction","2017","Asian other","All","All","7.69","N/A","7.83","7.55","1030"
"Life Satisfaction","2016","Black","All","Medium","N/A","23.04","24.87","21.21","-"
"Life Satisfaction","2016","Arab","All","Medium","N/A","?","?","?","-"
"Life Satisfaction","2016","Other","All","Medium","N/A","?","?","?","-"
"Life Satisfaction","2016","White","All","High","N/A","52.31","52.67","51.94","-"
"Life Satisfaction","2016","White Gypsy / Traveller ","All","High","N/A","?","?","?","-"
"Life Satisfaction","2016","Mixed","All","High","N/A","58.09","62.08","54.09","-"
"Life Satisfaction","2016","Indian","All","High","N/A","49.69","52.14","47.24","-"
"Life Satisfaction","2016","Pakistani","All","High","N/A","45.27","48.54","42","-"
"Life Satisfaction","2016","Bangladeshi","All","High","N/A","43.6","48.58","38.62","-"
"Life Satisfaction","2016","Chinese","All","High","N/A","59.48","64.71","54.24","-"
"Life Satisfaction","2017","Asian other","All","High","N/A","47.64","51.72","43.56","-"
"Life Satisfaction","2016","Black","All","High","N/A","45.06","47.26","42.85","-"
"Life Satisfaction","2016","Arab","All","High","N/A","44.96","51.41","38.51","-"
"Life Satisfaction","2016","Other","All","High","N/A","53.37","56.84","49.9","-"
"Life Satisfaction","2016","White","All","Very_High","N/A","29.79","30.14","29.45","-"
"Life Satisfaction","2016","White Gypsy / Traveller ","All","Very_High","N/A","?","?","?","-"
"Life Satisfaction","2016","Mixed","All","Very_High","N/A","20.66","23.84","17.47","-"
"Life Satisfaction","2016","Indian","All","Very_High","N/A","32.94","35.35","30.52","-"
"Life Satisfaction","2016","Pakistani","All","Very_High","N/A","34.2","37.4","31","-"
"Life Satisfaction","2016","Bangladeshi","All","Very_High","N/A","30.54","35.37","25.7","-"
"Life Satisfaction","2016","Chinese","All","Very_High","N/A","25.61","30.83","20.39","-"
"Life Satisfaction","2017","Asian other","All","Low","N/A","?","?","?","-"
"Life Satisfaction","2016","Black","All","Very_High","N/A","24.46","26.43","22.49","-"
"Life Satisfaction","2016","Arab","All","Very_High","N/A","33.04","39.81","26.27","-"
"Life Satisfaction","2016","Other","All","Very_High","N/A","27.29","30.46","24.12","-"
"Life Satisfaction","2017","White","All","Low","N/A","4.45","4.6","4.3","-"
"Life Satisfaction","2017","White Gypsy / Traveller ","All","Low","N/A","?","?","?","-"
"Life Satisfaction","2017","Mixed","All","Low","N/A","5.16","6.87","3.45","-"
"Life Satisfaction","2017","Indian","All","Low","N/A","2.78","3.48","2.08","-"
"Life Satisfaction","2017","Pakistani","All","Low","N/A","3.6","4.61","2.58","-"
"Life Satisfaction","2017","Bangladeshi","All","Low","N/A","?","?","?","-"
"Life Satisfaction","2017","Chinese","All","Low","N/A","?","?","?","-"
"Life Satisfaction","2017","Asian other","All","Medium","N/A","?","?","?","-"
"Life Satisfaction","2017","Black","All","Low","N/A","7.33","8.55","6.11","-"
"Life Satisfaction","2017","Arab","All","Low","N/A","?","?","?","-"
"Life Satisfaction","2017","Other","All","Low","N/A","4.44","6.07","2.81","-"
"Life Satisfaction","2017","White","All","Medium","N/A","12.96","13.21","12.71","-"
"Life Satisfaction","2017","White Gypsy / Traveller ","All","Medium","N/A","?","?","?","-"
"Life Satisfaction","2017","Mixed","All","Medium","N/A","16.45","19.26","13.65","-"
"Life Satisfaction","2017","Indian","All","Medium","N/A","14.64","16.42","12.85","-"
"Life Satisfaction","2017","Pakistani","All","Medium","N/A","18.1","20.67","15.54","-"
"Life Satisfaction","2017","Bangladeshi","All","Medium","N/A","?","?","?","-"
"Life Satisfaction","2017","Chinese","All","Medium","N/A","?","?","?","-"
"Life Satisfaction","2017","Asian other","All","Very_High","N/A","31.31","35.18","27.44","-"
"Life Satisfaction","2017","Black","All","Medium","N/A","21.09","22.86","19.32","-"
"Life Satisfaction","2017","Arab","All","Medium","N/A","?","?","?","-"
"Life Satisfaction","2017","Other","All","Medium","N/A","15.23","17.7","12.75","-"
"Life Satisfaction","2017","White","All","High","N/A","52.23","52.6","51.86","-"
"Life Satisfaction","2017","White Gypsy / Traveller ","All","High","N/A","?","?","?","-"
"Life Satisfaction","2017","Mixed","All","High","N/A","55.85","59.72","51.97","-"
"Life Satisfaction","2017","Indian","All","High","N/A","50.99","53.54","48.44","-"
"Life Satisfaction","2017","Pakistani","All","High","N/A","43.57","46.93","40.22","-"
"Life Satisfaction","2017","Bangladeshi","All","High","N/A","42.16","47.52","36.8","-"
"Life Satisfaction","2017","Chinese","All","High","N/A","64.29","68.83","59.76","-"
"Life Satisfaction","2018","All","All","All","7.7","N/A","7.72","7.69","146910"
"Life Satisfaction","2017","Black","All","High","N/A","46.39","48.69","44.09","-"
"Life Satisfaction","2017","Arab","All","High","N/A","51.55","58.11","44.98","-"
"Life Satisfaction","2017","Other","All","High","N/A","52.33","55.83","48.84","-"
"Life Satisfaction","2017","White","All","Very_High","N/A","30.35","30.7","30.01","-"
