"Ethnicity","Category","Time","Value","Number"
"Black African","CBE","Jun-15","0.934579439","1"
"Black other ","CBE","Jun-15","0","0"
"Mixed","CBE","Jun-15","0","0"
"Mixed White/Black Caribbean","CBE","Jun-15","0","0"
"Mixed White/Black African","CBE","Jun-15","0","0"
"Mixed White/Asian","CBE","Jun-15","0","0"
"Mixed other","CBE","Jun-15","0","0"
"White","CBE","Jun-15","94.39252336","101"
"White British","CBE","Jun-15","90.65420561","97"
"White other","CBE","Jun-15","3.738317757","4"
"Any other","CBE","Jun-15","0","0"
"Unknown ","CBE","Jun-15","!","0"
"All","OBE","Jun-15","100","225"
"Asian","OBE","Jun-15","1.333333333","3"
"Indian","OBE","Jun-15","0.444444444","1"
"Pakistani","OBE","Jun-15","0.444444444","1"
"Bangladeshi","OBE","Jun-15","0","0"
"Chinese","OBE","Jun-15","0.444444444","1"
"Asian other","OBE","Jun-15","0","0"
"Black","OBE","Jun-15","3.111111111","7"
"Black Caribbean","OBE","Jun-15","1.333333333","3"
"Black African","OBE","Jun-15","1.333333333","3"
"Black other ","OBE","Jun-15","0.444444444","1"
"Mixed","OBE","Jun-15","0.444444444","1"
"Mixed White/Black Caribbean","OBE","Jun-15","0.444444444","1"
"Mixed White/Black African","OBE","Jun-15","0","0"
"Mixed White/Asian","OBE","Jun-15","0","0"
"Mixed other","OBE","Jun-15","0","0"
"White","OBE","Jun-15","94.66666667","213"
"White British","OBE","Jun-15","94.22222222","212"
"White other","OBE","Jun-15","0.444444444","1"
"Any other","OBE","Jun-15","0.444444444","1"
"Unknown ","OBE","Jun-15","!","12"
"All","MBE","Jun-15","100","471"
"Asian","MBE","Jun-15","4.246284501","20"
"Indian","MBE","Jun-15","2.547770701","12"
"Pakistani","MBE","Jun-15","1.27388535","6"
"Bangladeshi","MBE","Jun-15","0","0"
"Chinese","MBE","Jun-15","0.42462845","2"
"Asian other","MBE","Jun-15","0","0"
"Black","MBE","Jun-15","3.397027601","16"
"Black Caribbean","MBE","Jun-15","1.6985138","8"
"Black African","MBE","Jun-15","0.636942675","3"
"Black other ","MBE","Jun-15","1.061571125","5"
"Mixed","MBE","Jun-15","0.8492569","4"
"Mixed White/Black Caribbean","MBE","Jun-15","0.42462845","2"
"Mixed White/Black African","MBE","Jun-15","0","0"
"Mixed White/Asian","MBE","Jun-15","0.42462845","2"
"Mixed other","MBE","Jun-15","0","0"
"White","MBE","Jun-15","91.29511677","430"
"White British","MBE","Jun-15","89.8089172","423"
"White other","MBE","Jun-15","1.486199575","7"
"Any other","MBE","Jun-15","0.212314225","1"
"Unknown ","MBE","Jun-15","!","10"
"All","BEM","Jun-15","100","288"
"Asian","BEM","Jun-15","3.819444444","11"
"Indian","BEM","Jun-15","2.083333333","6"
"Pakistani","BEM","Jun-15","0.347222222","1"
"Bangladeshi","BEM","Jun-15","0.694444444","2"
"Chinese","BEM","Jun-15","0.347222222","1"
"Asian other","BEM","Jun-15","0.347222222","1"
"Black","BEM","Jun-15","0.694444444","2"
"Black Caribbean","BEM","Jun-15","0.347222222","1"
"Black African","BEM","Jun-15","0.347222222","1"
"Black other ","BEM","Jun-15","0","0"
"Mixed","BEM","Jun-15","0","0"
"Mixed White/Black Caribbean","BEM","Jun-15","0","0"
"Mixed White/Black African","BEM","Jun-15","0","0"
"Mixed White/Asian","BEM","Jun-15","0","0"
"Mixed other","BEM","Jun-15","0","0"
"White","BEM","Jun-15","95.13888889","274"
"White British","BEM","Jun-15","94.79166667","273"
"White other","BEM","Jun-15","0.347222222","1"
"Any other","BEM","Jun-15","0.347222222","1"
"Unknown ","BEM","Jun-15","!","7"
"All","All","Dec-14","100","1130"
"Asian","All","Dec-14","3.716814159","42"
"Indian","All","Dec-14","1.681415929","19"
"Pakistani","All","Dec-14","0.973451327","11"
"Bangladeshi","All","Dec-14","0.17699115","2"
"Chinese","All","Dec-14","0.265486726","3"
"Asian other","All","Dec-14","0.619469027","7"
"Black","All","Dec-14","1.504424779","17"
"Black Caribbean","All","Dec-14","1.061946903","12"
"Black African","All","Dec-14","0.353982301","4"
"Black other ","All","Dec-14","0.088495575","1"
"Mixed","All","Dec-14","0.796460177","9"
"Mixed White/Black Caribbean","All","Dec-14","0.17699115","2"
"Mixed White/Black African","All","Dec-14","0.17699115","2"
"Mixed White/Asian","All","Dec-14","0.265486726","3"
"Mixed other","All","Dec-14","0.17699115","2"
"White","All","Dec-14","93.89380531","1061"
"White British","All","Dec-14","93.00884956","1051"
"White other","All","Dec-14","0.884955752","10"
"Any other","All","Dec-14","0.088495575","1"
"Unknown ","All","Dec-14","!","37"
"All","Higher","Dec-14","100","42"
"Asian","Higher","Dec-14","4.761904762","2"
"Indian","Higher","Dec-14","2.380952381","1"
"Pakistani","Higher","Dec-14","0","0"
"Bangladeshi","Higher","Dec-14","0","0"
"Chinese","Higher","Dec-14","2.380952381","1"
"Asian other","Higher","Dec-14","0","0"
"Black","Higher","Dec-14","0","0"
"Black Caribbean","Higher","Dec-14","0","0"
"Black African","Higher","Dec-14","0","0"
"Black other ","Higher","Dec-14","0","0"
"Mixed","Higher","Dec-14","2.380952381","1"
"Mixed White/Black Caribbean","Higher","Dec-14","0","0"
"Mixed White/Black African","Higher","Dec-14","2.380952381","1"
"Mixed White/Asian","Higher","Dec-14","0","0"
"Mixed other","Higher","Dec-14","0","0"
"White","Higher","Dec-14","92.85714286","39"
"White British","Higher","Dec-14","90.47619048","38"
"White other","Higher","Dec-14","2.380952381","1"
"Any other","Higher","Dec-14","0","0"
"Unknown ","Higher","Dec-14","!","9"
"All","CBE","Dec-14","100","108"
"Asian","CBE","Dec-14","2.777777778","3"
"Indian","CBE","Dec-14","0.925925926","1"
"Pakistani","CBE","Dec-14","1.851851852","2"
"Bangladeshi","CBE","Dec-14","0","0"
"Chinese","CBE","Dec-14","0","0"
"Asian other","CBE","Dec-14","0","0"
"Black","CBE","Dec-14","0","0"
"Black Caribbean","CBE","Dec-14","0","0"
"Black African","CBE","Dec-14","0","0"
"Black other ","CBE","Dec-14","0","0"
"Mixed","CBE","Dec-14","0.925925926","1"
"Mixed White/Black Caribbean","CBE","Dec-14","0","0"
"Mixed White/Black African","CBE","Dec-14","0","0"
"Mixed White/Asian","CBE","Dec-14","0.925925926","1"
"Mixed other","CBE","Dec-14","0","0"
"White","CBE","Dec-14","96.2962963","104"
"White British","CBE","Dec-14","94.44444444","102"
"White other","CBE","Dec-14","1.851851852","2"
"Any other","CBE","Dec-14","0","0"
"Unknown ","CBE","Dec-14","!","0"
"All","OBE","Dec-14","100","232"
"Asian","OBE","Dec-14","3.879310345","9"
"Indian","OBE","Dec-14","3.448275862","8"
"Pakistani","OBE","Dec-14","0.431034483","1"
"Bangladeshi","OBE","Dec-14","0","0"
"Chinese","OBE","Dec-14","0","0"
"Asian other","OBE","Dec-14","0","0"
"Black","OBE","Dec-14","0.862068966","2"
"Black Caribbean","OBE","Dec-14","0.862068966","2"
"Black African","OBE","Dec-14","0","0"
"Black other ","OBE","Dec-14","0","0"
"Mixed","OBE","Dec-14","0.862068966","2"
"Mixed White/Black Caribbean","OBE","Dec-14","0","0"
"Mixed White/Black African","OBE","Dec-14","0.431034483","1"
"Mixed White/Asian","OBE","Dec-14","0.431034483","1"
"Mixed other","OBE","Dec-14","0","0"
"White","OBE","Dec-14","94.39655172","219"
"White British","OBE","Dec-14","91.81034483","213"
"White other","OBE","Dec-14","2.586206897","6"
"Any other","OBE","Dec-14","0","0"
"Unknown ","OBE","Dec-14","!","11"
"All","MBE","Dec-14","100","461"
"Asian","MBE","Dec-14","5.422993492","25"
"Indian","MBE","Dec-14","1.735357918","8"
"Pakistani","MBE","Dec-14","1.518438178","7"
"Bangladeshi","MBE","Dec-14","0.433839479","2"
"Chinese","MBE","Dec-14","0.433839479","2"
"Asian other","MBE","Dec-14","1.301518438","6"
"Black","MBE","Dec-14","2.819956616","13"
"Black Caribbean","MBE","Dec-14","1.952277657","9"
"Black African","MBE","Dec-14","0.650759219","3"
"Black other ","MBE","Dec-14","0.21691974","1"
"Mixed","MBE","Dec-14","0.650759219","3"
"Mixed White/Black Caribbean","MBE","Dec-14","0.21691974","1"
"Mixed White/Black African","MBE","Dec-14","0","0"
"Mixed White/Asian","MBE","Dec-14","0.21691974","1"
"Mixed other","MBE","Dec-14","0.21691974","1"
"White","MBE","Dec-14","91.10629067","420"
"White British","MBE","Dec-14","90.88937093","419"
"White other","MBE","Dec-14","0.21691974","1"
"Any other","MBE","Dec-14","0","0"
"Unknown ","MBE","Dec-14","!","12"
"All","BEM","Dec-14","100","287"
"Asian","BEM","Dec-14","1.045296167","3"
"Indian","BEM","Dec-14","0.348432056","1"
"Pakistani","BEM","Dec-14","0.348432056","1"
"Bangladeshi","BEM","Dec-14","0","0"
"Chinese","BEM","Dec-14","0","0"
"Asian other","BEM","Dec-14","0.348432056","1"
"Black","BEM","Dec-14","0.696864111","2"
"Black Caribbean","BEM","Dec-14","0.348432056","1"
"Black African","BEM","Dec-14","0.348432056","1"
"Black other ","BEM","Dec-14","0","0"
"Mixed","BEM","Dec-14","0.696864111","2"
"Mixed White/Black Caribbean","BEM","Dec-14","0.348432056","1"
"Mixed White/Black African","BEM","Dec-14","0","0"
"Mixed White/Asian","BEM","Dec-14","0","0"
"Mixed other","BEM","Dec-14","0.348432056","1"
"White","BEM","Dec-14","97.21254355","279"
"White British","BEM","Dec-14","97.21254355","279"
"White other","BEM","Dec-14","0","0"
"Any other","BEM","Dec-14","0.348432056","1"
"Unknown ","BEM","Dec-14","!","5"
"All","All","Jun-14","100","1129"
"Asian","All","Jun-14","3.54295837","40"
"Indian","All","Jun-14","2.125775022","24"
"Pakistani","All","Jun-14","0.797165633","9"
"Bangladeshi","All","Jun-14","0.177147919","2"
"Chinese","All","Jun-14","0.177147919","2"
"Asian other","All","Jun-14","0.265721878","3"
"Black","All","Jun-14","1.860053144","21"
"Black Caribbean","All","Jun-14","1.505757307","17"
"Black African","All","Jun-14","0.265721878","3"
"Black other ","All","Jun-14","0.088573959","1"
"Mixed","All","Jun-14","0.797165633","9"
"Mixed White/Black Caribbean","All","Jun-14","0.177147919","2"
"Mixed White/Black African","All","Jun-14","0.088573959","1"
"Mixed White/Asian","All","Jun-14","0.442869796","5"
"Mixed other","All","Jun-14","0.088573959","1"
"White","All","Jun-14","93.53410097","1056"
"White British","All","Jun-14","91.85119575","1037"
"White other","All","Jun-14","1.682905226","19"
"Any other","All","Jun-14","0.265721878","3"
"Unknown ","All","Jun-14","!","36"
"All","Higher","Jun-14","100","39"
"Asian","Higher","Jun-14","0","0"
"Indian","Higher","Jun-14","0","0"
"Pakistani","Higher","Jun-14","0","0"
"Bangladeshi","Higher","Jun-14","0","0"
"Chinese","Higher","Jun-14","0","0"
"Asian other","Higher","Jun-14","0","0"
"Black","Higher","Jun-14","0","0"
"Black Caribbean","Higher","Jun-14","0","0"
"Black African","Higher","Jun-14","0","0"
"Black other ","Higher","Jun-14","0","0"
"Mixed","Higher","Jun-14","5.128205128","2"
"Mixed White/Black Caribbean","Higher","Jun-14","0","0"
"Mixed White/Black African","Higher","Jun-14","2.564102564","1"
"Mixed White/Asian","Higher","Jun-14","2.564102564","1"
"Mixed other","Higher","Jun-14","0","0"
"White","Higher","Jun-14","94.87179487","37"
"White British","Higher","Jun-14","94.87179487","37"
"White other","Higher","Jun-14","0","0"
"Any other","Higher","Jun-14","0","0"
"Unknown ","Higher","Jun-14","!","10"
"All","CBE","Jun-14","100","107"
"Asian","CBE","Jun-14","4.672897196","5"
"Indian","CBE","Jun-14","0.934579439","1"
"Pakistani","CBE","Jun-14","1.869158879","2"
"Bangladeshi","CBE","Jun-14","0","0"
"Chinese","CBE","Jun-14","0.934579439","1"
"Asian other","CBE","Jun-14","0.934579439","1"
"Black","CBE","Jun-14","0.934579439","1"
"Black Caribbean","CBE","Jun-14","0.934579439","1"
"Black African","CBE","Jun-14","0","0"
"Black other ","CBE","Jun-14","0","0"
"Mixed","CBE","Jun-14","0","0"
"Mixed White/Black Caribbean","CBE","Jun-14","0","0"
"Mixed White/Black African","CBE","Jun-14","0","0"
"Mixed White/Asian","CBE","Jun-14","0","0"
"Mixed other","CBE","Jun-14","0","0"
"White","CBE","Jun-14","94.39252336","101"
"White British","CBE","Jun-14","91.58878505","98"
"White other","CBE","Jun-14","2.803738318","3"
"Any other","CBE","Jun-14","0","0"
"Unknown ","CBE","Jun-14","!","8"
"All","OBE","Jun-14","100","225"
"Asian","OBE","Jun-14","4.888888889","11"
"Indian","OBE","Jun-14","3.111111111","7"
"Pakistani","OBE","Jun-14","0.888888889","2"
"Bangladeshi","OBE","Jun-14","0.444444444","1"
"Chinese","OBE","Jun-14","0","0"
"Asian other","OBE","Jun-14","0.444444444","1"
"Black","OBE","Jun-14","3.111111111","7"
"Black Caribbean","OBE","Jun-14","2.666666667","6"
"Black African","OBE","Jun-14","0.444444444","1"
"Black other ","OBE","Jun-14","0","0"
"Mixed","OBE","Jun-14","0.444444444","1"
"Mixed White/Black Caribbean","OBE","Jun-14","0.444444444","1"
"Mixed White/Black African","OBE","Jun-14","0","0"
"Mixed White/Asian","OBE","Jun-14","0","0"
"Mixed other","OBE","Jun-14","0","0"
"White","OBE","Jun-14","91.11111111","205"
"White British","OBE","Jun-14","89.33333333","201"
"White other","OBE","Jun-14","1.777777778","4"
"Any other","OBE","Jun-14","0.444444444","1"
"Unknown ","OBE","Jun-14","!","2"
"All","MBE","Jun-14","100","466"
"Asian","MBE","Jun-14","3.862660944","18"
"Indian","MBE","Jun-14","2.575107296","12"
"Pakistani","MBE","Jun-14","0.643776824","3"
"Bangladeshi","MBE","Jun-14","0.214592275","1"
"Chinese","MBE","Jun-14","0.214592275","1"
"Asian other","MBE","Jun-14","0.214592275","1"
"Black","MBE","Jun-14","2.145922747","10"
"Black Caribbean","MBE","Jun-14","1.716738197","8"
"Black African","MBE","Jun-14","0.429184549","2"
"Black other ","MBE","Jun-14","0","0"
"Mixed","MBE","Jun-14","0.858369099","4"
"Mixed White/Black Caribbean","MBE","Jun-14","0.214592275","1"
"Mixed White/Black African","MBE","Jun-14","0","0"
"Mixed White/Asian","MBE","Jun-14","0.643776824","3"
"Mixed other","MBE","Jun-14","0","0"
"White","MBE","Jun-14","92.91845494","433"
"White British","MBE","Jun-14","91.20171674","425"
"White other","MBE","Jun-14","1.716738197","8"
"Any other","MBE","Jun-14","0.214592275","1"
"Unknown ","MBE","Jun-14","!","8"
"All","BEM","Jun-14","100","292"
"Asian","BEM","Jun-14","2.054794521","6"
"Indian","BEM","Jun-14","1.369863014","4"
"Pakistani","BEM","Jun-14","0.684931507","2"
"Bangladeshi","BEM","Jun-14","0","0"
"Chinese","BEM","Jun-14","0","0"
"Asian other","BEM","Jun-14","0","0"
"Black","BEM","Jun-14","1.02739726","3"
"Black Caribbean","BEM","Jun-14","0.684931507","2"
"Black African","BEM","Jun-14","0","0"
"Black other ","BEM","Jun-14","0.342465753","1"
"Mixed","BEM","Jun-14","0.684931507","2"
"Mixed White/Black Caribbean","BEM","Jun-14","0","0"
"Mixed White/Black African","BEM","Jun-14","0","0"
"Mixed White/Asian","BEM","Jun-14","0.342465753","1"
"Mixed other","BEM","Jun-14","0.342465753","1"
"White","BEM","Jun-14","95.89041096","280"
"White British","BEM","Jun-14","94.52054795","276"
"White other","BEM","Jun-14","1.369863014","4"
"Any other","BEM","Jun-14","0.342465753","1"
"Unknown ","BEM","Jun-14","!","8"
