"","All","","Asian","","Black","","Chinese","","Mixed","","White",""
"Local Authority","Girls","Boys","Girls","Boys","Girls","Boys","Girls","Boys","Girls","Boys","Girls","Boys"
"Milton Keynes","80","65","84","65","75","60","!","!","86","69","80","67"
"Oxfordshire","79","66","69","57","81","55","86","80","81","65","80","69"
"Portsmouth","77","63","75","62","67","59","!","!","84","64","78","64"
"Reading","77","60","78","63","79","62","100","100","80","58","78","61"
"Slough","79","65","83","70","86","59","!","-","79","69","72","57"
"Southampton","79","62","78","67","71","60","100","57","87","61","80","62"
"Surrey","84","72","81","69","70","60","!","!","86","73","85","73"
"West Berkshire","81","68","80","64","!","!","!","!","88","68","80","69"
"West Sussex","78","63","76","60","70","50","!","!","81","63","78","64"
"Windsor and Maidenhead","79","67","77","67","!","!","!","!","81","65","81","69"
"Wokingham","80","69","79","70","77","68","!","!","83","68","81","69"
"South West","77","63","75","58","70","53","80","71","77","63","78","64"
"Bath and North East Somerset","77","65","69","58","!","!","!","100","75","67","78","66"
"Bournemouth","84","68","91","69","!","!","!","100","78","71","85","70"
"Bristol, City of","74","62","66","46","64","50","69","72","72","63","77","66"
"Cornwall","75","59","50","63","!","!","!","!","74","68","75","60"
"Devon","79","64","80","52","100","!","!","!","76","60","79","64"
"Dorset","77","63","58","42","43","56","!","!","71","62","78","63"
"Gloucestershire","75","62","72","51","73","45","!","!","75","57","75","63"
"Isles of Scilly","!","100","-","-","-","-","-","-","!","!","!","100"
"North Somerset","80","69","!","!","!","!","!","!","74","65","81","70"
"Plymouth","74","60","!","!","!","!","!","!","85","51","74","61"
"Poole","81","67","84","74","!","100","!","100","85","64","81","67"
"Somerset","78","64","81","53","60","58","!","!","83","68","79","65"
"South Gloucestershire","82","71","81","75","89","71","!","!","80","72","82","71"
"Swindon","77","62","78","66","77","65","100","!","74","66","77","61"
"Torbay","78","62","!","!","!","-","!","!","!","!","78","63"
"Wiltshire","80","63","78","54","82","66","!","!","83","58","80","64"
