"Measure","Time","Time_type","Ethnicity","Ethnicity_type","Geography","Age_group","NS-SEC","Income_band","Region","Value","Numerator","Denominator","Sample_size"
"Percentage of households renting from a local authority or housing association","2016-17 and 2017-18","Two years","White British","White British and Other","England","All","Higher managerial, administrative and professional occupations","All","All","5","378","7684","8027"
"Percentage of households renting from a local authority or housing association","2016-17 and 2017-18","Two years","White British","White British and Other","England","All","Intermediate occupations","All","All","12","474","3958","4373"
"Percentage of households renting from a local authority or housing association","2016-17 and 2017-18","Two years","White British","White British and Other","England","All","Routine and manual occupations","All","All","31","1837","6010","7715"
"Percentage of households renting from a local authority or housing association","2016-17 and 2017-18","Two years","White British","White British and Other","England","All","All NS-SEC","All","All","15","2689","17652","20115"
"Percentage of households renting from a local authority or housing association","2016-17 and 2017-18","Two years","Other than White British","White British and Other","England","All","Higher managerial, administrative and professional occupations","All","All","10","163","1629","1648"
"Percentage of households renting from a local authority or housing association","2016-17 and 2017-18","Two years","Other than White British","White British and Other","England","All","Intermediate occupations","All","All","19","150","792","883"
"Percentage of households renting from a local authority or housing association","2016-17 and 2017-18","Two years","Other than White British","White British and Other","England","All","Routine and manual occupations","All","All","29","415","1427","1736"
"Percentage of households renting from a local authority or housing association","2016-17 and 2017-18","Two years","Other than White British","White British and Other","England","All","All NS-SEC","All","All","19","729","3848","4267"
"Percentage of households renting from a local authority or housing association","2016-17 and 2017-18","Two years","All","White British and Other","England","All","Higher managerial, administrative and professional occupations","All","All","6","542","9313","9675"
"Percentage of households renting from a local authority or housing association","2016-17 and 2017-18","Two years","All","White British and Other","England","All","Intermediate occupations","All","All","13","624","4751","5256"
"Percentage of households renting from a local authority or housing association","2016-17 and 2017-18","Two years","All","White British and Other","England","All","Routine and manual occupations","All","All","30","2252","7436","9451"
"Percentage of households renting from a local authority or housing association","2016-17 and 2017-18","Two years","All","White British and Other","England","All","All NS-SEC","All","All","16","3418","21500","24382"
"Percentage of households renting from a local authority or housing association","2016-17 and 2017-18","Two years","White British","White British and Other","England"," 16 - 24","All","All","All","25","146","580","668"
"Percentage of households renting from a local authority or housing association","2016-17 and 2017-18","Two years","White British","White British and Other","England"," 25 - 34","All","All","All","19","429","2297","2627"
"Percentage of households renting from a local authority or housing association","2016-17 and 2017-18","Two years","White British","White British and Other","England"," 35 - 44","All","All","All","17","458","2773","3175"
"Percentage of households renting from a local authority or housing association","2016-17 and 2017-18","Two years","White British","White British and Other","England"," 45 - 54","All","All","All","16","598","3705","4075"
"Percentage of households renting from a local authority or housing association","2016-17 and 2017-18","Two years","White British","White British and Other","England"," 55 - 64","All","All","All","15","504","3373","3906"
"Percentage of households renting from a local authority or housing association","2016-17 and 2017-18","Two years","White British","White British and Other","England"," 65 or over","All","All","All","15","931","6136","7105"
"Percentage of households renting from a local authority or housing association","2016-17 and 2017-18","Two years","White British","White British and Other","England","All Age Group","All","All","All","16","3068","18863","21556"
"Percentage of households renting from a local authority or housing association","2016-17 and 2017-18","Two years","Other than White British","White British and Other","England"," 16 - 24","All","All","All","15","30","202","201"
"Percentage of households renting from a local authority or housing association","2016-17 and 2017-18","Two years","Other than White British","White British and Other","England"," 25 - 34","All","All","All","16","160","1009","1092"
"Percentage of households renting from a local authority or housing association","2016-17 and 2017-18","Two years","Other than White British","White British and Other","England"," 35 - 44","All","All","All","20","240","1218","1413"
"Percentage of households renting from a local authority or housing association","2016-17 and 2017-18","Two years","Other than White British","White British and Other","England"," 45 - 54","All","All","All","22","190","844","929"
"Percentage of households renting from a local authority or housing association","2016-17 and 2017-18","Two years","Other than White British","White British and Other","England"," 55 - 64","All","All","All","26","132","499","556"
"Percentage of households renting from a local authority or housing association","2016-17 and 2017-18","Two years","Other than White British","White British and Other","England"," 65 or over","All","All","All","25","131","526","598"
"Percentage of households renting from a local authority or housing association","2016-17 and 2017-18","Two years","Other than White British","White British and Other","England","All Age Group","All","All","All","21","882","4297","4789"
"Percentage of households renting from a local authority or housing association","2016-17 and 2017-18","Two years","All","White British and Other","England"," 16 - 24","All","All","All","23","176","782","869"
"Percentage of households renting from a local authority or housing association","2016-17 and 2017-18","Two years","All","White British and Other","England"," 25 - 34","All","All","All","18","589","3306","3719"
"Percentage of households renting from a local authority or housing association","2016-17 and 2017-18","Two years","All","White British and Other","England"," 35 - 44","All","All","All","17","698","3990","4588"
"Percentage of households renting from a local authority or housing association","2016-17 and 2017-18","Two years","All","White British and Other","England"," 45 - 54","All","All","All","17","788","4549","5004"
"Percentage of households renting from a local authority or housing association","2016-17 and 2017-18","Two years","All","White British and Other","England"," 55 - 64","All","All","All","16","636","3872","4462"
"Percentage of households renting from a local authority or housing association","2016-17 and 2017-18","Two years","All","White British and Other","England"," 65 or over","All","All","All","16","1062","6662","7703"
"Percentage of households renting from a local authority or housing association","2016-17 and 2017-18","Two years","All","White British and Other","England","All Age Group","All","All","All","17","3950","23160","26345"
"Percentage of households renting from a local authority or housing association","2016-17 and 2017-18","Two years","White British","White British and Other","England","All","All","All","North East","23","250","1090","1510"
"Percentage of households renting from a local authority or housing association","2016-17 and 2017-18","Two years","White British","White British and Other","England","All","All","All","North West","17","479","2757","3380"
"Percentage of households renting from a local authority or housing association","2016-17 and 2017-18","Two years","White British","White British and Other","England","All","All","All","Yorkshire and the Humber","17","345","1992","2519"
"Percentage of households renting from a local authority or housing association","2016-17 and 2017-18","Two years","White British","White British and Other","England","All","All","All","East Midlands","15","251","1688","2021"
"Percentage of households renting from a local authority or housing association","2016-17 and 2017-18","Two years","White British","White British and Other","England","All","All","All","West Midlands","18","360","1978","2194"
"Percentage of households renting from a local authority or housing association","2016-17 and 2017-18","Two years","White British","White British and Other","England","All","All","All","East","16","342","2186","2493"
"Percentage of households renting from a local authority or housing association","2016-17 and 2017-18","Two years","White British","White British and Other","England","All","All","All","London","18","303","1660","1507"
"Percentage of households renting from a local authority or housing association","2016-17 and 2017-18","Two years","White British","White British and Other","England","All","All","All","South East","14","440","3244","3553"
"Percentage of households renting from a local authority or housing association","2016-17 and 2017-18","Two years","White British","White British and Other","England","All","All","All","South West","13","298","2269","2379"
"Percentage of households renting from a local authority or housing association","2016-17 and 2017-18","Two years","White British","White British and Other","England","All","All","All","All Region","16","3068","18863","21556"
"Percentage of households renting from a local authority or housing association","2016-17 and 2017-18","Two years","Other than White British","White British and Other","England","All","All","All","North East","19","13","68","88"
"Percentage of households renting from a local authority or housing association","2016-17 and 2017-18","Two years","Other than White British","White British and Other","England","All","All","All","North West","21","80","384","470"
"Percentage of households renting from a local authority or housing association","2016-17 and 2017-18","Two years","Other than White British","White British and Other","England","All","All","All","Yorkshire and the Humber","20","60","299","389"
"Percentage of households renting from a local authority or housing association","2016-17 and 2017-18","Two years","Other than White British","White British and Other","England","All","All","All","East Midlands","17","50","289","343"
"Percentage of households renting from a local authority or housing association","2016-17 and 2017-18","Two years","Other than White British","White British and Other","England","All","All","All","West Midlands","19","77","415","488"
"Percentage of households renting from a local authority or housing association","2016-17 and 2017-18","Two years","Other than White British","White British and Other","England","All","All","All","East","14","52","367","447"
"Percentage of households renting from a local authority or housing association","2016-17 and 2017-18","Two years","Other than White British","White British and Other","England","All","All","All","London","27","473","1778","1761"
"Percentage of households renting from a local authority or housing association","2016-17 and 2017-18","Two years","Other than White British","White British and Other","England","All","All","All","South East","11","55","522","611"
"Percentage of households renting from a local authority or housing association","2016-17 and 2017-18","Two years","Other than White British","White British and Other","England","All","All","All","South West","12","21","175","192"
"Percentage of households renting from a local authority or housing association","2016-17 and 2017-18","Two years","Other than White British","White British and Other","England","All","All","All","All Region","21","882","4297","4789"
"Percentage of households renting from a local authority or housing association","2016-17 and 2017-18","Two years","All","White British and Other","England","All","All","All","North East","23","263","1159","1598"
"Percentage of households renting from a local authority or housing association","2016-17 and 2017-18","Two years","All","White British and Other","England","All","All","All","North West","18","560","3141","3850"
"Percentage of households renting from a local authority or housing association","2016-17 and 2017-18","Two years","All","White British and Other","England","All","All","All","Yorkshire and the Humber","18","405","2290","2908"
"Percentage of households renting from a local authority or housing association","2016-17 and 2017-18","Two years","All","White British and Other","England","All","All","All","East Midlands","15","301","1976","2364"
"Percentage of households renting from a local authority or housing association","2016-17 and 2017-18","Two years","All","White British and Other","England","All","All","All","West Midlands","18","437","2393","2682"
"Percentage of households renting from a local authority or housing association","2016-17 and 2017-18","Two years","All","White British and Other","England","All","All","All","East","15","395","2554","2940"
"Percentage of households renting from a local authority or housing association","2016-17 and 2017-18","Two years","All","White British and Other","England","All","All","All","London","23","776","3437","3268"
"Percentage of households renting from a local authority or housing association","2016-17 and 2017-18","Two years","All","White British and Other","England","All","All","All","South East","13","495","3766","4164"
"Percentage of households renting from a local authority or housing association","2016-17 and 2017-18","Two years","All","White British and Other","England","All","All","All","South West","13","318","2444","2571"
"Percentage of households renting from a local authority or housing association","2016-17 and 2017-18","Two years","All","White British and Other","England","All","All","All","All Region","17","3950","23160","26345"
"Percentage of households renting from a local authority or housing association","2016-17 and 2017-18","Two years","White British","White British and Other","England","All","All","Up to £99","All","52","93","179","238"
"Percentage of households renting from a local authority or housing association","2016-17 and 2017-18","Two years","White British","White British and Other","England","All","All","£100 to £199","All","46","684","1501","2025"
"Percentage of households renting from a local authority or housing association","2016-17 and 2017-18","Two years","White British","White British and Other","England","All","All","£200 to £299","All","32","647","2008","2650"
"Percentage of households renting from a local authority or housing association","2016-17 and 2017-18","Two years","White British","White British and Other","England","All","All","£300 to £399","All","25","515","2028","2518"
"Percentage of households renting from a local authority or housing association","2016-17 and 2017-18","Two years","White British","White British and Other","England","All","All","£400 to £499","All","18","316","1767","2095"
"Percentage of households renting from a local authority or housing association","2016-17 and 2017-18","Two years","White British","White British and Other","England","All","All","£500 to £599","All","15","243","1668","1897"
"Percentage of households renting from a local authority or housing association","2016-17 and 2017-18","Two years","White British","White British and Other","England","All","All","£600 to £699","All","12","195","1576","1780"
"Percentage of households renting from a local authority or housing association","2016-17 and 2017-18","Two years","White British","White British and Other","England","All","All","£700 to £799","All","9","111","1282","1397"
"Percentage of households renting from a local authority or housing association","2016-17 and 2017-18","Two years","White British","White British and Other","England","All","All","£800 to £899","All","6","67","1148","1191"
"Percentage of households renting from a local authority or housing association","2016-17 and 2017-18","Two years","White British","White British and Other","England","All","All","£900 to £999","All","6","53","936","995"
"Percentage of households renting from a local authority or housing association","2016-17 and 2017-18","Two years","White British","White British and Other","England","All","All","£1000 and above","All","3","119","4636","4614"
"Percentage of households renting from a local authority or housing association","2016-17 and 2017-18","Two years","White British","White British and Other","England","All","All","All Income","All","16","3043","18731","21400"
"Percentage of households renting from a local authority or housing association","2016-17 and 2017-18","Two years","Other than White British","White British and Other","England","All","All","Up to £99","All","54","22","40","51"
"Percentage of households renting from a local authority or housing association","2016-17 and 2017-18","Two years","Other than White British","White British and Other","England","All","All","£100 to £199","All","52","161","311","383"
"Percentage of households renting from a local authority or housing association","2016-17 and 2017-18","Two years","Other than White British","White British and Other","England","All","All","£200 to £299","All","36","153","430","520"
"Percentage of households renting from a local authority or housing association","2016-17 and 2017-18","Two years","Other than White British","White British and Other","England","All","All","£300 to £399","All","31","140","447","553"
"Percentage of households renting from a local authority or housing association","2016-17 and 2017-18","Two years","Other than White British","White British and Other","England","All","All","£400 to £499","All","24","88","362","441"
"Percentage of households renting from a local authority or housing association","2016-17 and 2017-18","Two years","Other than White British","White British and Other","England","All","All","£500 to £599","All","23","98","432","496"
"Percentage of households renting from a local authority or housing association","2016-17 and 2017-18","Two years","Other than White British","White British and Other","England","All","All","£600 to £699","All","18","66","373","425"
"Percentage of households renting from a local authority or housing association","2016-17 and 2017-18","Two years","Other than White British","White British and Other","England","All","All","£700 to £799","All","11","31","279","321"
"Percentage of households renting from a local authority or housing association","2016-17 and 2017-18","Two years","Other than White British","White British and Other","England","All","All","£800 to £899","All","13","37","281","277"
"Percentage of households renting from a local authority or housing association","2016-17 and 2017-18","Two years","Other than White British","White British and Other","England","All","All","£900 to £999","All","12","22","190","214"
"Percentage of households renting from a local authority or housing association","2016-17 and 2017-18","Two years","Other than White British","White British and Other","England","All","All","£1000 and above","All","5","57","1117","1070"
"Percentage of households renting from a local authority or housing association","2016-17 and 2017-18","Two years","Other than White British","White British and Other","England","All","All","All Income","All","20","874","4264","4751"
"Percentage of households renting from a local authority or housing association","2016-17 and 2017-18","Two years","All","White British and Other","England","All","All","Up to £99","All","52","114","219","289"
"Percentage of households renting from a local authority or housing association","2016-17 and 2017-18","Two years","All","White British and Other","England","All","All","£100 to £199","All","47","844","1812","2408"
"Percentage of households renting from a local authority or housing association","2016-17 and 2017-18","Two years","All","White British and Other","England","All","All","£200 to £299","All","33","800","2439","3170"
"Percentage of households renting from a local authority or housing association","2016-17 and 2017-18","Two years","All","White British and Other","England","All","All","£300 to £399","All","26","655","2475","3071"
"Percentage of households renting from a local authority or housing association","2016-17 and 2017-18","Two years","All","White British and Other","England","All","All","£400 to £499","All","19","403","2130","2536"
"Percentage of households renting from a local authority or housing association","2016-17 and 2017-18","Two years","All","White British and Other","England","All","All","£500 to £599","All","16","341","2100","2393"
"Percentage of households renting from a local authority or housing association","2016-17 and 2017-18","Two years","All","White British and Other","England","All","All","£600 to £699","All","13","261","1949","2205"
"Percentage of households renting from a local authority or housing association","2016-17 and 2017-18","Two years","All","White British and Other","England","All","All","£700 to £799","All","9","142","1561","1718"
"Percentage of households renting from a local authority or housing association","2016-17 and 2017-18","Two years","All","White British and Other","England","All","All","£800 to £899","All","7","104","1430","1468"
"Percentage of households renting from a local authority or housing association","2016-17 and 2017-18","Two years","All","White British and Other","England","All","All","£900 to £999","All","7","76","1127","1209"
"Percentage of households renting from a local authority or housing association","2016-17 and 2017-18","Two years","All","White British and Other","England","All","All","£1000 and above","All","3","177","5754","5684"
"Percentage of households renting from a local authority or housing association","2016-17 and 2017-18","Two years","All","White British and Other","England","All","All","All Income","All","17","3917","22994","26151"
"Percentage of households renting social housing","2015-16 and 2016-17","Two years","White British","ONS 2011 18+1","England","All","All","All","All","16","3048","18816","21997"
"Percentage of households renting social housing","2015-16 and 2016-17","Two years","White Irish","ONS 2011 18+1","England","All","All","All","All","26","47","183","216"
"Percentage of households renting social housing","2015-16 and 2016-17","Two years","White Gypsy or Irish Traveller","ONS 2011 18+1","England","All","All","All","All","?","?","?","12"
"Percentage of households renting social housing","2015-16 and 2016-17","Two years","White Other","ONS 2011 18+1","England","All","All","All","All","12","146","1217","1275"
"Percentage of households renting social housing","2015-16 and 2016-17","Two years","Mixed White and Black Caribbean","ONS 2011 18+1","England","All","All","All","All","33","31","93","98"
"Percentage of households renting social housing","2015-16 and 2016-17","Two years","Mixed White and Black African","ONS 2011 18+1","England","All","All","All","All","38","34","90","100"
"Percentage of households renting social housing","2015-16 and 2016-17","Two years","Mixed White and Asian","ONS 2011 18+1","England","All","All","All","All","14","8","57","64"
"Percentage of households renting social housing","2015-16 and 2016-17","Two years","Mixed Other","ONS 2011 18+1","England","All","All","All","All","29","14","48","50"
"Percentage of households renting social housing","2015-16 and 2016-17","Two years","Indian","ONS 2011 18+1","England","All","All","All","All","9","47","524","519"
"Percentage of households renting social housing","2015-16 and 2016-17","Two years","Pakistani","ONS 2011 18+1","England","All","All","All","All","10","37","361","376"
"Percentage of households renting social housing","2015-16 and 2016-17","Two years","Bangladeshi","ONS 2011 18+1","England","All","All","All","All","39","52","135","156"
"Percentage of households renting social housing","2015-16 and 2016-17","Two years","Chinese","ONS 2011 18+1","England","All","All","All","All","9","10","110","117"
"Percentage of households renting social housing","2015-16 and 2016-17","Two years","Asian Other","ONS 2011 18+1","England","All","All","All","All","17","34","204","199"
"Percentage of households renting social housing","2015-16 and 2016-17","Two years","Black African","ONS 2011 18+1","England","All","All","All","All","47","190","406","515"
"Percentage of households renting social housing","2015-16 and 2016-17","Two years","Black Caribbean","ONS 2011 18+1","England","All","All","All","All","45","133","298","332"
"Percentage of households renting social housing","2015-16 and 2016-17","Two years","Black Other","ONS 2011 18+1","England","All","All","All","All","37","11","29","36"
"Percentage of households renting social housing","2015-16 and 2016-17","Two years","Arab","ONS 2011 18+1","England","All","All","All","All","34","25","74","83"
"Percentage of households renting social housing","2015-16 and 2016-17","Two years","Other","ONS 2011 18+1","England","All","All","All","All","23","60","258","271"
"Percentage of households renting social housing","2015-16 and 2016-17","Two years","White British","White British and Other","England","All","Higher managerial, administrative and professional occupations","All","All","5","373","7758","8368"
"Percentage of households renting social housing","2015-16 and 2016-17","Two years","White British","White British and Other","England","All","Intermediate occupations","All","All","13","496","3850","4411"
"Percentage of households renting social housing","2015-16 and 2016-17","Two years","White British","White British and Other","England","All","Routine and manual occupations","All","All","30","1840","6111","7903"
"Percentage of households renting social housing","2015-16 and 2016-17","Two years","White British","White British and Other","England","All","All NS-SEC","All","All","15","2709","17719","20682"
"Percentage of households renting social housing","2015-16 and 2016-17","Two years","Other than White British","White British and Other","England","All","Higher managerial, administrative and professional occupations","All","All","10","157","1531","1511"
"Percentage of households renting social housing","2015-16 and 2016-17","Two years","Other than White British","White British and Other","England","All","Intermediate occupations","All","All","17","134","775","812"
"Percentage of households renting social housing","2015-16 and 2016-17","Two years","Other than White British","White British and Other","England","All","Routine and manual occupations","All","All","32","437","1383","1625"
"Percentage of households renting social housing","2015-16 and 2016-17","Two years","Other than White British","White British and Other","England","All","All NS-SEC","All","All","20","728","3689","3948"
"Percentage of households renting social housing","2015-16 and 2016-17","Two years","All","White British and Other","England","All","Higher managerial, administrative and professional occupations","All","All","6","531","9289","9879"
"Percentage of households renting social housing","2015-16 and 2016-17","Two years","All","White British and Other","England","All","Intermediate occupations","All","All","14","630","4625","5223"
"Percentage of households renting social housing","2015-16 and 2016-17","Two years","All","White British and Other","England","All","Routine and manual occupations","All","All","30","2277","7494","9528"
"Percentage of households renting social housing","2015-16 and 2016-17","Two years","All","White British and Other","England","All","All NS-SEC","All","All","16","3438","21408","24630"
"Percentage of households renting social housing","2015-16 and 2016-17","Two years","White British","White British and Other","England"," 16 - 24","All","All","All","27","149","555","666"
"Percentage of households renting social housing","2015-16 and 2016-17","Two years","White British","White British and Other","England"," 25 - 34","All","All","All","17","398","2359","2644"
"Percentage of households renting social housing","2015-16 and 2016-17","Two years","White British","White British and Other","England"," 35 - 44","All","All","All","17","468","2786","3293"
"Percentage of households renting social housing","2015-16 and 2016-17","Two years","White British","White British and Other","England"," 45 - 54","All","All","All","16","602","3724","4205"
"Percentage of households renting social housing","2015-16 and 2016-17","Two years","White British","White British and Other","England"," 55 - 64","All","All","All","15","498","3380","4092"
"Percentage of households renting social housing","2015-16 and 2016-17","Two years","White British","White British and Other","England"," 65 or over","All","All","All","16","933","6012","7097"
"Percentage of households renting social housing","2015-16 and 2016-17","Two years","White British","White British and Other","England","All Age Group","All","All","All","16","3048","18816","21997"
"Percentage of households renting social housing","2015-16 and 2016-17","Two years","Other than White British","White British and Other","England"," 16 - 24","All","All","All","21","42","197","185"
"Percentage of households renting social housing","2015-16 and 2016-17","Two years","Other than White British","White British and Other","England"," 25 - 34","All","All","All","15","148","976","996"
"Percentage of households renting social housing","2015-16 and 2016-17","Two years","Other than White British","White British and Other","England"," 35 - 44","All","All","All","22","255","1174","1309"
"Percentage of households renting social housing","2015-16 and 2016-17","Two years","Other than White British","White British and Other","England"," 45 - 54","All","All","All","25","204","829","895"
"Percentage of households renting social housing","2015-16 and 2016-17","Two years","Other than White British","White British and Other","England"," 55 - 64","All","All","All","25","110","444","494"
"Percentage of households renting social housing","2015-16 and 2016-17","Two years","Other than White British","White British and Other","England"," 65 or over","All","All","All","26","123","472","540"
"Percentage of households renting social housing","2015-16 and 2016-17","Two years","Other than White British","White British and Other","England","All Age Group","All","All","All","22","882","4093","4419"
"Percentage of households renting social housing","2015-16 and 2016-17","Two years","All","White British and Other","England"," 16 - 24","All","All","All","25","190","752","851"
"Percentage of households renting social housing","2015-16 and 2016-17","Two years","All","White British and Other","England"," 25 - 34","All","All","All","16","547","3336","3640"
"Percentage of households renting social housing","2015-16 and 2016-17","Two years","All","White British and Other","England"," 35 - 44","All","All","All","18","723","3960","4602"
"Percentage of households renting social housing","2015-16 and 2016-17","Two years","All","White British and Other","England"," 45 - 54","All","All","All","18","806","4554","5100"
"Percentage of households renting social housing","2015-16 and 2016-17","Two years","All","White British and Other","England"," 55 - 64","All","All","All","16","609","3824","4586"
"Percentage of households renting social housing","2015-16 and 2016-17","Two years","All","White British and Other","England"," 65 or over","All","All","All","16","1056","6485","7637"
"Percentage of households renting social housing","2015-16 and 2016-17","Two years","All","White British and Other","England","All Age Group","All","All","All","17","3931","22910","26416"
"Percentage of households renting social housing","2015-16 and 2016-17","Two years","White British","White British and Other","England","All","All","All","North East","23","247","1086","1470"
"Percentage of households renting social housing","2015-16 and 2016-17","Two years","White British","White British and Other","England","All","All","All","North West","17","476","2748","3381"
"Percentage of households renting social housing","2015-16 and 2016-17","Two years","White British","White British and Other","England","All","All","All","Yorkshire and the Humber","18","347","1986","2431"
"Percentage of households renting social housing","2015-16 and 2016-17","Two years","White British","White British and Other","England","All","All","All","East Midlands","15","256","1695","2091"
"Percentage of households renting social housing","2015-16 and 2016-17","Two years","White British","White British and Other","England","All","All","All","West Midlands","18","355","1968","2265"
"Percentage of households renting social housing","2015-16 and 2016-17","Two years","White British","White British and Other","England","All","All","All","East","15","339","2197","2575"
"Percentage of households renting social housing","2015-16 and 2016-17","Two years","White British","White British and Other","England","All","All","All","London","18","303","1706","1581"
"Percentage of households renting social housing","2015-16 and 2016-17","Two years","White British","White British and Other","England","All","All","All","South East","14","437","3215","3729"
"Percentage of households renting social housing","2015-16 and 2016-17","Two years","White British","White British and Other","England","All","All","All","South West","13","289","2215","2474"
"Percentage of households renting social housing","2015-16 and 2016-17","Two years","White British","White British and Other","England","All","All","All","All Region","16","3048","18816","21997"
"Percentage of households renting social housing","2015-16 and 2016-17","Two years","Other than White British","White British and Other","England","All","All","All","North East","27","17","61","77"
"Percentage of households renting social housing","2015-16 and 2016-17","Two years","Other than White British","White British and Other","England","All","All","All","North West","23","81","352","430"
"Percentage of households renting social housing","2015-16 and 2016-17","Two years","Other than White British","White British and Other","England","All","All","All","Yorkshire and the Humber","21","60","283","339"
"Percentage of households renting social housing","2015-16 and 2016-17","Two years","Other than White British","White British and Other","England","All","All","All","East Midlands","19","48","257","305"
"Percentage of households renting social housing","2015-16 and 2016-17","Two years","Other than White British","White British and Other","England","All","All","All","West Midlands","20","79","394","444"
"Percentage of households renting social housing","2015-16 and 2016-17","Two years","Other than White British","White British and Other","England","All","All","All","East","16","54","331","389"
"Percentage of households renting social housing","2015-16 and 2016-17","Two years","Other than White British","White British and Other","England","All","All","All","London","27","466","1713","1646"
"Percentage of households renting social housing","2015-16 and 2016-17","Two years","Other than White British","White British and Other","England","All","All","All","South East","10","51","516","593"
"Percentage of households renting social housing","2015-16 and 2016-17","Two years","Other than White British","White British and Other","England","All","All","All","South West","15","27","187","196"
"Percentage of households renting social housing","2015-16 and 2016-17","Two years","Other than White British","White British and Other","England","All","All","All","All Region","22","882","4093","4419"
"Percentage of households renting social housing","2015-16 and 2016-17","Two years","All","White British and Other","England","All","All","All","North East","23","263","1147","1547"
"Percentage of households renting social housing","2015-16 and 2016-17","Two years","All","White British and Other","England","All","All","All","North West","18","556","3100","3811"
"Percentage of households renting social housing","2015-16 and 2016-17","Two years","All","White British and Other","England","All","All","All","Yorkshire and the Humber","18","408","2269","2770"
"Percentage of households renting social housing","2015-16 and 2016-17","Two years","All","White British and Other","England","All","All","All","East Midlands","16","304","1952","2396"
"Percentage of households renting social housing","2015-16 and 2016-17","Two years","All","White British and Other","England","All","All","All","West Midlands","18","434","2362","2709"
"Percentage of households renting social housing","2015-16 and 2016-17","Two years","All","White British and Other","England","All","All","All","East","16","393","2528","2964"
"Percentage of households renting social housing","2015-16 and 2016-17","Two years","All","White British and Other","England","All","All","All","London","23","769","3419","3227"
"Percentage of households renting social housing","2015-16 and 2016-17","Two years","All","White British and Other","England","All","All","All","South East","13","489","3731","4322"
"Percentage of households renting social housing","2015-16 and 2016-17","Two years","All","White British and Other","England","All","All","All","South West","13","316","2403","2670"
"Percentage of households renting social housing","2015-16 and 2016-17","Two years","All","White British and Other","England","All","All","All","All Region","17","3931","22910","26416"
"Percentage of households renting social housing","2015-16 and 2016-17","Two years","White British","White British and Other","England","All","All","Up to £99","All","51","100","195","242"
"Percentage of households renting social housing","2015-16 and 2016-17","Two years","White British","White British and Other","England","All","All","£100 to £199","All","45","678","1524","2059"
"Percentage of households renting social housing","2015-16 and 2016-17","Two years","White British","White British and Other","England","All","All","£200 to £299","All","32","640","2021","2698"
"Percentage of households renting social housing","2015-16 and 2016-17","Two years","White British","White British and Other","England","All","All","£300 to £399","All","24","522","2154","2650"
"Percentage of households renting social housing","2015-16 and 2016-17","Two years","White British","White British and Other","England","All","All","£400 to £499","All","18","326","1768","2139"
"Percentage of households renting social housing","2015-16 and 2016-17","Two years","White British","White British and Other","England","All","All","£500 to £599","All","15","237","1619","1866"
