"Measure","Time","Time_Type","Ethnicity","Ethnicity_Type","Mode_of_Transport","Value","Value_Type","Weighted_Sample_Stage_Distance","Unweighted_Sample_Stage_Distance","Weighted_Sample_Stages","Unweighted_Sample_Stages","Weighted_Sample_Individuals","Unweighted_Sample_Individuals","Notes"
"Average distance per year by mode of transport","2008/12","5-year rolling average","White","ONS 2011 5+1","Other local bus","212","Miles per person per year","296126","280878","64576","60633","72660","72885",""
"Average distance per year by mode of transport","2008/12","5-year rolling average","White","ONS 2011 5+1","Other private transport","127","Miles per person per year","177371","177695","11546","11526","72660","72885",""
"Average distance per year by mode of transport","2008/12","5-year rolling average","White","ONS 2011 5+1","Other public transport","51","Miles per person per year","70411","67200","4411","4019","72660","72885",""
"Average distance per year by mode of transport","2008/12","5-year rolling average","White","ONS 2011 5+1","Surface Rail","517","Miles per person per year","720406","661477","25657","22843","72660","72885",""
"Average distance per year by mode of transport","2008/12","5-year rolling average","White","ONS 2011 5+1","Taxi / minicab","55","Miles per person per year","76191","72100","16241","15004","72660","72885",""
"Average distance per year by mode of transport","2008/12","5-year rolling average","White","ONS 2011 5+1","Walk","198","Miles per person per year","275929","251057","429798","381696","72660","72885",""
"Average distance per year by mode of transport","2009/13","5-year rolling average","All ethnic groups","ONS 2011 5+1","All modes","6675","Miles per person per year","10615867","10120133","1710603","1582947","82923","82444",""
"Average distance per year by mode of transport","2009/13","5-year rolling average","All ethnic groups","ONS 2011 5+1","Bicycle","49","Miles per person per year","78070","70503","26664","23885","82923","82444",""
"Average distance per year by mode of transport","2009/13","5-year rolling average","All ethnic groups","ONS 2011 5+1","Bus in London","83","Miles per person per year","132368","114567","42019","36766","82923","82444",""
"Average distance per year by mode of transport","2009/13","5-year rolling average","All ethnic groups","ONS 2011 5+1","Car / van driver","3318","Miles per person per year","5277322","5046265","630100","598680","82923","82444",""
"Average distance per year by mode of transport","2009/13","5-year rolling average","All ethnic groups","ONS 2011 5+1","Car / van passenger","1896","Miles per person per year","3014774","2956499","345071","334232","82923","82444",""
"Average distance per year by mode of transport","2009/13","5-year rolling average","All ethnic groups","ONS 2011 5+1","London Underground","84","Miles per person per year","132821","109271","21984","17979","82923","82444",""
"Average distance per year by mode of transport","2009/13","5-year rolling average","All ethnic groups","ONS 2011 5+1","Motorcycle ","35","Miles per person per year","55104","48499","5193","4519","82923","82444",""
"Average distance per year by mode of transport","2009/13","5-year rolling average","All ethnic groups","ONS 2011 5+1","Non-local bus","55","Miles per person per year","87059","82342","977","926","82923","82444",""
"Average distance per year by mode of transport","2009/13","5-year rolling average","All ethnic groups","ONS 2011 5+1","Other local bus","207","Miles per person per year","328930","307191","72134","66719","82923","82444",""
"Average distance per year by mode of transport","2009/13","5-year rolling average","All ethnic groups","ONS 2011 5+1","Other private transport","120","Miles per person per year","191467","189049","11958","11842","82923","82444",""
"Average distance per year by mode of transport","2009/13","5-year rolling average","All ethnic groups","ONS 2011 5+1","Other public transport","47","Miles per person per year","74104","71400","5762","5140","82923","82444",""
"Average distance per year by mode of transport","2009/13","5-year rolling average","All ethnic groups","ONS 2011 5+1","Surface Rail","532","Miles per person per year","845574","763199","32225","28308","82923","82444",""
"Average distance per year by mode of transport","2009/13","5-year rolling average","All ethnic groups","ONS 2011 5+1","Taxi / minicab","54","Miles per person per year","85187","79527","17890","16324","82923","82444",""
"Average distance per year by mode of transport","2009/13","5-year rolling average","All ethnic groups","ONS 2011 5+1","Walk","197","Miles per person per year","313087","281821","498624","437627","82923","82444",""
"Average distance per year by mode of transport","2009/13","5-year rolling average","Asian / Asian British","ONS 2011 5+1","All modes","4556","Miles per person per year","493424","425906","104511","89207","5646","5216",""
"Average distance per year by mode of transport","2009/13","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Bicycle","11","Miles per person per year","1182","957","616","507","5646","5216",""
"Average distance per year by mode of transport","2009/13","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Bus in London","219","Miles per person per year","23716","20079","6817","5971","5646","5216",""
"Average distance per year by mode of transport","2009/13","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Car / van driver","1843","Miles per person per year","199631","174604","28341","24829","5646","5216",""
"Average distance per year by mode of transport","2009/13","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Car / van passenger","1231","Miles per person per year","133286","120775","20027","18132","5646","5216",""
"Average distance per year by mode of transport","2009/13","5-year rolling average","Asian / Asian British","ONS 2011 5+1","London Underground","187","Miles per person per year","20202","16099","2793","2205","5646","5216",""
"Average distance per year by mode of transport","2009/13","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Motorcycle ","?","Miles per person per year","?","?","?","?","?","?","Suppresed"
"Average distance per year by mode of transport","2009/13","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Non-local bus","?","Miles per person per year","?","?","?","?","?","?","Suppresed"
"Average distance per year by mode of transport","2009/13","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Other local bus","156","Miles per person per year","16924","13634","3750","3052","5646","5216",""
"Average distance per year by mode of transport","2009/13","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Other private transport","47","Miles per person per year","5052","4659","494","406","5646","5216",""
"Average distance per year by mode of transport","2009/13","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Other public transport","36","Miles per person per year","3857","3347","393","311","5646","5216",""
"Average distance per year by mode of transport","2009/13","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Surface Rail","528","Miles per person per year","57181","45204","2983","2414","5646","5216",""
"Average distance per year by mode of transport","2009/13","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Taxi / minicab","36","Miles per person per year","3948","3196","815","660","5646","5216",""
"Average distance per year by mode of transport","2009/13","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Walk","182","Miles per person per year","19695","16346","37295","30579","5646","5216",""
"Average distance per year by mode of transport","2009/13","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","All modes","4394","Miles per person per year","220559","198310","53643","47898","2617","2530",""
"Average distance per year by mode of transport","2009/13","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Bicycle","?","Miles per person per year","?","?","?","?","?","?","Suppresed"
"Average distance per year by mode of transport","2009/13","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Bus in London","640","Miles per person per year","32138","29087","9754","8822","2617","2530",""
"Average distance per year by mode of transport","2009/13","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Car / van driver","1390","Miles per person per year","69744","63099","9018","8245","2617","2530",""
"Average distance per year by mode of transport","2009/13","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Car / van passenger","1019","Miles per person per year","51123","46312","6598","6213","2617","2530",""
"Average distance per year by mode of transport","2009/13","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","London Underground","223","Miles per person per year","11206","9242","1758","1456","2617","2530",""
"Average distance per year by mode of transport","2009/13","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Motorcycle ","?","Miles per person per year","?","?","?","?","?","?","Suppresed"
"Average distance per year by mode of transport","2009/13","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Non-local bus","?","Miles per person per year","?","?","?","?","?","?","Suppresed"
"Average distance per year by mode of transport","2009/13","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Other local bus","225","Miles per person per year","11272","10016","2531","2260","2617","2530",""
"Average distance per year by mode of transport","2009/13","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Other private transport","?","Miles per person per year","?","?","?","?","?","?","Suppresed"
"Average distance per year by mode of transport","2009/13","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Other public transport","27","Miles per person per year","1374","1215","370","345","2617","2530",""
"Average distance per year by mode of transport","2009/13","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Surface Rail","522","Miles per person per year","26193","23464","1857","1663","2617","2530",""
"Average distance per year by mode of transport","2009/13","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Taxi / minicab","45","Miles per person per year","2266","2012","526","442","2617","2530",""
"Average distance per year by mode of transport","2009/13","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Walk","192","Miles per person per year","9643","8551","20728","17990","2617","2530",""
"Average distance per year by mode of transport","2009/13","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","All modes","4841","Miles per person per year","127029","112757","26615","23726","1368","1296",""
"Average distance per year by mode of transport","2009/13","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Bicycle","36","Miles per person per year","950","825","375","333","1368","1296",""
"Average distance per year by mode of transport","2009/13","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Bus in London","199","Miles per person per year","5225","4724","1742","1569","1368","1296",""
"Average distance per year by mode of transport","2009/13","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Car / van driver","1309","Miles per person per year","34356","30072","4628","4149","1368","1296",""
"Average distance per year by mode of transport","2009/13","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Car / van passenger","1736","Miles per person per year","45554","42501","6449","6182","1368","1296",""
"Average distance per year by mode of transport","2009/13","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","London Underground","122","Miles per person per year","3188","2522","610","454","1368","1296",""
"Average distance per year by mode of transport","2009/13","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Motorcycle ","?","Miles per person per year","?","?","?","?","?","?","Suppresed"
"Average distance per year by mode of transport","2009/13","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Non-local bus","?","Miles per person per year","?","?","?","?","?","?","Suppresed"
"Average distance per year by mode of transport","2009/13","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Other local bus","208","Miles per person per year","5450","4836","1433","1258","1368","1296",""
"Average distance per year by mode of transport","2009/13","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Other private transport","?","Miles per person per year","?","?","?","?","?","?","Suppresed"
"Average distance per year by mode of transport","2009/13","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Other public transport","?","Miles per person per year","?","?","?","?","?","?","Suppresed"
"Average distance per year by mode of transport","2009/13","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Surface Rail","680","Miles per person per year","17830","14730","705","592","1368","1296",""
"Average distance per year by mode of transport","2009/13","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Taxi / minicab","69","Miles per person per year","1821","1593","405","346","1368","1296",""
"Average distance per year by mode of transport","2009/13","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Walk","237","Miles per person per year","6220","5426","9894","8507","1368","1296",""
"Average distance per year by mode of transport","2009/13","5-year rolling average","Other ethnic group","ONS 2011 5+1","All modes","4588","Miles per person per year","95785","83206","20200","16724","1089","982",""
"Average distance per year by mode of transport","2009/13","5-year rolling average","Other ethnic group","ONS 2011 5+1","Bicycle","?","Miles per person per year","?","?","?","?","?","?","Suppresed"
"Average distance per year by mode of transport","2009/13","5-year rolling average","Other ethnic group","ONS 2011 5+1","Bus in London","336","Miles per person per year","7022","5351","2037","1627","1089","982",""
"Average distance per year by mode of transport","2009/13","5-year rolling average","Other ethnic group","ONS 2011 5+1","Car / van driver","1641","Miles per person per year","34268","30780","4432","3969","1089","982",""
"Average distance per year by mode of transport","2009/13","5-year rolling average","Other ethnic group","ONS 2011 5+1","Car / van passenger","1181","Miles per person per year","24661","23297","2773","2686","1089","982",""
"Average distance per year by mode of transport","2009/13","5-year rolling average","Other ethnic group","ONS 2011 5+1","London Underground","316","Miles per person per year","6600","4940","907","661","1089","982",""
"Average distance per year by mode of transport","2009/13","5-year rolling average","Other ethnic group","ONS 2011 5+1","Motorcycle ","?","Miles per person per year","?","?","?","?","?","?","Suppresed"
"Average distance per year by mode of transport","2009/13","5-year rolling average","Other ethnic group","ONS 2011 5+1","Non-local bus","?","Miles per person per year","?","?","?","?","?","?","Suppresed"
"Average distance per year by mode of transport","2009/13","5-year rolling average","Other ethnic group","ONS 2011 5+1","Other local bus","164","Miles per person per year","3414","2680","975","775","1089","982",""
"Average distance per year by mode of transport","2009/13","5-year rolling average","Other ethnic group","ONS 2011 5+1","Other private transport","?","Miles per person per year","?","?","?","?","?","?","Suppresed"
"Average distance per year by mode of transport","2009/13","5-year rolling average","Other ethnic group","ONS 2011 5+1","Other public transport","?","Miles per person per year","?","?","?","?","?","?","Suppresed"
"Average distance per year by mode of transport","2009/13","5-year rolling average","Other ethnic group","ONS 2011 5+1","Surface Rail","453","Miles per person per year","9466","8072","605","465","1089","982",""
"Average distance per year by mode of transport","2009/13","5-year rolling average","Other ethnic group","ONS 2011 5+1","Taxi / minicab","?","Miles per person per year","?","?","?","?","?","?","Suppresed"
"Average distance per year by mode of transport","2009/13","5-year rolling average","Other ethnic group","ONS 2011 5+1","Walk","223","Miles per person per year","4657","3674","7791","5992","1089","982",""
"Average distance per year by mode of transport","2009/13","5-year rolling average","White","ONS 2011 5+1","All modes","6990","Miles per person per year","9671792","9293979","1504301","1404315","72146","72371",""
"Average distance per year by mode of transport","2009/13","5-year rolling average","White","ONS 2011 5+1","Bicycle","54","Miles per person per year","74102","67307","24944","22490","72146","72371",""
"Average distance per year by mode of transport","2009/13","5-year rolling average","White","ONS 2011 5+1","Bus in London","46","Miles per person per year","63861","54991","21527","18657","72146","72371",""
"Average distance per year by mode of transport","2009/13","5-year rolling average","White","ONS 2011 5+1","Car / van driver","3568","Miles per person per year","4936665","4745417","583387","557248","72146","72371",""
"Average distance per year by mode of transport","2009/13","5-year rolling average","White","ONS 2011 5+1","Car / van passenger","1993","Miles per person per year","2758008","2721917","309079","300900","72146","72371",""
"Average distance per year by mode of transport","2009/13","5-year rolling average","White","ONS 2011 5+1","London Underground","66","Miles per person per year","91396","76264","15854","13144","72146","72371",""
"Average distance per year by mode of transport","2009/13","5-year rolling average","White","ONS 2011 5+1","Motorcycle ","39","Miles per person per year","53787","47592","5029","4399","72146","72371",""
"Average distance per year by mode of transport","2009/13","5-year rolling average","White","ONS 2011 5+1","Non-local bus","51","Miles per person per year","70573","68695","823","792","72146","72371",""
"Average distance per year by mode of transport","2009/13","5-year rolling average","White","ONS 2011 5+1","Other local bus","211","Miles per person per year","291831","275990","63436","59364","72146","72371",""
"Average distance per year by mode of transport","2009/13","5-year rolling average","White","ONS 2011 5+1","Other private transport","131","Miles per person per year","180705","179286","11019","11021","72146","72371",""
"Average distance per year by mode of transport","2009/13","5-year rolling average","White","ONS 2011 5+1","Other public transport","49","Miles per person per year","68052","66081","4816","4316","72146","72371",""
"Average distance per year by mode of transport","2009/13","5-year rolling average","White","ONS 2011 5+1","Surface Rail","530","Miles per person per year","734031","670950","26025","23130","72146","72371",""
"Average distance per year by mode of transport","2009/13","5-year rolling average","White","ONS 2011 5+1","Taxi / minicab","55","Miles per person per year","76210","71910","15919","14683","72146","72371",""
"Average distance per year by mode of transport","2009/13","5-year rolling average","White","ONS 2011 5+1","Walk","197","Miles per person per year","272572","247580","422443","374171","72146","72371",""
"Average distance per year by mode of transport","2010/14","5-year rolling average","All ethnic groups","ONS 2011 5+1","All modes","6630","Miles per person per year","10474070","9932835","1681704","1549508","82367","81636",""
"Average distance per year by mode of transport","2010/14","5-year rolling average","All ethnic groups","ONS 2011 5+1","Bicycle","51","Miles per person per year","80764","71853","27134","23906","82367","81636",""
"Average distance per year by mode of transport","2010/14","5-year rolling average","All ethnic groups","ONS 2011 5+1","Bus in London","82","Miles per person per year","129978","112723","41170","35904","82367","81636",""
"Average distance per year by mode of transport","2010/14","5-year rolling average","All ethnic groups","ONS 2011 5+1","Car / van driver","3318","Miles per person per year","5241244","4984682","623196","589925","82367","81636",""
"Average distance per year by mode of transport","2010/14","5-year rolling average","All ethnic groups","ONS 2011 5+1","Car / van passenger","1856","Miles per person per year","2932211","2859092","338718","326397","82367","81636",""
"Average distance per year by mode of transport","2010/14","5-year rolling average","All ethnic groups","ONS 2011 5+1","London Underground","84","Miles per person per year","133327","109026","21941","17767","82367","81636",""
"Average distance per year by mode of transport","2010/14","5-year rolling average","All ethnic groups","ONS 2011 5+1","Motorcycle ","33","Miles per person per year","52401","45791","5223","4527","82367","81636",""
"Average distance per year by mode of transport","2010/14","5-year rolling average","All ethnic groups","ONS 2011 5+1","Non-local bus","55","Miles per person per year","87453","82267","1034","976","82367","81636",""
"Average distance per year by mode of transport","2010/14","5-year rolling average","All ethnic groups","ONS 2011 5+1","Other local bus","205","Miles per person per year","323188","301018","69886","64464","82367","81636",""
"Average distance per year by mode of transport","2010/14","5-year rolling average","All ethnic groups","ONS 2011 5+1","Other private transport","113","Miles per person per year","179021","180434","11095","11121","82367","81636",""
"Average distance per year by mode of transport","2010/14","5-year rolling average","All ethnic groups","ONS 2011 5+1","Other public transport","43","Miles per person per year","67503","65187","5915","5302","82367","81636",""
"Average distance per year by mode of transport","2010/14","5-year rolling average","All ethnic groups","ONS 2011 5+1","Surface Rail","542","Miles per person per year","856591","768031","33328","28923","82367","81636",""
"Average distance per year by mode of transport","2010/14","5-year rolling average","All ethnic groups","ONS 2011 5+1","Taxi / minicab","54","Miles per person per year","85281","79153","17855","16247","82367","81636",""
"Average distance per year by mode of transport","2010/14","5-year rolling average","All ethnic groups","ONS 2011 5+1","Walk","193","Miles per person per year","305107","273577","485208","424049","82367","81636",""
"Average distance per year by mode of transport","2010/14","5-year rolling average","Asian / Asian British","ONS 2011 5+1","All modes","4482","Miles per person per year","487252","418635","103063","87654","5668","5215",""
"Average distance per year by mode of transport","2010/14","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Bicycle","12","Miles per person per year","1332","1086","677","560","5668","5215",""
"Average distance per year by mode of transport","2010/14","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Bus in London","218","Miles per person per year","23683","20159","6940","6059","5668","5215",""
"Average distance per year by mode of transport","2010/14","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Car / van driver","1805","Miles per person per year","196200","170713","27575","24155","5668","5215",""
"Average distance per year by mode of transport","2010/14","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Car / van passenger","1154","Miles per person per year","125444","113531","19349","17515","5668","5215",""
"Average distance per year by mode of transport","2010/14","5-year rolling average","Asian / Asian British","ONS 2011 5+1","London Underground","218","Miles per person per year","23659","18677","3175","2448","5668","5215",""
"Average distance per year by mode of transport","2010/14","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Motorcycle ","?","Miles per person per year","?","?","?","?","?","?","Suppresed"
"Average distance per year by mode of transport","2010/14","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Non-local bus","?","Miles per person per year","?","?","?","?","?","?","Suppresed"
"Average distance per year by mode of transport","2010/14","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Other local bus","156","Miles per person per year","16981","13622","3647","2944","5668","5215",""
"Average distance per year by mode of transport","2010/14","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Other private transport","51","Miles per person per year","5553","5133","394","375","5668","5215",""
"Average distance per year by mode of transport","2010/14","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Other public transport","33","Miles per person per year","3567","3101","413","334","5668","5215",""
"Average distance per year by mode of transport","2010/14","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Surface Rail","534","Miles per person per year","58090","45861","3165","2532","5668","5215",""
"Average distance per year by mode of transport","2010/14","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Taxi / minicab","41","Miles per person per year","4468","3689","869","700","5668","5215",""
"Average distance per year by mode of transport","2010/14","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Walk","176","Miles per person per year","19132","15767","36637","29860","5668","5215",""
"Average distance per year by mode of transport","2010/14","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","All modes","4455","Miles per person per year","224316","203664","53052","47779","2625","2560",""
"Average distance per year by mode of transport","2010/14","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Bicycle","?","Miles per person per year","?","?","?","?","?","?","Suppresed"
"Average distance per year by mode of transport","2010/14","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Bus in London","647","Miles per person per year","32562","29761","9533","8712","2625","2560",""
"Average distance per year by mode of transport","2010/14","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Car / van driver","1377","Miles per person per year","69342","63514","9030","8286","2625","2560",""
"Average distance per year by mode of transport","2010/14","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Car / van passenger","1044","Miles per person per year","52576","48223","6817","6435","2625","2560",""
"Average distance per year by mode of transport","2010/14","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","London Underground","226","Miles per person per year","11394","10014","1732","1496","2625","2560",""
"Average distance per year by mode of transport","2010/14","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Motorcycle ","?","Miles per person per year","?","?","?","?","?","?","Suppresed"
"Average distance per year by mode of transport","2010/14","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Non-local bus","?","Miles per person per year","?","?","?","?","?","?","Suppresed"
"Average distance per year by mode of transport","2010/14","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Other local bus","207","Miles per person per year","10425","9226","2436","2167","2625","2560",""
"Average distance per year by mode of transport","2010/14","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Other private transport","?","Miles per person per year","?","?","?","?","?","?","Suppresed"
"Average distance per year by mode of transport","2010/14","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Other public transport","32","Miles per person per year","1596","1479","432","411","2625","2560",""
"Average distance per year by mode of transport","2010/14","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Surface Rail","564","Miles per person per year","28403","25306","1969","1737","2625","2560",""
"Average distance per year by mode of transport","2010/14","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Taxi / minicab","60","Miles per person per year","3030","2423","565","456","2625","2560",""
"Average distance per year by mode of transport","2010/14","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Walk","189","Miles per person per year","9513","8548","20050","17618","2625","2560",""
"Average distance per year by mode of transport","2010/14","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","All modes","4814","Miles per person per year","120381","105782","24872","21955","1304","1228",""
"Average distance per year by mode of transport","2010/14","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Bicycle","39","Miles per person per year","986","821","393","340","1304","1228",""
"Average distance per year by mode of transport","2010/14","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Bus in London","180","Miles per person per year","4510","4037","1586","1411","1304","1228",""
"Average distance per year by mode of transport","2010/14","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Car / van driver","1322","Miles per person per year","33045","28717","4344","3882","1304","1228",""
"Average distance per year by mode of transport","2010/14","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Car / van passenger","1711","Miles per person per year","42788","39514","6046","5776","1304","1228",""
"Average distance per year by mode of transport","2010/14","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","London Underground","118","Miles per person per year","2962","2211","610","443","1304","1228",""
"Average distance per year by mode of transport","2010/14","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Motorcycle ","?","Miles per person per year","?","?","?","?","?","?","Suppresed"
"Average distance per year by mode of transport","2010/14","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Non-local bus","?","Miles per person per year","?","?","?","?","?","?","Suppresed"
"Average distance per year by mode of transport","2010/14","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Other local bus","196","Miles per person per year","4897","4321","1286","1111","1304","1228",""
"Average distance per year by mode of transport","2010/14","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Other private transport","?","Miles per person per year","?","?","?","?","?","?","Suppresed"
"Average distance per year by mode of transport","2010/14","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Other public transport","?","Miles per person per year","?","?","?","?","?","?","Suppresed"
"Average distance per year by mode of transport","2010/14","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Surface Rail","729","Miles per person per year","18236","14778","788","638","1304","1228",""
"Average distance per year by mode of transport","2010/14","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Taxi / minicab","70","Miles per person per year","1762","1503","387","321","1304","1228",""
"Average distance per year by mode of transport","2010/14","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Walk","235","Miles per person per year","5883","5107","9090","7716","1304","1228",""
"Average distance per year by mode of transport","2010/14","5-year rolling average","Other ethnic group","ONS 2011 5+1","All modes","4536","Miles per person per year","98661","87417","20170","17173","1134","1034",""
"Average distance per year by mode of transport","2010/14","5-year rolling average","Other ethnic group","ONS 2011 5+1","Bicycle","?","Miles per person per year","?","?","?","?","?","?","Suppresed"
"Average distance per year by mode of transport","2010/14","5-year rolling average","Other ethnic group","ONS 2011 5+1","Bus in London","315","Miles per person per year","6842","5597","1933","1593","1134","1034",""
"Average distance per year by mode of transport","2010/14","5-year rolling average","Other ethnic group","ONS 2011 5+1","Car / van driver","1704","Miles per person per year","37054","33157","4947","4420","1134","1034",""
"Average distance per year by mode of transport","2010/14","5-year rolling average","Other ethnic group","ONS 2011 5+1","Car / van passenger","1272","Miles per person per year","27668","26334","3105","2951","1134","1034",""
"Average distance per year by mode of transport","2010/14","5-year rolling average","Other ethnic group","ONS 2011 5+1","London Underground","222","Miles per person per year","4818","3938","709","560","1134","1034",""
"Average distance per year by mode of transport","2010/14","5-year rolling average","Other ethnic group","ONS 2011 5+1","Motorcycle ","?","Miles per person per year","?","?","?","?","?","?","Suppresed"
"Average distance per year by mode of transport","2010/14","5-year rolling average","Other ethnic group","ONS 2011 5+1","Non-local bus","?","Miles per person per year","?","?","?","?","?","?","Suppresed"
"Average distance per year by mode of transport","2010/14","5-year rolling average","Other ethnic group","ONS 2011 5+1","Other local bus","141","Miles per person per year","3057","2465","829","679","1134","1034",""
"Average distance per year by mode of transport","2010/14","5-year rolling average","Other ethnic group","ONS 2011 5+1","Other private transport","?","Miles per person per year","?","?","?","?","?","?","Suppresed"
"Average distance per year by mode of transport","2010/14","5-year rolling average","Other ethnic group","ONS 2011 5+1","Other public transport","?","Miles per person per year","?","?","?","?","?","?","Suppresed"
"Average distance per year by mode of transport","2010/14","5-year rolling average","Other ethnic group","ONS 2011 5+1","Surface Rail","407","Miles per person per year","8855","7627","578","444","1134","1034",""
"Average distance per year by mode of transport","2010/14","5-year rolling average","Other ethnic group","ONS 2011 5+1","Taxi / minicab","?","Miles per person per year","?","?","?","?","?","?","Suppresed"
"Average distance per year by mode of transport","2010/14","5-year rolling average","Other ethnic group","ONS 2011 5+1","Walk","198","Miles per person per year","4306","3587","7246","5873","1134","1034",""
"Average distance per year by mode of transport","2010/14","5-year rolling average","White","ONS 2011 5+1","All modes","6947","Miles per person per year","9537238","9112339","1479293","1373969","71580","71551",""
"Average distance per year by mode of transport","2010/14","5-year rolling average","White","ONS 2011 5+1","Bicycle","56","Miles per person per year","76734","68609","25290","22409","71580","71551",""
"Average distance per year by mode of transport","2010/14","5-year rolling average","White","ONS 2011 5+1","Bus in London","45","Miles per person per year","61980","52842","21040","18017","71580","71551",""
"Average distance per year by mode of transport","2010/14","5-year rolling average","White","ONS 2011 5+1","Car / van driver","3572","Miles per person per year","4903412","4686661","577035","548969","71580","71551",""
"Average distance per year by mode of transport","2010/14","5-year rolling average","White","ONS 2011 5+1","Car / van passenger","1954","Miles per person per year","2682065","2630258","303281","293628","71580","71551",""
