"Measure","Time","Time_Type","Ethnicity","Ethnicity_Type","Trip_Purpose","Value","Value_Type","Weighted_Sample_Stage_Distance","Unweighted_Sample_Stage_Distance","Weighted_Sample_Trips","Unweighted_Sample_Trips","Weighted_Sample_Individuals","Unweighted_Sample_Individuals","Notes"
"Average distance per year by trip purpose","2008/12","5-year rolling average","All ethnic groups","ONS 2011 5+1","Other including just walk","46","Miles per person per year","73304","71729","73331","69741","83120","82612",""
"Average distance per year by trip purpose","2008/12","5-year rolling average","All ethnic groups","ONS 2011 5+1","Personal business","488","Miles per person per year","777641","734907","160726","150401","83120","82612",""
"Average distance per year by trip purpose","2008/12","5-year rolling average","All ethnic groups","ONS 2011 5+1","Shopping","822","Miles per person per year","1310107","1196814","312644","279945","83120","82612",""
"Average distance per year by trip purpose","2008/12","5-year rolling average","Asian / Asian British","ONS 2011 5+1","All Purposes","4589","Miles per person per year","479726","410344","87504","74523","5450","4980",""
"Average distance per year by trip purpose","2008/12","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Business","273","Miles per person per year","28490","24685","1813","1588","5450","4980",""
"Average distance per year by trip purpose","2008/12","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Commuting","1318","Miles per person per year","137796","112560","16756","13338","5450","4980",""
"Average distance per year by trip purpose","2008/12","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Education / escort education","432","Miles per person per year","45156","39446","18570","16656","5450","4980",""
"Average distance per year by trip purpose","2008/12","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Leisure","1398","Miles per person per year","146146","129996","15943","14061","5450","4980",""
"Average distance per year by trip purpose","2008/12","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Other escort","309","Miles per person per year","32294","27938","7794","6920","5450","4980",""
"Average distance per year by trip purpose","2008/12","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Other including just walk","21","Miles per person per year","2246","2001","2097","1882","5450","4980",""
"Average distance per year by trip purpose","2008/12","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Personal business","380","Miles per person per year","39710","34272","9618","8202","5450","4980",""
"Average distance per year by trip purpose","2008/12","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Shopping","458","Miles per person per year","47888","39446","14912","11876","5450","4980",""
"Average distance per year by trip purpose","2008/12","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","All Purposes","4497","Miles per person per year","213457","194278","39246","35503","2475","2396",""
"Average distance per year by trip purpose","2008/12","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Business","329","Miles per person per year","15601","15011","1252","1123","2475","2396",""
"Average distance per year by trip purpose","2008/12","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Commuting","1133","Miles per person per year","53785","46996","6459","5513","2475","2396",""
"Average distance per year by trip purpose","2008/12","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Education / escort education","500","Miles per person per year","23717","23133","7974","7962","2475","2396",""
"Average distance per year by trip purpose","2008/12","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Leisure","1223","Miles per person per year","58058","54193","7881","7188","2475","2396",""
"Average distance per year by trip purpose","2008/12","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Other escort","246","Miles per person per year","11673","10792","2990","2859","2475","2396",""
"Average distance per year by trip purpose","2008/12","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Other including just walk","15","Miles per person per year","707","702","558","506","2475","2396",""
"Average distance per year by trip purpose","2008/12","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Personal business","620","Miles per person per year","29409","26168","5526","4902","2475","2396",""
"Average distance per year by trip purpose","2008/12","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Shopping","432","Miles per person per year","20507","17284","6607","5450","2475","2396",""
"Average distance per year by trip purpose","2008/12","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","All Purposes","4950","Miles per person per year","129937","115470","23398","20669","1369","1285",""
"Average distance per year by trip purpose","2008/12","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Business","243","Miles per person per year","6367","5897","377","334","1369","1285",""
"Average distance per year by trip purpose","2008/12","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Commuting","851","Miles per person per year","22336","19019","3027","2415","1369","1285",""
"Average distance per year by trip purpose","2008/12","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Education / escort education","363","Miles per person per year","9540","9076","4481","4214","1369","1285",""
"Average distance per year by trip purpose","2008/12","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Leisure","2256","Miles per person per year","59214","53282","6218","5570","1369","1285",""
"Average distance per year by trip purpose","2008/12","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Other escort","471","Miles per person per year","12369","11435","2668","2462","1369","1285",""
"Average distance per year by trip purpose","2008/12","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Other including just walk","31","Miles per person per year","814","771","976","913","1369","1285",""
"Average distance per year by trip purpose","2008/12","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Personal business","340","Miles per person per year","8927","7527","2288","2022","1369","1285",""
"Average distance per year by trip purpose","2008/12","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Shopping","395","Miles per person per year","10368","8463","3363","2739","1369","1285",""
"Average distance per year by trip purpose","2008/12","5-year rolling average","Other ethnic group","ONS 2011 5+1","All Purposes","4429","Miles per person per year","94291","82283","16997","14381","1110","1014",""
"Average distance per year by trip purpose","2008/12","5-year rolling average","Other ethnic group","ONS 2011 5+1","Business","364","Miles per person per year","7755","7277","543","472","1110","1014",""
"Average distance per year by trip purpose","2008/12","5-year rolling average","Other ethnic group","ONS 2011 5+1","Commuting","929","Miles per person per year","19783","15947","2919","2300","1110","1014",""
"Average distance per year by trip purpose","2008/12","5-year rolling average","Other ethnic group","ONS 2011 5+1","Education / escort education","394","Miles per person per year","8381","7312","2855","2619","1110","1014",""
"Average distance per year by trip purpose","2008/12","5-year rolling average","Other ethnic group","ONS 2011 5+1","Leisure","1578","Miles per person per year","33600","30226","3585","3135","1110","1014",""
"Average distance per year by trip purpose","2008/12","5-year rolling average","Other ethnic group","ONS 2011 5+1","Other escort","297","Miles per person per year","6328","5606","1234","1124","1110","1014",""
"Average distance per year by trip purpose","2008/12","5-year rolling average","Other ethnic group","ONS 2011 5+1","Other including just walk","36","Miles per person per year","768","626","775","593","1110","1014",""
"Average distance per year by trip purpose","2008/12","5-year rolling average","Other ethnic group","ONS 2011 5+1","Personal business","348","Miles per person per year","7405","6641","1723","1451","1110","1014",""
"Average distance per year by trip purpose","2008/12","5-year rolling average","Other ethnic group","ONS 2011 5+1","Shopping","482","Miles per person per year","10271","8648","3363","2687","1110","1014",""
"Average distance per year by trip purpose","2008/12","5-year rolling average","White","ONS 2011 5+1","All Purposes","7037","Miles per person per year","9806947","9403474","1405761","1317501","72660","72885",""
"Average distance per year by trip purpose","2008/12","5-year rolling average","White","ONS 2011 5+1","Business","612","Miles per person per year","852879","839400","43337","41743","72660","72885",""
"Average distance per year by trip purpose","2008/12","5-year rolling average","White","ONS 2011 5+1","Commuting","1339","Miles per person per year","1865691","1663583","210255","184671","72660","72885",""
"Average distance per year by trip purpose","2008/12","5-year rolling average","White","ONS 2011 5+1","Education / escort education","305","Miles per person per year","425301","408839","147898","140800","72660","72885",""
"Average distance per year by trip purpose","2008/12","5-year rolling average","White","ONS 2011 5+1","Leisure","2847","Miles per person per year","3968016","3966021","377231","369290","72660","72885",""
"Average distance per year by trip purpose","2008/12","5-year rolling average","White","ONS 2011 5+1","Other escort","513","Miles per person per year","714794","676149","132525","124444","72660","72885",""
"Average distance per year by trip purpose","2008/12","5-year rolling average","White","ONS 2011 5+1","Other including just walk","49","Miles per person per year","68699","67553","68892","65811","72660","72885",""
"Average distance per year by trip purpose","2008/12","5-year rolling average","White","ONS 2011 5+1","Personal business","496","Miles per person per year","691049","659441","141420","133714","72660","72885",""
"Average distance per year by trip purpose","2008/12","5-year rolling average","White","ONS 2011 5+1","Shopping","876","Miles per person per year","1220519","1122488","284204","257028","72660","72885",""
"Average distance per year by trip purpose","2009/13","5-year rolling average","All ethnic groups","ONS 2011 5+1","All Purposes","6675","Miles per person per year","10615867","10120133","1547645","1442650","82923","82444",""
"Average distance per year by trip purpose","2009/13","5-year rolling average","All ethnic groups","ONS 2011 5+1","Business","571","Miles per person per year","907727","887742","47018","44961","82923","82444",""
"Average distance per year by trip purpose","2009/13","5-year rolling average","All ethnic groups","ONS 2011 5+1","Commuting","1305","Miles per person per year","2074864","1836367","235075","204166","82923","82444",""
"Average distance per year by trip purpose","2009/13","5-year rolling average","All ethnic groups","ONS 2011 5+1","Education / escort education","324","Miles per person per year","515831","490922","183582","174640","82923","82444",""
"Average distance per year by trip purpose","2009/13","5-year rolling average","All ethnic groups","ONS 2011 5+1","Leisure","2662","Miles per person per year","4234067","4209614","404119","393437","82923","82444",""
"Average distance per year by trip purpose","2009/13","5-year rolling average","All ethnic groups","ONS 2011 5+1","Other escort","482","Miles per person per year","767267","723986","143764","134853","82923","82444",""
"Average distance per year by trip purpose","2009/13","5-year rolling average","All ethnic groups","ONS 2011 5+1","Other including just walk","46","Miles per person per year","73438","72141","72267","68966","82923","82444",""
"Average distance per year by trip purpose","2009/13","5-year rolling average","All ethnic groups","ONS 2011 5+1","Personal business","479","Miles per person per year","762284","724876","155577","146370","82923","82444",""
"Average distance per year by trip purpose","2009/13","5-year rolling average","All ethnic groups","ONS 2011 5+1","Shopping","805","Miles per person per year","1280388","1174485","306245","275257","82923","82444",""
"Average distance per year by trip purpose","2009/13","5-year rolling average","Asian / Asian British","ONS 2011 5+1","All Purposes","4556","Miles per person per year","493424","425906","90069","77766","5646","5216",""
"Average distance per year by trip purpose","2009/13","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Business","274","Miles per person per year","29673","26567","1881","1686","5646","5216",""
"Average distance per year by trip purpose","2009/13","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Commuting","1329","Miles per person per year","143903","119248","16985","13761","5646","5216",""
"Average distance per year by trip purpose","2009/13","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Education / escort education","409","Miles per person per year","44295","39612","18729","17142","5646","5216",""
"Average distance per year by trip purpose","2009/13","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Leisure","1382","Miles per person per year","149613","133166","16341","14515","5646","5216",""
"Average distance per year by trip purpose","2009/13","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Other escort","317","Miles per person per year","34363","29556","8279","7338","5646","5216",""
"Average distance per year by trip purpose","2009/13","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Other including just walk","20","Miles per person per year","2196","2017","2423","2192","5646","5216",""
"Average distance per year by trip purpose","2009/13","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Personal business","384","Miles per person per year","41625","36155","9901","8611","5646","5216",""
"Average distance per year by trip purpose","2009/13","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Shopping","441","Miles per person per year","47756","39585","15530","12521","5646","5216",""
"Average distance per year by trip purpose","2009/13","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","All Purposes","4394","Miles per person per year","220559","198310","40822","36917","2617","2530",""
"Average distance per year by trip purpose","2009/13","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Business","266","Miles per person per year","13330","12559","1176","1074","2617","2530",""
"Average distance per year by trip purpose","2009/13","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Commuting","1099","Miles per person per year","55141","47105","6556","5520","2617","2530",""
"Average distance per year by trip purpose","2009/13","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Education / escort education","537","Miles per person per year","26964","26124","9030","9032","2617","2530",""
"Average distance per year by trip purpose","2009/13","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Leisure","1179","Miles per person per year","59160","54526","7888","7156","2617","2530",""
"Average distance per year by trip purpose","2009/13","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Other escort","252","Miles per person per year","12632","11523","3054","2881","2617","2530",""
"Average distance per year by trip purpose","2009/13","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Other including just walk","13","Miles per person per year","642","651","529","497","2617","2530",""
"Average distance per year by trip purpose","2009/13","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Personal business","627","Miles per person per year","31464","27772","5916","5245","2617","2530",""
"Average distance per year by trip purpose","2009/13","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Shopping","423","Miles per person per year","21227","18049","6672","5512","2617","2530",""
"Average distance per year by trip purpose","2009/13","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","All Purposes","4841","Miles per person per year","127029","112757","23096","20713","1368","1296",""
"Average distance per year by trip purpose","2009/13","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Business","273","Miles per person per year","7167","6959","452","419","1368","1296",""
"Average distance per year by trip purpose","2009/13","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Commuting","794","Miles per person per year","20834","18147","2781","2273","1368","1296",""
"Average distance per year by trip purpose","2009/13","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Education / escort education","418","Miles per person per year","10963","10387","4707","4501","1368","1296",""
"Average distance per year by trip purpose","2009/13","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Leisure","2133","Miles per person per year","55962","49102","5926","5349","1368","1296",""
"Average distance per year by trip purpose","2009/13","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Other escort","483","Miles per person per year","12678","11651","2594","2399","1368","1296",""
"Average distance per year by trip purpose","2009/13","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Other including just walk","32","Miles per person per year","845","805","1021","950","1368","1296",""
"Average distance per year by trip purpose","2009/13","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Personal business","328","Miles per person per year","8611","7450","2278","2049","1368","1296",""
"Average distance per year by trip purpose","2009/13","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Shopping","380","Miles per person per year","9968","8254","3336","2773","1368","1296",""
"Average distance per year by trip purpose","2009/13","5-year rolling average","Other ethnic group","ONS 2011 5+1","All Purposes","4588","Miles per person per year","95785","83206","16605","14018","1089","982",""
"Average distance per year by trip purpose","2009/13","5-year rolling average","Other ethnic group","ONS 2011 5+1","Business","355","Miles per person per year","7422","6949","569","470","1089","982",""
"Average distance per year by trip purpose","2009/13","5-year rolling average","Other ethnic group","ONS 2011 5+1","Commuting","968","Miles per person per year","20217","16329","2840","2258","1089","982",""
"Average distance per year by trip purpose","2009/13","5-year rolling average","Other ethnic group","ONS 2011 5+1","Education / escort education","404","Miles per person per year","8433","7073","2688","2453","1089","982",""
"Average distance per year by trip purpose","2009/13","5-year rolling average","Other ethnic group","ONS 2011 5+1","Leisure","1698","Miles per person per year","35440","31740","3545","3105","1089","982",""
"Average distance per year by trip purpose","2009/13","5-year rolling average","Other ethnic group","ONS 2011 5+1","Other escort","298","Miles per person per year","6217","5588","1341","1267","1089","982",""
"Average distance per year by trip purpose","2009/13","5-year rolling average","Other ethnic group","ONS 2011 5+1","Other including just walk","34","Miles per person per year","716","589","738","554","1089","982",""
"Average distance per year by trip purpose","2009/13","5-year rolling average","Other ethnic group","ONS 2011 5+1","Personal business","359","Miles per person per year","7502","6690","1610","1361","1089","982",""
"Average distance per year by trip purpose","2009/13","5-year rolling average","Other ethnic group","ONS 2011 5+1","Shopping","471","Miles per person per year","9838","8249","3272","2550","1089","982",""
"Average distance per year by trip purpose","2009/13","5-year rolling average","White","ONS 2011 5+1","All Purposes","6990","Miles per person per year","9671792","9293979","1376016","1292419","72146","72371",""
"Average distance per year by trip purpose","2009/13","5-year rolling average","White","ONS 2011 5+1","Business","614","Miles per person per year","849110","834051","42880","41266","72146","72371",""
"Average distance per year by trip purpose","2009/13","5-year rolling average","White","ONS 2011 5+1","Commuting","1325","Miles per person per year","1832816","1633805","205737","180208","72146","72371",""
"Average distance per year by trip purpose","2009/13","5-year rolling average","White","ONS 2011 5+1","Education / escort education","307","Miles per person per year","424838","407438","148296","141407","72146","72371",""
"Average distance per year by trip purpose","2009/13","5-year rolling average","White","ONS 2011 5+1","Leisure","2842","Miles per person per year","3931905","3939294","370215","363141","72146","72371",""
"Average distance per year by trip purpose","2009/13","5-year rolling average","White","ONS 2011 5+1","Other escort","506","Miles per person per year","700779","665162","128396","120894","72146","72371",""
"Average distance per year by trip purpose","2009/13","5-year rolling average","White","ONS 2011 5+1","Other including just walk","50","Miles per person per year","68980","68017","67532","64751","72146","72371",""
"Average distance per year by trip purpose","2009/13","5-year rolling average","White","ONS 2011 5+1","Personal business","486","Miles per person per year","672176","646194","135713","128992","72146","72371",""
"Average distance per year by trip purpose","2009/13","5-year rolling average","White","ONS 2011 5+1","Shopping","861","Miles per person per year","1191186","1100018","277248","251760","72146","72371",""
"Average distance per year by trip purpose","2010/14","5-year rolling average","All ethnic groups","ONS 2011 5+1","All Purposes","6630","Miles per person per year","10474070","9932835","1519448","1410439","82367","81636",""
"Average distance per year by trip purpose","2010/14","5-year rolling average","All ethnic groups","ONS 2011 5+1","Business","591","Miles per person per year","934276","901943","47278","44898","82367","81636",""
"Average distance per year by trip purpose","2010/14","5-year rolling average","All ethnic groups","ONS 2011 5+1","Commuting","1310","Miles per person per year","2069849","1819316","233774","201545","82367","81636",""
"Average distance per year by trip purpose","2010/14","5-year rolling average","All ethnic groups","ONS 2011 5+1","Education / escort education","332","Miles per person per year","523873","497049","183700","173788","82367","81636",""
"Average distance per year by trip purpose","2010/14","5-year rolling average","All ethnic groups","ONS 2011 5+1","Leisure","2604","Miles per person per year","4113760","4079689","394437","383694","82367","81636",""
"Average distance per year by trip purpose","2010/14","5-year rolling average","All ethnic groups","ONS 2011 5+1","Other escort","476","Miles per person per year","751560","702583","140651","130581","82367","81636",""
"Average distance per year by trip purpose","2010/14","5-year rolling average","All ethnic groups","ONS 2011 5+1","Other including just walk","45","Miles per person per year","71643","70015","70347","66837","82367","81636",""
"Average distance per year by trip purpose","2010/14","5-year rolling average","All ethnic groups","ONS 2011 5+1","Personal business","482","Miles per person per year","761103","717945","151019","141277","82367","81636",""
"Average distance per year by trip purpose","2010/14","5-year rolling average","All ethnic groups","ONS 2011 5+1","Shopping","790","Miles per person per year","1248005","1144294","298242","267819","82367","81636",""
"Average distance per year by trip purpose","2010/14","5-year rolling average","Asian / Asian British","ONS 2011 5+1","All Purposes","4482","Miles per person per year","487252","418635","87865","75623","5668","5215",""
"Average distance per year by trip purpose","2010/14","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Business","257","Miles per person per year","27963","24689","1802","1598","5668","5215",""
"Average distance per year by trip purpose","2010/14","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Commuting","1369","Miles per person per year","148864","122936","17123","13858","5668","5215",""
"Average distance per year by trip purpose","2010/14","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Education / escort education","401","Miles per person per year","43555","38447","17821","16224","5668","5215",""
"Average distance per year by trip purpose","2010/14","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Leisure","1358","Miles per person per year","147597","131182","16097","14226","5668","5215",""
"Average distance per year by trip purpose","2010/14","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Other escort","292","Miles per person per year","31791","27127","7712","6786","5668","5215",""
"Average distance per year by trip purpose","2010/14","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Other including just walk","20","Miles per person per year","2177","1974","2420","2163","5668","5215",""
"Average distance per year by trip purpose","2010/14","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Personal business","354","Miles per person per year","38525","33434","9857","8574","5668","5215",""
"Average distance per year by trip purpose","2010/14","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Shopping","430","Miles per person per year","46780","38845","15032","12194","5668","5215",""
"Average distance per year by trip purpose","2010/14","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","All Purposes","4455","Miles per person per year","224316","203664","40748","37051","2625","2560",""
"Average distance per year by trip purpose","2010/14","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Business","275","Miles per person per year","13860","13108","1174","1096","2625","2560",""
"Average distance per year by trip purpose","2010/14","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Commuting","1105","Miles per person per year","55645","48030","6539","5512","2625","2560",""
"Average distance per year by trip purpose","2010/14","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Education / escort education","533","Miles per person per year","26830","26195","9373","9406","2625","2560",""
"Average distance per year by trip purpose","2010/14","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Leisure","1190","Miles per person per year","59931","55588","7549","6865","2625","2560",""
"Average distance per year by trip purpose","2010/14","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Other escort","252","Miles per person per year","12673","11737","3071","2912","2625","2560",""
"Average distance per year by trip purpose","2010/14","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Other including just walk","12","Miles per person per year","604","622","588","555","2625","2560",""
"Average distance per year by trip purpose","2010/14","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Personal business","678","Miles per person per year","34159","30758","5910","5301","2625","2560",""
"Average distance per year by trip purpose","2010/14","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Shopping","409","Miles per person per year","20614","17626","6544","5404","2625","2560",""
"Average distance per year by trip purpose","2010/14","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","All Purposes","4814","Miles per person per year","120381","105782","21473","19102","1304","1228",""
"Average distance per year by trip purpose","2010/14","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Business","278","Miles per person per year","6949","6547","462","408","1304","1228",""
"Average distance per year by trip purpose","2010/14","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Commuting","865","Miles per person per year","21642","18442","2712","2191","1304","1228",""
"Average distance per year by trip purpose","2010/14","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Education / escort education","381","Miles per person per year","9519","8997","4314","4096","1304","1228",""
"Average distance per year by trip purpose","2010/14","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Leisure","2023","Miles per person per year","50592","44298","5477","4941","1304","1228",""
"Average distance per year by trip purpose","2010/14","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Other escort","474","Miles per person per year","11856","10959","2468","2304","1304","1228",""
"Average distance per year by trip purpose","2010/14","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Other including just walk","31","Miles per person per year","787","735","880","775","1304","1228",""
"Average distance per year by trip purpose","2010/14","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Personal business","388","Miles per person per year","9703","8114","2112","1870","1304","1228",""
"Average distance per year by trip purpose","2010/14","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Shopping","373","Miles per person per year","9334","7690","3048","2517","1304","1228",""
"Average distance per year by trip purpose","2010/14","5-year rolling average","Other ethnic group","ONS 2011 5+1","All Purposes","4536","Miles per person per year","98661","87417","17055","14651","1134","1034",""
"Average distance per year by trip purpose","2010/14","5-year rolling average","Other ethnic group","ONS 2011 5+1","Business","340","Miles per person per year","7401","6978","624","519","1134","1034",""
"Average distance per year by trip purpose","2010/14","5-year rolling average","Other ethnic group","ONS 2011 5+1","Commuting","944","Miles per person per year","20541","17084","2841","2319","1134","1034",""
"Average distance per year by trip purpose","2010/14","5-year rolling average","Other ethnic group","ONS 2011 5+1","Education / escort education","405","Miles per person per year","8807","7812","2896","2666","1134","1034",""
"Average distance per year by trip purpose","2010/14","5-year rolling average","Other ethnic group","ONS 2011 5+1","Leisure","1641","Miles per person per year","35703","32564","3417","3098","1134","1034",""
"Average distance per year by trip purpose","2010/14","5-year rolling average","Other ethnic group","ONS 2011 5+1","Other escort","316","Miles per person per year","6882","6303","1410","1353","1134","1034",""
"Average distance per year by trip purpose","2010/14","5-year rolling average","Other ethnic group","ONS 2011 5+1","Other including just walk","25","Miles per person per year","547","480","633","532","1134","1034",""
"Average distance per year by trip purpose","2010/14","5-year rolling average","Other ethnic group","ONS 2011 5+1","Personal business","386","Miles per person per year","8400","7414","1693","1396","1134","1034",""
"Average distance per year by trip purpose","2010/14","5-year rolling average","Other ethnic group","ONS 2011 5+1","Shopping","477","Miles per person per year","10381","8781","3542","2768","1134","1034",""
"Average distance per year by trip purpose","2010/14","5-year rolling average","White","ONS 2011 5+1","All Purposes","6947","Miles per person per year","9537238","9112339","1351293","1263227","71580","71551",""
"Average distance per year by trip purpose","2010/14","5-year rolling average","White","ONS 2011 5+1","Business","639","Miles per person per year","877462","850264","43176","41246","71580","71551",""
"Average distance per year by trip purpose","2010/14","5-year rolling average","White","ONS 2011 5+1","Commuting","1327","Miles per person per year","1821939","1611775","204412","177550","71580","71551",""
"Average distance per year by trip purpose","2010/14","5-year rolling average","White","ONS 2011 5+1","Education / escort education","317","Miles per person per year","434876","415373","149172","141300","71580","71551",""
"Average distance per year by trip purpose","2010/14","5-year rolling average","White","ONS 2011 5+1","Leisure","2781","Miles per person per year","3817616","3813964","361677","354374","71580","71551",""
"Average distance per year by trip purpose","2010/14","5-year rolling average","White","ONS 2011 5+1","Other escort","501","Miles per person per year","687993","646181","125906","117169","71580","71551",""
"Average distance per year by trip purpose","2010/14","5-year rolling average","White","ONS 2011 5+1","Other including just walk","49","Miles per person per year","67486","66165","65785","62778","71580","71551",""
"Average distance per year by trip purpose","2010/14","5-year rolling average","White","ONS 2011 5+1","Personal business","488","Miles per person per year","669357","637568","131271","124010","71580","71551",""
"Average distance per year by trip purpose","2010/14","5-year rolling average","White","ONS 2011 5+1","Shopping","845","Miles per person per year","1160508","1071050","269894","244800","71580","71551",""
"Average distance per year by trip purpose","2011/15","5-year rolling average","All ethnic groups","ONS 2011 5+1","All Purposes","6622","Miles per person per year","10357973","9787491","1489666","1377572","81557","80608",""
"Average distance per year by trip purpose","2011/15","5-year rolling average","All ethnic groups","ONS 2011 5+1","Business","601","Miles per person per year","940167","900759","47548","45024","81557","80608",""
"Average distance per year by trip purpose","2011/15","5-year rolling average","All ethnic groups","ONS 2011 5+1","Commuting","1302","Miles per person per year","2036247","1790983","229412","197986","81557","80608",""
"Average distance per year by trip purpose","2011/15","5-year rolling average","All ethnic groups","ONS 2011 5+1","Education / escort education","332","Miles per person per year","519495","493116","182214","171508","81557","80608",""
"Average distance per year by trip purpose","2011/15","5-year rolling average","All ethnic groups","ONS 2011 5+1","Leisure","2625","Miles per person per year","4105380","4053975","386481","374641","81557","80608",""
"Average distance per year by trip purpose","2011/15","5-year rolling average","All ethnic groups","ONS 2011 5+1","Other escort","465","Miles per person per year","726715","669450","136799","125280","81557","80608",""
"Average distance per year by trip purpose","2011/15","5-year rolling average","All ethnic groups","ONS 2011 5+1","Other including just walk","46","Miles per person per year","71917","70144","70271","66589","81557","80608",""
"Average distance per year by trip purpose","2011/15","5-year rolling average","All ethnic groups","ONS 2011 5+1","Personal business","473","Miles per person per year","740228","695735","146499","136487","81557","80608",""
"Average distance per year by trip purpose","2011/15","5-year rolling average","All ethnic groups","ONS 2011 5+1","Shopping","779","Miles per person per year","1217824","1113327","290443","260057","81557","80608",""
"Average distance per year by trip purpose","2011/15","5-year rolling average","Asian / Asian British","ONS 2011 5+1","All Purposes","4469","Miles per person per year","488480","420688","87265","74540","5699","5217",""
