"Measure","Time","Time_Type","Ethnicity","Ethnicity_Type","Trip_Purpose","Value","Value_Type","Weighted_Sample_Trips","Unweighted_Sample_Trips","Weighted_Sample_Individuals","Unweighted_Sample_Individuals","Notes","","","","","","","","","","","","","",""
"Average trips per year by purpose","2004/08","5-year rolling average","White","ONS 2011 5+1","Business","36","Trips per person per year","52617","49832","75834","75156","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2004/08","5-year rolling average","White","ONS 2011 5+1","Commuting","164","Trips per person per year","238836","210032","75834","75156","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2004/08","5-year rolling average","White","ONS 2011 5+1","Education / escort education","108","Trips per person per year","157086","151430","75834","75156","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2004/08","5-year rolling average","White","ONS 2011 5+1","Leisure","284","Trips per person per year","413491","394113","75834","75156","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2004/08","5-year rolling average","White","ONS 2011 5+1","Other escort","97","Trips per person per year","140980","130629","75834","75156","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2004/08","5-year rolling average","White","ONS 2011 5+1","Other including just walk","47","Trips per person per year","67777","63984","75834","75156","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2004/08","5-year rolling average","White","ONS 2011 5+1","Personal business","108","Trips per person per year","157757","145018","75834","75156","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2004/08","5-year rolling average","White","ONS 2011 5+1","Shopping","216","Trips per person per year","314628","280494","75834","75156","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2005/09","5-year rolling average","All ethnic groups","ONS 2011 5+1","All Purposes","1029","Trips per person per year","1685193","1550806","85373","84121","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2005/09","5-year rolling average","All ethnic groups","ONS 2011 5+1","Business","34","Trips per person per year","55227","52340","85373","84121","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2005/09","5-year rolling average","All ethnic groups","ONS 2011 5+1","Commuting","159","Trips per person per year","259980","227643","85373","84121","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2005/09","5-year rolling average","All ethnic groups","ONS 2011 5+1","Education / escort education","114","Trips per person per year","186480","177883","85373","84121","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2005/09","5-year rolling average","All ethnic groups","ONS 2011 5+1","Leisure","271","Trips per person per year","444415","422578","85373","84121","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2005/09","5-year rolling average","All ethnic groups","ONS 2011 5+1","Other escort","94","Trips per person per year","154118","142366","85373","84121","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2005/09","5-year rolling average","All ethnic groups","ONS 2011 5+1","Other including just walk","45","Trips per person per year","74071","70056","85373","84121","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2005/09","5-year rolling average","All ethnic groups","ONS 2011 5+1","Personal business","107","Trips per person per year","174724","159843","85373","84121","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2005/09","5-year rolling average","All ethnic groups","ONS 2011 5+1","Shopping","205","Trips per person per year","336177","298097","85373","84121","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2005/09","5-year rolling average","Asian / Asian British","ONS 2011 5+1","All Purposes","870","Trips per person per year","80873","68229","4844","4383","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2005/09","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Business","20","Trips per person per year","1862","1589","4844","4383","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2005/09","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Commuting","161","Trips per person per year","14946","11886","4844","4383","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2005/09","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Education / escort education","177","Trips per person per year","16399","14610","4844","4383","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2005/09","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Leisure","169","Trips per person per year","15737","13617","4844","4383","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2005/09","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Other escort","75","Trips per person per year","6999","6124","4844","4383","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2005/09","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Other including just walk","22","Trips per person per year","2081","1841","4844","4383","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2005/09","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Personal business","96","Trips per person per year","8927","7417","4844","4383","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2005/09","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Shopping","150","Trips per person per year","13922","11145","4844","4383","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2005/09","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","All Purposes","836","Trips per person per year","34030","29753","2122","1990","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2005/09","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Business","28","Trips per person per year","1120","994","2122","1990","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2005/09","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Commuting","152","Trips per person per year","6187","5176","2122","1990","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2005/09","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Education / escort education","163","Trips per person per year","6646","6330","2122","1990","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2005/09","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Leisure","160","Trips per person per year","6502","5678","2122","1990","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2005/09","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Other escort","70","Trips per person per year","2832","2580","2122","1990","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2005/09","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Other including just walk","10","Trips per person per year","426","390","2122","1990","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2005/09","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Personal business","119","Trips per person per year","4839","4164","2122","1990","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2005/09","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Shopping","135","Trips per person per year","5478","4441","2122","1990","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2005/09","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","All Purposes","943","Trips per person per year","24146","21226","1336","1256","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2005/09","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Business","17","Trips per person per year","425","381","1336","1256","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2005/09","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Commuting","126","Trips per person per year","3229","2560","1336","1256","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2005/09","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Education / escort education","209","Trips per person per year","5356","5118","1336","1256","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2005/09","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Leisure","245","Trips per person per year","6284","5543","1336","1256","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2005/09","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Other escort","99","Trips per person per year","2531","2253","1336","1256","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2005/09","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Other including just walk","33","Trips per person per year","843","821","1336","1256","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2005/09","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Personal business","88","Trips per person per year","2267","1964","1336","1256","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2005/09","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Shopping","125","Trips per person per year","3212","2586","1336","1256","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2005/09","5-year rolling average","Other ethnic group","ONS 2011 5+1","All Purposes","863","Trips per person per year","16617","13664","1004","888","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2005/09","5-year rolling average","Other ethnic group","ONS 2011 5+1","Business","20","Trips per person per year","383","329","1004","888","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2005/09","5-year rolling average","Other ethnic group","ONS 2011 5+1","Commuting","152","Trips per person per year","2920","2232","1004","888","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2005/09","5-year rolling average","Other ethnic group","ONS 2011 5+1","Education / escort education","180","Trips per person per year","3462","3043","1004","888","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2005/09","5-year rolling average","Other ethnic group","ONS 2011 5+1","Leisure","180","Trips per person per year","3469","2910","1004","888","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2005/09","5-year rolling average","Other ethnic group","ONS 2011 5+1","Other escort","57","Trips per person per year","1091","961","1004","888","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2005/09","5-year rolling average","Other ethnic group","ONS 2011 5+1","Other including just walk","36","Trips per person per year","690","525","1004","888","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2005/09","5-year rolling average","Other ethnic group","ONS 2011 5+1","Personal business","86","Trips per person per year","1656","1372","1004","888","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2005/09","5-year rolling average","Other ethnic group","ONS 2011 5+1","Shopping","153","Trips per person per year","2947","2292","1004","888","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2005/09","5-year rolling average","White","ONS 2011 5+1","All Purposes","1048","Trips per person per year","1528302","1416697","76000","75534","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2005/09","5-year rolling average","White","ONS 2011 5+1","Business","35","Trips per person per year","51361","48964","76000","75534","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2005/09","5-year rolling average","White","ONS 2011 5+1","Commuting","160","Trips per person per year","232559","205665","76000","75534","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2005/09","5-year rolling average","White","ONS 2011 5+1","Education / escort education","106","Trips per person per year","154412","148577","76000","75534","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2005/09","5-year rolling average","White","ONS 2011 5+1","Leisure","283","Trips per person per year","412056","394454","76000","75534","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2005/09","5-year rolling average","White","ONS 2011 5+1","Other escort","96","Trips per person per year","140561","130339","76000","75534","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2005/09","5-year rolling average","White","ONS 2011 5+1","Other including just walk","48","Trips per person per year","70007","66452","76000","75534","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2005/09","5-year rolling average","White","ONS 2011 5+1","Personal business","108","Trips per person per year","156942","144833","76000","75534","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2005/09","5-year rolling average","White","ONS 2011 5+1","Shopping","213","Trips per person per year","310405","277413","76000","75534","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2006/10","5-year rolling average","All ethnic groups","ONS 2011 5+1","All Purposes","1012","Trips per person per year","1642071","1519022","84634","83718","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2006/10","5-year rolling average","All ethnic groups","ONS 2011 5+1","Business","32","Trips per person per year","51856","49225","84634","83718","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2006/10","5-year rolling average","All ethnic groups","ONS 2011 5+1","Commuting","156","Trips per person per year","253820","221824","84634","83718","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2006/10","5-year rolling average","All ethnic groups","ONS 2011 5+1","Education / escort education","113","Trips per person per year","182693","174985","84634","83718","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2006/10","5-year rolling average","All ethnic groups","ONS 2011 5+1","Leisure","266","Trips per person per year","431111","414335","84634","83718","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2006/10","5-year rolling average","All ethnic groups","ONS 2011 5+1","Other escort","93","Trips per person per year","151388","141231","84634","83718","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2006/10","5-year rolling average","All ethnic groups","ONS 2011 5+1","Other including just walk","45","Trips per person per year","73247","69594","84634","83718","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2006/10","5-year rolling average","All ethnic groups","ONS 2011 5+1","Personal business","104","Trips per person per year","169527","156546","84634","83718","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2006/10","5-year rolling average","All ethnic groups","ONS 2011 5+1","Shopping","202","Trips per person per year","328430","291282","84634","83718","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2006/10","5-year rolling average","Asian / Asian British","ONS 2011 5+1","All Purposes","859","Trips per person per year","83400","70880","5060","4625","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2006/10","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Business","19","Trips per person per year","1799","1555","5060","4625","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2006/10","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Commuting","162","Trips per person per year","15722","12542","5060","4625","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2006/10","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Education / escort education","175","Trips per person per year","17016","15297","5060","4625","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2006/10","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Leisure","164","Trips per person per year","15940","13993","5060","4625","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2006/10","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Other escort","74","Trips per person per year","7186","6351","5060","4625","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2006/10","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Other including just walk","21","Trips per person per year","2020","1812","5060","4625","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2006/10","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Personal business","95","Trips per person per year","9231","7753","5060","4625","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2006/10","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Shopping","149","Trips per person per year","14486","11577","5060","4625","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2006/10","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","All Purposes","828","Trips per person per year","36249","32256","2283","2167","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2006/10","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Business","27","Trips per person per year","1190","1049","2283","2167","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2006/10","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Commuting","151","Trips per person per year","6622","5588","2283","2167","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2006/10","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Education / escort education","159","Trips per person per year","6969","6872","2283","2167","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2006/10","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Leisure","161","Trips per person per year","7068","6316","2283","2167","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2006/10","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Other escort","64","Trips per person per year","2804","2645","2283","2167","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2006/10","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Other including just walk","11","Trips per person per year","496","436","2283","2167","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2006/10","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Personal business","117","Trips per person per year","5123","4476","2283","2167","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2006/10","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Shopping","137","Trips per person per year","5977","4874","2283","2167","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2006/10","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","All Purposes","930","Trips per person per year","24656","21740","1382","1307","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2006/10","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Business","14","Trips per person per year","378","337","1382","1307","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2006/10","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Commuting","123","Trips per person per year","3265","2613","1382","1307","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2006/10","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Education / escort education","193","Trips per person per year","5106","4859","1382","1307","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2006/10","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Leisure","245","Trips per person per year","6507","5786","1382","1307","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2006/10","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Other escort","98","Trips per person per year","2603","2349","1382","1307","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2006/10","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Other including just walk","38","Trips per person per year","1020","968","1382","1307","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2006/10","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Personal business","91","Trips per person per year","2412","2139","1382","1307","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2006/10","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Shopping","127","Trips per person per year","3365","2689","1382","1307","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2006/10","5-year rolling average","Other ethnic group","ONS 2011 5+1","All Purposes","865","Trips per person per year","16465","13781","993","895","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2006/10","5-year rolling average","Other ethnic group","ONS 2011 5+1","Business","21","Trips per person per year","400","346","993","895","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2006/10","5-year rolling average","Other ethnic group","ONS 2011 5+1","Commuting","151","Trips per person per year","2877","2232","993","895","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2006/10","5-year rolling average","Other ethnic group","ONS 2011 5+1","Education / escort education","153","Trips per person per year","2906","2671","993","895","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2006/10","5-year rolling average","Other ethnic group","ONS 2011 5+1","Leisure","189","Trips per person per year","3592","3056","993","895","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2006/10","5-year rolling average","Other ethnic group","ONS 2011 5+1","Other escort","62","Trips per person per year","1174","1054","993","895","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2006/10","5-year rolling average","Other ethnic group","ONS 2011 5+1","Other including just walk","43","Trips per person per year","821","629","993","895","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2006/10","5-year rolling average","Other ethnic group","ONS 2011 5+1","Personal business","91","Trips per person per year","1733","1424","993","895","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2006/10","5-year rolling average","Other ethnic group","ONS 2011 5+1","Shopping","156","Trips per person per year","2962","2369","993","895","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2006/10","5-year rolling average","White","ONS 2011 5+1","All Purposes","1031","Trips per person per year","1479878","1378987","74843","74649","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2006/10","5-year rolling average","White","ONS 2011 5+1","Business","33","Trips per person per year","48012","45855","74843","74649","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2006/10","5-year rolling average","White","ONS 2011 5+1","Commuting","157","Trips per person per year","225209","198733","74843","74649","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2006/10","5-year rolling average","White","ONS 2011 5+1","Education / escort education","105","Trips per person per year","150469","145071","74843","74649","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2006/10","5-year rolling average","White","ONS 2011 5+1","Leisure","277","Trips per person per year","397592","384772","74843","74649","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2006/10","5-year rolling average","White","ONS 2011 5+1","Other escort","96","Trips per person per year","137478","128704","74843","74649","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2006/10","5-year rolling average","White","ONS 2011 5+1","Other including just walk","48","Trips per person per year","68853","65711","74843","74649","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2006/10","5-year rolling average","White","ONS 2011 5+1","Personal business","105","Trips per person per year","150893","140630","74843","74649","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2006/10","5-year rolling average","White","ONS 2011 5+1","Shopping","210","Trips per person per year","301373","269511","74843","74649","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2007/11","5-year rolling average","All ethnic groups","ONS 2011 5+1","All Purposes","993","Trips per person per year","1588306","1475712","83421","82800","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2007/11","5-year rolling average","All ethnic groups","ONS 2011 5+1","Business","31","Trips per person per year","48961","46610","83421","82800","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2007/11","5-year rolling average","All ethnic groups","ONS 2011 5+1","Commuting","154","Trips per person per year","245894","213208","83421","82800","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2007/11","5-year rolling average","All ethnic groups","ONS 2011 5+1","Education / escort education","112","Trips per person per year","179639","171343","83421","82800","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2007/11","5-year rolling average","All ethnic groups","ONS 2011 5+1","Leisure","261","Trips per person per year","418032","404064","83421","82800","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2007/11","5-year rolling average","All ethnic groups","ONS 2011 5+1","Other escort","92","Trips per person per year","147409","138806","83421","82800","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2007/11","5-year rolling average","All ethnic groups","ONS 2011 5+1","Other including just walk","45","Trips per person per year","72017","68490","83421","82800","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2007/11","5-year rolling average","All ethnic groups","ONS 2011 5+1","Personal business","102","Trips per person per year","162801","152013","83421","82800","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2007/11","5-year rolling average","All ethnic groups","ONS 2011 5+1","Shopping","196","Trips per person per year","313551","281178","83421","82800","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2007/11","5-year rolling average","Asian / Asian British","ONS 2011 5+1","All Purposes","836","Trips per person per year","82554","69981","5151","4717","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2007/11","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Business","17","Trips per person per year","1695","1472","5151","4717","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2007/11","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Commuting","164","Trips per person per year","16203","12759","5151","4717","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2007/11","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Education / escort education","171","Trips per person per year","16907","15115","5151","4717","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2007/11","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Leisure","153","Trips per person per year","15123","13305","5151","4717","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2007/11","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Other escort","75","Trips per person per year","7410","6550","5151","4717","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2007/11","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Other including just walk","19","Trips per person per year","1872","1666","5151","4717","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2007/11","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Personal business","93","Trips per person per year","9140","7788","5151","4717","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2007/11","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Shopping","144","Trips per person per year","14205","11326","5151","4717","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2007/11","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","All Purposes","826","Trips per person per year","38298","34337","2416","2316","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2007/11","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Business","27","Trips per person per year","1264","1131","2416","2316","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2007/11","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Commuting","145","Trips per person per year","6699","5662","2416","2316","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2007/11","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Education / escort education","161","Trips per person per year","7477","7401","2416","2316","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2007/11","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Leisure","166","Trips per person per year","7697","6912","2416","2316","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2007/11","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Other escort","63","Trips per person per year","2937","2789","2416","2316","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2007/11","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Other including just walk","12","Trips per person per year","538","481","2416","2316","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2007/11","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Personal business","118","Trips per person per year","5458","4840","2416","2316","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2007/11","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Shopping","134","Trips per person per year","6228","5121","2416","2316","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2007/11","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","All Purposes","908","Trips per person per year","23974","21107","1377","1290","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2007/11","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Business","13","Trips per person per year","354","316","1377","1290","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2007/11","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Commuting","117","Trips per person per year","3093","2427","1377","1290","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2007/11","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Education / escort education","183","Trips per person per year","4835","4542","1377","1290","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2007/11","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Leisure","245","Trips per person per year","6483","5745","1377","1290","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2007/11","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Other escort","98","Trips per person per year","2595","2406","1377","1290","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2007/11","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Other including just walk","38","Trips per person per year","1002","958","1377","1290","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2007/11","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Personal business","90","Trips per person per year","2369","2094","1377","1290","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2007/11","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Shopping","123","Trips per person per year","3242","2619","1377","1290","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2007/11","5-year rolling average","Other ethnic group","ONS 2011 5+1","All Purposes","836","Trips per person per year","16591","14016","1035","944","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2007/11","5-year rolling average","Other ethnic group","ONS 2011 5+1","Business","28","Trips per person per year","556","484","1035","944","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2007/11","5-year rolling average","Other ethnic group","ONS 2011 5+1","Commuting","142","Trips per person per year","2811","2233","1035","944","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2007/11","5-year rolling average","Other ethnic group","ONS 2011 5+1","Education / escort education","144","Trips per person per year","2863","2613","1035","944","","","","","","","","","","","","","","",""
