"measure","time","time_type","ethnicity","ethnicity_type","geography","value","value_type","numerator","denominator"
"Percentage of 18-year-old state school pupils getting a higher education place","2018","Year","Chinese","ONS 2001 5+1","England","66.2","%","1275","1925"
"Percentage of 18-year-old state school pupils getting a higher education place","2018","Year","Mixed","ONS 2001 5+1","England","33.9","%","7890","23255"
"Percentage of 18-year-old state school pupils getting a higher education place","2018","Year","White","ONS 2001 5+1","England","29.5","%","126300","427995"
"Percentage of 18-year-old state school pupils getting a higher education place","2019","Year","Other","ONS 2001 5+1","England","43.3","%","3610","8335"
"Percentage of 18-year-old state school pupils getting a higher education place","2019","Year","Asian","ONS 2001 5+1","England","50.3","%","26530","52740"
"Percentage of 18-year-old state school pupils getting a higher education place","2019","Year","Black","ONS 2001 5+1","England","44.5","%","12525","28135"
"Percentage of 18-year-old state school pupils getting a higher education place","2019","Year","Chinese","ONS 2001 5+1","England","68","%","1320","1945"
"Percentage of 18-year-old state school pupils getting a higher education place","2019","Year","Mixed","ONS 2001 5+1","England","35.5","%","8500","23955"
"Percentage of 18-year-old state school pupils getting a higher education place","2019","Year","White","ONS 2001 5+1","England","30.3","%","124685","411435"
"Percentage of 18-year-old state school pupils getting a higher education place","2020","Year","Other","ONS 2001 5+1","England","46.6","%","3960","8490"
"Percentage of 18-year-old state school pupils getting a higher education place","2020","Year","Asian","ONS 2001 5+1","England","53.1","%","29605","55720"
"Percentage of 18-year-old state school pupils getting a higher education place","2020","Year","Black","ONS 2001 5+1","England","47.5","%","13870","29210"
"Percentage of 18-year-old state school pupils getting a higher education place","2020","Year","Chinese","ONS 2001 5+1","England","71.7","%","1290","1800"
"Percentage of 18-year-old state school pupils getting a higher education place","2020","Year","Mixed","ONS 2001 5+1","England","39","%","9795","25120"
"Percentage of 18-year-old state school pupils getting a higher education place","2020","Year","White","ONS 2001 5+1","England","32.6","%","131125","402485"
"Percentage of 18-year-old state school pupils getting a higher education place","2021","Year","Other","ONS 2001 5+1","England","48.1","%","4570","9505"
"Percentage of 18-year-old state school pupils getting a higher education place","2021","Year","Asian","ONS 2001 5+1","England","54.9","%","31930","58140"
"Percentage of 18-year-old state school pupils getting a higher education place","2021","Year","Black","ONS 2001 5+1","England","48.6","%","15255","31405"
"Percentage of 18-year-old state school pupils getting a higher education place","2021","Year","Chinese","ONS 2001 5+1","England","72.1","%","1410","1955"
"Percentage of 18-year-old state school pupils getting a higher education place","2021","Year","Mixed","ONS 2001 5+1","England","40.8","%","11255","27560"
"Percentage of 18-year-old state school pupils getting a higher education place","2021","Year","White","ONS 2001 5+1","England","33.3","%","137220","412415"
