"Measure","Ethnicity","Ethnicity_type","Time","Time_type","Geography","Geography_type","Geography_code","Gender","Value","Denominator","Numerator"
"Average Attainment 8 score","White","ONS 2011 5+1","2019-2020","Academic year","Yorkshire and The Humber","Region","E12000003","Boys","46.1","22875","1055141.75"
"Average Attainment 8 score","White","ONS 2011 5+1","2019-2020","Academic year","West Midlands","Region","E12000005","Boys","45.9","22407","1028284.76"
"Average Attainment 8 score","White","ONS 2011 5+1","2019-2020","Academic year","Yorkshire and The Humber","Region","E12000003","Girls","51.7","21748","1123632.38"
"Average Attainment 8 score","White","ONS 2011 5+1","2019-2020","Academic year","West Midlands","Region","E12000005","Girls","51.7","21393","1106567.03"
"Average Attainment 8 score","White","ONS 2011 5+1","2019-2020","Academic year","East Midlands","Region","E12000004","Boys","46.2","20027","924581.75"
"Average Attainment 8 score","White","ONS 2011 5+1","2019-2020","Academic year","East Midlands","Region","E12000004","Girls","51.6","19160","989094.63"
"Average Attainment 8 score","Black","ONS 2011 5+1","2019-2020","Academic year","Bedford","Local authority","E06000055","All","47.6","136","6473.25"
"Average Attainment 8 score","Chinese","ONS 2011 5+1","2019-2020","Academic year","Bedford","Local authority","E06000055","All","62.1","4","248.5"
"Average Attainment 8 score","Black","ONS 2011 5+1","2019-2020","Academic year","England","Country","E92000001","Girls","52.6","16499","868305.03"
"Average Attainment 8 score","Black","ONS 2011 5+1","2019-2020","Academic year","England","Country","E92000001","Boys","45.1","16436","741988.52"
"Average Attainment 8 score","Mixed","ONS 2011 5+1","2019-2020","Academic year","Bedford","Local authority","E06000055","All","45.1","160","7216"
"Average Attainment 8 score","White","ONS 2011 5+1","2019-2020","Academic year","London","Region","E12000007","Boys","50.3","16193","814130.9"
"Average Attainment 8 score","White","ONS 2011 5+1","2019-2020","Academic year","London","Region","E12000007","Girls","55.5","15626","867581.61"
"Average Attainment 8 score","White","ONS 2011 5+1","2019-2020","Academic year","Bedford","Local authority","E06000055","All","49","1308","64076.75"
"Average Attainment 8 score","Mixed","ONS 2011 5+1","2019-2020","Academic year","England","Country","E92000001","Boys","47.7","14814","707170.53"
"Average Attainment 8 score","Mixed","ONS 2011 5+1","2019-2020","Academic year","England","Country","E92000001","Girls","54","14667","791462.55"
"Average Attainment 8 score","All","ONS 2011 5+1","2019-2020","Academic year","Inner London","Region","E12000007","Boys","49.6","14073","698308.02"
"Average Attainment 8 score","All","ONS 2011 5+1","2019-2020","Academic year","Inner London","Region","E12000007","Girls","55","14059","773096.32"
"Average Attainment 8 score","All","ONS 2011 5+1","2019-2020","Academic year","Bexley","Local authority","E09000004","All","53.5","3150","168375.25"
"Average Attainment 8 score","Asian","ONS 2011 5+1","2019-2020","Academic year","Bexley","Local authority","E09000004","All","65.5","266","17412.5"
"Average Attainment 8 score","All","ONS 2011 5+1","2019-2020","Academic year","North East","Region","E12000001","Boys","45.7","13481","615610.25"
"Average Attainment 8 score","Black","ONS 2011 5+1","2019-2020","Academic year","Bexley","Local authority","E09000004","All","57.2","662","37898.25"
"Average Attainment 8 score","Chinese","ONS 2011 5+1","2019-2020","Academic year","Bexley","Local authority","E09000004","All","71.8","31","2225"
"Average Attainment 8 score","Mixed","ONS 2011 5+1","2019-2020","Academic year","Bexley","Local authority","E09000004","All","54.7","208","11370.5"
"Average Attainment 8 score","All","ONS 2011 5+1","2019-2020","Academic year","North East","Region","E12000001","Girls","51.3","12914","661859.75"
"Average Attainment 8 score","White","ONS 2011 5+1","2019-2020","Academic year","Bexley","Local authority","E09000004","All","49.9","1888","94176.75"
"Average Attainment 8 score","White","ONS 2011 5+1","2019-2020","Academic year","North East","Region","E12000001","Boys","45.7","12221","558687.5"
"Average Attainment 8 score","White","ONS 2011 5+1","2019-2020","Academic year","Outer London","Region","E12000007","Boys","49.9","12202","609391.64"
"Average Attainment 8 score","All","ONS 2011 5+1","2019-2020","Academic year","Birmingham","Local authority","E08000025","All","49.2","13973","686931.44"
"Average Attainment 8 score","White","ONS 2011 5+1","2019-2020","Academic year","North East","Region","E12000001","Girls","51.2","11735","600915.75"
"Average Attainment 8 score","Asian","ONS 2011 5+1","2019-2020","Academic year","Birmingham","Local authority","E08000025","All","51.6","5440","280485.67"
"Average Attainment 8 score","White","ONS 2011 5+1","2019-2020","Academic year","Outer London","Region","E12000007","Girls","55.2","11705","645962.08"
"Average Attainment 8 score","Black","ONS 2011 5+1","2019-2020","Academic year","Birmingham","Local authority","E08000025","All","46.2","1888","87259.5"
"Average Attainment 8 score","Chinese","ONS 2011 5+1","2019-2020","Academic year","Birmingham","Local authority","E08000025","All","69.8","53","3700"
"Average Attainment 8 score","Mixed","ONS 2011 5+1","2019-2020","Academic year","Birmingham","Local authority","E08000025","All","47.5","1079","51269.25"
"Average Attainment 8 score","White","ONS 2011 5+1","2019-2020","Academic year","Birmingham","Local authority","E08000025","All","48.6","4464","216937.39"
"Average Attainment 8 score","All","ONS 2011 5+1","2019-2020","Academic year","Blackburn with Darwen","Local authority","E06000008","All","49.7","1968","97778.43"
"Average Attainment 8 score","Black","ONS 2011 5+1","2019-2020","Academic year","London","Region","E12000007","Girls","53","8988","476445.88"
"Average Attainment 8 score","Asian","ONS 2011 5+1","2019-2020","Academic year","London","Region","E12000007","Boys","55.8","8932","498652"
"Average Attainment 8 score","Asian","ONS 2011 5+1","2019-2020","Academic year","Blackburn with Darwen","Local authority","E06000008","All","54.5","905","49319.8"
"Average Attainment 8 score","Black","ONS 2011 5+1","2019-2020","Academic year","Blackburn with Darwen","Local authority","E06000008","All","40.8","18","735.25"
"Average Attainment 8 score","Black","ONS 2011 5+1","2019-2020","Academic year","London","Region","E12000007","Boys","45.8","8859","405321"
"Average Attainment 8 score","Asian","ONS 2011 5+1","2019-2020","Academic year","London","Region","E12000007","Girls","60.1","8789","528415.39"
"Average Attainment 8 score","All","ONS 2011 5+1","2019-2020","Academic year","Kent","Local authority","E10000016","Boys","48.5","8440","409567.88"
"Average Attainment 8 score","Chinese","ONS 2011 5+1","2019-2020","Academic year","Blackburn with Darwen","Local authority","E06000008","All","!","1","!"
"Average Attainment 8 score","Mixed","ONS 2011 5+1","2019-2020","Academic year","Blackburn with Darwen","Local authority","E06000008","All","49.2","53","2605.88"
"Average Attainment 8 score","White","ONS 2011 5+1","2019-2020","Academic year","Blackburn with Darwen","Local authority","E06000008","All","45.3","951","43104"
"Average Attainment 8 score","All","ONS 2011 5+1","2019-2020","Academic year","Blackpool","Local authority","E06000009","All","40.9","1271","51989.75"
"Average Attainment 8 score","Asian","ONS 2011 5+1","2019-2020","Academic year","Blackpool","Local authority","E06000009","All","48.2","29","1398.5"
"Average Attainment 8 score","Black","ONS 2011 5+1","2019-2020","Academic year","Blackpool","Local authority","E06000009","All","32.7","5","163.5"
"Average Attainment 8 score","Chinese","ONS 2011 5+1","2019-2020","Academic year","Blackpool","Local authority","E06000009","All","61.8","4","247"
"Average Attainment 8 score","Mixed","ONS 2011 5+1","2019-2020","Academic year","Blackpool","Local authority","E06000009","All","39.1","53","2074"
"Average Attainment 8 score","All","ONS 2011 5+1","2019-2020","Academic year","Kent","Local authority","E10000016","Girls","53.6","7938","425351.51"
"Average Attainment 8 score","White","ONS 2011 5+1","2019-2020","Academic year","Blackpool","Local authority","E06000009","All","40.8","1173","47806.75"
"Average Attainment 8 score","All","ONS 2011 5+1","2019-2020","Academic year","Bolton","Local authority","E08000001","All","48.3","3549","171592.75"
"Average Attainment 8 score","All","ONS 2011 5+1","2019-2020","Academic year","Essex","Local authority","E10000012","Boys","46.7","7722","360376.13"
"Average Attainment 8 score","Asian","ONS 2011 5+1","2019-2020","Academic year","Bolton","Local authority","E08000001","All","52.6","875","46064.5"
"Average Attainment 8 score","All","ONS 2011 5+1","2019-2020","Academic year","Essex","Local authority","E10000012","Girls","52.7","7466","393566.5"
"Average Attainment 8 score","Black","ONS 2011 5+1","2019-2020","Academic year","Bolton","Local authority","E08000001","All","43.2","204","8814.5"
"Average Attainment 8 score","Chinese","ONS 2011 5+1","2019-2020","Academic year","Bolton","Local authority","E08000001","All","58.6","8","469"
"Average Attainment 8 score","Mixed","ONS 2011 5+1","2019-2020","Academic year","Bolton","Local authority","E08000001","All","48","141","6772.25"
