"Measure","Ethnicity","Ethnicity_type","Time","Time_type","Geography","Geography_type","Geography_code","Gender","Age","Value","Denominator","Numerator"
"Average Attainment 8 score","All","ONS 2011 5+1","2018-2019","Academic Year","Gloucestershire","Local authority","E10000013","All"," 11-16","49.6","6390","316867"
"Average Attainment 8 score","All","ONS 2011 5+1","2018-2019","Academic Year","Isles of Scilly","Local authority","E06000053","All"," 11-16","52.4","14","733"
"Average Attainment 8 score","All","ONS 2011 5+1","2018-2019","Academic Year","Leicestershire","Local authority","E10000018","All"," 11-16","46.2","7154","330423.26"
"Average Attainment 8 score","All","ONS 2011 5+1","2018-2019","Academic Year","Lincolnshire","Local authority","E10000019","All"," 11-16","46.8","7652","358374.44"
"Average Attainment 8 score","All","ONS 2011 5+1","2018-2019","Academic Year","Northamptonshire","Local authority","E10000021","All"," 11-16","45.4","7538","342423.42"
"Average Attainment 8 score","All","ONS 2011 5+1","2018-2019","Academic Year","Nottingham","Local authority","E06000018","All"," 11-16","42.6","2753","117256.14"
"Average Attainment 8 score","All","ONS 2011 5+1","2018-2019","Academic Year","Nottinghamshire","Local authority","E10000024","All"," 11-16","47.5","7746","367939.64"
"Average Attainment 8 score","All","ONS 2011 5+1","2018-2019","Academic Year","Rutland","Local authority","E06000017","All"," 11-16","51.3","506","25977.25"
"Average Attainment 8 score","All","ONS 2011 5+1","2018-2019","Academic Year","Herefordshire, County of","Local authority","E06000019","All"," 11-16","44.7","1710","76471.5"
"Average Attainment 8 score","All","ONS 2011 5+1","2018-2019","Academic Year","Sandwell","Local authority","E08000028","All"," 11-16","42.2","3657","154437.77"
"Average Attainment 8 score","All","ONS 2011 5+1","2018-2019","Academic Year","Shropshire","Local authority","E06000051","All"," 11-16","46.2","2925","135150"
"Average Attainment 8 score","All","ONS 2011 5+1","2018-2019","Academic Year","Solihull","Local authority","E08000029","All"," 11-16","47.6","2943","140112.63"
"Average Attainment 8 score","All","ONS 2011 5+1","2018-2019","Academic Year","Staffordshire","Local authority","E10000028","All"," 11-16","44.5","8444","375722.63"
"Average Attainment 8 score","All","ONS 2011 5+1","2018-2019","Academic Year","Stoke-on-Trent","Local authority","E06000021","All"," 11-16","42.8","2376","101755.5"
"Average Attainment 8 score","All","ONS 2011 5+1","2018-2019","Academic Year","Telford and Wrekin","Local authority","E06000020","All"," 11-16","46.2","1947","89919.38"
"Average Attainment 8 score","All","ONS 2011 5+1","2018-2019","Academic Year","Walsall","Local authority","E08000030","All"," 11-16","44","3304","145337.14"
"Average Attainment 8 score","All","ONS 2011 5+1","2018-2019","Academic Year","Warwickshire","Local authority","E10000031","All"," 11-16","49.8","5623","279883.63"
"Average Attainment 8 score","All","ONS 2011 5+1","2018-2019","Academic Year","Cambridgeshire","Local authority","E10000003","All"," 11-16","49.2","5726","281526.88"
"Average Attainment 8 score","All","ONS 2011 5+1","2018-2019","Academic Year","Central Bedfordshire","Local authority","E06000056","All"," 11-16","44.8","2722","121817.25"
"Average Attainment 8 score","All","ONS 2011 5+1","2018-2019","Academic Year","Essex","Local authority","E10000012","All"," 11-16","46.1","14485","667870.79"
"Average Attainment 8 score","All","ONS 2011 5+1","2018-2019","Academic Year","Hertfordshire","Local authority","E10000015","All"," 11-16","51.1","12874","658163.77"
"Average Attainment 8 score","All","ONS 2011 5+1","2018-2019","Academic Year","Luton","Local authority","E06000032","All"," 11-16","43.4","2594","112684.54"
"Average Attainment 8 score","All","ONS 2011 5+1","2018-2019","Academic Year","Norfolk","Local authority","E10000020","All"," 11-16","45.3","7640","345789.75"
"Average Attainment 8 score","All","ONS 2011 5+1","2018-2019","Academic Year","Peterborough","Local authority","E06000031","All"," 11-16","42.2","2330","98426.13"
"Average Attainment 8 score","All","ONS 2011 5+1","2018-2019","Academic Year","Hackney","Local authority","E09000012","All"," 11-16","49.2","2230","109811.84"
"Average Attainment 8 score","All","ONS 2011 5+1","2018-2019","Academic Year","Hammersmith and Fulham","Local authority","E09000013","All"," 11-16","53.9","1326","71450.26"
"Average Attainment 8 score","All","ONS 2011 5+1","2018-2019","Academic Year","Haringey","Local authority","E09000014","All"," 11-16","46.9","2336","109575.05"
"Average Attainment 8 score","All","ONS 2011 5+1","2018-2019","Academic Year","Islington","Local authority","E09000019","All"," 11-16","45.8","1465","67146.8"
"Average Attainment 8 score","All","ONS 2011 5+1","2018-2019","Academic Year","Kensington and Chelsea","Local authority","E09000020","All"," 11-16","53.6","867","46466.25"
"Average Attainment 8 score","All","ONS 2011 5+1","2018-2019","Academic Year","Lambeth","Local authority","E09000022","All"," 11-16","44.1","2189","96618.27"
"Average Attainment 8 score","All","ONS 2011 5+1","2018-2019","Academic Year","Lewisham","Local authority","E09000023","All"," 11-16","43.7","2187","95634.75"
"Average Attainment 8 score","All","ONS 2011 5+1","2018-2019","Academic Year","Newham","Local authority","E09000025","All"," 11-16","48.8","3933","191907.76"
"Average Attainment 8 score","All","ONS 2011 5+1","2018-2019","Academic Year","Barking and Dagenham","Local authority","E09000002","All"," 11-16","46.4","2353","109121.5"
"Average Attainment 8 score","All","ONS 2011 5+1","2018-2019","Academic Year","Barnet","Local authority","E09000003","All"," 11-16","57.1","3804","217023.15"
"Average Attainment 8 score","All","ONS 2011 5+1","2018-2019","Academic Year","Bexley","Local authority","E09000004","All"," 11-16","49.6","3115","154496.51"
"Average Attainment 8 score","All","ONS 2011 5+1","2018-2019","Academic Year","Brent","Local authority","E09000005","All"," 11-16","50.2","3038","152434.13"
"Average Attainment 8 score","All","ONS 2011 5+1","2018-2019","Academic Year","Bromley","Local authority","E09000006","All"," 11-16","50.8","3312","168345.01"
"Average Attainment 8 score","All","ONS 2011 5+1","2018-2019","Academic Year","Croydon","Local authority","E09000008","All"," 11-16","45.5","3640","165576.13"
"Average Attainment 8 score","All","ONS 2011 5+1","2018-2019","Academic Year","Ealing","Local authority","E09000009","All"," 11-16","50.9","2956","150555.28"
"Average Attainment 8 score","All","ONS 2011 5+1","2018-2019","Academic Year","Enfield","Local authority","E09000010","All"," 11-16","46.5","3606","167573.28"
"Average Attainment 8 score","All","ONS 2011 5+1","2018-2019","Academic Year","Hillingdon","Local authority","E09000017","All"," 11-16","47.7","3203","152716.5"
"Average Attainment 8 score","All","ONS 2011 5+1","2018-2019","Academic Year","Hounslow","Local authority","E09000018","All"," 11-16","49.3","2731","134716.64"
"Average Attainment 8 score","All","ONS 2011 5+1","2018-2019","Academic Year","Kingston upon Thames","Local authority","E09000021","All"," 11-16","56.9","1550","88178.01"
"Average Attainment 8 score","All","ONS 2011 5+1","2018-2019","Academic Year","Merton","Local authority","E09000024","All"," 11-16","51.1","1455","74331.5"
"Average Attainment 8 score","All","ONS 2011 5+1","2018-2019","Academic Year","Redbridge","Local authority","E09000026","All"," 11-16","54","3687","199138.16"
"Average Attainment 8 score","All","ONS 2011 5+1","2018-2019","Academic Year","Richmond upon Thames","Local authority","E09000027","All"," 11-16","54.1","1586","85794.15"
"Average Attainment 8 score","All","ONS 2011 5+1","2018-2019","Academic Year","Sutton","Local authority","E09000029","All"," 11-16","58.6","2796","163761.76"
"Average Attainment 8 score","All","ONS 2011 5+1","2018-2019","Academic Year","Waltham Forest","Local authority","E09000031","All"," 11-16","46.2","2605","120319.39"
"Average Attainment 8 score","All","ONS 2011 5+1","2018-2019","Academic Year","Bracknell Forest","Local authority","E06000036","All"," 11-16","46.9","1112","52122.75"
"Average Attainment 8 score","All","ONS 2011 5+1","2018-2019","Academic Year","Hampshire","Local authority","E10000014","All"," 11-16","47.6","12818","609808.25"
"Average Attainment 8 score","All","ONS 2011 5+1","2018-2019","Academic Year","Isle of Wight","Local authority","E06000046","All"," 11-16","41.8","1173","48974.25"
"Average Attainment 8 score","All","ONS 2011 5+1","2018-2019","Academic Year","Kent","Local authority","E10000016","All"," 11-16","47.4","15833","750187.17"
"Average Attainment 8 score","All","ONS 2011 5+1","2018-2019","Academic Year","Medway","Local authority","E06000035","All"," 11-16","46.6","3068","142843.05"
"Average Attainment 8 score","All","ONS 2011 5+1","2018-2019","Academic Year","Milton Keynes","Local authority","E06000042","All"," 11-16","45","2920","131404"
"Average Attainment 8 score","All","ONS 2011 5+1","2018-2019","Academic Year","Oxfordshire","Local authority","E10000025","All"," 11-16","47.4","6153","291538.13"
"Average Attainment 8 score","All","ONS 2011 5+1","2018-2019","Academic Year","Portsmouth","Local authority","E06000044","All"," 11-16","40.8","1647","67142.75"
"Average Attainment 8 score","All","ONS 2011 5+1","2018-2019","Academic Year","Reading","Local authority","E06000038","All"," 11-16","50.5","1141","57599.56"
"Average Attainment 8 score","All","ONS 2011 5+1","2018-2019","Academic Year","Slough","Local authority","E06000039","All"," 11-16","53.4","1856","99030.78"
"Average Attainment 8 score","All","ONS 2011 5+1","2018-2019","Academic Year","West Berkshire","Local authority","E06000037","All"," 11-16","47.7","1851","88348"
"Average Attainment 8 score","All","ONS 2011 5+1","2018-2019","Academic Year","West Sussex","Local authority","E10000032","All"," 11-16","46.9","8002","375157.17"
"Average Attainment 8 score","All","ONS 2011 5+1","2018-2019","Academic Year","Windsor and Maidenhead","Local authority","E06000040","All"," 11-16","50.2","1494","74925.25"
"Average Attainment 8 score","All","ONS 2011 5+1","2018-2019","Academic Year","Wokingham","Local authority","E06000041","All"," 11-16","50.9","1744","88786.5"
"Average Attainment 8 score","All","ONS 2011 5+1","2018-2019","Academic Year","Bath and North East Somerset","Local authority","E06000022","All"," 11-16","48.9","2134","104423.88"
"Average Attainment 8 score","All","ONS 2011 5+1","2018-2019","Academic Year","Bournemouth, Christchurch and Poole","Local authority","E06000058","All"," 11-16","50","3554","177759.25"
"Average Attainment 8 score","All","ONS 2011 5+1","2018-2019","Academic Year","Bristol, City of","Local authority","E06000023","All"," 11-16","44.7","3378","151034.26"
"Average Attainment 8 score","All","ONS 2011 5+1","2018-2019","Academic Year","Cornwall","Local authority","E06000052","All"," 11-16","45.4","5100","231725.75"
"Average Attainment 8 score","All","ONS 2011 5+1","2018-2019","Academic Year","Devon","Local authority","E10000008","All"," 11-16","46.3","6817","315867.78"
"Average Attainment 8 score","All","ONS 2011 5+1","2018-2019","Academic Year","North Somerset","Local authority","E06000024","All"," 11-16","46.1","2117","97680.39"
"Average Attainment 8 score","All","ONS 2011 5+1","2018-2019","Academic Year","Plymouth","Local authority","E06000026","All"," 11-16","43.7","2546","111353.5"
"Average Attainment 8 score","All","ONS 2011 5+1","2018-2019","Academic Year","Somerset","Local authority","E10000027","All"," 11-16","44.9","4935","221577.83"
"Average Attainment 8 score","All","ONS 2011 5+1","2018-2019","Academic Year","South Gloucestershire","Local authority","E06000025","All"," 11-16","44.8","2575","115295.5"
"Average Attainment 8 score","All","ONS 2011 5+1","2018-2019","Academic Year","Swindon","Local authority","E06000030","All"," 11-16","45.3","2101","95144.55"
"Average Attainment 8 score","All","ONS 2011 5+1","2018-2019","Academic Year","Torbay","Local authority","E06000027","All"," 11-16","46.2","1488","68723.75"
"Average Attainment 8 score","All","ONS 2011 5+1","2018-2019","Academic Year","Wiltshire","Local authority","E06000054","All"," 11-16","48.7","4806","234229.77"
"Average Attainment 8 score","All","ONS 2011 5+1","2018-2019","Academic Year","East Midlands","Region","E12000004","All"," 11-16","45.8","47019","2154845.3"
"Average Attainment 8 score","All","ONS 2011 5+1","2018-2019","Academic Year","West Midlands","Region","E12000005","All"," 11-16","45.6","60984","2782255.85"
"Average Attainment 8 score","All","ONS 2011 5+1","2018-2019","Academic Year","East of England","Region","E12000006","All"," 11-16","47","60993","2867699.62"
"Average Attainment 8 score","All","ONS 2011 5+1","2018-2019","Academic Year","Inner London","Region","E12000007","All"," 11-16","48.4","26861","1301358.66"
"Average Attainment 8 score","All","ONS 2011 5+1","2018-2019","Academic Year","Outer London","Region","E12000007","All"," 11-16","50.4","52840","2660852.75"
"Average Attainment 8 score","All","ONS 2011 5+1","2018-2019","Academic Year","South East","Region","E12000008","All"," 11-16","48","85952","4128872.14"
"Average Attainment 8 score","All","ONS 2011 5+1","2018-2019","Academic Year","South West","Region","E12000009","All"," 11-16","46.7","51455","2404736.71"
"Average Attainment 8 score","All","ONS 2011 5+1","2018-2019","Academic Year","North East","Region","E12000001","All"," 11-16","44.7","25455","1138490.28"
"Average Attainment 8 score","All","ONS 2011 5+1","2018-2019","Academic Year","North West","Region","E12000002","All"," 11-16","45.5","74006","3370529.56"
"Average Attainment 8 score","All","ONS 2011 5+1","2018-2019","Academic Year","Yorkshire and The Humber","Region","E12000003","All"," 11-16","45.4","54441","2471312.3"
"Average Attainment 8 score","All","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","All"," 11-16","46.8","540006","25280953.17"
"Average Attainment 8 score","Asian","ONS 2011 5+1","2018-2019","Academic Year","County Durham","Local authority","E06000047","All"," 11-16","55.8","34","1896.5"
"Average Attainment 8 score","Asian","ONS 2011 5+1","2018-2019","Academic Year","Darlington","Local authority","E06000005","All"," 11-16","45.3","19","861.25"
"Average Attainment 8 score","Asian","ONS 2011 5+1","2018-2019","Academic Year","Middlesbrough","Local authority","E06000002","All"," 11-16","48.5","157","7620.75"
"Average Attainment 8 score","Asian","ONS 2011 5+1","2018-2019","Academic Year","Newcastle upon Tyne","Local authority","E08000021","All"," 11-16","48.2","249","11996.63"
"Average Attainment 8 score","Asian","ONS 2011 5+1","2018-2019","Academic Year","North Tyneside","Local authority","E08000022","All"," 11-16","50.9","55","2801"
"Average Attainment 8 score","Asian","ONS 2011 5+1","2018-2019","Academic Year","Northumberland","Local authority","E06000057","All"," 11-16","52.1","39","2033.5"
"Average Attainment 8 score","Asian","ONS 2011 5+1","2018-2019","Academic Year","Redcar and Cleveland","Local authority","E06000003","All"," 11-16","52","21","1091"
"Average Attainment 8 score","Asian","ONS 2011 5+1","2018-2019","Academic Year","South Tyneside","Local authority","E08000023","All"," 11-16","50.9","65","3308"
"Average Attainment 8 score","Asian","ONS 2011 5+1","2018-2019","Academic Year","Stockton-on-Tees","Local authority","E06000004","All"," 11-16","47.3","105","4964.25"
"Average Attainment 8 score","Asian","ONS 2011 5+1","2018-2019","Academic Year","Sunderland","Local authority","E08000024","All"," 11-16","52.4","95","4978.25"
"Average Attainment 8 score","Asian","ONS 2011 5+1","2018-2019","Academic Year","Blackburn with Darwen","Local authority","E06000008","All"," 11-16","50.3","889","44748.91"
"Average Attainment 8 score","Asian","ONS 2011 5+1","2018-2019","Academic Year","Cheshire East","Local authority","E06000049","All"," 11-16","55","43","2366"
"Average Attainment 8 score","Asian","ONS 2011 5+1","2018-2019","Academic Year","Cheshire West and Chester","Local authority","E06000050","All"," 11-16","51.9","46","2387.5"
"Average Attainment 8 score","Asian","ONS 2011 5+1","2018-2019","Academic Year","Cumbria","Local authority","E10000006","All"," 11-16","50.9","32","1627.5"
"Average Attainment 8 score","Asian","ONS 2011 5+1","2018-2019","Academic Year","Halton","Local authority","E06000006","All"," 11-16","55.5","6","333"
"Average Attainment 8 score","Asian","ONS 2011 5+1","2018-2019","Academic Year","Knowsley","Local authority","E08000011","All"," 11-16","55.5","5","277.5"
"Average Attainment 8 score","Asian","ONS 2011 5+1","2018-2019","Academic Year","Lancashire","Local authority","E10000017","All"," 11-16","48.2","1366","65856.25"
"Average Attainment 8 score","Asian","ONS 2011 5+1","2018-2019","Academic Year","Gateshead","Local authority","E08000037","All"," 11-16","57.7","46","2653.5"
"Average Attainment 8 score","Asian","ONS 2011 5+1","2018-2019","Academic Year","Hartlepool","Local authority","E06000001","All"," 11-16","54","17","917.5"
"Average Attainment 8 score","Asian","ONS 2011 5+1","2018-2019","Academic Year","Blackpool","Local authority","E06000009","All"," 11-16","52.8","27","1426"
"Average Attainment 8 score","Asian","ONS 2011 5+1","2018-2019","Academic Year","Bolton","Local authority","E08000001","All"," 11-16","51.7","731","37809.5"
"Average Attainment 8 score","Asian","ONS 2011 5+1","2018-2019","Academic Year","Bury","Local authority","E08000002","All"," 11-16","45.6","339","15450.75"
"Average Attainment 8 score","Asian","ONS 2011 5+1","2018-2019","Academic Year","Rochdale","Local authority","E08000005","All"," 11-16","43","605","26044.25"
"Average Attainment 8 score","Asian","ONS 2011 5+1","2018-2019","Academic Year","Salford","Local authority","E08000006","All"," 11-16","50","57","2851.25"
"Average Attainment 8 score","Asian","ONS 2011 5+1","2018-2019","Academic Year","Sefton","Local authority","E08000014","All"," 11-16","57.4","20","1148"
