"Measure","Time","Time_type","Ethnicity","Ethnicity_type","Geography","Geography_type","Age Bracket","Percentage","Percentage: Lower bound","Percentage: Upper bound","Estimated number of people (thousands)","Estimated number of people (thousands): lower bound","Estimated number of people (thousands): upper bound","Note"
"Used the internet in the last 3 months","2018","Year","White","White,Asian,Black and Other","South West","Region","16+","89.5","88.5","90.5","3851","3809","3893",""
"Used the internet in the last 3 months","2018","Year","White","White,Asian,Black and Other","Wales","Region","16+","88.7","87.2","90.1","2169","2134","2205",""
"Used the internet in the last 3 months","2018","Year","White","White,Asian,Black and Other","Scotland","Region","16+","89","87.9","90.1","3806","3760","3851",""
"Used the internet in the last 3 months","2018","Year","White","White,Asian,Black and Other","Northern Ireland","Region","16+","85.3","83.7","86.9","1221","1198","1244",""
"Used the internet in the last 3 months","2018","Year","Other inc. Mixed","White,Asian,Black and Other","UK","UK","16+","96.4","95.1","97.6","1294","1277","1310",""
"Used the internet in the last 3 months","2018","Year","Other inc. Mixed","White,Asian,Black and Other","North East","Region","16+","?","?","?","?","?","?",""
"Used the internet in the last 3 months","2018","Year","Other inc. Mixed","White,Asian,Black and Other","North West","Region","16+","95.7","91","100","104","99","109",""
"Used the internet in the last 3 months","2018","Year","Other inc. Mixed","White,Asian,Black and Other","Yorkshire and the Humber","Region","16+","?","?","?","?","?","?",""
"Used the internet in the last 3 months","2018","Year","Other inc. Mixed","White,Asian,Black and Other","East Midlands","Region","16+","?","?","?","?","?","?",""
"Used the internet in the last 3 months","2018","Year","Other inc. Mixed","White,Asian,Black and Other","West Midlands","Region","16+","98.4","95.5","100","92","89","95",""
"Used the internet in the last 3 months","2018","Year","Other inc. Mixed","White,Asian,Black and Other","East of England","Region","16+","?","?","?","?","?","?",""
"Used the internet in the last 3 months","2018","Year","Other inc. Mixed","White,Asian,Black and Other","London","Region","16+","95.4","93","97.8","551","537","565",""
"Used the internet in the last 3 months","2018","Year","Other inc. Mixed","White,Asian,Black and Other","South East","Region","16+","99.4","98.1","100","162","160","164",""
"Used the internet in the last 3 months","2018","Year","Other inc. Mixed","White,Asian,Black and Other","South West","Region","16+","92","84.9","99.1","65","60","70",""
"Used the internet in the last 3 months","2018","Year","Other inc. Mixed","White,Asian,Black and Other","Wales","Region","16+","?","?","?","?","?","?",""
"Used the internet in the last 3 months","2018","Year","Other inc. Mixed","White,Asian,Black and Other","Scotland","Region","16+","?","?","?","?","?","?",""
"Used the internet in the last 3 months","2018","Year","Other inc. Mixed","White,Asian,Black and Other","Northern Ireland","Region","16+","?","?","?","?","?","?",""
"Used the internet in the last 3 months","2018","Year","Asian","White,Asian,Black and Other","UK","Region","16+","93.6","92.6","94.6","3064","3030","3097",""
"Used the internet in the last 3 months","2018","Year","Asian","White,Asian,Black and Other","North East","Region","16+","?","?","?","?","?","?",""
"Used the internet in the last 3 months","2018","Year","Asian","White,Asian,Black and Other","North West","Region","16+","92.7","89.2","96.3","264","254","274",""
"Used the internet in the last 3 months","2018","Year","Asian","White,Asian,Black and Other","Yorkshire and the Humber","Region","16+","91.1","87.1","95.1","242","231","253",""
"Used the internet in the last 3 months","2018","Year","Asian","White,Asian,Black and Other","East Midlands","Region","16+","88.9","83.9","93.9","184","173","194",""
"Used the internet in the last 3 months","2018","Year","Asian","White,Asian,Black and Other","West Midlands","Region","16+","94.4","92","96.9","422","411","432",""
"Used the internet in the last 3 months","2018","Year","Asian","White,Asian,Black and Other","East of England","Region","16+","96.3","93","99.5","170","164","176",""
"Used the internet in the last 3 months","2018","Year","Asian","White,Asian,Black and Other","London","Region","16+","92.6","90.7","94.6","1171","1147","1196",""
"Used the internet in the last 3 months","2018","Year","Asian","White,Asian,Black and Other","South East","Region","16+","97.1","95.1","99.1","354","347","362",""
"Used the internet in the last 3 months","2018","Year","Asian","White,Asian,Black and Other","South West","Region","16+","96.9","92.9","100","79","76","82",""
"Used the internet in the last 3 months","2018","Year","Asian","White,Asian,Black and Other","Wales","Region","16+","?","?","?","?","?","?",""
"Used the internet in the last 3 months","2018","Year","Asian","White,Asian,Black and Other","Scotland","Region","16+","?","?","?","?","?","?",""
"Used the internet in the last 3 months","2018","Year","Asian","White,Asian,Black and Other","Northern Ireland","Region","16+","?","?","?","?","?","?",""
"Used the internet in the last 3 months","2018","Year","Black","White,Asian,Black and Other","UK","UK","16+","91.2","89.4","93","1352","1325","1378",""
"Used the internet in the last 3 months","2018","Year","Black","White,Asian,Black and Other","North East","Region","16+","?","?","?","?","?","?",""
"Used the internet in the last 3 months","2018","Year","Black","White,Asian,Black and Other","North West","Region","16+","93.9","88.2","99.6","90","85","96",""
"Used the internet in the last 3 months","2018","Year","Black","White,Asian,Black and Other","Yorkshire and the Humber","Region","16+","90.5","81.8","99.3","50","45","55",""
"Used the internet in the last 3 months","2018","Year","Black","White,Asian,Black and Other","East Midlands","Region","16+","96","91.2","100","92","87","96",""
"Used the internet in the last 3 months","2018","Year","Black","White,Asian,Black and Other","West Midlands","Region","16+","87.5","81.7","93.3","145","135","154",""
"Used the internet in the last 3 months","2018","Year","Black","White,Asian,Black and Other","East of England","Region","16+","88.8","80.5","97.1","81","73","88",""
"Used the internet in the last 3 months","2018","Year","Black","White,Asian,Black and Other","London","Region","16+","89.9","87.1","92.7","702","680","723",""
"Used the internet in the last 3 months","2018","Year","Black","White,Asian,Black and Other","South East","Region","16+","97.5","93.7","100","89","86","93",""
"Used the internet in the last 3 months","2018","Year","Black","White,Asian,Black and Other","South West","Region","16+","?","?","?","?","?","?",""
"Used the internet in the last 3 months","2018","Year","Black","White,Asian,Black and Other","Wales","Region","16+","?","?","?","?","?","?",""
"Used the internet in the last 3 months","2018","Year","Black","White,Asian,Black and Other","Scotland","Region","16+","?","?","?","?","?","?",""
"Used the internet in the last 3 months","2018","Year","Black","White,Asian,Black and Other","Northern Ireland","Region","16+","?","?","?","?","?","?",""
"Used the internet in the last 3 months","2018","Year","All","All","UK","UK","16-24","99.3","99","99.5","6991","6973","7009",""
"Used the internet in the last 3 months","2018","Year","All","All","UK","UK","25-34","99.2","99","99.5","8888","8868","8908",""
"Used the internet in the last 3 months","2018","Year","All","All","UK","UK","35-44","98.6","98.3","98.9","8139","8116","8163",""
"Used the internet in the last 3 months","2018","Year","All","All","UK","UK","45-54","96.8","96.4","97.2","8809","8773","8845",""
"Used the internet in the last 3 months","2018","Year","All","All","UK","UK","55-64","91.8","91.2","92.4","7185","7136","7234",""
"Used the internet in the last 3 months","2018","Year","All","All","UK","UK","65-74","80.2","79.3","81.1","5261","5200","5322",""
"Used the internet in the last 3 months","2018","Year","All","All","UK","UK","75+","43.6","41.6","45.6","2262","2159","2365",""
"Used the internet in the last 3 months","2018","Year","White","White,Asian,Black and Other","UK","UK","16-24","99.3","99","99.6","5805","5790","5821",""
"Used the internet in the last 3 months","2018","Year","White","White,Asian,Black and Other","UK","UK","25-34","99.4","99.2","99.6","7476","7460","7493",""
"Used the internet in the last 3 months","2018","Year","White","White,Asian,Black and Other","UK","UK","35-44","98.9","98.7","99.2","6742","6723","6760",""
"Used the internet in the last 3 months","2018","Year","White","White,Asian,Black and Other","UK","UK","45-54","97","96.6","97.4","7824","7791","7857",""
"Used the internet in the last 3 months","2018","Year","White","White,Asian,Black and Other","UK","UK","55-64","92.1","91.5","92.8","6678","6632","6724",""
"Used the internet in the last 3 months","2018","Year","White","White,Asian,Black and Other","UK","UK","65-74","80.6","79.7","81.6","5105","5046","5164",""
"Used the internet in the last 3 months","2018","Year","White","White,Asian,Black and Other","UK","UK","75+","43.9","41.9","46","2195","2093","2297",""
"Used the internet in the last 3 months","2018","Year","Other inc. Mixed","White,Asian,Black and Other","UK","UK","16-24","100","?","?","303","?","?",""
"Used the internet in the last 3 months","2018","Year","Other inc. Mixed","White,Asian,Black and Other","UK","UK","25-34","98.4","96.6","100","305","300","311",""
"Used the internet in the last 3 months","2018","Year","Other inc. Mixed","White,Asian,Black and Other","UK","UK","35-44","96.9","94.6","99.1","312","305","320",""
"Used the internet in the last 3 months","2018","Year","Other inc. Mixed","White,Asian,Black and Other","UK","UK","45-54","98.4","96.4","100","207","203","212",""
"Used the internet in the last 3 months","2018","Year","Other inc. Mixed","White,Asian,Black and Other","UK","UK","55-64","89.9","83.5","96.3","104","97","112",""
"Used the internet in the last 3 months","2018","Year","Other inc. Mixed","White,Asian,Black and Other","UK","UK","65-74","?","?","?","?","?","?",""
"Used the internet in the last 3 months","2018","Year","Other inc. Mixed","White,Asian,Black and Other","UK","UK","75+","?","?","?","?","?","?",""
"Used the internet in the last 3 months","2018","Year","Asian","White,Asian,Black and Other","UK","UK","16-24","99.7","99","100","623","619","627",""
"Used the internet in the last 3 months","2018","Year","Asian","White,Asian,Black and Other","UK","UK","25-34","98.7","97.7","99.7","826","818","835",""
"Used the internet in the last 3 months","2018","Year","Asian","White,Asian,Black and Other","UK","UK","35-44","96.9","95.5","98.3","783","772","795",""
"Used the internet in the last 3 months","2018","Year","Asian","White,Asian,Black and Other","UK","UK","45-54","94.7","92.4","97","476","465","488",""
"Used the internet in the last 3 months","2018","Year","Asian","White,Asian,Black and Other","UK","UK","55-64","84.3","79.6","88.9","240","227","254",""
"Used the internet in the last 3 months","2018","Year","Asian","White,Asian,Black and Other","UK","UK","65-74","63.1","54.1","72.1","77","66","88",""
"Used the internet in the last 3 months","2018","Year","Asian","White,Asian,Black and Other","UK","UK","75+","41","28.4","53.6","37","26","49",""
"Used the internet in the last 3 months","2018","Year","Black","White,Asian,Black and Other","UK","UK","16-24","97.2","94.5","99.9","260","253","267",""
"Used the internet in the last 3 months","2018","Year","Black","White,Asian,Black and Other","UK","UK","25-34","98.2","96.1","100","280","274","286",""
"Used the internet in the last 3 months","2018","Year","Black","White,Asian,Black and Other","UK","UK","35-44","97.2","95","99.4","302","295","309",""
"Used the internet in the last 3 months","2018","Year","Black","White,Asian,Black and Other","UK","UK","45-54","95.6","92.8","98.3","301","292","309",""
"Used the internet in the last 3 months","2018","Year","Black","White,Asian,Black and Other","UK","UK","55-64","90.3","85.2","95.3","162","153","172",""
"Used the internet in the last 3 months","2018","Year","Black","White,Asian,Black and Other","UK","UK","65-74","?","?","?","?","?","?",""
"Used the internet in the last 3 months","2018","Year","Black","White,Asian,Black and Other","UK","UK","75+","?","?","?","?","?","?",""
