"Measure","Ethnicity","Ethnicity_type","Time","Time_type","Geography","Geography_type","Age","Value","Value_type","APS per entry as a grade","Number of Students"
"16-18 APS per entry - A level","Black Caribbean","ONS 2001 16+1","2018/19","Academic Year","England","Country","16-18","27.88","Average Point Score","C-","2523"
"16-18 APS per entry - Academic","Black Caribbean","ONS 2001 16+1","2018/19","Academic Year","England","Country","16-18","27.93","Average Point Score","C-","2586"
"16-18 APS per entry - Applied General","Black Caribbean","ONS 2001 16+1","2018/19","Academic Year","England","Country","16-18","27.56","Average Point Score","Merit+","960"
"16-18 APS per entry - Level 3","Black Caribbean","ONS 2001 16+1","2018/19","Academic Year","England","Country","16-18","27.89","Average Point Score","NA","3192"
"16-18 APS per entry - Tech level","Black Caribbean","ONS 2001 16+1","2018/19","Academic Year","England","Country","16-18","28.63","Average Point Score","Merit+","215"
"16-18 APS per entry - A level","Gypsy/Roma","ONS 2001 16+1","2018/19","Academic Year","England","Country","16-18","29.32","Average Point Score","C","57"
"16-18 APS per entry - Academic","Gypsy/Roma","ONS 2001 16+1","2018/19","Academic Year","England","Country","16-18","29.47","Average Point Score","C","58"
"16-18 APS per entry - Applied General","Gypsy/Roma","ONS 2001 16+1","2018/19","Academic Year","England","Country","16-18","26.57","Average Point Score","Merit","38"
"16-18 APS per entry - Level 3","Gypsy/Roma","ONS 2001 16+1","2018/19","Academic Year","England","Country","16-18","28.58","Average Point Score","NA","87"
"16-18 APS per entry - Tech level","Gypsy/Roma","ONS 2001 16+1","2018/19","Academic Year","England","Country","16-18","29.89","Average Point Score","Merit+","12"
"16-18 APS per entry - A level","Indian","ONS 2001 16+1","2018/19","Academic Year","England","Country","16-18","34.16","Average Point Score","C+","10083"
"16-18 APS per entry - Academic","Indian","ONS 2001 16+1","2018/19","Academic Year","England","Country","16-18","34.31","Average Point Score","C+","10205"
"16-18 APS per entry - Applied General","Indian","ONS 2001 16+1","2018/19","Academic Year","England","Country","16-18","29.69","Average Point Score","Merit+","2263"
"16-18 APS per entry - Level 3","Indian","ONS 2001 16+1","2018/19","Academic Year","England","Country","16-18","33.69","Average Point Score","NA","11155"
"16-18 APS per entry - Tech level","Indian","ONS 2001 16+1","2018/19","Academic Year","England","Country","16-18","29.82","Average Point Score","Merit+","363"
"16-18 APS per entry - A level","Pakistani","ONS 2001 16+1","2018/19","Academic Year","England","Country","16-18","29.45","Average Point Score","C","10301"
"16-18 APS per entry - Academic","Pakistani","ONS 2001 16+1","2018/19","Academic Year","England","Country","16-18","29.54","Average Point Score","C","10513"
"16-18 APS per entry - Applied General","Pakistani","ONS 2001 16+1","2018/19","Academic Year","England","Country","16-18","28.43","Average Point Score","Merit+","3536"
"16-18 APS per entry - Level 3","Pakistani","ONS 2001 16+1","2018/19","Academic Year","England","Country","16-18","29.32","Average Point Score","NA","12635"
"16-18 APS per entry - Tech level","Pakistani","ONS 2001 16+1","2018/19","Academic Year","England","Country","16-18","29.27","Average Point Score","Merit+","788"
"16-18 APS per entry - A level","Irish Traveller","ONS 2001 16+1","2018/19","Academic Year","England","Country","16-18","21.61","Average Point Score","D","11"
"16-18 APS per entry - Academic","Irish Traveller","ONS 2001 16+1","2018/19","Academic Year","England","Country","16-18","21.57","Average Point Score","D","11"
"16-18 APS per entry - Applied General","Irish Traveller","ONS 2001 16+1","2018/19","Academic Year","England","Country","16-18","28","Average Point Score","Merit+","7"
"16-18 APS per entry - Level 3","Irish Traveller","ONS 2001 16+1","2018/19","Academic Year","England","Country","16-18","23.47","Average Point Score","NA","16"
"16-18 APS per entry - Tech level","Irish Traveller","ONS 2001 16+1","2018/19","Academic Year","England","Country","16-18","0","Average Point Score","U","0"
"16-18 APS per entry - A level","Mixed White/Asian","ONS 2001 16+1","2018/19","Academic Year","England","Country","16-18","35.36","Average Point Score","B-","2999"
"16-18 APS per entry - Academic","Mixed White/Asian","ONS 2001 16+1","2018/19","Academic Year","England","Country","16-18","35.59","Average Point Score","B-","3053"
"16-18 APS per entry - Applied General","Mixed White/Asian","ONS 2001 16+1","2018/19","Academic Year","England","Country","16-18","27.65","Average Point Score","Merit+","538"
"16-18 APS per entry - Level 3","Mixed White/Asian","ONS 2001 16+1","2018/19","Academic Year","England","Country","16-18","34.68","Average Point Score","NA","3322"
"16-18 APS per entry - Tech level","Mixed White/Asian","ONS 2001 16+1","2018/19","Academic Year","England","Country","16-18","27.84","Average Point Score","Merit+","113"
"16-18 APS per entry - A level","Mixed White/Black African","ONS 2001 16+1","2018/19","Academic Year","England","Country","16-18","31.52","Average Point Score","C","1381"
"16-18 APS per entry - Academic","Mixed White/Black African","ONS 2001 16+1","2018/19","Academic Year","England","Country","16-18","31.69","Average Point Score","C+","1413"
"16-18 APS per entry - Applied General","Mixed White/Black African","ONS 2001 16+1","2018/19","Academic Year","England","Country","16-18","28.32","Average Point Score","Merit+","357"
"16-18 APS per entry - Level 3","Mixed White/Black African","ONS 2001 16+1","2018/19","Academic Year","England","Country","16-18","31.06","Average Point Score","NA","1600"
"16-18 APS per entry - Tech level","Mixed White/Black African","ONS 2001 16+1","2018/19","Academic Year","England","Country","16-18","26.87","Average Point Score","Merit+","72"
"16-18 APS per entry - A level","Mixed White/Black Caribbean","ONS 2001 16+1","2018/19","Academic Year","England","Country","16-18","30.44","Average Point Score","C","2473"
"16-18 APS per entry - Academic","Mixed White/Black Caribbean","ONS 2001 16+1","2018/19","Academic Year","England","Country","16-18","30.57","Average Point Score","C","2521"
"16-18 APS per entry - Applied General","Mixed White/Black Caribbean","ONS 2001 16+1","2018/19","Academic Year","England","Country","16-18","27.81","Average Point Score","Merit+","757"
"16-18 APS per entry - Level 3","Mixed White/Black Caribbean","ONS 2001 16+1","2018/19","Academic Year","England","Country","16-18","29.98","Average Point Score","NA","2997"
"16-18 APS per entry - Tech level","Mixed White/Black Caribbean","ONS 2001 16+1","2018/19","Academic Year","England","Country","16-18","27.75","Average Point Score","Merit+","182"
"16-18 APS per entry - A level","White British","ONS 2001 16+1","2018/19","Academic Year","England","Country","16-18","33.38","Average Point Score","C+","160792"
"16-18 APS per entry - Academic","White British","ONS 2001 16+1","2018/19","Academic Year","England","Country","16-18","33.54","Average Point Score","C+","163509"
"16-18 APS per entry - Applied General","White British","ONS 2001 16+1","2018/19","Academic Year","England","Country","16-18","29.09","Average Point Score","Merit+","44086"
"16-18 APS per entry - Level 3","White British","ONS 2001 16+1","2018/19","Academic Year","England","Country","16-18","32.65","Average Point Score","NA","189881"
"16-18 APS per entry - Tech level","White British","ONS 2001 16+1","2018/19","Academic Year","England","Country","16-18","28.65","Average Point Score","Merit+","14619"
"16-18 APS per entry - A level","White Irish","ONS 2001 16+1","2018/19","Academic Year","England","Country","16-18","34.94","Average Point Score","C+","1007"
"16-18 APS per entry - Academic","White Irish","ONS 2001 16+1","2018/19","Academic Year","England","Country","16-18","34.99","Average Point Score","C+","1028"
"16-18 APS per entry - Applied General","White Irish","ONS 2001 16+1","2018/19","Academic Year","England","Country","16-18","28.95","Average Point Score","Merit+","178"
"16-18 APS per entry - Level 3","White Irish","ONS 2001 16+1","2018/19","Academic Year","England","Country","16-18","34.22","Average Point Score","NA","1111"
"16-18 APS per entry - Tech level","White Irish","ONS 2001 16+1","2018/19","Academic Year","England","Country","16-18","24.74","Average Point Score","Merit","40"
