"Ethnicity","Local authority","%"
"Mixed","Slough","86"
"Mixed","Solihull","84"
"Mixed","Somerset","80"
"Mixed","South Gloucestershire","88"
"Mixed","South Tyneside","78"
"Mixed","Southampton","84"
"Mixed","Southend-on-Sea","83"
"Mixed","Southwark","82"
"Mixed","St. Helens","97"
"Mixed","Staffordshire","84"
"Mixed","Stockport","80"
"Mixed","Stockton-on-Tees","86"
"Mixed","Stoke-on-Trent","78"
"Mixed","Suffolk","85"
"Mixed","Sunderland","81"
"Mixed","Surrey","88"
"Mixed","Sutton","83"
"Mixed","Swindon","83"
"Mixed","Tameside","79"
"Mixed","Telford and Wrekin","87"
"Mixed","Thurrock","87"
"Mixed","Torbay","86"
"Mixed","Tower Hamlets","88"
"Mixed","Trafford","84"
"Mixed","Wakefield","80"
"Mixed","Walsall","86"
"Mixed","Waltham Forest","87"
"Mixed","Wandsworth","88"
"Mixed","Warrington","89"
"Mixed","Warwickshire","87"
"Mixed","West Berkshire","83"
"Mixed","West Sussex","83"
"Mixed","Westminster","86"
"Mixed","Wigan","77"
"Mixed","Wiltshire","76"
"Mixed","Windsor and Maidenhead","85"
"Mixed","Wirral","89"
"Mixed","Wokingham","89"
"Mixed","Wolverhampton","82"
"Mixed","Worcestershire","85"
"Mixed","York","91"
"White","Barking and Dagenham","76"
"White","Barnet","87"
"White","Barnsley","80"
"White","Bath and North East Somerset","82"
"White","Bedford","80"
"White","Bexley","82"
"White","Birmingham","80"
"White","Blackburn with Darwen","81"
"White","Blackpool","82"
"White","Bolton","82"
"White","Bournemouth, Christchurch and Poole","82"
"White","Bracknell Forest","84"
"White","Bradford","80"
"White","Brent","84"
"White","Brighton and Hove","81"
"White","Bristol, City of","83"
"White","Bromley","85"
"White","Buckinghamshire","82"
"White","Bury","83"
"White","Calderdale","83"
"White","Cambridgeshire","80"
"White","Camden","83"
"White","Central Bedfordshire","82"
"White","Cheshire East","84"
"White","Cheshire West and Chester","80"
"White","City of London","!"
"White","Cornwall","81"
"White","County Durham","82"
"White","Coventry","79"
"White","Croydon","84"
"White","Cumbria","80"
"White","Darlington","84"
"White","Derby","81"
"White","Derbyshire","80"
"White","Devon","82"
"White","Doncaster","80"
"White","Dorset","81"
"White","Dudley","80"
"White","Ealing","85"
"White","East Riding of Yorkshire","83"
"White","East Sussex","82"
"White","Enfield","79"
"White","Essex","82"
"White","Gateshead","83"
"White","Gloucestershire","81"
"White","Greenwich","79"
"White","Hackney","85"
"White","Halton","80"
"White","Hammersmith and Fulham","88"
"White","Hampshire","83"
"White","Haringey","86"
"White","Harrow","84"
"White","Hartlepool","84"
"White","Havering","82"
"White","Herefordshire, County of","82"
"White","Hertfordshire","83"
"White","Hillingdon","79"
"White","Hounslow","82"
"White","Isle of Wight","78"
