"Measure","Ethnicity","Ethnicity_type","Time","Time_type","Geography","Geography_type","Geography_code","Gender","Value","Value_type","Denominator","Numerator"
"Average Attainment 8 score","All","ONS 2011 5+1","2020-2021","Academic year","Middlesbrough","Local authority","E06000002","All","46.7","Score out of 90","1547","72227.5"
"Average Attainment 8 score","All","ONS 2011 5+1","2020-2021","Academic year","Middlesbrough","Local authority","E06000002","Boys","43.6","Score out of 90","787","34314.25"
"Average Attainment 8 score","All","ONS 2011 5+1","2020-2021","Academic year","Middlesbrough","Local authority","E06000002","Girls","49.9","Score out of 90","760","37913.25"
"Average Attainment 8 score","All","ONS 2011 5+1","2020-2021","Academic year","Newcastle upon Tyne","Local authority","E08000021","All","47.4","Score out of 90","2607","123450.25"
"Average Attainment 8 score","All","ONS 2011 5+1","2020-2021","Academic year","Newcastle upon Tyne","Local authority","E08000021","Boys","45.6","Score out of 90","1341","61136.5"
"Average Attainment 8 score","All","ONS 2011 5+1","2020-2021","Academic year","Newcastle upon Tyne","Local authority","E08000021","Girls","49.2","Score out of 90","1266","62313.75"
"Average Attainment 8 score","All","ONS 2011 5+1","2020-2021","Academic year","North Tyneside","Local authority","E08000022","All","50.3","Score out of 90","2098","105479.5"
"Average Attainment 8 score","All","ONS 2011 5+1","2020-2021","Academic year","North Tyneside","Local authority","E08000022","Boys","47","Score out of 90","1059","49766.75"
"Average Attainment 8 score","All","ONS 2011 5+1","2020-2021","Academic year","North Tyneside","Local authority","E08000022","Girls","53.6","Score out of 90","1039","55712.75"
"Average Attainment 8 score","All","ONS 2011 5+1","2020-2021","Academic year","Northumberland","Local authority","E06000057","All","49.8","Score out of 90","3164","157605.25"
"Average Attainment 8 score","All","ONS 2011 5+1","2020-2021","Academic year","Northumberland","Local authority","E06000057","Boys","47.1","Score out of 90","1680","79128.75"
"Average Attainment 8 score","All","ONS 2011 5+1","2020-2021","Academic year","Northumberland","Local authority","E06000057","Girls","52.9","Score out of 90","1484","78476.5"
"Average Attainment 8 score","All","ONS 2011 5+1","2020-2021","Academic year","Redcar and Cleveland","Local authority","E06000003","All","48.8","Score out of 90","1567","76507.75"
"Average Attainment 8 score","All","ONS 2011 5+1","2020-2021","Academic year","Redcar and Cleveland","Local authority","E06000003","Boys","45.9","Score out of 90","817","37468.75"
"Average Attainment 8 score","All","ONS 2011 5+1","2020-2021","Academic year","Redcar and Cleveland","Local authority","E06000003","Girls","52.1","Score out of 90","750","39039"
"Average Attainment 8 score","All","ONS 2011 5+1","2020-2021","Academic year","South Tyneside","Local authority","E08000023","All","46","Score out of 90","1618","74465.25"
"Average Attainment 8 score","All","ONS 2011 5+1","2020-2021","Academic year","South Tyneside","Local authority","E08000023","Boys","44.3","Score out of 90","820","36308.75"
"Average Attainment 8 score","All","ONS 2011 5+1","2020-2021","Academic year","South Tyneside","Local authority","E08000023","Girls","47.8","Score out of 90","798","38156.5"
"Average Attainment 8 score","All","ONS 2011 5+1","2020-2021","Academic year","Stockton-on-Tees","Local authority","E06000004","All","50.4","Score out of 90","2186","110176"
"Average Attainment 8 score","All","ONS 2011 5+1","2020-2021","Academic year","Stockton-on-Tees","Local authority","E06000004","Boys","48.2","Score out of 90","1115","53709"
"Average Attainment 8 score","All","ONS 2011 5+1","2020-2021","Academic year","Stockton-on-Tees","Local authority","E06000004","Girls","52.7","Score out of 90","1071","56467"
"Average Attainment 8 score","All","ONS 2011 5+1","2020-2021","Academic year","Sunderland","Local authority","E08000024","All","49.2","Score out of 90","2817","138534"
"Average Attainment 8 score","All","ONS 2011 5+1","2020-2021","Academic year","Sunderland","Local authority","E08000024","Boys","46.7","Score out of 90","1405","65616"
"Average Attainment 8 score","All","ONS 2011 5+1","2020-2021","Academic year","Sunderland","Local authority","E08000024","Girls","51.6","Score out of 90","1412","72918"
"Average Attainment 8 score","All","ONS 2011 5+1","2020-2021","Academic year","Blackburn with Darwen","Local authority","E06000008","All","50.7","Score out of 90","2052","104107"
"Average Attainment 8 score","All","ONS 2011 5+1","2020-2021","Academic year","Blackburn with Darwen","Local authority","E06000008","Boys","48.3","Score out of 90","1072","51780.25"
"Average Attainment 8 score","All","ONS 2011 5+1","2020-2021","Academic year","Blackburn with Darwen","Local authority","E06000008","Girls","53.4","Score out of 90","980","52326.75"
"Average Attainment 8 score","All","ONS 2011 5+1","2020-2021","Academic year","Blackpool","Local authority","E06000009","All","41.7","Score out of 90","1296","54070.75"
"Average Attainment 8 score","All","ONS 2011 5+1","2020-2021","Academic year","Blackpool","Local authority","E06000009","Boys","39.9","Score out of 90","645","25751"
"Average Attainment 8 score","All","ONS 2011 5+1","2020-2021","Academic year","Blackpool","Local authority","E06000009","Girls","43.5","Score out of 90","651","28319.75"
"Average Attainment 8 score","All","ONS 2011 5+1","2020-2021","Academic year","Bolton","Local authority","E08000001","All","48.9","Score out of 90","3648","178296.5"
"Average Attainment 8 score","All","ONS 2011 5+1","2020-2021","Academic year","Bolton","Local authority","E08000001","Boys","46.7","Score out of 90","1843","86103"
"Average Attainment 8 score","All","ONS 2011 5+1","2020-2021","Academic year","Bolton","Local authority","E08000001","Girls","51.1","Score out of 90","1805","92193.5"
"Average Attainment 8 score","All","ONS 2011 5+1","2020-2021","Academic year","Manchester","Local authority","E08000003","All","47.7","Score out of 90","5743","273974"
"Average Attainment 8 score","All","ONS 2011 5+1","2020-2021","Academic year","Manchester","Local authority","E08000003","Boys","45","Score out of 90","2908","130767"
"Average Attainment 8 score","All","ONS 2011 5+1","2020-2021","Academic year","Manchester","Local authority","E08000003","Girls","50.5","Score out of 90","2835","143207"
"Average Attainment 8 score","All","ONS 2011 5+1","2020-2021","Academic year","Oldham","Local authority","E08000004","All","46.2","Score out of 90","3231","149122.75"
"Average Attainment 8 score","All","ONS 2011 5+1","2020-2021","Academic year","Oldham","Local authority","E08000004","Boys","42.6","Score out of 90","1661","70776.75"
"Average Attainment 8 score","All","ONS 2011 5+1","2020-2021","Academic year","Oldham","Local authority","E08000004","Girls","49.9","Score out of 90","1570","78346"
"Average Attainment 8 score","All","ONS 2011 5+1","2020-2021","Academic year","Rochdale","Local authority","E08000005","All","46.2","Score out of 90","2657","122747.5"
"Average Attainment 8 score","All","ONS 2011 5+1","2020-2021","Academic year","Rochdale","Local authority","E08000005","Boys","42.7","Score out of 90","1369","58458"
"Average Attainment 8 score","All","ONS 2011 5+1","2020-2021","Academic year","Rochdale","Local authority","E08000005","Girls","49.9","Score out of 90","1288","64289.5"
"Average Attainment 8 score","All","ONS 2011 5+1","2020-2021","Academic year","Salford","Local authority","E08000006","All","45.1","Score out of 90","2383","107484.75"
"Average Attainment 8 score","All","ONS 2011 5+1","2020-2021","Academic year","Salford","Local authority","E08000006","Boys","42.6","Score out of 90","1190","50709.25"
"Average Attainment 8 score","All","ONS 2011 5+1","2020-2021","Academic year","Salford","Local authority","E08000006","Girls","47.6","Score out of 90","1193","56775.5"
"Average Attainment 8 score","All","ONS 2011 5+1","2020-2021","Academic year","Bury","Local authority","E08000002","All","49.4","Score out of 90","2229","110144.75"
"Average Attainment 8 score","All","ONS 2011 5+1","2020-2021","Academic year","Bury","Local authority","E08000002","Boys","46.7","Score out of 90","1204","56246.5"
"Average Attainment 8 score","All","ONS 2011 5+1","2020-2021","Academic year","Bury","Local authority","E08000002","Girls","52.6","Score out of 90","1025","53898.25"
"Average Attainment 8 score","All","ONS 2011 5+1","2020-2021","Academic year","Cheshire East","Local authority","E06000049","All","52.3","Score out of 90","3988","208434.25"
"Average Attainment 8 score","All","ONS 2011 5+1","2020-2021","Academic year","Cheshire East","Local authority","E06000049","Boys","49.4","Score out of 90","2051","101326.25"
"Average Attainment 8 score","All","ONS 2011 5+1","2020-2021","Academic year","Cheshire East","Local authority","E06000049","Girls","55.3","Score out of 90","1937","107108"
"Average Attainment 8 score","All","ONS 2011 5+1","2020-2021","Academic year","Cheshire West and Chester","Local authority","E06000050","All","51.6","Score out of 90","3743","193141.75"
"Average Attainment 8 score","All","ONS 2011 5+1","2020-2021","Academic year","Cheshire West and Chester","Local authority","E06000050","Boys","48.8","Score out of 90","1929","94080"
"Average Attainment 8 score","All","ONS 2011 5+1","2020-2021","Academic year","Cheshire West and Chester","Local authority","E06000050","Girls","54.6","Score out of 90","1814","99061.75"
"Average Attainment 8 score","All","ONS 2011 5+1","2020-2021","Academic year","Cumbria","Local authority","E10000006","All","49.4","Score out of 90","5070","250355.75"
"Average Attainment 8 score","All","ONS 2011 5+1","2020-2021","Academic year","Cumbria","Local authority","E10000006","Boys","46","Score out of 90","2550","117333.5"
"Average Attainment 8 score","All","ONS 2011 5+1","2020-2021","Academic year","Cumbria","Local authority","E10000006","Girls","52.8","Score out of 90","2520","133022.25"
"Average Attainment 8 score","All","ONS 2011 5+1","2020-2021","Academic year","Halton","Local authority","E06000006","All","47.2","Score out of 90","1488","70228.75"
"Average Attainment 8 score","All","ONS 2011 5+1","2020-2021","Academic year","Halton","Local authority","E06000006","Boys","44.3","Score out of 90","755","33452.5"
"Average Attainment 8 score","All","ONS 2011 5+1","2020-2021","Academic year","Halton","Local authority","E06000006","Girls","50.2","Score out of 90","733","36776.25"
"Average Attainment 8 score","All","ONS 2011 5+1","2020-2021","Academic year","Knowsley","Local authority","E08000011","All","37.8","Score out of 90","1151","43477"
"Average Attainment 8 score","All","ONS 2011 5+1","2020-2021","Academic year","Knowsley","Local authority","E08000011","Boys","34.9","Score out of 90","608","21248"
"Average Attainment 8 score","All","ONS 2011 5+1","2020-2021","Academic year","Knowsley","Local authority","E08000011","Girls","40.9","Score out of 90","543","22229"
"Average Attainment 8 score","All","ONS 2011 5+1","2020-2021","Academic year","Lancashire","Local authority","E10000017","All","50.4","Score out of 90","13085","659471.5"
"Average Attainment 8 score","All","ONS 2011 5+1","2020-2021","Academic year","Lancashire","Local authority","E10000017","Boys","47.2","Score out of 90","6782","320395.5"
"Average Attainment 8 score","All","ONS 2011 5+1","2020-2021","Academic year","Lancashire","Local authority","E10000017","Girls","53.8","Score out of 90","6303","339076"
"Average Attainment 8 score","All","ONS 2011 5+1","2020-2021","Academic year","Liverpool","Local authority","E08000012","All","47.4","Score out of 90","5028","238427.75"
"Average Attainment 8 score","All","ONS 2011 5+1","2020-2021","Academic year","Liverpool","Local authority","E08000012","Boys","44.6","Score out of 90","2541","113387.75"
"Average Attainment 8 score","All","ONS 2011 5+1","2020-2021","Academic year","Liverpool","Local authority","E08000012","Girls","50.3","Score out of 90","2487","125040"
"Average Attainment 8 score","All","ONS 2011 5+1","2020-2021","Academic year","Sefton","Local authority","E08000014","All","49.4","Score out of 90","2906","143531.25"
"Average Attainment 8 score","All","ONS 2011 5+1","2020-2021","Academic year","Sefton","Local authority","E08000014","Boys","46.4","Score out of 90","1473","68362.5"
"Average Attainment 8 score","All","ONS 2011 5+1","2020-2021","Academic year","Sefton","Local authority","E08000014","Girls","52.5","Score out of 90","1433","75168.75"
"Average Attainment 8 score","All","ONS 2011 5+1","2020-2021","Academic year","St. Helens","Local authority","E08000013","All","48.2","Score out of 90","1892","91244.25"
"Average Attainment 8 score","All","ONS 2011 5+1","2020-2021","Academic year","St. Helens","Local authority","E08000013","Boys","44.8","Score out of 90","962","43089.5"
"Average Attainment 8 score","All","ONS 2011 5+1","2020-2021","Academic year","St. Helens","Local authority","E08000013","Girls","51.8","Score out of 90","930","48154.75"
"Average Attainment 8 score","All","ONS 2011 5+1","2020-2021","Academic year","Stockport","Local authority","E08000007","All","52.7","Score out of 90","2869","151148.02"
"Average Attainment 8 score","All","ONS 2011 5+1","2020-2021","Academic year","Stockport","Local authority","E08000007","Boys","49.9","Score out of 90","1476","73598.89"
"Average Attainment 8 score","All","ONS 2011 5+1","2020-2021","Academic year","Stockport","Local authority","E08000007","Girls","55.7","Score out of 90","1393","77549.13"
"Average Attainment 8 score","All","ONS 2011 5+1","2020-2021","Academic year","Tameside","Local authority","E08000008","All","48.5","Score out of 90","2635","127746.5"
"Average Attainment 8 score","All","ONS 2011 5+1","2020-2021","Academic year","Tameside","Local authority","E08000008","Boys","45.8","Score out of 90","1298","59432.75"
"Average Attainment 8 score","All","ONS 2011 5+1","2020-2021","Academic year","Tameside","Local authority","E08000008","Girls","51.1","Score out of 90","1337","68313.75"
"Average Attainment 8 score","All","ONS 2011 5+1","2020-2021","Academic year","Trafford","Local authority","E08000009","All","60.2","Score out of 90","3168","190594.43"
"Average Attainment 8 score","All","ONS 2011 5+1","2020-2021","Academic year","Trafford","Local authority","E08000009","Boys","57.9","Score out of 90","1632","94549.68"
"Average Attainment 8 score","All","ONS 2011 5+1","2020-2021","Academic year","Trafford","Local authority","E08000009","Girls","62.5","Score out of 90","1536","96044.75"
"Average Attainment 8 score","All","ONS 2011 5+1","2020-2021","Academic year","Warrington","Local authority","E06000007","All","51.8","Score out of 90","2454","127084.5"
"Average Attainment 8 score","All","ONS 2011 5+1","2020-2021","Academic year","Warrington","Local authority","E06000007","Boys","49","Score out of 90","1264","61895.25"
"Average Attainment 8 score","All","ONS 2011 5+1","2020-2021","Academic year","Warrington","Local authority","E06000007","Girls","54.8","Score out of 90","1190","65189.25"
"Average Attainment 8 score","All","ONS 2011 5+1","2020-2021","Academic year","Wigan","Local authority","E08000010","All","49.7","Score out of 90","3646","181304.75"
"Average Attainment 8 score","All","ONS 2011 5+1","2020-2021","Academic year","Wigan","Local authority","E08000010","Boys","46.4","Score out of 90","1842","85428.75"
"Average Attainment 8 score","All","ONS 2011 5+1","2020-2021","Academic year","Wigan","Local authority","E08000010","Girls","53.1","Score out of 90","1804","95876"
"Average Attainment 8 score","All","ONS 2011 5+1","2020-2021","Academic year","Wirral","Local authority","E08000015","All","51.9","Score out of 90","3587","186264.25"
"Average Attainment 8 score","All","ONS 2011 5+1","2020-2021","Academic year","Wirral","Local authority","E08000015","Boys","48.9","Score out of 90","1792","87706"
"Average Attainment 8 score","All","ONS 2011 5+1","2020-2021","Academic year","Wirral","Local authority","E08000015","Girls","54.9","Score out of 90","1795","98558.25"
"Average Attainment 8 score","All","ONS 2011 5+1","2020-2021","Academic year","Barnsley","Local authority","E08000016","All","46.3","Score out of 90","2345","108461.5"
"Average Attainment 8 score","All","ONS 2011 5+1","2020-2021","Academic year","Barnsley","Local authority","E08000016","Boys","43.3","Score out of 90","1203","52030.5"
"Average Attainment 8 score","All","ONS 2011 5+1","2020-2021","Academic year","Barnsley","Local authority","E08000016","Girls","49.4","Score out of 90","1142","56431"
"Average Attainment 8 score","All","ONS 2011 5+1","2020-2021","Academic year","Bradford","Local authority","E08000032","All","45.9","Score out of 90","6658","305896"
"Average Attainment 8 score","All","ONS 2011 5+1","2020-2021","Academic year","Bradford","Local authority","E08000032","Boys","43.2","Score out of 90","3425","148016"
"Average Attainment 8 score","All","ONS 2011 5+1","2020-2021","Academic year","Bradford","Local authority","E08000032","Girls","48.8","Score out of 90","3233","157880"
"Average Attainment 8 score","All","ONS 2011 5+1","2020-2021","Academic year","Calderdale","Local authority","E08000033","All","52.2","Score out of 90","2757","143891.5"
"Average Attainment 8 score","All","ONS 2011 5+1","2020-2021","Academic year","Calderdale","Local authority","E08000033","Boys","48.9","Score out of 90","1367","66889.25"
"Average Attainment 8 score","All","ONS 2011 5+1","2020-2021","Academic year","Calderdale","Local authority","E08000033","Girls","55.4","Score out of 90","1390","77002.25"
"Average Attainment 8 score","All","ONS 2011 5+1","2020-2021","Academic year","Doncaster","Local authority","E08000017","All","47","Score out of 90","3149","147861.75"
"Average Attainment 8 score","All","ONS 2011 5+1","2020-2021","Academic year","Doncaster","Local authority","E08000017","Boys","43.5","Score out of 90","1596","69495"
"Average Attainment 8 score","All","ONS 2011 5+1","2020-2021","Academic year","Doncaster","Local authority","E08000017","Girls","50.5","Score out of 90","1553","78366.75"
"Average Attainment 8 score","All","ONS 2011 5+1","2020-2021","Academic year","East Riding of Yorkshire","Local authority","E06000011","All","51.4","Score out of 90","3259","167534"
"Average Attainment 8 score","All","ONS 2011 5+1","2020-2021","Academic year","East Riding of Yorkshire","Local authority","E06000011","Boys","47.6","Score out of 90","1614","76792.25"
"Average Attainment 8 score","All","ONS 2011 5+1","2020-2021","Academic year","East Riding of Yorkshire","Local authority","E06000011","Girls","55.2","Score out of 90","1645","90741.75"
"Average Attainment 8 score","All","ONS 2011 5+1","2020-2021","Academic year","Kingston upon Hull, City of","Local authority","E06000010","All","47.5","Score out of 90","2787","132264.5"
"Average Attainment 8 score","All","ONS 2011 5+1","2020-2021","Academic year","Kingston upon Hull, City of","Local authority","E06000010","Boys","44.7","Score out of 90","1403","62681"
"Average Attainment 8 score","All","ONS 2011 5+1","2020-2021","Academic year","Kingston upon Hull, City of","Local authority","E06000010","Girls","50.3","Score out of 90","1384","69583.5"
"Average Attainment 8 score","All","ONS 2011 5+1","2020-2021","Academic year","Kirklees","Local authority","E08000034","All","49.5","Score out of 90","4858","240667.75"
"Average Attainment 8 score","All","ONS 2011 5+1","2020-2021","Academic year","Kirklees","Local authority","E08000034","Boys","46.5","Score out of 90","2443","113592.5"
"Average Attainment 8 score","All","ONS 2011 5+1","2020-2021","Academic year","Kirklees","Local authority","E08000034","Girls","52.6","Score out of 90","2415","127075.25"
"Average Attainment 8 score","All","ONS 2011 5+1","2020-2021","Academic year","Leeds","Local authority","E08000035","All","49.2","Score out of 90","8584","422665.5"
"Average Attainment 8 score","All","ONS 2011 5+1","2020-2021","Academic year","Leeds","Local authority","E08000035","Boys","46.1","Score out of 90","4322","199443.25"
"Average Attainment 8 score","All","ONS 2011 5+1","2020-2021","Academic year","Leeds","Local authority","E08000035","Girls","52.4","Score out of 90","4262","223222.25"
"Average Attainment 8 score","All","ONS 2011 5+1","2020-2021","Academic year","North East Lincolnshire","Local authority","E06000012","All","45.8","Score out of 90","1827","83659.25"
"Average Attainment 8 score","All","ONS 2011 5+1","2020-2021","Academic year","North East Lincolnshire","Local authority","E06000012","Boys","42.3","Score out of 90","910","38531.25"
"Average Attainment 8 score","All","ONS 2011 5+1","2020-2021","Academic year","North East Lincolnshire","Local authority","E06000012","Girls","49.2","Score out of 90","917","45128"
"Average Attainment 8 score","All","ONS 2011 5+1","2020-2021","Academic year","North Lincolnshire","Local authority","E06000013","All","47.6","Score out of 90","1899","90309.75"
"Average Attainment 8 score","All","ONS 2011 5+1","2020-2021","Academic year","North Lincolnshire","Local authority","E06000013","Boys","44.4","Score out of 90","976","43324.75"
"Average Attainment 8 score","All","ONS 2011 5+1","2020-2021","Academic year","North Lincolnshire","Local authority","E06000013","Girls","50.9","Score out of 90","923","46985"
"Average Attainment 8 score","All","ONS 2011 5+1","2020-2021","Academic year","North Yorkshire","Local authority","E10000023","All","52.5","Score out of 90","6261","328932.25"
"Average Attainment 8 score","All","ONS 2011 5+1","2020-2021","Academic year","North Yorkshire","Local authority","E10000023","Boys","49.7","Score out of 90","3155","156648.25"
"Average Attainment 8 score","All","ONS 2011 5+1","2020-2021","Academic year","North Yorkshire","Local authority","E10000023","Girls","55.5","Score out of 90","3106","172284"
"Average Attainment 8 score","All","ONS 2011 5+1","2020-2021","Academic year","Rotherham","Local authority","E08000018","All","48.7","Score out of 90","3239","157811.75"
"Average Attainment 8 score","All","ONS 2011 5+1","2020-2021","Academic year","Rotherham","Local authority","E08000018","Boys","45.9","Score out of 90","1575","72325.25"
"Average Attainment 8 score","All","ONS 2011 5+1","2020-2021","Academic year","Rotherham","Local authority","E08000018","Girls","51.4","Score out of 90","1664","85486.5"
"Average Attainment 8 score","All","ONS 2011 5+1","2020-2021","Academic year","Sheffield","Local authority","E08000019","All","48.1","Score out of 90","5640","271266.5"
"Average Attainment 8 score","All","ONS 2011 5+1","2020-2021","Academic year","Sheffield","Local authority","E08000019","Boys","45.2","Score out of 90","2911","131709.25"
"Average Attainment 8 score","All","ONS 2011 5+1","2020-2021","Academic year","Sheffield","Local authority","E08000019","Girls","51.1","Score out of 90","2729","139557.25"
"Average Attainment 8 score","All","ONS 2011 5+1","2020-2021","Academic year","Wakefield","Local authority","E08000036","All","50.1","Score out of 90","3710","185767.5"
"Average Attainment 8 score","All","ONS 2011 5+1","2020-2021","Academic year","Wakefield","Local authority","E08000036","Boys","47","Score out of 90","1938","91098.5"
"Average Attainment 8 score","All","ONS 2011 5+1","2020-2021","Academic year","Wakefield","Local authority","E08000036","Girls","53.4","Score out of 90","1772","94669"
"Average Attainment 8 score","All","ONS 2011 5+1","2020-2021","Academic year","York","Local authority","E06000014","All","55.3","Score out of 90","1810","100055.5"
"Average Attainment 8 score","All","ONS 2011 5+1","2020-2021","Academic year","York","Local authority","E06000014","Boys","52.4","Score out of 90","907","47513.5"
