"Measure","Ethnicity","Ethnicity_type","Time","Time_type","Geography","Geography_type","Geography_code","Gender","Age","Value","Value_type","Denominator","Numerator"
"Percentage of pupils reaching the expected standard in key stage 2 maths","All","ONS 2011 5+1","2018-2019","Academic Year","City of London","Local authority","E09000001","All"," 10-11","96","%","28","27"
"Percentage of pupils reaching the expected standard in key stage 2 maths","All","ONS 2011 5+1","2018-2019","Academic Year","Cornwall","Local authority","E06000052","All"," 10-11","76","%","5856","4435"
"Percentage of pupils reaching the expected standard in key stage 2 maths","All","ONS 2011 5+1","2018-2019","Academic Year","County Durham","Local authority","E06000047","All"," 10-11","80","%","5728","4564"
"Percentage of pupils reaching the expected standard in key stage 2 maths","All","ONS 2011 5+1","2018-2019","Academic Year","Coventry","Local authority","E08000026","All"," 10-11","77","%","4402","3400"
"Percentage of pupils reaching the expected standard in key stage 2 maths","All","ONS 2011 5+1","2018-2019","Academic Year","Croydon","Local authority","E09000008","All"," 10-11","79","%","4640","3687"
"Percentage of pupils reaching the expected standard in key stage 2 maths","All","ONS 2011 5+1","2018-2019","Academic Year","Cumbria","Local authority","E10000006","All"," 10-11","78","%","5229","4076"
"Percentage of pupils reaching the expected standard in key stage 2 maths","All","ONS 2011 5+1","2018-2019","Academic Year","Darlington","Local authority","E06000005","All"," 10-11","83","%","1280","1056"
"Percentage of pupils reaching the expected standard in key stage 2 maths","All","ONS 2011 5+1","2018-2019","Academic Year","Derby","Local authority","E06000015","All"," 10-11","76","%","3319","2515"
"Percentage of pupils reaching the expected standard in key stage 2 maths","All","ONS 2011 5+1","2018-2019","Academic Year","Derbyshire","Local authority","E10000007","All"," 10-11","79","%","8728","6918"
"Percentage of pupils reaching the expected standard in key stage 2 maths","All","ONS 2011 5+1","2018-2019","Academic Year","Devon","Local authority","E10000008","All"," 10-11","77","%","7908","6113"
"Percentage of pupils reaching the expected standard in key stage 2 maths","All","ONS 2011 5+1","2018-2019","Academic Year","Doncaster","Local authority","E08000017","All"," 10-11","78","%","3749","2911"
"Percentage of pupils reaching the expected standard in key stage 2 maths","All","ONS 2011 5+1","2018-2019","Academic Year","Dorset","Local authority","E06000059","All"," 10-11","76","%","3900","2963"
"Percentage of pupils reaching the expected standard in key stage 2 maths","All","ONS 2011 5+1","2018-2019","Academic Year","Dudley","Local authority","E08000027","All"," 10-11","74","%","3877","2861"
"Percentage of pupils reaching the expected standard in key stage 2 maths","All","ONS 2011 5+1","2018-2019","Academic Year","Ealing","Local authority","E09000009","All"," 10-11","85","%","4340","3671"
"Percentage of pupils reaching the expected standard in key stage 2 maths","All","ONS 2011 5+1","2018-2019","Academic Year","East Riding of Yorkshire","Local authority","E06000011","All"," 10-11","79","%","3657","2877"
"Percentage of pupils reaching the expected standard in key stage 2 maths","All","ONS 2011 5+1","2018-2019","Academic Year","East Sussex","Local authority","E10000011","All"," 10-11","75","%","5502","4144"
"Percentage of pupils reaching the expected standard in key stage 2 maths","All","ONS 2011 5+1","2018-2019","Academic Year","Enfield","Local authority","E09000010","All"," 10-11","81","%","4647","3753"
"Percentage of pupils reaching the expected standard in key stage 2 maths","All","ONS 2011 5+1","2018-2019","Academic Year","Essex","Local authority","E10000012","All"," 10-11","80","%","16641","13248"
"Percentage of pupils reaching the expected standard in key stage 2 maths","All","ONS 2011 5+1","2018-2019","Academic Year","Gateshead","Local authority","E08000037","All"," 10-11","82","%","2103","1716"
"Percentage of pupils reaching the expected standard in key stage 2 maths","All","ONS 2011 5+1","2018-2019","Academic Year","Gloucestershire","Local authority","E10000013","All"," 10-11","78","%","6834","5345"
"Percentage of pupils reaching the expected standard in key stage 2 maths","All","ONS 2011 5+1","2018-2019","Academic Year","Greenwich","Local authority","E09000011","All"," 10-11","85","%","3373","2855"
"Percentage of pupils reaching the expected standard in key stage 2 maths","All","ONS 2011 5+1","2018-2019","Academic Year","Hackney","Local authority","E09000012","All"," 10-11","78","%","2604","2026"
"Percentage of pupils reaching the expected standard in key stage 2 maths","All","ONS 2011 5+1","2018-2019","Academic Year","Halton","Local authority","E06000006","All"," 10-11","75","%","1607","1208"
"Percentage of pupils reaching the expected standard in key stage 2 maths","All","ONS 2011 5+1","2018-2019","Academic Year","Hammersmith and Fulham","Local authority","E09000013","All"," 10-11","83","%","1325","1102"
"Percentage of pupils reaching the expected standard in key stage 2 maths","All","ONS 2011 5+1","2018-2019","Academic Year","Hampshire","Local authority","E10000014","All"," 10-11","80","%","14855","11917"
"Percentage of pupils reaching the expected standard in key stage 2 maths","All","ONS 2011 5+1","2018-2019","Academic Year","Haringey","Local authority","E09000014","All"," 10-11","80","%","3065","2444"
"Percentage of pupils reaching the expected standard in key stage 2 maths","All","ONS 2011 5+1","2018-2019","Academic Year","Harrow","Local authority","E09000015","All"," 10-11","86","%","2933","2528"
"Percentage of pupils reaching the expected standard in key stage 2 maths","All","ONS 2011 5+1","2018-2019","Academic Year","Hartlepool","Local authority","E06000001","All"," 10-11","82","%","1173","956"
"Percentage of pupils reaching the expected standard in key stage 2 maths","All","ONS 2011 5+1","2018-2019","Academic Year","Havering","Local authority","E09000016","All"," 10-11","84","%","3018","2543"
"Percentage of pupils reaching the expected standard in key stage 2 maths","All","ONS 2011 5+1","2018-2019","Academic Year","Herefordshire, County of","Local authority","E06000019","All"," 10-11","81","%","1879","1515"
"Percentage of pupils reaching the expected standard in key stage 2 maths","All","ONS 2011 5+1","2018-2019","Academic Year","Hertfordshire","Local authority","E10000015","All"," 10-11","80","%","14292","11398"
"Percentage of pupils reaching the expected standard in key stage 2 maths","All","ONS 2011 5+1","2018-2019","Academic Year","Hillingdon","Local authority","E09000017","All"," 10-11","83","%","3902","3234"
"Percentage of pupils reaching the expected standard in key stage 2 maths","All","ONS 2011 5+1","2018-2019","Academic Year","Hounslow","Local authority","E09000018","All"," 10-11","83","%","3313","2766"
"Percentage of pupils reaching the expected standard in key stage 2 maths","All","ONS 2011 5+1","2018-2019","Academic Year","Isle of Wight","Local authority","E06000046","All"," 10-11","74","%","1284","952"
"Percentage of pupils reaching the expected standard in key stage 2 maths","All","ONS 2011 5+1","2018-2019","Academic Year","Isles of Scilly","Local authority","E06000053","All"," 10-11","47","%","19","9"
"Percentage of pupils reaching the expected standard in key stage 2 maths","All","ONS 2011 5+1","2018-2019","Academic Year","Islington","Local authority","E09000019","All"," 10-11","80","%","1905","1532"
"Percentage of pupils reaching the expected standard in key stage 2 maths","All","ONS 2011 5+1","2018-2019","Academic Year","Kensington and Chelsea","Local authority","E09000020","All"," 10-11","87","%","949","829"
"Percentage of pupils reaching the expected standard in key stage 2 maths","All","ONS 2011 5+1","2018-2019","Academic Year","Kent","Local authority","E10000016","All"," 10-11","79","%","17883","14093"
"Percentage of pupils reaching the expected standard in key stage 2 maths","All","ONS 2011 5+1","2018-2019","Academic Year","Kingston upon Hull, City of","Local authority","E06000010","All"," 10-11","80","%","3206","2567"
"Percentage of pupils reaching the expected standard in key stage 2 maths","All","ONS 2011 5+1","2018-2019","Academic Year","Kingston upon Thames","Local authority","E09000021","All"," 10-11","84","%","1900","1590"
"Percentage of pupils reaching the expected standard in key stage 2 maths","All","ONS 2011 5+1","2018-2019","Academic Year","Kirklees","Local authority","E08000034","All"," 10-11","78","%","5557","4339"
"Percentage of pupils reaching the expected standard in key stage 2 maths","All","ONS 2011 5+1","2018-2019","Academic Year","Knowsley","Local authority","E08000011","All"," 10-11","78","%","1817","1411"
"Percentage of pupils reaching the expected standard in key stage 2 maths","All","ONS 2011 5+1","2018-2019","Academic Year","Lambeth","Local authority","E09000022","All"," 10-11","84","%","3030","2539"
"Percentage of pupils reaching the expected standard in key stage 2 maths","All","ONS 2011 5+1","2018-2019","Academic Year","Lancashire","Local authority","E10000017","All"," 10-11","78","%","14087","11051"
"Percentage of pupils reaching the expected standard in key stage 2 maths","All","ONS 2011 5+1","2018-2019","Academic Year","Leeds","Local authority","E08000035","All"," 10-11","77","%","9341","7166"
"Percentage of pupils reaching the expected standard in key stage 2 maths","All","ONS 2011 5+1","2018-2019","Academic Year","Leicester","Local authority","E06000016","All"," 10-11","80","%","4730","3804"
"Percentage of pupils reaching the expected standard in key stage 2 maths","All","ONS 2011 5+1","2018-2019","Academic Year","Leicestershire","Local authority","E10000018","All"," 10-11","81","%","7627","6173"
"Percentage of pupils reaching the expected standard in key stage 2 maths","All","ONS 2011 5+1","2018-2019","Academic Year","Lewisham","Local authority","E09000023","All"," 10-11","81","%","3470","2818"
"Percentage of pupils reaching the expected standard in key stage 2 maths","All","ONS 2011 5+1","2018-2019","Academic Year","Lincolnshire","Local authority","E10000019","All"," 10-11","75","%","8283","6201"
"Percentage of pupils reaching the expected standard in key stage 2 maths","All","ONS 2011 5+1","2018-2019","Academic Year","Liverpool","Local authority","E08000012","All"," 10-11","77","%","5221","3996"
"Percentage of pupils reaching the expected standard in key stage 2 maths","All","ONS 2011 5+1","2018-2019","Academic Year","Luton","Local authority","E06000032","All"," 10-11","76","%","3251","2482"
"Percentage of pupils reaching the expected standard in key stage 2 maths","All","ONS 2011 5+1","2018-2019","Academic Year","Manchester","Local authority","E08000003","All"," 10-11","78","%","6743","5239"
"Percentage of pupils reaching the expected standard in key stage 2 maths","All","ONS 2011 5+1","2018-2019","Academic Year","Medway","Local authority","E06000035","All"," 10-11","77","%","3379","2608"
"Percentage of pupils reaching the expected standard in key stage 2 maths","All","ONS 2011 5+1","2018-2019","Academic Year","Merton","Local authority","E09000024","All"," 10-11","83","%","2301","1912"
"Percentage of pupils reaching the expected standard in key stage 2 maths","All","ONS 2011 5+1","2018-2019","Academic Year","Middlesbrough","Local authority","E06000002","All"," 10-11","79","%","1840","1450"
"Percentage of pupils reaching the expected standard in key stage 2 maths","All","ONS 2011 5+1","2018-2019","Academic Year","Milton Keynes","Local authority","E06000042","All"," 10-11","81","%","3763","3031"
"Percentage of pupils reaching the expected standard in key stage 2 maths","All","ONS 2011 5+1","2018-2019","Academic Year","Newcastle upon Tyne","Local authority","E08000021","All"," 10-11","81","%","2968","2393"
"Percentage of pupils reaching the expected standard in key stage 2 maths","All","ONS 2011 5+1","2018-2019","Academic Year","Newham","Local authority","E09000025","All"," 10-11","87","%","4761","4139"
"Percentage of pupils reaching the expected standard in key stage 2 maths","All","ONS 2011 5+1","2018-2019","Academic Year","Norfolk","Local authority","E10000020","All"," 10-11","75","%","9222","6878"
"Percentage of pupils reaching the expected standard in key stage 2 maths","All","ONS 2011 5+1","2018-2019","Academic Year","North East Lincolnshire","Local authority","E06000012","All"," 10-11","81","%","1918","1551"
"Percentage of pupils reaching the expected standard in key stage 2 maths","All","ONS 2011 5+1","2018-2019","Academic Year","North Lincolnshire","Local authority","E06000013","All"," 10-11","81","%","1957","1589"
"Percentage of pupils reaching the expected standard in key stage 2 maths","All","ONS 2011 5+1","2018-2019","Academic Year","North Somerset","Local authority","E06000024","All"," 10-11","79","%","2408","1902"
"Percentage of pupils reaching the expected standard in key stage 2 maths","All","ONS 2011 5+1","2018-2019","Academic Year","North Tyneside","Local authority","E08000022","All"," 10-11","80","%","2443","1952"
"Percentage of pupils reaching the expected standard in key stage 2 maths","All","ONS 2011 5+1","2018-2019","Academic Year","North Yorkshire","Local authority","E10000023","All"," 10-11","77","%","6336","4861"
"Percentage of pupils reaching the expected standard in key stage 2 maths","All","ONS 2011 5+1","2018-2019","Academic Year","Northamptonshire","Local authority","E10000021","All"," 10-11","75","%","9468","7131"
"Percentage of pupils reaching the expected standard in key stage 2 maths","All","ONS 2011 5+1","2018-2019","Academic Year","Northumberland","Local authority","E06000057","All"," 10-11","79","%","3565","2826"
"Percentage of pupils reaching the expected standard in key stage 2 maths","All","ONS 2011 5+1","2018-2019","Academic Year","Nottingham","Local authority","E06000018","All"," 10-11","79","%","3582","2820"
"Percentage of pupils reaching the expected standard in key stage 2 maths","All","ONS 2011 5+1","2018-2019","Academic Year","Nottinghamshire","Local authority","E10000024","All"," 10-11","79","%","9320","7344"
"Percentage of pupils reaching the expected standard in key stage 2 maths","All","ONS 2011 5+1","2018-2019","Academic Year","Oldham","Local authority","E08000004","All"," 10-11","78","%","3488","2731"
"Percentage of pupils reaching the expected standard in key stage 2 maths","All","ONS 2011 5+1","2018-2019","Academic Year","Oxfordshire","Local authority","E10000025","All"," 10-11","79","%","7435","5864"
"Percentage of pupils reaching the expected standard in key stage 2 maths","All","ONS 2011 5+1","2018-2019","Academic Year","Peterborough","Local authority","E06000031","All"," 10-11","73","%","3007","2186"
"Percentage of pupils reaching the expected standard in key stage 2 maths","All","ONS 2011 5+1","2018-2019","Academic Year","Plymouth","Local authority","E06000026","All"," 10-11","78","%","2952","2297"
"Percentage of pupils reaching the expected standard in key stage 2 maths","All","ONS 2011 5+1","2018-2019","Academic Year","Portsmouth","Local authority","E06000044","All"," 10-11","75","%","2222","1657"
"Percentage of pupils reaching the expected standard in key stage 2 maths","All","ONS 2011 5+1","2018-2019","Academic Year","Reading","Local authority","E06000038","All"," 10-11","78","%","1886","1478"
"Percentage of pupils reaching the expected standard in key stage 2 maths","All","ONS 2011 5+1","2018-2019","Academic Year","Redbridge","Local authority","E09000026","All"," 10-11","85","%","4081","3453"
"Percentage of pupils reaching the expected standard in key stage 2 maths","All","ONS 2011 5+1","2018-2019","Academic Year","Redcar and Cleveland","Local authority","E06000003","All"," 10-11","85","%","1637","1384"
"Percentage of pupils reaching the expected standard in key stage 2 maths","All","ONS 2011 5+1","2018-2019","Academic Year","Richmond upon Thames","Local authority","E09000027","All"," 10-11","91","%","2314","2096"
"Percentage of pupils reaching the expected standard in key stage 2 maths","All","ONS 2011 5+1","2018-2019","Academic Year","Rochdale","Local authority","E08000005","All"," 10-11","76","%","3012","2280"
"Percentage of pupils reaching the expected standard in key stage 2 maths","All","ONS 2011 5+1","2018-2019","Academic Year","Rotherham","Local authority","E08000018","All"," 10-11","75","%","3391","2531"
"Percentage of pupils reaching the expected standard in key stage 2 maths","All","ONS 2011 5+1","2018-2019","Academic Year","Rutland","Local authority","E06000017","All"," 10-11","80","%","396","318"
"Percentage of pupils reaching the expected standard in key stage 2 maths","All","ONS 2011 5+1","2018-2019","Academic Year","Salford","Local authority","E08000006","All"," 10-11","79","%","2979","2368"
"Percentage of pupils reaching the expected standard in key stage 2 maths","All","ONS 2011 5+1","2018-2019","Academic Year","Sandwell","Local authority","E08000028","All"," 10-11","78","%","4757","3701"
"Percentage of pupils reaching the expected standard in key stage 2 maths","All","ONS 2011 5+1","2018-2019","Academic Year","Sefton","Local authority","E08000014","All"," 10-11","79","%","2942","2321"
"Percentage of pupils reaching the expected standard in key stage 2 maths","All","ONS 2011 5+1","2018-2019","Academic Year","Sheffield","Local authority","E08000019","All"," 10-11","78","%","6315","4908"
"Percentage of pupils reaching the expected standard in key stage 2 maths","All","ONS 2011 5+1","2018-2019","Academic Year","Shropshire","Local authority","E06000051","All"," 10-11","79","%","3071","2413"
"Percentage of pupils reaching the expected standard in key stage 2 maths","All","ONS 2011 5+1","2018-2019","Academic Year","Slough","Local authority","E06000039","All"," 10-11","83","%","2361","1951"
"Percentage of pupils reaching the expected standard in key stage 2 maths","All","ONS 2011 5+1","2018-2019","Academic Year","Solihull","Local authority","E08000029","All"," 10-11","83","%","2630","2174"
"Percentage of pupils reaching the expected standard in key stage 2 maths","All","ONS 2011 5+1","2018-2019","Academic Year","Somerset","Local authority","E10000027","All"," 10-11","75","%","5890","4389"
"Percentage of pupils reaching the expected standard in key stage 2 maths","All","ONS 2011 5+1","2018-2019","Academic Year","South Gloucestershire","Local authority","E06000025","All"," 10-11","79","%","3303","2619"
"Percentage of pupils reaching the expected standard in key stage 2 maths","All","ONS 2011 5+1","2018-2019","Academic Year","South Tyneside","Local authority","E08000023","All"," 10-11","80","%","1669","1335"
"Percentage of pupils reaching the expected standard in key stage 2 maths","All","ONS 2011 5+1","2018-2019","Academic Year","Southampton","Local authority","E06000045","All"," 10-11","78","%","2816","2185"
"Percentage of pupils reaching the expected standard in key stage 2 maths","All","ONS 2011 5+1","2018-2019","Academic Year","Southend-on-Sea","Local authority","E06000033","All"," 10-11","80","%","2206","1766"
"Percentage of pupils reaching the expected standard in key stage 2 maths","All","ONS 2011 5+1","2018-2019","Academic Year","Southwark","Local authority","E09000028","All"," 10-11","81","%","3325","2683"
"Percentage of pupils reaching the expected standard in key stage 2 maths","All","ONS 2011 5+1","2018-2019","Academic Year","St. Helens","Local authority","E08000013","All"," 10-11","78","%","2204","1724"
"Percentage of pupils reaching the expected standard in key stage 2 maths","All","ONS 2011 5+1","2018-2019","Academic Year","Staffordshire","Local authority","E10000028","All"," 10-11","79","%","9780","7725"
"Percentage of pupils reaching the expected standard in key stage 2 maths","All","ONS 2011 5+1","2018-2019","Academic Year","Stockport","Local authority","E08000007","All"," 10-11","80","%","3432","2750"
"Percentage of pupils reaching the expected standard in key stage 2 maths","All","ONS 2011 5+1","2018-2019","Academic Year","Stockton-on-Tees","Local authority","E06000004","All"," 10-11","83","%","2506","2069"
"Percentage of pupils reaching the expected standard in key stage 2 maths","All","ONS 2011 5+1","2018-2019","Academic Year","Stoke-on-Trent","Local authority","E06000021","All"," 10-11","75","%","3338","2495"
"Percentage of pupils reaching the expected standard in key stage 2 maths","All","ONS 2011 5+1","2018-2019","Academic Year","Suffolk","Local authority","E10000029","All"," 10-11","77","%","7977","6104"
"Percentage of pupils reaching the expected standard in key stage 2 maths","All","ONS 2011 5+1","2018-2019","Academic Year","Sunderland","Local authority","E08000024","All"," 10-11","80","%","3258","2595"
"Percentage of pupils reaching the expected standard in key stage 2 maths","All","ONS 2011 5+1","2018-2019","Academic Year","Surrey","Local authority","E10000030","All"," 10-11","83","%","12401","10255"
"Percentage of pupils reaching the expected standard in key stage 2 maths","All","ONS 2011 5+1","2018-2019","Academic Year","Sutton","Local authority","E09000029","All"," 10-11","85","%","2399","2031"
"Percentage of pupils reaching the expected standard in key stage 2 maths","All","ONS 2011 5+1","2018-2019","Academic Year","Swindon","Local authority","E06000030","All"," 10-11","77","%","2910","2238"
"Percentage of pupils reaching the expected standard in key stage 2 maths","All","ONS 2011 5+1","2018-2019","Academic Year","Tameside","Local authority","E08000008","All"," 10-11","79","%","2964","2335"
"Percentage of pupils reaching the expected standard in key stage 2 maths","All","ONS 2011 5+1","2018-2019","Academic Year","Telford and Wrekin","Local authority","E06000020","All"," 10-11","79","%","2289","1806"
"Percentage of pupils reaching the expected standard in key stage 2 maths","All","ONS 2011 5+1","2018-2019","Academic Year","Thurrock","Local authority","E06000034","All"," 10-11","84","%","2419","2020"
"Percentage of pupils reaching the expected standard in key stage 2 maths","All","ONS 2011 5+1","2018-2019","Academic Year","Torbay","Local authority","E06000027","All"," 10-11","79","%","1449","1142"
"Percentage of pupils reaching the expected standard in key stage 2 maths","All","ONS 2011 5+1","2018-2019","Academic Year","Tower Hamlets","Local authority","E09000030","All"," 10-11","85","%","3319","2837"
"Percentage of pupils reaching the expected standard in key stage 2 maths","All","ONS 2011 5+1","2018-2019","Academic Year","Trafford","Local authority","E08000009","All"," 10-11","87","%","3006","2621"
"Percentage of pupils reaching the expected standard in key stage 2 maths","All","ONS 2011 5+1","2018-2019","Academic Year","Wakefield","Local authority","E08000036","All"," 10-11","78","%","4036","3137"
"Percentage of pupils reaching the expected standard in key stage 2 maths","All","ONS 2011 5+1","2018-2019","Academic Year","Walsall","Local authority","E08000030","All"," 10-11","77","%","3790","2916"
"Percentage of pupils reaching the expected standard in key stage 2 maths","All","ONS 2011 5+1","2018-2019","Academic Year","Waltham Forest","Local authority","E09000031","All"," 10-11","84","%","3318","2791"
"Percentage of pupils reaching the expected standard in key stage 2 maths","All","ONS 2011 5+1","2018-2019","Academic Year","Wandsworth","Local authority","E09000032","All"," 10-11","83","%","2401","1981"
"Percentage of pupils reaching the expected standard in key stage 2 maths","All","ONS 2011 5+1","2018-2019","Academic Year","Warrington","Local authority","E06000007","All"," 10-11","85","%","2608","2209"
"Percentage of pupils reaching the expected standard in key stage 2 maths","All","ONS 2011 5+1","2018-2019","Academic Year","Warwickshire","Local authority","E10000031","All"," 10-11","78","%","6381","4992"
"Percentage of pupils reaching the expected standard in key stage 2 maths","All","ONS 2011 5+1","2018-2019","Academic Year","West Berkshire","Local authority","E06000037","All"," 10-11","77","%","1950","1492"
"Percentage of pupils reaching the expected standard in key stage 2 maths","All","ONS 2011 5+1","2018-2019","Academic Year","West Sussex","Local authority","E10000032","All"," 10-11","77","%","9239","7077"
"Percentage of pupils reaching the expected standard in key stage 2 maths","All","ONS 2011 5+1","2018-2019","Academic Year","Westminster","Local authority","E09000033","All"," 10-11","84","%","1428","1197"
"Percentage of pupils reaching the expected standard in key stage 2 maths","All","ONS 2011 5+1","2018-2019","Academic Year","Wigan","Local authority","E08000010","All"," 10-11","80","%","3813","3063"
"Percentage of pupils reaching the expected standard in key stage 2 maths","All","ONS 2011 5+1","2018-2019","Academic Year","Wiltshire","Local authority","E06000054","All"," 10-11","76","%","5370","4103"
"Percentage of pupils reaching the expected standard in key stage 2 maths","All","ONS 2011 5+1","2018-2019","Academic Year","Windsor and Maidenhead","Local authority","E06000040","All"," 10-11","79","%","1591","1257"
"Percentage of pupils reaching the expected standard in key stage 2 maths","All","ONS 2011 5+1","2018-2019","Academic Year","Wirral","Local authority","E08000015","All"," 10-11","75","%","3754","2821"
"Percentage of pupils reaching the expected standard in key stage 2 maths","All","ONS 2011 5+1","2018-2019","Academic Year","Wokingham","Local authority","E06000041","All"," 10-11","84","%","2139","1803"
"Percentage of pupils reaching the expected standard in key stage 2 maths","All","ONS 2011 5+1","2018-2019","Academic Year","Wolverhampton","Local authority","E08000031","All"," 10-11","76","%","3364","2562"
"Percentage of pupils reaching the expected standard in key stage 2 maths","All","ONS 2011 5+1","2018-2019","Academic Year","Worcestershire","Local authority","E10000034","All"," 10-11","77","%","6155","4733"
"Percentage of pupils reaching the expected standard in key stage 2 maths","All","ONS 2011 5+1","2018-2019","Academic Year","York","Local authority","E06000014","All"," 10-11","82","%","1985","1624"
"Percentage of pupils reaching the expected standard in key stage 2 maths","All","ONS 2011 5+1","2018-2019","Academic Year","Barking and Dagenham","Local authority","E09000002","Boys"," 10-11","80","%","1779","1415"
"Percentage of pupils reaching the expected standard in key stage 2 maths","All","ONS 2011 5+1","2018-2019","Academic Year","Barnet","Local authority","E09000003","Boys"," 10-11","86","%","2116","1810"
"Percentage of pupils reaching the expected standard in key stage 2 maths","All","ONS 2011 5+1","2018-2019","Academic Year","Barnsley","Local authority","E08000016","Boys"," 10-11","80","%","1439","1158"
"Percentage of pupils reaching the expected standard in key stage 2 maths","All","ONS 2011 5+1","2018-2019","Academic Year","Bath and North East Somerset","Local authority","E06000022","Boys"," 10-11","80","%","915","732"
"Percentage of pupils reaching the expected standard in key stage 2 maths","All","ONS 2011 5+1","2018-2019","Academic Year","Bedford","Local authority","E06000055","Boys"," 10-11","72","%","1099","789"
"Percentage of pupils reaching the expected standard in key stage 2 maths","All","ONS 2011 5+1","2018-2019","Academic Year","Bexley","Local authority","E09000004","Boys"," 10-11","81","%","1666","1352"
"Percentage of pupils reaching the expected standard in key stage 2 maths","All","ONS 2011 5+1","2018-2019","Academic Year","Birmingham","Local authority","E08000025","Boys"," 10-11","76","%","8309","6286"
