"Ethnicity","Local authority ","%","Pupils"
"Chinese","Hillingdon","100","6"
"Chinese","Hounslow","94","17"
"Chinese","Isle of Wight","100","5"
"Chinese","Isles of Scilly","N/A","N/A"
"Chinese","Islington","100","10"
"Chinese","Kensington and Chelsea","100","3"
"Chinese","Kent","96","49"
"Chinese","Kingston upon Hull, City of","100","5"
"Chinese","Kingston upon Thames","100","30"
"Chinese","Kirklees","94","15"
"Chinese","Knowsley","50","1"
"Chinese","Lambeth","94","16"
"Chinese","Lancashire","95","39"
"Chinese","Leeds","90","47"
"Chinese","Leicester","100","17"
"Chinese","Leicestershire","96","27"
"Chinese","Lewisham","94","44"
"Chinese","Lincolnshire","84","21"
"Chinese","Liverpool","95","75"
"Chinese","Luton","100","10"
"Chinese","Manchester","92","59"
"Chinese","Medway","86","6"
"Chinese","Merton","93","14"
"Chinese","Middlesbrough","N/A","N/A"
"Chinese","Milton Keynes","88","23"
"Chinese","Newcastle upon Tyne","97","35"
"Chinese","Newham","100","20"
"Chinese","Norfolk","95","36"
"Chinese","North East Lincolnshire","100","1"
"Chinese","North Lincolnshire","100","3"
"Chinese","North Somerset","100","8"
"Chinese","North Tyneside","94","16"
"Chinese","North Yorkshire","100","10"
"Chinese","Northamptonshire","97","32"
"Chinese","Northumberland","100","7"
"Chinese","Nottingham","92","11"
"Chinese","Nottinghamshire","92","24"
"Chinese","Oldham","92","12"
"Chinese","Oxfordshire","100","20"
"Chinese","Peterborough","100","8"
"Chinese","Plymouth","100","10"
"Chinese","Portsmouth","89","8"
"Chinese","Reading","100","11"
"Chinese","Redbridge","100","21"
"Chinese","Redcar and Cleveland","100","1"
"Chinese","Richmond upon Thames","88","21"
"Chinese","Rochdale","100","12"
"Chinese","Rotherham","92","11"
"Chinese","Rutland","N/A","N/A"
"Chinese","Salford","100","1"
"Chinese","Sandwell","92","22"
"Chinese","Sefton","100","7"
"Chinese","Sheffield","96","46"
"Chinese","Shropshire","100","4"
"Chinese","Slough","100","3"
"Chinese","Solihull","97","29"
"Chinese","Somerset","92","12"
"Chinese","South Gloucestershire","91","10"
"Chinese","South Tyneside","100","3"
"Chinese","Southampton","100","16"
"Chinese","Southend-on-Sea","100","23"
"Chinese","Southwark","97","29"
"Chinese","St. Helens","80","8"
"Chinese","Staffordshire","95","35"
"Chinese","Stockport","91","20"
"Chinese","Stockton-on-Tees","100","7"
"Chinese","Stoke-on-Trent","100","12"
"Chinese","Suffolk","75","3"
"Chinese","Sunderland","85","11"
"Chinese","Surrey","97","68"
"Chinese","Sutton","100","41"
"Chinese","Swindon","93","14"
"Chinese","Tameside","100","13"
"Chinese","Telford and Wrekin","100","13"
"Chinese","Thurrock","94","15"
"Chinese","Torbay","75","3"
"Chinese","Tower Hamlets","100","11"
"Chinese","Trafford","98","61"
"Chinese","Wakefield","95","21"
"Chinese","Walsall","93","13"
"Chinese","Waltham Forest","97","28"
"Chinese","Wandsworth","100","10"
"Chinese","Warrington","100","6"
"Chinese","Warwickshire","95","21"
"Chinese","West Berkshire","100","6"
"Chinese","West Sussex","82","18"
"Chinese","Westminster","100","12"
"Chinese","Wigan","83","5"
"Chinese","Wiltshire","94","15"
"Chinese","Windsor and Maidenhead","100","6"
"Chinese","Wirral","95","19"
"Chinese","Wokingham","100","14"
"Chinese","Wolverhampton","88","7"
"Chinese","Worcestershire","100","10"
"Chinese","York","100","4"
"Mixed","Barking and Dagenham","75","232"
"Mixed","Barnet","85","364"
"Mixed","Barnsley","76","54"
"Mixed","Bath and North East Somerset","74","70"
"Mixed","Bedford","63","161"
"Mixed","Bexley","82","192"
"Mixed","Birmingham","73","1,016"
"Mixed","Blackburn with Darwen","82","59"
"Mixed","Blackpool","75","45"
"Mixed","Bolton","81","126"
"Mixed","Bournemouth, Christchurch and Poole","84","190"
"Mixed","Bracknell Forest","84","85"
"Mixed","Bradford","76","310"
"Mixed","Brent","83","236"
"Mixed","Brighton and Hove","84","237"
"Mixed","Bristol, City of","72","318"
"Mixed","Bromley","84","344"
"Mixed","Buckinghamshire","78","381"
"Mixed","Bury","76","88"
"Mixed","Calderdale","81","89"
"Mixed","Cambridgeshire","77","291"
"Mixed","Camden","86","146"
"Mixed","Central Bedfordshire","75","194"
"Mixed","Cheshire East","79","139"
"Mixed","Cheshire West and Chester","80","85"
"Mixed","City of London","100","4"
"Mixed","Cornwall","74","106"
"Mixed","County Durham","88","88"
"Mixed","Coventry","75","220"
"Mixed","Croydon","74","543"
"Mixed","Cumbria","82","63"
"Mixed","Darlington","73","22"
"Mixed","Derby","77","191"
"Mixed","Derbyshire","82","215"
"Mixed","Devon","79","153"
"Mixed","Doncaster","73","80"
"Mixed","Dorset","76","93"
"Mixed","Dudley","67","174"
"Mixed","Ealing","83","299"
"Mixed","East Riding of Yorkshire","81","63"
"Mixed","East Sussex","77","246"
"Mixed","Enfield","84","405"
"Mixed","Essex","83","750"
"Mixed","Gateshead","84","32"
"Mixed","Gloucestershire","79","267"
"Mixed","Greenwich","86","294"
"Mixed","Hackney","78","208"
"Mixed","Halton","73","24"
"Mixed","Hammersmith and Fulham","77","142"
"Mixed","Hampshire","85","495"
"Mixed","Haringey","80","274"
"Mixed","Harrow","77","197"
"Mixed","Hartlepool","87","13"
"Mixed","Havering","84","176"
"Mixed","Herefordshire, County of","83","50"
"Mixed","Hertfordshire","79","802"
"Mixed","Hillingdon","82","381"
"Mixed","Hounslow","81","236"
"Mixed","Isle of Wight","78","39"
"Mixed","Isles of Scilly","N/A","N/A"
"Mixed","Islington","79","240"
"Mixed","Kensington and Chelsea","89","167"
"Mixed","Kent","80","787"
"Mixed","Kingston upon Hull, City of","81","95"
"Mixed","Kingston upon Thames","84","179"
"Mixed","Kirklees","78","288"
"Mixed","Knowsley","67","26"
"Mixed","Lambeth","84","353"
"Mixed","Lancashire","78","375"
"Mixed","Leeds","74","467"
"Mixed","Leicester","76","253"
"Mixed","Leicestershire","82","310"
"Mixed","Lewisham","80","446"
"Mixed","Lincolnshire","80","200"
"Mixed","Liverpool","78","231"
"Mixed","Luton","80","223"
"Mixed","Manchester","77","438"
"Mixed","Medway","81","183"
"Mixed","Merton","76","174"
"Mixed","Middlesbrough","71","80"
"Mixed","Milton Keynes","81","253"
"Mixed","Newcastle upon Tyne","82","111"
"Mixed","Newham","83","259"
"Mixed","Norfolk","76","244"
"Mixed","North East Lincolnshire","90","52"
"Mixed","North Lincolnshire","71","24"
"Mixed","North Somerset","80","74"
"Mixed","North Tyneside","87","66"
"Mixed","North Yorkshire","75","129"
"Mixed","Northamptonshire","71","368"
"Mixed","Northumberland","83","55"
"Mixed","Nottingham","79","386"
"Mixed","Nottinghamshire","80","335"
"Mixed","Oldham","79","141"
"Mixed","Oxfordshire","75","384"
"Mixed","Peterborough","72","137"
"Mixed","Plymouth","76","68"
"Mixed","Portsmouth","92","110"
"Mixed","Reading","75","163"
"Mixed","Redbridge","82","251"
"Mixed","Redcar and Cleveland","92","46"
"Mixed","Richmond upon Thames","86","196"
"Mixed","Rochdale","73","84"
"Mixed","Rotherham","63","69"
"Mixed","Rutland","92","11"
"Mixed","Salford","80","193"
"Mixed","Sandwell","74","326"
"Mixed","Sefton","82","63"
"Mixed","Sheffield","77","372"
"Mixed","Shropshire","80","74"
"Mixed","Slough","76","161"
"Mixed","Solihull","77","171"
"Mixed","Somerset","78","138"
"Mixed","South Gloucestershire","85","145"
"Mixed","South Tyneside","81","35"
"Mixed","Southampton","80","141"
"Mixed","Southend-on-Sea","77","113"
"Mixed","Southwark","80","301"
"Mixed","St. Helens","74","32"
"Mixed","Staffordshire","73","257"
"Mixed","Stockport","70","127"
"Mixed","Stockton-on-Tees","87","58"
"Mixed","Stoke-on-Trent","79","126"
"Mixed","Suffolk","77","359"
"Mixed","Sunderland","85","47"
"Mixed","Surrey","82","643"
"Mixed","Sutton","86","202"
"Mixed","Swindon","75","135"
"Mixed","Tameside","79","111"
"Mixed","Telford and Wrekin","84","98"
"Mixed","Thurrock","89","127"
"Mixed","Torbay","76","32"
"Mixed","Tower Hamlets","80","171"
"Mixed","Trafford","87","201"
"Mixed","Wakefield","73","90"
"Mixed","Walsall","72","169"
"Mixed","Waltham Forest","85","341"
"Mixed","Wandsworth","77","230"
"Mixed","Warrington","92","70"
"Mixed","Warwickshire","81","256"
"Mixed","West Berkshire","77","80"
"Mixed","West Sussex","76","349"
"Mixed","Westminster","84","125"
"Mixed","Wigan","86","84"
"Mixed","Wiltshire","84","158"
"Mixed","Windsor and Maidenhead","78","107"
"Mixed","Wirral","79","77"
"Mixed","Wokingham","86","143"
"Mixed","Wolverhampton","71","280"
"Mixed","Worcestershire","79","190"
"Mixed","York","79","48"
"White","Barking and Dagenham","76","962"
"White","Barnet","87","1,929"
"White","Barnsley","81","2,159"
"White","Bath and North East Somerset","80","1,319"
"White","Bedford","72","1,018"
"White","Bexley","78","1,650"
"White","Birmingham","75","4,139"
"White","Blackburn with Darwen","80","854"
"White","Blackpool","83","1,288"
"White","Bolton","80","1,981"
"White","Bournemouth, Christchurch and Poole","81","2,722"
"White","Bracknell Forest","78","911"
"White","Bradford","74","2,852"
"White","Brent","85","785"
"White","Brighton and Hove","78","1,669"
"White","Bristol, City of","80","2,698"
"White","Bromley","85","2,211"
"White","Buckinghamshire","78","3,482"
"White","Bury","81","1,444"
"White","Calderdale","79","1,646"
"White","Cambridgeshire","76","4,611"
"White","Camden","86","527"
"White","Central Bedfordshire","76","2,300"
"White","Cheshire East","80","3,128"
"White","Cheshire West and Chester","78","2,919"
"White","City of London","100","9"
"White","Cornwall","76","4,240"
"White","County Durham","79","4,397"
"White","Coventry","76","1,901"
"White","Croydon","80","1,360"
"White","Cumbria","78","3,905"
"White","Darlington","82","981"
"White","Derby","74","1,619"
"White","Derbyshire","79","6,483"
"White","Devon","77","5,788"
"White","Doncaster","77","2,647"
"White","Dorset","76","2,810"
"White","Dudley","74","2,229"
"White","Ealing","86","1,127"
"White","East Riding of Yorkshire","79","2,757"
"White","East Sussex","75","3,696"
"White","Enfield","79","1,785"
"White","Essex","79","11,330"
"White","Gateshead","81","1,567"
"White","Gloucestershire","78","4,734"
"White","Greenwich","80","1,115"
"White","Hackney","79","711"
"White","Halton","75","1,164"
"White","Hammersmith and Fulham","89","451"
"White","Hampshire","80","10,663"
"White","Haringey","82","1,227"
"White","Harrow","86","708"
"White","Hartlepool","81","907"
"White","Havering","83","1,779"
"White","Herefordshire, County of","80","1,435"
"White","Hertfordshire","79","8,775"
"White","Hillingdon","80","1,220"
"White","Hounslow","79","875"
"White","Isle of Wight","74","893"
"White","Isles of Scilly","44","8"
"White","Islington","82","686"
"White","Kensington and Chelsea","88","304"
"White","Kent","78","11,895"
"White","Kingston upon Hull, City of","80","2,295"
"White","Kingston upon Thames","81","919"
"White","Kirklees","78","2,721"
"White","Knowsley","78","1,326"
"White","Lambeth","85","785"
"White","Lancashire","79","9,250"
"White","Leeds","78","5,062"
"White","Leicester","74","1,280"
"White","Leicestershire","80","5,187"
"White","Lewisham","83","933"
