"Ethnicity","Geography","boys","girls"
"Black","Brighton and Hove","64","79"
"Black","Bristol, City of","61","65"
"Black","Bromley","69","73"
"Black","Buckinghamshire","75","78"
"Black","Bury","63","70"
"Black","Calderdale","60","73"
"Black","Cambridgeshire","54","70"
"Black","Camden","71","72"
"Black","Central Bedfordshire","69","83"
"Black","Cheshire East","60","73"
"Black","Cheshire West and Chester","73","83"
"Black","City of London","!","!"
"Black","Cornwall","N/A","0"
"Black","County Durham","40","100"
"Black","Coventry","68","74"
"Black","Croydon","76","77"
"Black","Cumbria","0","67"
"Black","Darlington","75","83"
"Black","Derby","75","77"
"Black","Derbyshire","67","73"
"Black","Devon","33","88"
"Black","Doncaster","59","84"
"Black","Dorset","50","0"
"Black","Dudley","70","77"
"Black","Ealing","66","72"
"Black","East Riding of Yorkshire","0","67"
"Black","East Sussex","71","71"
"Black","Enfield","68","76"
"Black","Essex","70","83"
"Black","Gateshead","67","87"
"Black","Gloucestershire","67","74"
"Black","Greenwich","79","86"
"Black","Hackney","75","82"
"Black","Halton","N/A","100"
"Black","Hammersmith and Fulham","74","73"
"Black","Hampshire","68","73"
"Black","Haringey","75","78"
"Black","Harrow","65","76"
"Black","Hartlepool","100","100"
"Black","Havering","74","80"
"Black","Herefordshire, County of","100","100"
"Black","Hertfordshire","71","72"
"Black","Hillingdon","75","75"
"Black","Hounslow","69","82"
"Black","Isle of Wight","100","N/A"
"Black","Isles of Scilly","!","!"
"Black","Islington","71","70"
"Black","Kensington and Chelsea","72","76"
"Black","Kent","81","89"
"Black","Kingston upon Hull, City of","64","62"
"Black","Kingston upon Thames","60","77"
"Black","Kirklees","74","59"
"Black","Knowsley","78","63"
"Black","Lambeth","73","80"
"Black","Lancashire","74","81"
"Black","Leeds","67","67"
"Black","Leicester","72","72"
"Black","Leicestershire","70","61"
"Black","Lewisham","72","75"
"Black","Lincolnshire","83","80"
"Black","Liverpool","76","76"
"Black","Luton","69","79"
"Black","Manchester","73","79"
"Black","Medway","87","88"
"Black","Merton","71","78"
"Black","Middlesbrough","71","80"
"Black","Milton Keynes","74","73"
"Black","Newcastle upon Tyne","69","75"
"Black","Newham","77","85"
"Black","Norfolk","69","72"
"Black","North East Lincolnshire","50","80"
"Black","North Lincolnshire","75","40"
"Black","North Somerset","67","43"
"Black","North Tyneside","75","67"
"Black","North Yorkshire","67","82"
"Black","Northamptonshire","68","73"
"Black","Northumberland","100","100"
"Black","Nottingham","71","74"
"Black","Nottinghamshire","74","66"
"Black","Oldham","62","69"
"Black","Oxfordshire","66","73"
"Black","Peterborough","82","71"
"Black","Plymouth","57","75"
"Black","Poole","83","60"
"Black","Portsmouth","75","74"
"Black","Reading","74","70"
"Black","Redbridge","78","73"
"Black","Redcar and Cleveland","67","0"
"Black","Richmond upon Thames","89","72"
"Black","Rochdale","65","64"
"Black","Rotherham","59","81"
"Black","Rutland","100","33"
"Black","Salford","76","72"
"Black","Sandwell","70","75"
"Black","Sefton","50","40"
"Black","Sheffield","64","77"
"Black","Shropshire","100","40"
"Black","Slough","65","78"
"Black","Solihull","74","67"
"Black","Somerset","67","78"
"Black","South Gloucestershire","83","78"
"Black","South Tyneside","67","67"
"Black","Southampton","75","77"
"Black","Southend-on-Sea","74","73"
"Black","Southwark","74","78"
"Black","St. Helens","80","50"
"Black","Staffordshire","61","68"
"Black","Stockport","65","77"
"Black","Stockton-on-Tees","84","92"
"Black","Stoke-on-Trent","66","72"
"Black","Suffolk","73","72"
"Black","Sunderland","100","83"
"Black","Surrey","63","75"
"Black","Sutton","72","85"
"Black","Swindon","81","98"
"Black","Tameside","59","72"
"Black","Telford and Wrekin","79","81"
"Black","Thurrock","84","83"
"Black","Torbay","N/A","100"
"Black","Tower Hamlets","76","80"
"Black","Trafford","79","65"
"Black","Wakefield","57","72"
"Black","Walsall","64","74"
"Black","Waltham Forest","75","78"
"Black","Wandsworth","76","77"
"Black","Warrington","75","100"
"Black","Warwickshire","67","72"
"Black","West Berkshire","91","73"
"Black","West Sussex","64","64"
"Black","Westminster","79","71"
"Black","Wigan","47","81"
"Black","Wiltshire","60","72"
"Black","Windsor and Maidenhead","75","75"
"Black","Wirral","89","100"
"Black","Wokingham","59","79"
"Black","Wolverhampton","76","76"
"Black","Worcestershire","60","83"
"Black","York","N/A","50"
"Chinese","Barking and Dagenham","67","83"
"Chinese","Barnet","97","97"
"Chinese","Barnsley","0","100"
"Chinese","Bath and North East Somerset","75","50"
"Chinese","Bedford","75","100"
"Chinese","Bexley","94","94"
"Chinese","Birmingham","93","90"
"Chinese","Blackburn with Darwen","100","75"
"Chinese","Blackpool","100","100"
"Chinese","Bolton","88","100"
"Chinese","Bournemouth","100","100"
"Chinese","Bracknell Forest","100","86"
"Chinese","Bradford","100","50"
"Chinese","Brent","100","50"
"Chinese","Brighton and Hove","100","100"
"Chinese","Bristol, City of","100","87"
"Chinese","Bromley","94","100"
"Chinese","Buckinghamshire","100","100"
"Chinese","Bury","89","100"
"Chinese","Calderdale","100","100"
"Chinese","Cambridgeshire","100","88"
"Chinese","Camden","82","89"
"Chinese","Central Bedfordshire","89","86"
"Chinese","Cheshire East","60","80"
"Chinese","Cheshire West and Chester","86","100"
"Chinese","City of London","!","!"
"Chinese","Cornwall","88","40"
"Chinese","County Durham","82","87"
"Chinese","Coventry","86","90"
"Chinese","Croydon","91","100"
"Chinese","Cumbria","100","100"
"Chinese","Darlington","50","100"
"Chinese","Derby","93","75"
"Chinese","Derbyshire","86","86"
"Chinese","Devon","100","100"
"Chinese","Doncaster","100","100"
"Chinese","Dorset","100","100"
"Chinese","Dudley","88","100"
"Chinese","Ealing","100","82"
"Chinese","East Riding of Yorkshire","100","100"
"Chinese","East Sussex","67","100"
"Chinese","Enfield","100","94"
"Chinese","Essex","81","91"
"Chinese","Gateshead","71","100"
"Chinese","Gloucestershire","89","100"
"Chinese","Greenwich","97","96"
"Chinese","Hackney","91","94"
"Chinese","Halton","N/A","N/A"
"Chinese","Hammersmith and Fulham","100","100"
"Chinese","Hampshire","96","92"
"Chinese","Haringey","78","100"
"Chinese","Harrow","80","100"
"Chinese","Hartlepool","50","100"
"Chinese","Havering","83","100"
"Chinese","Herefordshire, County of","100","N/A"
"Chinese","Hertfordshire","93","100"
"Chinese","Hillingdon","100","100"
"Chinese","Hounslow","100","92"
"Chinese","Isle of Wight","100","N/A"
"Chinese","Isles of Scilly","!","!"
"Chinese","Islington","100","100"
"Chinese","Kensington and Chelsea","80","N/A"
"Chinese","Kent","81","92"
"Chinese","Kingston upon Hull, City of","100","100"
"Chinese","Kingston upon Thames","86","100"
"Chinese","Kirklees","100","71"
"Chinese","Knowsley","100","100"
"Chinese","Lambeth","92","90"
"Chinese","Lancashire","84","93"
"Chinese","Leeds","93","92"
"Chinese","Leicester","82","100"
"Chinese","Leicestershire","81","93"
"Chinese","Lewisham","82","88"
"Chinese","Lincolnshire","80","100"
"Chinese","Liverpool","87","91"
"Chinese","Luton","67","75"
"Chinese","Manchester","91","97"
"Chinese","Medway","88","100"
"Chinese","Merton","92","75"
"Chinese","Middlesbrough","67","0"
"Chinese","Milton Keynes","100","88"
"Chinese","Newcastle upon Tyne","90","94"
"Chinese","Newham","78","82"
"Chinese","Norfolk","86","89"
"Chinese","North East Lincolnshire","100","100"
"Chinese","North Lincolnshire","100","75"
"Chinese","North Somerset","100","100"
"Chinese","North Tyneside","100","80"
"Chinese","North Yorkshire","100","80"
"Chinese","Northamptonshire","94","92"
"Chinese","Northumberland","100","75"
"Chinese","Nottingham","86","100"
"Chinese","Nottinghamshire","90","95"
"Chinese","Oldham","85","33"
"Chinese","Oxfordshire","93","83"
"Chinese","Peterborough","33","88"
"Chinese","Plymouth","82","100"
"Chinese","Poole","100","100"
"Chinese","Portsmouth","100","100"
"Chinese","Reading","100","71"
"Chinese","Redbridge","88","100"
"Chinese","Redcar and Cleveland","100","N/A"
"Chinese","Richmond upon Thames","90","100"
"Chinese","Rochdale","100","100"
"Chinese","Rotherham","75","60"
"Chinese","Rutland","N/A","N/A"
"Chinese","Salford","75","100"
"Chinese","Sandwell","92","82"
"Chinese","Sefton","100","100"
"Chinese","Sheffield","100","86"
"Chinese","Shropshire","100","50"
"Chinese","Slough","100","100"
"Chinese","Solihull","93","100"
"Chinese","Somerset","83","83"
"Chinese","South Gloucestershire","100","100"
"Chinese","South Tyneside","100","83"
"Chinese","Southampton","91","100"
"Chinese","Southend-on-Sea","100","75"
"Chinese","Southwark","89","95"
"Chinese","St. Helens","100","100"
"Chinese","Staffordshire","81","89"
"Chinese","Stockport","100","100"
"Chinese","Stockton-on-Tees","60","100"
"Chinese","Stoke-on-Trent","100","100"
"Chinese","Suffolk","100","100"
"Chinese","Sunderland","91","75"
"Chinese","Surrey","95","88"
"Chinese","Sutton","95","100"
"Chinese","Swindon","100","83"
"Chinese","Tameside","75","88"
"Chinese","Telford and Wrekin","100","100"
"Chinese","Thurrock","100","100"
"Chinese","Torbay","100","100"
"Chinese","Tower Hamlets","78","89"
"Chinese","Trafford","90","89"
"Chinese","Wakefield","92","86"
"Chinese","Walsall","100","91"
"Chinese","Waltham Forest","94","100"
"Chinese","Wandsworth","83","100"
"Chinese","Warrington","100","100"
"Chinese","Warwickshire","92","100"
"Chinese","West Berkshire","50","100"
"Chinese","West Sussex","90","100"
"Chinese","Westminster","92","83"
"Chinese","Wigan","82","100"
"Chinese","Wiltshire","86","100"
"Chinese","Windsor and Maidenhead","100","100"
"Chinese","Wirral","100","100"
"Chinese","Wokingham","100","93"
"Chinese","Wolverhampton","81","67"
"Chinese","Worcestershire","89","100"
"Chinese","York","80","50"
"Mixed","Barking and Dagenham","76","78"
"Mixed","Barnet","77","78"
"Mixed","Barnsley","77","64"
"Mixed","Bath and North East Somerset","75","67"
"Mixed","Bedford","71","77"
"Mixed","Bexley","79","88"
"Mixed","Birmingham","71","76"
"Mixed","Blackburn with Darwen","79","73"
"Mixed","Blackpool","83","81"
"Mixed","Bolton","84","81"
"Mixed","Bournemouth","69","77"
"Mixed","Bracknell Forest","81","82"
"Mixed","Bradford","76","69"
"Mixed","Brent","74","79"
"Mixed","Brighton and Hove","72","74"
"Mixed","Bristol, City of","74","73"
"Mixed","Bromley","81","81"
"Mixed","Buckinghamshire","76","80"
"Mixed","Bury","78","78"
"Mixed","Calderdale","72","70"
"Mixed","Cambridgeshire","75","73"
"Mixed","Camden","75","79"
"Mixed","Central Bedfordshire","74","75"
"Mixed","Cheshire East","81","77"
"Mixed","Cheshire West and Chester","79","75"
"Mixed","City of London","!","!"
"Mixed","Cornwall","76","73"
"Mixed","County Durham","78","69"
"Mixed","Coventry","70","71"
"Mixed","Croydon","77","77"
"Mixed","Cumbria","76","78"
"Mixed","Darlington","69","89"
"Mixed","Derby","77","77"
"Mixed","Derbyshire","74","78"
"Mixed","Devon","76","74"
"Mixed","Doncaster","67","85"
"Mixed","Dorset","78","89"
"Mixed","Dudley","67","79"
"Mixed","Ealing","71","80"
"Mixed","East Riding of Yorkshire","80","87"
"Mixed","East Sussex","74","83"
"Mixed","Enfield","81","80"
"Mixed","Essex","80","76"
"Mixed","Gateshead","77","89"
"Mixed","Gloucestershire","74","80"
"Mixed","Greenwich","75","84"
"Mixed","Hackney","82","84"
"Mixed","Halton","78","93"
"Mixed","Hammersmith and Fulham","82","82"
"Mixed","Hampshire","80","78"
"Mixed","Haringey","82","79"
"Mixed","Harrow","79","78"
"Mixed","Hartlepool","50","85"
"Mixed","Havering","71","80"
"Mixed","Herefordshire, County of","75","76"
"Mixed","Hertfordshire","75","78"
"Mixed","Hillingdon","79","80"
"Mixed","Hounslow","87","82"
"Mixed","Isle of Wight","74","63"
"Mixed","Isles of Scilly","!","!"
"Mixed","Islington","72","76"
"Mixed","Kensington and Chelsea","86","82"
"Mixed","Kent","80","84"
"Mixed","Kingston upon Hull, City of","72","76"
"Mixed","Kingston upon Thames","79","82"
"Mixed","Kirklees","66","73"
"Mixed","Knowsley","71","74"
"Mixed","Lambeth","80","81"
"Mixed","Lancashire","73","79"
"Mixed","Leeds","67","70"
"Mixed","Leicester","72","72"
"Mixed","Leicestershire","76","74"
"Mixed","Lewisham","80","78"
"Mixed","Lincolnshire","70","71"
"Mixed","Liverpool","67","74"
"Mixed","Luton","71","75"
"Mixed","Manchester","73","78"
"Mixed","Medway","76","82"
"Mixed","Merton","78","79"
"Mixed","Middlesbrough","71","72"
"Mixed","Milton Keynes","71","86"
"Mixed","Newcastle upon Tyne","78","80"
"Mixed","Newham","79","86"
"Mixed","Norfolk","77","71"
"Mixed","North East Lincolnshire","85","69"
"Mixed","North Lincolnshire","95","81"
"Mixed","North Somerset","76","79"
"Mixed","North Tyneside","76","94"
"Mixed","North Yorkshire","75","76"
"Mixed","Northamptonshire","76","73"
"Mixed","Northumberland","81","86"
"Mixed","Nottingham","71","75"
"Mixed","Nottinghamshire","72","74"
"Mixed","Oldham","68","76"
"Mixed","Oxfordshire","75","78"
"Mixed","Peterborough","68","83"
"Mixed","Plymouth","61","71"
"Mixed","Poole","76","67"
"Mixed","Portsmouth","74","77"
"Mixed","Reading","75","69"
"Mixed","Redbridge","78","73"
"Mixed","Redcar and Cleveland","78","65"
"Mixed","Richmond upon Thames","86","84"
"Mixed","Rochdale","76","80"
"Mixed","Rotherham","69","86"
"Mixed","Rutland","75","100"
"Mixed","Salford","70","81"
"Mixed","Sandwell","66","78"
"Mixed","Sefton","69","87"
"Mixed","Sheffield","68","72"
"Mixed","Shropshire","84","68"
"Mixed","Slough","78","80"
"Mixed","Solihull","75","80"
"Mixed","Somerset","79","81"
"Mixed","South Gloucestershire","78","85"
"Mixed","South Tyneside","71","68"
"Mixed","Southampton","71","76"
"Mixed","Southend-on-Sea","74","75"
"Mixed","Southwark","77","84"
"Mixed","St. Helens","63","84"
"Mixed","Staffordshire","72","83"
"Mixed","Stockport","80","69"
"Mixed","Stockton-on-Tees","74","78"
"Mixed","Stoke-on-Trent","74","78"
"Mixed","Suffolk","70","76"
"Mixed","Sunderland","66","82"
"Mixed","Surrey","79","81"
"Mixed","Sutton","74","79"
"Mixed","Swindon","77","77"
"Mixed","Tameside","87","79"
"Mixed","Telford and Wrekin","73","75"
"Mixed","Thurrock","68","87"
"Mixed","Torbay","70","82"
"Mixed","Tower Hamlets","78","72"
"Mixed","Trafford","75","74"
"Mixed","Wakefield","74","67"
"Mixed","Walsall","71","75"
"Mixed","Waltham Forest","79","82"
"Mixed","Wandsworth","77","80"
"Mixed","Warrington","76","74"
"Mixed","Warwickshire","76","81"
"Mixed","West Berkshire","78","81"
"Mixed","West Sussex","69","79"
"Mixed","Westminster","82","83"
"Mixed","Wigan","86","84"
"Mixed","Wiltshire","75","73"
"Mixed","Windsor and Maidenhead","86","85"
"Mixed","Wirral","73","83"
"Mixed","Wokingham","78","76"
"Mixed","Wolverhampton","71","73"
"Mixed","Worcestershire","78","82"
"Mixed","York","81","75"
"White","Barking and Dagenham","69","75"
"White","Barnet","79","81"
"White","Barnsley","72","78"
"White","Bath and North East Somerset","78","77"
"White","Bedford","72","77"
"White","Bexley","80","80"
"White","Birmingham","72","71"
"White","Blackburn with Darwen","76","77"
"White","Blackpool","72","74"
"White","Bolton","73","75"
"White","Bournemouth","78","80"
"White","Bracknell Forest","79","80"
"White","Bradford","71","72"
"White","Brent","77","76"
"White","Brighton and Hove","76","78"
"White","Bristol, City of","76","77"
"White","Bromley","81","80"
"White","Buckinghamshire","78","80"
"White","Bury","76","74"
"White","Calderdale","72","77"
"White","Cambridgeshire","75","75"
"White","Camden","80","78"
"White","Central Bedfordshire","78","80"
"White","Cheshire East","76","78"
"White","Cheshire West and Chester","73","76"
"White","City of London","!","!"
"White","Cornwall","71","73"
"White","County Durham","77","79"
"White","Coventry","72","73"
"White","Croydon","77","80"
"White","Cumbria","74","77"
"White","Darlington","76","80"
"White","Derby","72","76"
"White","Derbyshire","76","77"
"White","Devon","74","75"
"White","Doncaster","73","78"
"White","Dorset","76","77"
"White","Dudley","71","77"
"White","Ealing","78","81"
"White","East Riding of Yorkshire","77","78"
"White","East Sussex","75","80"
"White","Enfield","73","72"
"White","Essex","76","77"
