"Measure","Time","Time_Type","Ethnicity","Ethnicity_Type","Trip_Purpose","Value","Weighted_Sample_Trips","Unweighted_Sample_Trips","Weighted_Sample_Individuals","Unweighted_Sample_Individuals","Notes"
"Average trips per year by trip purpose","2003-2007","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Personal business","116","4786","4077","2147","1990","               "
"Average trips per year by trip purpose","2003-2007","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Shopping","131","5410","4424","2147","1990","               "
"Average trips per year by trip purpose","2003-2007","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","All Purposes","943","23191","20324","1282","1200","               "
"Average trips per year by trip purpose","2003-2007","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Business","19","461","395","1282","1200","               "
"Average trips per year by trip purpose","2003-2007","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Commuting","116","2855","2235","1282","1200","               "
"Average trips per year by trip purpose","2003-2007","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Education / escort education","226","5560","5322","1282","1200","               "
"Average trips per year by trip purpose","2003-2007","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Leisure","248","6092","5332","1282","1200","               "
"Average trips per year by trip purpose","2003-2007","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Other escort","95","2332","2092","1282","1200","               "
"Average trips per year by trip purpose","2003-2007","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Other including just walk","26","639","588","1282","1200","               "
"Average trips per year by trip purpose","2003-2007","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Personal business","86","2103","1809","1282","1200","               "
"Average trips per year by trip purpose","2003-2007","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Shopping","128","3150","2551","1282","1200","               "
"Average trips per year by trip purpose","2003-2007","5-year rolling average","Other ethnic group","ONS 2011 5+1","All Purposes","854","15378","12602","939","830","               "
"Average trips per year by trip purpose","2003-2007","5-year rolling average","Other ethnic group","ONS 2011 5+1","Business","25","447","369","939","830","               "
"Average trips per year by trip purpose","2003-2007","5-year rolling average","Other ethnic group","ONS 2011 5+1","Commuting","152","2744","2108","939","830","               "
"Average trips per year by trip purpose","2003-2007","5-year rolling average","Other ethnic group","ONS 2011 5+1","Education / escort education","181","3267","2854","939","830","               "
"Average trips per year by trip purpose","2003-2007","5-year rolling average","Other ethnic group","ONS 2011 5+1","Leisure","181","3253","2728","939","830","               "
"Average trips per year by trip purpose","2003-2007","5-year rolling average","Other ethnic group","ONS 2011 5+1","Other escort","56","1008","886","939","830","               "
"Average trips per year by trip purpose","2003-2007","5-year rolling average","Other ethnic group","ONS 2011 5+1","Other including just walk","19","342","300","939","830","               "
"Average trips per year by trip purpose","2003-2007","5-year rolling average","Other ethnic group","ONS 2011 5+1","Personal business","85","1522","1211","939","830","               "
"Average trips per year by trip purpose","2003-2007","5-year rolling average","Other ethnic group","ONS 2011 5+1","Shopping","155","2795","2146","939","830","               "
"Average trips per year by trip purpose","2003-2007","5-year rolling average","White","ONS 2011 5+1","All Purposes","1071","1566024","1450390","76245","75578","               "
"Average trips per year by trip purpose","2003-2007","5-year rolling average","White","ONS 2011 5+1","Business","37","54040","51358","76245","75578","               "
"Average trips per year by trip purpose","2003-2007","5-year rolling average","White","ONS 2011 5+1","Commuting","167","243482","214606","76245","75578","               "
"Average trips per year by trip purpose","2003-2007","5-year rolling average","White","ONS 2011 5+1","Education / escort education","111","162336","157503","76245","75578","               "
"Average trips per year by trip purpose","2003-2007","5-year rolling average","White","ONS 2011 5+1","Leisure","286","418005","398306","76245","75578","               "
"Average trips per year by trip purpose","2003-2007","5-year rolling average","White","ONS 2011 5+1","Other escort","97","141722","132571","76245","75578","               "
"Average trips per year by trip purpose","2003-2007","5-year rolling average","White","ONS 2011 5+1","Other including just walk","46","66612","62894","76245","75578","               "
"Average trips per year by trip purpose","2003-2007","5-year rolling average","White","ONS 2011 5+1","Personal business","109","159718","147301","76245","75578","               "
"Average trips per year by trip purpose","2003-2007","5-year rolling average","White","ONS 2011 5+1","Shopping","219","320109","285851","76245","75578","               "
"Average trips per year by trip purpose","2004-2008","5-year rolling average","All ethnic groups","ONS 2011 5+1","All Purposes","1041","1692832","1552209","84824","83309","               "
"Average trips per year by trip purpose","2004-2008","5-year rolling average","All ethnic groups","ONS 2011 5+1","Business","35","56347","52993","84824","83309","               "
"Average trips per year by trip purpose","2004-2008","5-year rolling average","All ethnic groups","ONS 2011 5+1","Commuting","163","265508","231156","84824","83309","               "
"Average trips per year by trip purpose","2004-2008","5-year rolling average","All ethnic groups","ONS 2011 5+1","Education / escort education","115","187638","179127","84824","83309","               "
"Average trips per year by trip purpose","2004-2008","5-year rolling average","All ethnic groups","ONS 2011 5+1","Leisure","273","443852","420281","84824","83309","               "
"Average trips per year by trip purpose","2004-2008","5-year rolling average","All ethnic groups","ONS 2011 5+1","Other escort","94","153269","141518","84824","83309","               "
"Average trips per year by trip purpose","2004-2008","5-year rolling average","All ethnic groups","ONS 2011 5+1","Other including just walk","44","71637","67399","84824","83309","               "
"Average trips per year by trip purpose","2004-2008","5-year rolling average","All ethnic groups","ONS 2011 5+1","Personal business","107","174787","159248","84824","83309","               "
"Average trips per year by trip purpose","2004-2008","5-year rolling average","All ethnic groups","ONS 2011 5+1","Shopping","209","339793","300487","84824","83309","               "
"Average trips per year by trip purpose","2004-2008","5-year rolling average","Asian / Asian British","ONS 2011 5+1","All Purposes","865","74771","62184","4504","4015","               "
"Average trips per year by trip purpose","2004-2008","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Business","19","1662","1367","4504","4015","               "
"Average trips per year by trip purpose","2004-2008","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Commuting","164","14185","11103","4504","4015","               "
"Average trips per year by trip purpose","2004-2008","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Education / escort education","172","14858","13047","4504","4015","               "
"Average trips per year by trip purpose","2004-2008","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Leisure","167","14402","12325","4504","4015","               "
"Average trips per year by trip purpose","2004-2008","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Other escort","71","6097","5320","4504","4015","               "
"Average trips per year by trip purpose","2004-2008","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Other including just walk","25","2128","1821","4504","4015","               "
"Average trips per year by trip purpose","2004-2008","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Personal business","95","8224","6768","4504","4015","               "
"Average trips per year by trip purpose","2004-2008","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Shopping","153","13215","10433","4504","4015","               "
"Average trips per year by trip purpose","2004-2008","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","All Purposes","833","34400","29795","2152","2002","               "
"Average trips per year by trip purpose","2004-2008","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Business","26","1090","945","2152","2002","               "
"Average trips per year by trip purpose","2004-2008","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Commuting","156","6449","5303","2152","2002","               "
