"Measure","Time","Time_Type","Ethnicity","Ethnicity_Type","Trip_Purpose","Value","Weighted_Sample_Trips","Unweighted_Sample_Trips","Weighted_Sample_Individuals","Unweighted_Sample_Individuals","Notes"
"Average trips per year by trip purpose","2009-2013","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Business","17","1881","1686","5646","5216","               "
"Average trips per year by trip purpose","2009-2013","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Commuting","157","16985","13761","5646","5216","               "
"Average trips per year by trip purpose","2009-2013","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Education / escort education","173","18729","17142","5646","5216","               "
"Average trips per year by trip purpose","2009-2013","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Leisure","151","16341","14515","5646","5216","               "
"Average trips per year by trip purpose","2009-2013","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Other escort","76","8279","7338","5646","5216","               "
"Average trips per year by trip purpose","2009-2013","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Other including just walk","22","2423","2192","5646","5216","               "
"Average trips per year by trip purpose","2009-2013","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Personal business","91","9901","8611","5646","5216","               "
"Average trips per year by trip purpose","2009-2013","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Shopping","143","15530","12521","5646","5216","               "
"Average trips per year by trip purpose","2009-2013","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","All Purposes","813","40822","36917","2617","2530","               "
"Average trips per year by trip purpose","2009-2013","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Business","23","1176","1074","2617","2530","               "
"Average trips per year by trip purpose","2009-2013","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Commuting","131","6556","5520","2617","2530","               "
"Average trips per year by trip purpose","2009-2013","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Education / escort education","180","9030","9032","2617","2530","               "
"Average trips per year by trip purpose","2009-2013","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Leisure","157","7888","7156","2617","2530","               "
"Average trips per year by trip purpose","2009-2013","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Other escort","61","3054","2881","2617","2530","               "
"Average trips per year by trip purpose","2009-2013","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Other including just walk","11","529","497","2617","2530","               "
"Average trips per year by trip purpose","2009-2013","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Personal business","118","5916","5245","2617","2530","               "
"Average trips per year by trip purpose","2009-2013","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Shopping","133","6672","5512","2617","2530","               "
"Average trips per year by trip purpose","2009-2013","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","All Purposes","880","23096","20713","1368","1296","               "
"Average trips per year by trip purpose","2009-2013","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Business","17","452","419","1368","1296","               "
"Average trips per year by trip purpose","2009-2013","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Commuting","106","2781","2273","1368","1296","               "
"Average trips per year by trip purpose","2009-2013","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Education / escort education","179","4707","4501","1368","1296","               "
"Average trips per year by trip purpose","2009-2013","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Leisure","226","5926","5349","1368","1296","               "
"Average trips per year by trip purpose","2009-2013","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Other escort","99","2594","2399","1368","1296","               "
"Average trips per year by trip purpose","2009-2013","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Other including just walk","39","1021","950","1368","1296","               "
"Average trips per year by trip purpose","2009-2013","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Personal business","87","2278","2049","1368","1296","               "
"Average trips per year by trip purpose","2009-2013","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Shopping","127","3336","2773","1368","1296","               "
"Average trips per year by trip purpose","2009-2013","5-year rolling average","Other ethnic group","ONS 2011 5+1","All Purposes","795","16605","14018","1089","982","               "
"Average trips per year by trip purpose","2009-2013","5-year rolling average","Other ethnic group","ONS 2011 5+1","Business","27","569","470","1089","982","               "
"Average trips per year by trip purpose","2009-2013","5-year rolling average","Other ethnic group","ONS 2011 5+1","Commuting","136","2840","2258","1089","982","               "
"Average trips per year by trip purpose","2009-2013","5-year rolling average","Other ethnic group","ONS 2011 5+1","Education / escort education","129","2688","2453","1089","982","               "
"Average trips per year by trip purpose","2009-2013","5-year rolling average","Other ethnic group","ONS 2011 5+1","Leisure","170","3545","3105","1089","982","               "
"Average trips per year by trip purpose","2009-2013","5-year rolling average","Other ethnic group","ONS 2011 5+1","Other escort","64","1341","1267","1089","982","               "
"Average trips per year by trip purpose","2009-2013","5-year rolling average","Other ethnic group","ONS 2011 5+1","Other including just walk","35","738","554","1089","982","               "
"Average trips per year by trip purpose","2009-2013","5-year rolling average","Other ethnic group","ONS 2011 5+1","Personal business","77","1610","1361","1089","982","               "
"Average trips per year by trip purpose","2009-2013","5-year rolling average","Other ethnic group","ONS 2011 5+1","Shopping","157","3272","2550","1089","982","               "
"Average trips per year by trip purpose","2009-2013","5-year rolling average","White","ONS 2011 5+1","All Purposes","994","1376016","1292419","72146","72371","               "
"Average trips per year by trip purpose","2009-2013","5-year rolling average","White","ONS 2011 5+1","Business","31","42880","41266","72146","72371","               "
"Average trips per year by trip purpose","2009-2013","5-year rolling average","White","ONS 2011 5+1","Commuting","149","205737","180208","72146","72371","               "
"Average trips per year by trip purpose","2009-2013","5-year rolling average","White","ONS 2011 5+1","Education / escort education","107","148296","141407","72146","72371","               "
"Average trips per year by trip purpose","2009-2013","5-year rolling average","White","ONS 2011 5+1","Leisure","268","370215","363141","72146","72371","               "
"Average trips per year by trip purpose","2009-2013","5-year rolling average","White","ONS 2011 5+1","Other escort","93","128396","120894","72146","72371","               "
"Average trips per year by trip purpose","2009-2013","5-year rolling average","White","ONS 2011 5+1","Other including just walk","49","67532","64751","72146","72371","               "
"Average trips per year by trip purpose","2009-2013","5-year rolling average","White","ONS 2011 5+1","Personal business","98","135713","128992","72146","72371","               "
"Average trips per year by trip purpose","2009-2013","5-year rolling average","White","ONS 2011 5+1","Shopping","200","277248","251760","72146","72371","               "
"Average trips per year by trip purpose","2010-2014","5-year rolling average","All ethnic groups","ONS 2011 5+1","All Purposes","962","1519448","1410439","82367","81636","               "
"Average trips per year by trip purpose","2010-2014","5-year rolling average","All ethnic groups","ONS 2011 5+1","Business","30","47278","44898","82367","81636","               "
"Average trips per year by trip purpose","2010-2014","5-year rolling average","All ethnic groups","ONS 2011 5+1","Commuting","148","233774","201545","82367","81636","               "
"Average trips per year by trip purpose","2010-2014","5-year rolling average","All ethnic groups","ONS 2011 5+1","Education / escort education","116","183700","173788","82367","81636","               "
"Average trips per year by trip purpose","2010-2014","5-year rolling average","All ethnic groups","ONS 2011 5+1","Leisure","250","394437","383694","82367","81636","               "
"Average trips per year by trip purpose","2010-2014","5-year rolling average","All ethnic groups","ONS 2011 5+1","Other escort","89","140651","130581","82367","81636","               "
"Average trips per year by trip purpose","2010-2014","5-year rolling average","All ethnic groups","ONS 2011 5+1","Other including just walk","45","70347","66837","82367","81636","               "
"Average trips per year by trip purpose","2010-2014","5-year rolling average","All ethnic groups","ONS 2011 5+1","Personal business","96","151019","141277","82367","81636","               "
"Average trips per year by trip purpose","2010-2014","5-year rolling average","All ethnic groups","ONS 2011 5+1","Shopping","189","298242","267819","82367","81636","               "
"Average trips per year by trip purpose","2010-2014","5-year rolling average","Asian / Asian British","ONS 2011 5+1","All Purposes","808","87865","75623","5668","5215","               "
"Average trips per year by trip purpose","2010-2014","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Business","17","1802","1598","5668","5215","               "
"Average trips per year by trip purpose","2010-2014","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Commuting","158","17123","13858","5668","5215","               "
"Average trips per year by trip purpose","2010-2014","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Education / escort education","164","17821","16224","5668","5215","               "
"Average trips per year by trip purpose","2010-2014","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Leisure","148","16097","14226","5668","5215","               "
"Average trips per year by trip purpose","2010-2014","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Other escort","71","7712","6786","5668","5215","               "
"Average trips per year by trip purpose","2010-2014","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Other including just walk","22","2420","2163","5668","5215","               "
"Average trips per year by trip purpose","2010-2014","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Personal business","91","9857","8574","5668","5215","               "
"Average trips per year by trip purpose","2010-2014","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Shopping","138","15032","12194","5668","5215","               "
"Average trips per year by trip purpose","2010-2014","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","All Purposes","809","40748","37051","2625","2560","               "
"Average trips per year by trip purpose","2010-2014","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Business","23","1174","1096","2625","2560","               "
"Average trips per year by trip purpose","2010-2014","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Commuting","130","6539","5512","2625","2560","               "
"Average trips per year by trip purpose","2010-2014","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Education / escort education","186","9373","9406","2625","2560","               "
"Average trips per year by trip purpose","2010-2014","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Leisure","150","7549","6865","2625","2560","               "
"Average trips per year by trip purpose","2010-2014","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Other escort","61","3071","2912","2625","2560","               "
"Average trips per year by trip purpose","2010-2014","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Other including just walk","12","588","555","2625","2560","               "
"Average trips per year by trip purpose","2010-2014","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Personal business","117","5910","5301","2625","2560","               "
"Average trips per year by trip purpose","2010-2014","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Shopping","130","6544","5404","2625","2560","               "
"Average trips per year by trip purpose","2010-2014","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","All Purposes","859","21473","19102","1304","1228","               "
"Average trips per year by trip purpose","2010-2014","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Business","18","462","408","1304","1228","               "
"Average trips per year by trip purpose","2010-2014","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Commuting","108","2712","2191","1304","1228","               "
"Average trips per year by trip purpose","2010-2014","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Education / escort education","173","4314","4096","1304","1228","               "
"Average trips per year by trip purpose","2010-2014","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Leisure","219","5477","4941","1304","1228","               "
"Average trips per year by trip purpose","2010-2014","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Other escort","99","2468","2304","1304","1228","               "
"Average trips per year by trip purpose","2010-2014","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Other including just walk","35","880","775","1304","1228","               "
"Average trips per year by trip purpose","2010-2014","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Personal business","84","2112","1870","1304","1228","               "
"Average trips per year by trip purpose","2010-2014","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Shopping","122","3048","2517","1304","1228","               "
"Average trips per year by trip purpose","2010-2014","5-year rolling average","Other ethnic group","ONS 2011 5+1","All Purposes","784","17055","14651","1134","1034","               "
"Average trips per year by trip purpose","2010-2014","5-year rolling average","Other ethnic group","ONS 2011 5+1","Business","29","624","519","1134","1034","               "
"Average trips per year by trip purpose","2010-2014","5-year rolling average","Other ethnic group","ONS 2011 5+1","Commuting","131","2841","2319","1134","1034","               "
"Average trips per year by trip purpose","2010-2014","5-year rolling average","Other ethnic group","ONS 2011 5+1","Education / escort education","133","2896","2666","1134","1034","               "
"Average trips per year by trip purpose","2010-2014","5-year rolling average","Other ethnic group","ONS 2011 5+1","Leisure","157","3417","3098","1134","1034","               "
"Average trips per year by trip purpose","2010-2014","5-year rolling average","Other ethnic group","ONS 2011 5+1","Other escort","65","1410","1353","1134","1034","               "
"Average trips per year by trip purpose","2010-2014","5-year rolling average","Other ethnic group","ONS 2011 5+1","Other including just walk","29","633","532","1134","1034","               "
"Average trips per year by trip purpose","2010-2014","5-year rolling average","Other ethnic group","ONS 2011 5+1","Personal business","78","1693","1396","1134","1034","               "
"Average trips per year by trip purpose","2010-2014","5-year rolling average","Other ethnic group","ONS 2011 5+1","Shopping","163","3542","2768","1134","1034","               "
"Average trips per year by trip purpose","2010-2014","5-year rolling average","White","ONS 2011 5+1","All Purposes","984","1351293","1263227","71580","71551","               "
"Average trips per year by trip purpose","2010-2014","5-year rolling average","White","ONS 2011 5+1","Business","31","43176","41246","71580","71551","               "
"Average trips per year by trip purpose","2010-2014","5-year rolling average","White","ONS 2011 5+1","Commuting","149","204412","177550","71580","71551","               "
"Average trips per year by trip purpose","2010-2014","5-year rolling average","White","ONS 2011 5+1","Education / escort education","109","149172","141300","71580","71551","               "
"Average trips per year by trip purpose","2010-2014","5-year rolling average","White","ONS 2011 5+1","Leisure","263","361677","354374","71580","71551","               "
"Average trips per year by trip purpose","2010-2014","5-year rolling average","White","ONS 2011 5+1","Other escort","92","125906","117169","71580","71551","               "
"Average trips per year by trip purpose","2010-2014","5-year rolling average","White","ONS 2011 5+1","Other including just walk","48","65785","62778","71580","71551","               "
"Average trips per year by trip purpose","2010-2014","5-year rolling average","White","ONS 2011 5+1","Personal business","96","131271","124010","71580","71551","               "
"Average trips per year by trip purpose","2010-2014","5-year rolling average","White","ONS 2011 5+1","Shopping","197","269894","244800","71580","71551","               "
"Average trips per year by trip purpose","2011-2015","5-year rolling average","All ethnic groups","ONS 2011 5+1","All Purposes","952","1489666","1377572","81557","80608","               "
"Average trips per year by trip purpose","2011-2015","5-year rolling average","All ethnic groups","ONS 2011 5+1","Business","30","47548","45024","81557","80608","               "
"Average trips per year by trip purpose","2011-2015","5-year rolling average","All ethnic groups","ONS 2011 5+1","Commuting","147","229412","197986","81557","80608","               "
"Average trips per year by trip purpose","2011-2015","5-year rolling average","All ethnic groups","ONS 2011 5+1","Education / escort education","116","182214","171508","81557","80608","               "
"Average trips per year by trip purpose","2011-2015","5-year rolling average","All ethnic groups","ONS 2011 5+1","Leisure","247","386481","374641","81557","80608","               "
"Average trips per year by trip purpose","2011-2015","5-year rolling average","All ethnic groups","ONS 2011 5+1","Other escort","87","136799","125280","81557","80608","               "
"Average trips per year by trip purpose","2011-2015","5-year rolling average","All ethnic groups","ONS 2011 5+1","Other including just walk","45","70271","66589","81557","80608","               "
"Average trips per year by trip purpose","2011-2015","5-year rolling average","All ethnic groups","ONS 2011 5+1","Personal business","94","146499","136487","81557","80608","               "
"Average trips per year by trip purpose","2011-2015","5-year rolling average","All ethnic groups","ONS 2011 5+1","Shopping","186","290443","260057","81557","80608","               "
"Average trips per year by trip purpose","2011-2015","5-year rolling average","Asian / Asian British","ONS 2011 5+1","All Purposes","798","87265","74540","5699","5217","               "
"Average trips per year by trip purpose","2011-2015","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Business","18","1941","1651","5699","5217","               "
"Average trips per year by trip purpose","2011-2015","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Commuting","158","17268","14006","5699","5217","               "
"Average trips per year by trip purpose","2011-2015","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Education / escort education","162","17749","16088","5699","5217","               "
"Average trips per year by trip purpose","2011-2015","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Leisure","142","15565","13769","5699","5217","               "
"Average trips per year by trip purpose","2011-2015","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Other escort","69","7503","6418","5699","5217","               "
"Average trips per year by trip purpose","2011-2015","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Other including just walk","22","2390","2101","5699","5217","               "
"Average trips per year by trip purpose","2011-2015","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Personal business","92","10017","8544","5699","5217","               "
"Average trips per year by trip purpose","2011-2015","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Shopping","136","14833","11963","5699","5217","               "
"Average trips per year by trip purpose","2011-2015","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","All Purposes","799","39093","35716","2550","2517","               "
"Average trips per year by trip purpose","2011-2015","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Business","26","1276","1200","2550","2517","               "
"Average trips per year by trip purpose","2011-2015","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Commuting","127","6233","5340","2550","2517","               "
"Average trips per year by trip purpose","2011-2015","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Education / escort education","181","8858","8894","2550","2517","               "
"Average trips per year by trip purpose","2011-2015","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Leisure","145","7109","6494","2550","2517","               "
"Average trips per year by trip purpose","2011-2015","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Other escort","63","3068","2804","2550","2517","               "
"Average trips per year by trip purpose","2011-2015","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Other including just walk","13","642","670","2550","2517","               "
"Average trips per year by trip purpose","2011-2015","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Personal business","116","5650","5151","2550","2517","               "
"Average trips per year by trip purpose","2011-2015","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Shopping","128","6257","5163","2550","2517","               "
"Average trips per year by trip purpose","2011-2015","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","All Purposes","871","21400","19103","1282","1215","               "
"Average trips per year by trip purpose","2011-2015","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Business","19","475","432","1282","1215","               "
"Average trips per year by trip purpose","2011-2015","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Commuting","114","2802","2251","1282","1215","               "
"Average trips per year by trip purpose","2011-2015","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Education / escort education","184","4512","4296","1282","1215","               "
"Average trips per year by trip purpose","2011-2015","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Leisure","220","5407","4948","1282","1215","               "
"Average trips per year by trip purpose","2011-2015","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Other escort","96","2369","2195","1282","1215","               "
"Average trips per year by trip purpose","2011-2015","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Other including just walk","37","897","776","1282","1215","               "
"Average trips per year by trip purpose","2011-2015","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Personal business","81","1997","1740","1282","1215","               "
"Average trips per year by trip purpose","2011-2015","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Shopping","120","2941","2465","1282","1215","               "
"Average trips per year by trip purpose","2011-2015","5-year rolling average","Other ethnic group","ONS 2011 5+1","All Purposes","754","16263","14023","1125","1028","               "
"Average trips per year by trip purpose","2011-2015","5-year rolling average","Other ethnic group","ONS 2011 5+1","Business","27","583","484","1125","1028","               "
"Average trips per year by trip purpose","2011-2015","5-year rolling average","Other ethnic group","ONS 2011 5+1","Commuting","128","2767","2239","1125","1028","               "
"Average trips per year by trip purpose","2011-2015","5-year rolling average","Other ethnic group","ONS 2011 5+1","Education / escort education","133","2860","2657","1125","1028","               "
"Average trips per year by trip purpose","2011-2015","5-year rolling average","Other ethnic group","ONS 2011 5+1","Leisure","142","3058","2828","1125","1028","               "
"Average trips per year by trip purpose","2011-2015","5-year rolling average","Other ethnic group","ONS 2011 5+1","Other escort","62","1346","1292","1125","1028","               "
"Average trips per year by trip purpose","2011-2015","5-year rolling average","Other ethnic group","ONS 2011 5+1","Other including just walk","26","556","460","1125","1028","               "
"Average trips per year by trip purpose","2011-2015","5-year rolling average","Other ethnic group","ONS 2011 5+1","Personal business","76","1634","1367","1125","1028","               "
"Average trips per year by trip purpose","2011-2015","5-year rolling average","Other ethnic group","ONS 2011 5+1","Shopping","160","3460","2696","1125","1028","               "
"Average trips per year by trip purpose","2011-2015","5-year rolling average","White","ONS 2011 5+1","All Purposes","975","1324708","1233345","70849","70583","               "
"Average trips per year by trip purpose","2011-2015","5-year rolling average","White","ONS 2011 5+1","Business","32","43231","41224","70849","70583","               "
"Average trips per year by trip purpose","2011-2015","5-year rolling average","White","ONS 2011 5+1","Commuting","147","200190","174025","70849","70583","               "
"Average trips per year by trip purpose","2011-2015","5-year rolling average","White","ONS 2011 5+1","Education / escort education","109","148101","139432","70849","70583","               "
"Average trips per year by trip purpose","2011-2015","5-year rolling average","White","ONS 2011 5+1","Leisure","261","355159","346420","70849","70583","               "
"Average trips per year by trip purpose","2011-2015","5-year rolling average","White","ONS 2011 5+1","Other escort","90","122442","112489","70849","70583","               "
"Average trips per year by trip purpose","2011-2015","5-year rolling average","White","ONS 2011 5+1","Other including just walk","48","65755","62558","70849","70583","               "
"Average trips per year by trip purpose","2011-2015","5-year rolling average","White","ONS 2011 5+1","Personal business","94","127060","119572","70849","70583","               "
"Average trips per year by trip purpose","2011-2015","5-year rolling average","White","ONS 2011 5+1","Shopping","193","262770","237625","70849","70583","               "
"Average trips per year by trip purpose","2012-2016","5-year rolling average","All ethnic groups","ONS 2011 5+1","All Purposes","949","1487500","1380611","81732","80718","               "
"Average trips per year by trip purpose","2012-2016","5-year rolling average","All ethnic groups","ONS 2011 5+1","Business","31","48991","46300","81732","80718","               "
"Average trips per year by trip purpose","2012-2016","5-year rolling average","All ethnic groups","ONS 2011 5+1","Commuting","146","228726","198445","81732","80718","               "
"Average trips per year by trip purpose","2012-2016","5-year rolling average","All ethnic groups","ONS 2011 5+1","Education / escort education","118","184584","176462","81732","80718","               "
"Average trips per year by trip purpose","2012-2016","5-year rolling average","All ethnic groups","ONS 2011 5+1","Leisure","245","384724","373824","81732","80718","               "
"Average trips per year by trip purpose","2012-2016","5-year rolling average","All ethnic groups","ONS 2011 5+1","Other escort","86","134321","122884","81732","80718","               "
"Average trips per year by trip purpose","2012-2016","5-year rolling average","All ethnic groups","ONS 2011 5+1","Other including just walk","47","73341","69984","81732","80718","               "
"Average trips per year by trip purpose","2012-2016","5-year rolling average","All ethnic groups","ONS 2011 5+1","Personal business","93","145051","135569","81732","80718","               "
"Average trips per year by trip purpose","2012-2016","5-year rolling average","All ethnic groups","ONS 2011 5+1","Shopping","184","287762","257143","81732","80718","               "
"Average trips per year by trip purpose","2012-2016","5-year rolling average","Asian / Asian British","ONS 2011 5+1","All Purposes","801","91868","79768","5979","5514","               "
"Average trips per year by trip purpose","2012-2016","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Business","19","2132","1836","5979","5514","               "
"Average trips per year by trip purpose","2012-2016","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Commuting","157","17968","14876","5979","5514","               "
"Average trips per year by trip purpose","2012-2016","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Education / escort education","162","18599","17232","5979","5514","               "
"Average trips per year by trip purpose","2012-2016","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Leisure","144","16490","14784","5979","5514","               "
"Average trips per year by trip purpose","2012-2016","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Other escort","68","7761","6747","5979","5514","               "
"Average trips per year by trip purpose","2012-2016","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Other including just walk","24","2761","2460","5979","5514","               "
"Average trips per year by trip purpose","2012-2016","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Personal business","93","10688","9193","5979","5514","               "
"Average trips per year by trip purpose","2012-2016","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Shopping","135","15469","12640","5979","5514","               "
"Average trips per year by trip purpose","2012-2016","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","All Purposes","792","38306","35102","2523","2490","               "
"Average trips per year by trip purpose","2012-2016","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Business","26","1271","1193","2523","2490","               "
"Average trips per year by trip purpose","2012-2016","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Commuting","133","6455","5571","2523","2490","               "
"Average trips per year by trip purpose","2012-2016","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Education / escort education","175","8469","8652","2523","2490","               "
"Average trips per year by trip purpose","2012-2016","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Leisure","140","6782","6203","2523","2490","               "
"Average trips per year by trip purpose","2012-2016","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Other escort","64","3083","2811","2523","2490","               "
"Average trips per year by trip purpose","2012-2016","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Other including just walk","15","713","686","2523","2490","               "
"Average trips per year by trip purpose","2012-2016","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Personal business","113","5492","4996","2523","2490","               "
"Average trips per year by trip purpose","2012-2016","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Shopping","125","6042","4990","2523","2490","               "
"Average trips per year by trip purpose","2012-2016","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","All Purposes","869","21164","18899","1269","1216","               "
"Average trips per year by trip purpose","2012-2016","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Business","19","470","433","1269","1216","               "
"Average trips per year by trip purpose","2012-2016","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Commuting","108","2634","2215","1269","1216","               "
"Average trips per year by trip purpose","2012-2016","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Education / escort education","199","4851","4620","1269","1216","               "
"Average trips per year by trip purpose","2012-2016","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Leisure","215","5243","4821","1269","1216","               "
"Average trips per year by trip purpose","2012-2016","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Other escort","97","2364","2114","1269","1216","               "
"Average trips per year by trip purpose","2012-2016","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Other including just walk","38","929","772","1269","1216","               "
"Average trips per year by trip purpose","2012-2016","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Personal business","78","1892","1663","1269","1216","               "
"Average trips per year by trip purpose","2012-2016","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Shopping","114","2781","2261","1269","1216","               "
"Average trips per year by trip purpose","2012-2016","5-year rolling average","Other ethnic group","ONS 2011 5+1","All Purposes","783","16804","14326","1119","1009","               "
"Average trips per year by trip purpose","2012-2016","5-year rolling average","Other ethnic group","ONS 2011 5+1","Business","24","526","440","1119","1009","               "
"Average trips per year by trip purpose","2012-2016","5-year rolling average","Other ethnic group","ONS 2011 5+1","Commuting","144","3099","2460","1119","1009","               "
"Average trips per year by trip purpose","2012-2016","5-year rolling average","Other ethnic group","ONS 2011 5+1","Education / escort education","135","2906","2837","1119","1009","               "
"Average trips per year by trip purpose","2012-2016","5-year rolling average","Other ethnic group","ONS 2011 5+1","Leisure","151","3243","2902","1119","1009","               "
"Average trips per year by trip purpose","2012-2016","5-year rolling average","Other ethnic group","ONS 2011 5+1","Other escort","67","1434","1293","1119","1009","               "
