"Measure","Time","Time_Type","Ethnicity","Ethnicity_Type","Trip_Purpose","Value","Weighted_Sample_Trips","Unweighted_Sample_Trips","Weighted_Sample_Individuals","Unweighted_Sample_Individuals","Weighted_Sample_Distance","Unweighted_Sample_Distance","Notes"
"Average distance per year by trip purpose","2003-2007","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Other including just walk","11","427","394","2147","1990","448","433","             "
"Average distance per year by trip purpose","2003-2007","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Personal business","582","4786","4077","2147","1990","23975","20824","             "
"Average distance per year by trip purpose","2003-2007","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Shopping","458","5410","4424","2147","1990","18853","15252","             "
"Average distance per year by trip purpose","2003-2007","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","All Purposes","5002","23191","20324","1282","1200","123005","107827","             "
"Average distance per year by trip purpose","2003-2007","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Business","195","461","395","1282","1200","4803","4405","             "
"Average distance per year by trip purpose","2003-2007","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Commuting","926","2855","2235","1282","1200","22762","17912","             "
"Average distance per year by trip purpose","2003-2007","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Education / escort education","500","5560","5322","1282","1200","12291","11670","             "
"Average distance per year by trip purpose","2003-2007","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Leisure","2151","6092","5332","1282","1200","52895","48014","             "
"Average distance per year by trip purpose","2003-2007","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Other escort","379","2332","2092","1282","1200","9308","8129","             "
"Average distance per year by trip purpose","2003-2007","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Other including just walk","24","639","588","1282","1200","597","566","             "
"Average distance per year by trip purpose","2003-2007","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Personal business","404","2103","1809","1282","1200","9926","8490","             "
"Average distance per year by trip purpose","2003-2007","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Shopping","424","3150","2551","1282","1200","10422","8642","             "
"Average distance per year by trip purpose","2003-2007","5-year rolling average","Other ethnic group","ONS 2011 5+1","All Purposes","4584","15378","12602","939","830","82586","67977","             "
"Average distance per year by trip purpose","2003-2007","5-year rolling average","Other ethnic group","ONS 2011 5+1","Business","310","447","369","939","830","5581","4590","             "
"Average distance per year by trip purpose","2003-2007","5-year rolling average","Other ethnic group","ONS 2011 5+1","Commuting","1170","2744","2108","939","830","21081","16247","             "
"Average distance per year by trip purpose","2003-2007","5-year rolling average","Other ethnic group","ONS 2011 5+1","Education / escort education","452","3267","2854","939","830","8150","7274","             "
"Average distance per year by trip purpose","2003-2007","5-year rolling average","Other ethnic group","ONS 2011 5+1","Leisure","1523","3253","2728","939","830","27430","23202","             "
"Average distance per year by trip purpose","2003-2007","5-year rolling average","Other ethnic group","ONS 2011 5+1","Other escort","316","1008","886","939","830","5696","4876","             "
"Average distance per year by trip purpose","2003-2007","5-year rolling average","Other ethnic group","ONS 2011 5+1","Other including just walk","26","342","300","939","830","472","429","             "
"Average distance per year by trip purpose","2003-2007","5-year rolling average","Other ethnic group","ONS 2011 5+1","Personal business","299","1522","1211","939","830","5389","4435","             "
"Average distance per year by trip purpose","2003-2007","5-year rolling average","Other ethnic group","ONS 2011 5+1","Shopping","488","2795","2146","939","830","8787","6924","             "
"Average distance per year by trip purpose","2003-2007","5-year rolling average","White","ONS 2011 5+1","All Purposes","7424","1566024","1450390","76245","75578","10856560","10198800","             "
"Average distance per year by trip purpose","2003-2007","5-year rolling average","White","ONS 2011 5+1","Business","756","54040","51358","76245","75578","1104838","1060022","             "
"Average distance per year by trip purpose","2003-2007","5-year rolling average","White","ONS 2011 5+1","Commuting","1454","243482","214606","76245","75578","2125508","1890905","             "
"Average distance per year by trip purpose","2003-2007","5-year rolling average","White","ONS 2011 5+1","Education / escort education","302","162336","157503","76245","75578","441787","427716","             "
"Average distance per year by trip purpose","2003-2007","5-year rolling average","White","ONS 2011 5+1","Leisure","2959","418005","398306","76245","75578","4327479","4200309","             "
"Average distance per year by trip purpose","2003-2007","5-year rolling average","White","ONS 2011 5+1","Other escort","498","141722","132571","76245","75578","728522","677818","             "
"Average distance per year by trip purpose","2003-2007","5-year rolling average","White","ONS 2011 5+1","Other including just walk","48","66612","62894","76245","75578","70473","68189","             "
"Average distance per year by trip purpose","2003-2007","5-year rolling average","White","ONS 2011 5+1","Personal business","492","159718","147301","76245","75578","719813","663710","             "
"Average distance per year by trip purpose","2003-2007","5-year rolling average","White","ONS 2011 5+1","Shopping","915","320109","285851","76245","75578","1338140","1210131","             "
"Average distance per year by trip purpose","2004-2008","5-year rolling average","All ethnic groups","ONS 2011 5+1","All Purposes","7076","1692832","1552209","84824","83309","11511450","10725546","             "
"Average distance per year by trip purpose","2004-2008","5-year rolling average","All ethnic groups","ONS 2011 5+1","Business","692","56347","52993","84824","83309","1125407","1074247","             "
"Average distance per year by trip purpose","2004-2008","5-year rolling average","All ethnic groups","ONS 2011 5+1","Commuting","1407","265508","231156","84824","83309","2288226","2013401","             "
"Average distance per year by trip purpose","2004-2008","5-year rolling average","All ethnic groups","ONS 2011 5+1","Education / escort education","316","187638","179127","84824","83309","513278","487902","             "
"Average distance per year by trip purpose","2004-2008","5-year rolling average","All ethnic groups","ONS 2011 5+1","Leisure","2785","443852","420281","84824","83309","4531050","4374467","             "
"Average distance per year by trip purpose","2004-2008","5-year rolling average","All ethnic groups","ONS 2011 5+1","Other escort","480","153269","141518","84824","83309","780943","717259","             "
"Average distance per year by trip purpose","2004-2008","5-year rolling average","All ethnic groups","ONS 2011 5+1","Other including just walk","47","71637","67399","84824","83309","76422","73475","             "
"Average distance per year by trip purpose","2004-2008","5-year rolling average","All ethnic groups","ONS 2011 5+1","Personal business","489","174787","159248","84824","83309","795064","726500","             "
"Average distance per year by trip purpose","2004-2008","5-year rolling average","All ethnic groups","ONS 2011 5+1","Shopping","861","339793","300487","84824","83309","1401060","1258296","             "
"Average distance per year by trip purpose","2004-2008","5-year rolling average","Asian / Asian British","ONS 2011 5+1","All Purposes","4505","74771","62184","4504","4015","389197","324390","             "
"Average distance per year by trip purpose","2004-2008","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Business","277","1662","1367","4504","4015","23900","19743","             "
"Average distance per year by trip purpose","2004-2008","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Commuting","1179","14185","11103","4504","4015","101853","80775","             "
"Average distance per year by trip purpose","2004-2008","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Education / escort education","441","14858","13047","4504","4015","38088","31947","             "
"Average distance per year by trip purpose","2004-2008","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Leisure","1443","14402","12325","4504","4015","124675","108253","             "
"Average distance per year by trip purpose","2004-2008","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Other escort","284","6097","5320","4504","4015","24538","21131","             "
"Average distance per year by trip purpose","2004-2008","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Other including just walk","29","2128","1821","4504","4015","2521","2199","             "
"Average distance per year by trip purpose","2004-2008","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Personal business","368","8224","6768","4504","4015","31789","26588","             "
"Average distance per year by trip purpose","2004-2008","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Shopping","484","13215","10433","4504","4015","41832","33755","             "
"Average distance per year by trip purpose","2004-2008","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","All Purposes","4796","34400","29795","2152","2002","197969","171514","             "
"Average distance per year by trip purpose","2004-2008","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Business","341","1090","945","2152","2002","14060","13008","             "
"Average distance per year by trip purpose","2004-2008","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Commuting","1283","6449","5303","2152","2002","52951","44285","             "
"Average distance per year by trip purpose","2004-2008","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Education / escort education","488","6766","6370","2152","2002","20155","18305","             "
"Average distance per year by trip purpose","2004-2008","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Leisure","1361","6418","5568","2152","2002","56174","49398","             "
"Average distance per year by trip purpose","2004-2008","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Other escort","285","2662","2419","2152","2002","11756","10271","             "
"Average distance per year by trip purpose","2004-2008","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Other including just walk","14","534","486","2152","2002","563","539","             "
"Average distance per year by trip purpose","2004-2008","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Personal business","568","4847","4146","2152","2002","23439","20564","             "
"Average distance per year by trip purpose","2004-2008","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Shopping","457","5634","4558","2152","2002","18871","15144","             "
"Average distance per year by trip purpose","2004-2008","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","All Purposes","5277","23049","19993","1283","1189","129866","113279","             "
"Average distance per year by trip purpose","2004-2008","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Business","195","454","380","1283","1189","4796","3998","             "
"Average distance per year by trip purpose","2004-2008","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Commuting","1069","3126","2428","1283","1189","26317","20821","             "
"Average distance per year by trip purpose","2004-2008","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Education / escort education","483","5275","4995","1283","1189","11879","11204","             "
"Average distance per year by trip purpose","2004-2008","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Leisure","2264","6028","5247","1283","1189","55720","50871","             "
"Average distance per year by trip purpose","2004-2008","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Other escort","384","2331","2079","1283","1189","9442","8279","             "
"Average distance per year by trip purpose","2004-2008","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Other including just walk","24","657","623","1283","1189","601","575","             "
"Average distance per year by trip purpose","2004-2008","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Personal business","435","2104","1795","1283","1189","10718","9010","             "
"Average distance per year by trip purpose","2004-2008","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Shopping","422","3076","2446","1283","1189","10392","8520","             "
"Average distance per year by trip purpose","2004-2008","5-year rolling average","Other ethnic group","ONS 2011 5+1","All Purposes","4536","16235","13526","980","878","85286","72340","             "
