"Measure","Time","Time_Type","Ethnicity","Ethnicity_Type","Trip_Purpose","Value","Weighted_Sample_Trips","Unweighted_Sample_Trips","Weighted_Sample_Individuals","Unweighted_Sample_Individuals","Weighted_Sample_Distance","Unweighted_Sample_Distance","Notes"
"Average distance per year by trip purpose","2008-2012","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Business","243","377","334","1369","1285","6367","5897","             "
"Average distance per year by trip purpose","2008-2012","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Commuting","851","3027","2415","1369","1285","22336","19019","             "
"Average distance per year by trip purpose","2008-2012","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Education / escort education","363","4481","4214","1369","1285","9540","9076","             "
"Average distance per year by trip purpose","2008-2012","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Leisure","2256","6218","5570","1369","1285","59214","53282","             "
"Average distance per year by trip purpose","2008-2012","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Other escort","471","2668","2462","1369","1285","12369","11435","             "
"Average distance per year by trip purpose","2008-2012","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Other including just walk","31","976","913","1369","1285","814","771","             "
"Average distance per year by trip purpose","2008-2012","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Personal business","340","2288","2022","1369","1285","8927","7527","             "
"Average distance per year by trip purpose","2008-2012","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Shopping","395","3363","2739","1369","1285","10368","8463","             "
"Average distance per year by trip purpose","2008-2012","5-year rolling average","Other ethnic group","ONS 2011 5+1","All Purposes","4429","16997","14381","1110","1014","94291","82283","             "
"Average distance per year by trip purpose","2008-2012","5-year rolling average","Other ethnic group","ONS 2011 5+1","Business","364","543","472","1110","1014","7755","7277","             "
"Average distance per year by trip purpose","2008-2012","5-year rolling average","Other ethnic group","ONS 2011 5+1","Commuting","929","2919","2300","1110","1014","19783","15947","             "
"Average distance per year by trip purpose","2008-2012","5-year rolling average","Other ethnic group","ONS 2011 5+1","Education / escort education","394","2855","2619","1110","1014","8381","7312","             "
"Average distance per year by trip purpose","2008-2012","5-year rolling average","Other ethnic group","ONS 2011 5+1","Leisure","1578","3585","3135","1110","1014","33600","30226","             "
"Average distance per year by trip purpose","2008-2012","5-year rolling average","Other ethnic group","ONS 2011 5+1","Other escort","297","1234","1124","1110","1014","6328","5606","             "
"Average distance per year by trip purpose","2008-2012","5-year rolling average","Other ethnic group","ONS 2011 5+1","Other including just walk","36","775","593","1110","1014","768","626","             "
"Average distance per year by trip purpose","2008-2012","5-year rolling average","Other ethnic group","ONS 2011 5+1","Personal business","348","1723","1451","1110","1014","7405","6641","             "
"Average distance per year by trip purpose","2008-2012","5-year rolling average","Other ethnic group","ONS 2011 5+1","Shopping","482","3363","2687","1110","1014","10271","8648","             "
"Average distance per year by trip purpose","2008-2012","5-year rolling average","White","ONS 2011 5+1","All Purposes","7037","1405761","1317501","72660","72885","9806947","9403474","             "
"Average distance per year by trip purpose","2008-2012","5-year rolling average","White","ONS 2011 5+1","Business","612","43337","41743","72660","72885","852879","839400","             "
"Average distance per year by trip purpose","2008-2012","5-year rolling average","White","ONS 2011 5+1","Commuting","1339","210255","184671","72660","72885","1865691","1663583","             "
"Average distance per year by trip purpose","2008-2012","5-year rolling average","White","ONS 2011 5+1","Education / escort education","305","147898","140800","72660","72885","425301","408839","             "
"Average distance per year by trip purpose","2008-2012","5-year rolling average","White","ONS 2011 5+1","Leisure","2847","377231","369290","72660","72885","3968016","3966021","             "
"Average distance per year by trip purpose","2008-2012","5-year rolling average","White","ONS 2011 5+1","Other escort","513","132525","124444","72660","72885","714794","676149","             "
"Average distance per year by trip purpose","2008-2012","5-year rolling average","White","ONS 2011 5+1","Other including just walk","49","68892","65811","72660","72885","68699","67553","             "
"Average distance per year by trip purpose","2008-2012","5-year rolling average","White","ONS 2011 5+1","Personal business","496","141420","133714","72660","72885","691049","659441","             "
"Average distance per year by trip purpose","2008-2012","5-year rolling average","White","ONS 2011 5+1","Shopping","876","284204","257028","72660","72885","1220519","1122488","             "
"Average distance per year by trip purpose","2009-2013","5-year rolling average","All ethnic groups","ONS 2011 5+1","All Purposes","6675","1547645","1442650","82923","82444","10615867","10120133","             "
"Average distance per year by trip purpose","2009-2013","5-year rolling average","All ethnic groups","ONS 2011 5+1","Business","571","47018","44961","82923","82444","907727","887742","             "
"Average distance per year by trip purpose","2009-2013","5-year rolling average","All ethnic groups","ONS 2011 5+1","Commuting","1305","235075","204166","82923","82444","2074864","1836367","             "
"Average distance per year by trip purpose","2009-2013","5-year rolling average","All ethnic groups","ONS 2011 5+1","Education / escort education","324","183582","174640","82923","82444","515831","490922","             "
"Average distance per year by trip purpose","2009-2013","5-year rolling average","All ethnic groups","ONS 2011 5+1","Leisure","2662","404119","393437","82923","82444","4234067","4209614","             "
"Average distance per year by trip purpose","2009-2013","5-year rolling average","All ethnic groups","ONS 2011 5+1","Other escort","482","143764","134853","82923","82444","767267","723986","             "
"Average distance per year by trip purpose","2009-2013","5-year rolling average","All ethnic groups","ONS 2011 5+1","Other including just walk","46","72267","68966","82923","82444","73438","72141","             "
"Average distance per year by trip purpose","2009-2013","5-year rolling average","All ethnic groups","ONS 2011 5+1","Personal business","479","155577","146370","82923","82444","762284","724876","             "
"Average distance per year by trip purpose","2009-2013","5-year rolling average","All ethnic groups","ONS 2011 5+1","Shopping","805","306245","275257","82923","82444","1280388","1174485","             "
"Average distance per year by trip purpose","2009-2013","5-year rolling average","Asian / Asian British","ONS 2011 5+1","All Purposes","4556","90069","77766","5646","5216","493424","425906","             "
"Average distance per year by trip purpose","2009-2013","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Business","274","1881","1686","5646","5216","29673","26567","             "
"Average distance per year by trip purpose","2009-2013","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Commuting","1329","16985","13761","5646","5216","143903","119248","             "
"Average distance per year by trip purpose","2009-2013","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Education / escort education","409","18729","17142","5646","5216","44295","39612","             "
"Average distance per year by trip purpose","2009-2013","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Leisure","1382","16341","14515","5646","5216","149613","133166","             "
"Average distance per year by trip purpose","2009-2013","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Other escort","317","8279","7338","5646","5216","34363","29556","             "
"Average distance per year by trip purpose","2009-2013","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Other including just walk","20","2423","2192","5646","5216","2196","2017","             "
"Average distance per year by trip purpose","2009-2013","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Personal business","384","9901","8611","5646","5216","41625","36155","             "
"Average distance per year by trip purpose","2009-2013","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Shopping","441","15530","12521","5646","5216","47756","39585","             "
"Average distance per year by trip purpose","2009-2013","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","All Purposes","4394","40822","36917","2617","2530","220559","198310","             "
"Average distance per year by trip purpose","2009-2013","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Business","266","1176","1074","2617","2530","13330","12559","             "
"Average distance per year by trip purpose","2009-2013","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Commuting","1099","6556","5520","2617","2530","55141","47105","             "
"Average distance per year by trip purpose","2009-2013","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Education / escort education","537","9030","9032","2617","2530","26964","26124","             "
"Average distance per year by trip purpose","2009-2013","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Leisure","1179","7888","7156","2617","2530","59160","54526","             "
"Average distance per year by trip purpose","2009-2013","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Other escort","252","3054","2881","2617","2530","12632","11523","             "
"Average distance per year by trip purpose","2009-2013","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Other including just walk","13","529","497","2617","2530","642","651","             "
"Average distance per year by trip purpose","2009-2013","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Personal business","627","5916","5245","2617","2530","31464","27772","             "
"Average distance per year by trip purpose","2009-2013","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Shopping","423","6672","5512","2617","2530","21227","18049","             "
"Average distance per year by trip purpose","2009-2013","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","All Purposes","4841","23096","20713","1368","1296","127029","112757","             "
"Average distance per year by trip purpose","2009-2013","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Business","273","452","419","1368","1296","7167","6959","             "
"Average distance per year by trip purpose","2009-2013","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Commuting","794","2781","2273","1368","1296","20834","18147","             "
"Average distance per year by trip purpose","2009-2013","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Education / escort education","418","4707","4501","1368","1296","10963","10387","             "
"Average distance per year by trip purpose","2009-2013","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Leisure","2133","5926","5349","1368","1296","55962","49102","             "
"Average distance per year by trip purpose","2009-2013","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Other escort","483","2594","2399","1368","1296","12678","11651","             "
"Average distance per year by trip purpose","2009-2013","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Other including just walk","32","1021","950","1368","1296","845","805","             "
"Average distance per year by trip purpose","2009-2013","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Personal business","328","2278","2049","1368","1296","8611","7450","             "
"Average distance per year by trip purpose","2009-2013","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Shopping","380","3336","2773","1368","1296","9968","8254","             "
"Average distance per year by trip purpose","2009-2013","5-year rolling average","Other ethnic group","ONS 2011 5+1","All Purposes","4588","16605","14018","1089","982","95785","83206","             "
"Average distance per year by trip purpose","2009-2013","5-year rolling average","Other ethnic group","ONS 2011 5+1","Business","355","569","470","1089","982","7422","6949","             "
"Average distance per year by trip purpose","2009-2013","5-year rolling average","Other ethnic group","ONS 2011 5+1","Commuting","968","2840","2258","1089","982","20217","16329","             "
"Average distance per year by trip purpose","2009-2013","5-year rolling average","Other ethnic group","ONS 2011 5+1","Education / escort education","404","2688","2453","1089","982","8433","7073","             "
"Average distance per year by trip purpose","2009-2013","5-year rolling average","Other ethnic group","ONS 2011 5+1","Leisure","1698","3545","3105","1089","982","35440","31740","             "
"Average distance per year by trip purpose","2009-2013","5-year rolling average","Other ethnic group","ONS 2011 5+1","Other escort","298","1341","1267","1089","982","6217","5588","             "
"Average distance per year by trip purpose","2009-2013","5-year rolling average","Other ethnic group","ONS 2011 5+1","Other including just walk","34","738","554","1089","982","716","589","             "
"Average distance per year by trip purpose","2009-2013","5-year rolling average","Other ethnic group","ONS 2011 5+1","Personal business","359","1610","1361","1089","982","7502","6690","             "
"Average distance per year by trip purpose","2009-2013","5-year rolling average","Other ethnic group","ONS 2011 5+1","Shopping","471","3272","2550","1089","982","9838","8249","             "
"Average distance per year by trip purpose","2009-2013","5-year rolling average","White","ONS 2011 5+1","All Purposes","6990","1376016","1292419","72146","72371","9671792","9293979","             "
"Average distance per year by trip purpose","2009-2013","5-year rolling average","White","ONS 2011 5+1","Business","614","42880","41266","72146","72371","849110","834051","             "
"Average distance per year by trip purpose","2009-2013","5-year rolling average","White","ONS 2011 5+1","Commuting","1325","205737","180208","72146","72371","1832816","1633805","             "
"Average distance per year by trip purpose","2009-2013","5-year rolling average","White","ONS 2011 5+1","Education / escort education","307","148296","141407","72146","72371","424838","407438","             "
"Average distance per year by trip purpose","2009-2013","5-year rolling average","White","ONS 2011 5+1","Leisure","2842","370215","363141","72146","72371","3931905","3939294","             "
"Average distance per year by trip purpose","2009-2013","5-year rolling average","White","ONS 2011 5+1","Other escort","506","128396","120894","72146","72371","700779","665162","             "
"Average distance per year by trip purpose","2009-2013","5-year rolling average","White","ONS 2011 5+1","Other including just walk","50","67532","64751","72146","72371","68980","68017","             "
"Average distance per year by trip purpose","2009-2013","5-year rolling average","White","ONS 2011 5+1","Personal business","486","135713","128992","72146","72371","672176","646194","             "
"Average distance per year by trip purpose","2009-2013","5-year rolling average","White","ONS 2011 5+1","Shopping","861","277248","251760","72146","72371","1191186","1100018","             "
"Average distance per year by trip purpose","2010-2014","5-year rolling average","All ethnic groups","ONS 2011 5+1","All Purposes","6630","1519448","1410439","82367","81636","10474070","9932835","             "
"Average distance per year by trip purpose","2010-2014","5-year rolling average","All ethnic groups","ONS 2011 5+1","Business","591","47278","44898","82367","81636","934276","901943","             "
"Average distance per year by trip purpose","2010-2014","5-year rolling average","All ethnic groups","ONS 2011 5+1","Commuting","1310","233774","201545","82367","81636","2069849","1819316","             "
"Average distance per year by trip purpose","2010-2014","5-year rolling average","All ethnic groups","ONS 2011 5+1","Education / escort education","332","183700","173788","82367","81636","523873","497049","             "
"Average distance per year by trip purpose","2010-2014","5-year rolling average","All ethnic groups","ONS 2011 5+1","Leisure","2604","394437","383694","82367","81636","4113760","4079689","             "
"Average distance per year by trip purpose","2010-2014","5-year rolling average","All ethnic groups","ONS 2011 5+1","Other escort","476","140651","130581","82367","81636","751560","702583","             "
"Average distance per year by trip purpose","2010-2014","5-year rolling average","All ethnic groups","ONS 2011 5+1","Other including just walk","45","70347","66837","82367","81636","71643","70015","             "
"Average distance per year by trip purpose","2010-2014","5-year rolling average","All ethnic groups","ONS 2011 5+1","Personal business","482","151019","141277","82367","81636","761103","717945","             "
"Average distance per year by trip purpose","2010-2014","5-year rolling average","All ethnic groups","ONS 2011 5+1","Shopping","790","298242","267819","82367","81636","1248005","1144294","             "
"Average distance per year by trip purpose","2010-2014","5-year rolling average","Asian / Asian British","ONS 2011 5+1","All Purposes","4482","87865","75623","5668","5215","487252","418635","             "
"Average distance per year by trip purpose","2010-2014","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Business","257","1802","1598","5668","5215","27963","24689","             "
"Average distance per year by trip purpose","2010-2014","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Commuting","1369","17123","13858","5668","5215","148864","122936","             "
"Average distance per year by trip purpose","2010-2014","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Education / escort education","401","17821","16224","5668","5215","43555","38447","             "
"Average distance per year by trip purpose","2010-2014","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Leisure","1358","16097","14226","5668","5215","147597","131182","             "
"Average distance per year by trip purpose","2010-2014","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Other escort","292","7712","6786","5668","5215","31791","27127","             "
"Average distance per year by trip purpose","2010-2014","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Other including just walk","20","2420","2163","5668","5215","2177","1974","             "
"Average distance per year by trip purpose","2010-2014","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Personal business","354","9857","8574","5668","5215","38525","33434","             "
"Average distance per year by trip purpose","2010-2014","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Shopping","430","15032","12194","5668","5215","46780","38845","             "
"Average distance per year by trip purpose","2010-2014","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","All Purposes","4455","40748","37051","2625","2560","224316","203664","             "
"Average distance per year by trip purpose","2010-2014","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Business","275","1174","1096","2625","2560","13860","13108","             "
"Average distance per year by trip purpose","2010-2014","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Commuting","1105","6539","5512","2625","2560","55645","48030","             "
"Average distance per year by trip purpose","2010-2014","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Education / escort education","533","9373","9406","2625","2560","26830","26195","             "
"Average distance per year by trip purpose","2010-2014","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Leisure","1190","7549","6865","2625","2560","59931","55588","             "
"Average distance per year by trip purpose","2010-2014","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Other escort","252","3071","2912","2625","2560","12673","11737","             "
"Average distance per year by trip purpose","2010-2014","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Other including just walk","12","588","555","2625","2560","604","622","             "
"Average distance per year by trip purpose","2010-2014","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Personal business","678","5910","5301","2625","2560","34159","30758","             "
"Average distance per year by trip purpose","2010-2014","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Shopping","409","6544","5404","2625","2560","20614","17626","             "
"Average distance per year by trip purpose","2010-2014","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","All Purposes","4814","21473","19102","1304","1228","120381","105782","             "
"Average distance per year by trip purpose","2010-2014","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Business","278","462","408","1304","1228","6949","6547","             "
"Average distance per year by trip purpose","2010-2014","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Commuting","865","2712","2191","1304","1228","21642","18442","             "
"Average distance per year by trip purpose","2010-2014","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Education / escort education","381","4314","4096","1304","1228","9519","8997","             "
"Average distance per year by trip purpose","2010-2014","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Leisure","2023","5477","4941","1304","1228","50592","44298","             "
"Average distance per year by trip purpose","2010-2014","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Other escort","474","2468","2304","1304","1228","11856","10959","             "
"Average distance per year by trip purpose","2010-2014","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Other including just walk","31","880","775","1304","1228","787","735","             "
"Average distance per year by trip purpose","2010-2014","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Personal business","388","2112","1870","1304","1228","9703","8114","             "
"Average distance per year by trip purpose","2010-2014","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Shopping","373","3048","2517","1304","1228","9334","7690","             "
"Average distance per year by trip purpose","2010-2014","5-year rolling average","Other ethnic group","ONS 2011 5+1","All Purposes","4536","17055","14651","1134","1034","98661","87417","             "
"Average distance per year by trip purpose","2010-2014","5-year rolling average","Other ethnic group","ONS 2011 5+1","Business","340","624","519","1134","1034","7401","6978","             "
"Average distance per year by trip purpose","2010-2014","5-year rolling average","Other ethnic group","ONS 2011 5+1","Commuting","944","2841","2319","1134","1034","20541","17084","             "
"Average distance per year by trip purpose","2010-2014","5-year rolling average","Other ethnic group","ONS 2011 5+1","Education / escort education","405","2896","2666","1134","1034","8807","7812","             "
"Average distance per year by trip purpose","2010-2014","5-year rolling average","Other ethnic group","ONS 2011 5+1","Leisure","1641","3417","3098","1134","1034","35703","32564","             "
"Average distance per year by trip purpose","2010-2014","5-year rolling average","Other ethnic group","ONS 2011 5+1","Other escort","316","1410","1353","1134","1034","6882","6303","             "
"Average distance per year by trip purpose","2010-2014","5-year rolling average","Other ethnic group","ONS 2011 5+1","Other including just walk","25","633","532","1134","1034","547","480","             "
"Average distance per year by trip purpose","2010-2014","5-year rolling average","Other ethnic group","ONS 2011 5+1","Personal business","386","1693","1396","1134","1034","8400","7414","             "
"Average distance per year by trip purpose","2010-2014","5-year rolling average","Other ethnic group","ONS 2011 5+1","Shopping","477","3542","2768","1134","1034","10381","8781","             "
"Average distance per year by trip purpose","2010-2014","5-year rolling average","White","ONS 2011 5+1","All Purposes","6947","1351293","1263227","71580","71551","9537238","9112339","             "
"Average distance per year by trip purpose","2010-2014","5-year rolling average","White","ONS 2011 5+1","Business","639","43176","41246","71580","71551","877462","850264","             "
"Average distance per year by trip purpose","2010-2014","5-year rolling average","White","ONS 2011 5+1","Commuting","1327","204412","177550","71580","71551","1821939","1611775","             "
"Average distance per year by trip purpose","2010-2014","5-year rolling average","White","ONS 2011 5+1","Education / escort education","317","149172","141300","71580","71551","434876","415373","             "
"Average distance per year by trip purpose","2010-2014","5-year rolling average","White","ONS 2011 5+1","Leisure","2781","361677","354374","71580","71551","3817616","3813964","             "
"Average distance per year by trip purpose","2010-2014","5-year rolling average","White","ONS 2011 5+1","Other escort","501","125906","117169","71580","71551","687993","646181","             "
"Average distance per year by trip purpose","2010-2014","5-year rolling average","White","ONS 2011 5+1","Other including just walk","49","65785","62778","71580","71551","67486","66165","             "
"Average distance per year by trip purpose","2010-2014","5-year rolling average","White","ONS 2011 5+1","Personal business","488","131271","124010","71580","71551","669357","637568","             "
"Average distance per year by trip purpose","2010-2014","5-year rolling average","White","ONS 2011 5+1","Shopping","845","269894","244800","71580","71551","1160508","1071050","             "
"Average distance per year by trip purpose","2011-2015","5-year rolling average","All ethnic groups","ONS 2011 5+1","All Purposes","6622","1489666","1377572","81557","80608","10357973","9787491","             "
"Average distance per year by trip purpose","2011-2015","5-year rolling average","All ethnic groups","ONS 2011 5+1","Business","601","47548","45024","81557","80608","940167","900759","             "
"Average distance per year by trip purpose","2011-2015","5-year rolling average","All ethnic groups","ONS 2011 5+1","Commuting","1302","229412","197986","81557","80608","2036247","1790983","             "
"Average distance per year by trip purpose","2011-2015","5-year rolling average","All ethnic groups","ONS 2011 5+1","Education / escort education","332","182214","171508","81557","80608","519495","493116","             "
"Average distance per year by trip purpose","2011-2015","5-year rolling average","All ethnic groups","ONS 2011 5+1","Leisure","2625","386481","374641","81557","80608","4105380","4053975","             "
"Average distance per year by trip purpose","2011-2015","5-year rolling average","All ethnic groups","ONS 2011 5+1","Other escort","465","136799","125280","81557","80608","726715","669450","             "
"Average distance per year by trip purpose","2011-2015","5-year rolling average","All ethnic groups","ONS 2011 5+1","Other including just walk","46","70271","66589","81557","80608","71917","70144","             "
"Average distance per year by trip purpose","2011-2015","5-year rolling average","All ethnic groups","ONS 2011 5+1","Personal business","473","146499","136487","81557","80608","740228","695735","             "
"Average distance per year by trip purpose","2011-2015","5-year rolling average","All ethnic groups","ONS 2011 5+1","Shopping","779","290443","260057","81557","80608","1217824","1113327","             "
"Average distance per year by trip purpose","2011-2015","5-year rolling average","Asian / Asian British","ONS 2011 5+1","All Purposes","4469","87265","74540","5699","5217","488480","420688","             "
"Average distance per year by trip purpose","2011-2015","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Business","246","1941","1651","5699","5217","26909","23385","             "
"Average distance per year by trip purpose","2011-2015","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Commuting","1371","17268","14006","5699","5217","149893","124347","             "
"Average distance per year by trip purpose","2011-2015","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Education / escort education","379","17749","16088","5699","5217","41438","37048","             "
"Average distance per year by trip purpose","2011-2015","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Leisure","1363","15565","13769","5699","5217","149016","133248","             "
"Average distance per year by trip purpose","2011-2015","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Other escort","291","7503","6418","5699","5217","31776","26918","             "
"Average distance per year by trip purpose","2011-2015","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Other including just walk","21","2390","2101","5699","5217","2349","2061","             "
"Average distance per year by trip purpose","2011-2015","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Personal business","368","10017","8544","5699","5217","40188","34781","             "
"Average distance per year by trip purpose","2011-2015","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Shopping","429","14833","11963","5699","5217","46912","38898","             "
"Average distance per year by trip purpose","2011-2015","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","All Purposes","4360","39093","35716","2550","2517","213218","194715","             "
"Average distance per year by trip purpose","2011-2015","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Business","317","1276","1200","2550","2517","15522","14494","             "
"Average distance per year by trip purpose","2011-2015","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Commuting","1079","6233","5340","2550","2517","52762","45842","             "
"Average distance per year by trip purpose","2011-2015","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Education / escort education","503","8858","8894","2550","2517","24604","24464","             "
"Average distance per year by trip purpose","2011-2015","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Leisure","1181","7109","6494","2550","2517","57746","53226","             "
"Average distance per year by trip purpose","2011-2015","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Other escort","272","3068","2804","2550","2517","13299","11987","             "
"Average distance per year by trip purpose","2011-2015","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Other including just walk","13","642","670","2550","2517","654","696","             "
"Average distance per year by trip purpose","2011-2015","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Personal business","584","5650","5151","2550","2517","28568","26778","             "
"Average distance per year by trip purpose","2011-2015","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Shopping","410","6257","5163","2550","2517","20063","17228","             "
"Average distance per year by trip purpose","2011-2015","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","All Purposes","4703","21400","19103","1282","1215","115592","102235","             "
"Average distance per year by trip purpose","2011-2015","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Business","253","475","432","1282","1215","6219","5616","             "
"Average distance per year by trip purpose","2011-2015","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Commuting","935","2802","2251","1282","1215","22970","19222","             "
"Average distance per year by trip purpose","2011-2015","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Education / escort education","426","4512","4296","1282","1215","10466","9667","             "
"Average distance per year by trip purpose","2011-2015","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Leisure","1878","5407","4948","1282","1215","46167","41503","             "
"Average distance per year by trip purpose","2011-2015","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Other escort","456","2369","2195","1282","1215","11208","10427","             "
"Average distance per year by trip purpose","2011-2015","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Other including just walk","27","897","776","1282","1215","662","610","             "
"Average distance per year by trip purpose","2011-2015","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Personal business","359","1997","1740","1282","1215","8813","7535","             "
"Average distance per year by trip purpose","2011-2015","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Shopping","370","2941","2465","1282","1215","9087","7656","             "
"Average distance per year by trip purpose","2011-2015","5-year rolling average","Other ethnic group","ONS 2011 5+1","All Purposes","4048","16263","14023","1125","1028","87314","77865","             "
"Average distance per year by trip purpose","2011-2015","5-year rolling average","Other ethnic group","ONS 2011 5+1","Business","313","583","484","1125","1028","6758","6355","             "
"Average distance per year by trip purpose","2011-2015","5-year rolling average","Other ethnic group","ONS 2011 5+1","Commuting","944","2767","2239","1125","1028","20362","16830","             "
"Average distance per year by trip purpose","2011-2015","5-year rolling average","Other ethnic group","ONS 2011 5+1","Education / escort education","365","2860","2657","1125","1028","7862","7118","             "
"Average distance per year by trip purpose","2011-2015","5-year rolling average","Other ethnic group","ONS 2011 5+1","Leisure","1351","3058","2828","1125","1028","29135","27242","             "
"Average distance per year by trip purpose","2011-2015","5-year rolling average","Other ethnic group","ONS 2011 5+1","Other escort","265","1346","1292","1125","1028","5714","5240","             "
"Average distance per year by trip purpose","2011-2015","5-year rolling average","Other ethnic group","ONS 2011 5+1","Other including just walk","23","556","460","1125","1028","490","429","             "
"Average distance per year by trip purpose","2011-2015","5-year rolling average","Other ethnic group","ONS 2011 5+1","Personal business","354","1634","1367","1125","1028","7641","6751","             "
"Average distance per year by trip purpose","2011-2015","5-year rolling average","Other ethnic group","ONS 2011 5+1","Shopping","434","3460","2696","1125","1028","9353","7899","             "
